Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
01/31/1990,1876.171997,,-1823.748047,,52.42395,,-12.868,,,,,39.556,5.964,,4.869,,,-10.833,45.52,-17.299999,28.219999,0.0,,,28.220001,,28.219999,0.0,,28.219999,28.219999,,162.072006,0.175,0.175,,162.072006,0.175,0.175,0.175,
04/30/1990,1831.223022,,-1792.990967,,38.232056,,-12.229,,,,,26.003,4.694,,3.887,,,-8.581,30.697001,7.268,37.965,0.0,,,37.965001,,37.965,0.0,,37.965,37.965,,162.723999,0.235,0.235,,162.723999,0.235,0.235,0.235,
07/31/1990,1767.947021,,-1706.995972,,60.95105,,-16.238001,,,,,44.713001,4.756,,3.236,,,-7.992,49.469001,-17.468,32.000999,-8.005,,,40.006001,,40.006001,0.0,,40.006001,40.006001,,163.057999,0.245,0.195,,163.057999,0.245,0.195,0.195,
10/31/1990,1970.937988,,-1903.397949,,67.540039,,-9.939,,,,,57.601002,6.594,,3.076,,,-9.67,64.195002,-23.5,40.695,0.0,,,40.695002,,40.695,0.0,,40.695,40.695,,160.641998,0.25,0.25,0.25,160.641998,0.25,0.25,0.25,
01/31/1991,1758.194946,,-1709.176025,,49.018921,,-17.483999,,,,,31.535,8.445,,2.835,,,-11.28,39.98,-14.19,25.790001,0.0,,,25.79,,25.790001,0.0,,25.790001,25.790001,,162.973999,0.16,0.16,,162.973999,0.16,0.16,0.16,
04/30/1991,1701.468018,,-1650.432007,,51.036011,,-15.637,,,,,35.398998,14.358,,3.051,,,-17.409,49.756999,-19.809999,29.947001,-11.676,,,41.622999,,41.623001,0.0,,41.623001,41.623001,,163.748001,0.255,0.185,,163.748001,0.255,0.185,0.185,
07/31/1991,1613.026001,,-1557.42395,,55.602051,,-11.383,,,,,44.219002,25.852999,,3.395,,,-29.247999,70.072001,-22.6,47.472,0.0,,,47.472001,,47.472,0.0,,47.472,47.472,,163.813995,0.29,0.29,,163.813995,0.29,0.29,0.29,
10/31/1991,1669.009033,,-1610.235962,,58.773071,,-12.528,,,,,46.244999,21.758,,4.069,,,-25.827,68.002999,-22.1,45.903,0.0,,,45.902999,,45.903,0.0,,45.903,45.903,,162.056,0.28,0.28,0.28,162.056,0.28,0.28,0.28,
01/31/1992,1560.834961,,-1501.906006,,58.928955,,-10.049,,,,,48.880001,2.008,,5.076,,,-7.084,50.888001,-18.676001,32.212002,36.251999,,,-4.039999,,-4.04,0.0,,-4.04,-4.04,,162.134003,-0.025,0.195,,162.134003,-0.025,0.195,0.195,
04/30/1992,1544.324951,,-1480.732056,,63.592896,,-8.186,,,,,55.407001,0.887,,5.09,,,-5.977,56.294002,-20.743,35.550999,3.17,,,32.381001,,32.381001,0.0,,32.381001,32.381001,,163.748001,0.2,0.22,,163.748001,0.2,0.22,0.22,
08/01/1992,1662.748047,,-1592.735962,,70.012085,,-7.145,,,,,62.867001,-0.681,,5.712,,,-5.031,62.186001,-22.881001,39.305,2.482,,,36.823,,36.823002,0.0,,36.823002,36.823002,,163.813995,0.225,0.24,,163.813995,0.225,0.24,0.24,
