Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/30/1990,1211.000977,188.734001,91.043999,97.690002,292.911987,,137.710999,,,,,42.695,,,,662.052002,428.270996,560.627014,-132.356003,41.202,,,79.475998,,,,,,79.475998,548.948994,,226.580994,226.580994,,,,33.001999,,,,,148.405014,,,148.405014,407.988007,259.671997,,,,68.998001,,,,68.998001,328.669998,736.658005,,66.532997,,,-0.575,,408.395007,474.353004,,474.353004,1211.011009,
06/29/1990,1303.417969,174.801994,80.450996,94.350998,325.408997,,158.904007,,,,,44.980999,,,,704.096008,468.860992,605.275024,-136.414001,28.111,,,102.349998,,,,,,102.349998,599.321991,,252.923004,252.923004,,,,40.495998,,,,,165.923008,,,165.923008,459.34201,280.167999,,,,75.089996,,,,75.089996,355.257996,814.600006,,67.112999,,,-0.694,,422.398987,488.817986,,488.817986,1303.417992,
09/28/1990,1390.133057,173.364998,97.749001,75.615997,335.528015,,183.613998,,,,,47.598,,,,740.10498,500.59201,640.169983,-139.578003,38.978001,,,110.458,,,,,,110.458,650.028011,,266.756989,266.756989,,,,50.127998,,,,,217.620018,,,217.620018,534.505005,280.431,,,,73.856003,,,,73.856003,354.287003,888.792007,,67.320999,,,-0.952,,434.971989,501.340988,,501.340988,1390.132996,
12/28/1990,1441.302002,191.200996,110.097,81.103996,360.514008,,152.608002,,,,,45.654999,,,,749.978027,533.171997,680.817993,-147.645996,40.443001,,,117.709,,,,,,117.709,691.323998,,199.686996,199.686996,,,,78.038002,,,,,287.608986,,,287.608986,565.333984,281.746002,,,,72.733002,,,,72.733002,354.479004,919.812988,,67.422997,,,-0.952,,447.294987,513.765984,7.723,521.488984,1441.301972,
03/29/1991,1464.437988,170.285995,92.655998,77.629997,374.091003,,164.501999,,,,,48.666,,,,757.544983,550.508972,700.017029,-149.507996,40.644001,,,115.739998,,,,,,115.739998,706.892971,,275.450989,275.450989,,,,118.392998,,,,,199.500008,,,199.500008,593.343994,293.187012,,,,78.185997,,,,78.185997,371.373009,964.717003,,68.117996,,,-1.081,,432.683997,499.720993,,499.720993,1464.437996,
06/28/1991,1479.404053,177.959999,107.436996,70.523003,381.942993,,144.082001,,,,,49.750999,,,,753.736023,566.79303,720.237976,-153.445007,42.337002,,,116.538002,,,,,,116.538002,725.668034,,253.255997,253.255997,,,,158.115997,,,,,188.940018,,,188.940018,600.312012,306.437012,,,,78.112999,,,,78.112999,384.550011,984.862022,,68.559998,,,-1.154,,427.135995,494.541992,,494.541992,1479.404015,
09/27/1991,1553.135986,208.317001,88.370003,119.946999,399.356995,,139.156998,,,,,46.931999,,,,793.763,589.411987,753.273987,-163.862,46.367001,,,123.594002,,,,,,123.594002,759.37299,,258.449005,258.449005,,,,90.183998,,,,,196.299004,,,196.299004,544.932007,410.333008,,,,83.872002,,,,83.872002,494.205009,1039.137016,,68.338997,,,-0.422,,446.082004,513.999001,,513.999001,1553.136017,
12/27/1991,1634.682007,232.771996,140.384995,92.387001,445.307007,,122.838997,,,,,36.68,,,,837.598022,613.778015,789.049011,-175.270996,51.044998,,,132.261002,,,,,,132.261002,797.084015,,165.987,165.987,,,,59.209,,,,,347.251021,,,347.251021,572.447021,441.221985,,,,75.741997,,,,75.741997,516.963982,1089.411003,,68.726997,,,-0.391,,469.708993,538.04499,7.226,545.27099,1634.681993,
03/28/1992,1565.612061,214.590004,116.924004,97.666,400.044006,,117.356003,,,,,35.533001,,,,767.52301,611.211975,789.072998,-177.860992,55.084,,,131.792999,,,,,,131.792999,798.088974,,257.356995,257.356995,,,,49.722,,,,,211.207993,,,211.207993,518.286987,438.634003,,,,81.348999,,,,81.348999,519.983002,1038.269989,,68.763,,,-0.257,,458.83601,527.34201,,527.34201,1565.612,
06/26/1992,1674.727051,233.968002,133.802002,100.166,462.545013,,121.262001,,,,,38.542999,,,,856.317993,619.315002,811.012024,-191.697006,60.136002,,,138.957993,,,,,,138.957993,818.408997,,265.34201,265.34201,,,,68.022003,,,,,247.945984,,,247.945984,581.309998,442.174988,,,,96.245003,,,,96.245003,538.419991,1119.729988,,68.953003,,,-0.257,,486.301006,554.997009,,554.997009,1674.726997,
