Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/2000,315.100006,315.100006,314.799988,,6.595299,0.886595,0.61,0.61,0.64,0.61,0.61,0.64,0.0,0.830686,,5.891463,16.503015,,
06/30/2000,315.100006,316.5,314.799988,,7.363724,0.923444,0.74,0.74,0.58,0.73,0.73,0.58,0.0,1.148031,,8.255157,17.013964,,
09/30/2000,315.100006,317.0,314.799988,,6.429479,0.807815,0.585,0.585,0.56,0.58,0.58,0.55,0.0,0.61277,,6.464932,17.754681,,
12/31/2000,312.0,316.399994,313.600006,,7.589923,0.713967,0.736,0.736,0.57,0.73,0.73,0.57,0.3,3.910714,,10.512821,18.447115,,
03/31/2001,308.700012,313.799988,311.200012,,7.693766,0.814589,0.54,0.52,0.61,0.54,0.51,0.61,0.0,1.381427,,7.204081,19.680272,,
06/30/2001,304.299988,310.100006,306.859985,,6.989833,0.858372,0.6,0.6,0.65,0.59,0.59,0.64,0.0,2.174933,,3.343411,19.845548,,
09/30/2001,299.700012,306.01001,302.559998,,6.766592,0.746298,0.55,0.55,0.67,0.54,0.54,0.66,0.0,1.632073,,3.884217,20.417416,,
12/31/2001,297.299988,301.0,301.0,,8.380399,0.427575,0.34,0.34,0.71,0.34,0.34,0.71,0.31,3.588704,,4.418769,19.727548,17.46485,
03/31/2002,295.700012,300.0,296.399994,,6.90216,0.679825,0.49,0.49,0.68,0.49,0.49,0.68,0.0,1.889001,,4.235374,19.597226,,
06/30/2002,292.190002,295.100006,293.200012,,7.511596,0.514666,0.34,0.34,0.73,0.33,0.33,0.72,0.0,2.522851,,2.881002,20.42267,,
09/30/2002,288.399994,290.839996,289.51001,,7.401816,0.730545,0.55,0.55,0.64,0.54,0.54,0.64,0.0,2.013402,,3.702843,21.078364,,
12/31/2002,287.980011,288.470001,288.470001,,7.204908,0.360176,0.33,0.33,0.78,0.33,0.33,0.78,0.32,2.352411,,4.134315,21.567817,18.992985,
03/31/2003,289.0,288.299988,287.399994,,8.094294,1.245303,0.88,0.88,0.74,0.88,0.88,0.74,0.0,1.946416,,8.026643,23.513148,20.865397,
06/30/2003,289.200012,288.5,287.5,,8.514087,1.440348,1.01,1.01,0.82,1.0,1.0,0.82,0.0,2.692522,,4.141079,27.698478,24.972683,
09/30/2003,289.279999,289.0,287.700012,,8.446646,0.841849,0.66,0.66,0.79,0.66,0.66,0.79,0.0,1.423705,,5.496405,28.06001,27.074806,
12/31/2003,289.790009,289.690002,289.690002,,9.897132,1.155373,0.25,0.25,0.94,0.25,0.25,0.94,0.35,4.520694,4.520694,10.771938,28.35053,25.238621,
03/31/2004,295.299988,292.899994,290.0,,9.003448,1.00931,0.88,0.75,0.85,0.87,0.74,0.84,0.0,2.19,,9.293939,30.867254,28.064681,
06/30/2004,,,,,,,0.0,,,,,,0.0,,,,,,
09/30/2004,,,,,,,0.0,,,,,,0.0,,,,,,
