Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/28/1989,-3.649,4.066,1.005,,-6.297,,,,-6.297,-2.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/29/1990,26.421,3.334,0.996,,4.689,,,,4.689,17.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/28/1990,-0.178,5.399,1.182,,0.895,,,,0.895,-7.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/27/1990,8.149,5.148,1.26,,2.053,,,,2.053,-0.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/1990,1.667,4.713,1.114,,-3.028,,,,-3.028,-1.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/29/1991,67.995003,7.092,1.11,,2.543,,,,2.543,57.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/28/1991,-40.005001,7.286,1.109,,1.502,,,,1.502,-49.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/27/1991,72.589996,7.644,0.774,,-5.484,,,,-5.484,69.655998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/27/1991,-51.095001,8.429,1.138,,-14.884,,,,-14.884,-45.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/27/1992,-72.897003,11.556,1.164,,3.274,,,,3.274,-88.890999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/26/1992,-46.716,10.84,1.29,,5.464,,,,5.464,-64.309998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/25/1992,98.098999,10.197,1.398,,0.834,,,,0.834,85.669998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/24/1992,-90.806,10.333,1.37,,-18.552,,,,-18.552,-83.957001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,-50.530998,12.679,1.314,,9.733,,,,9.733,-74.257004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,115.252998,11.773,1.22,,7.099,,,,7.099,95.161003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/24/1993,-4.332,14.562,1.085,,-2.563,,,,-2.563,-17.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.332,,,
12/31/1993,11.371,13.278,1.425,,4.356,,,,4.356,-7.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,-58.359001,12.348,1.456,,0.843,,,,0.843,-73.005997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,38.756001,7.448,1.861,,-5.768,,,,-5.768,35.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,146.970001,8.995,2.269,,4.869,,,,4.869,130.837006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/30/1994,89.579002,7.891,2.432,,-19.722,,,,-19.722,98.977997,,,,,,,-3.547,,-3.547,,,,,,,,,,,,,,,,,,3.547,,,,,,,,,,,,,,,,,
03/31/1995,-35.921001,10.1,2.624,,19.124001,,,,19.124001,-67.768997,,,,,,,-1.538,,-1.538,,,,,,,,,,,,,,,,,,1.538,,,,,,,,,,,,,,,,,
06/30/1995,127.565002,13.838,2.683,,-2.189,,,,-2.189,113.233002,,,,,,,-2.301,,-2.301,,,,,,,,,,,,,,,,,,2.301,,,,,,,,,,,,,,,,,
09/29/1995,77.316002,14.312,2.168,,-6.367,,,,-6.367,67.203003,,,,,,,-2.26,,-2.26,,,,,,,,,,,,,,,,,,2.26,,,,,,,,,,,,,,,,,
12/29/1995,254.158005,12.541,2.864,,-0.905,,,,-0.905,239.658005,,,,,,,-1.374,,-1.374,,,,,,,,,,,,,,,,,,1.374,,,,,,,,,,,,,,,,,
