Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Discontinued Operations,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1989,1935.489014,29.733999,29.733999,0.0,412.998993,,,632.119019,,,,,0.0,,,1074.852051,122.986,,,0.0,737.651001,,,,,,,737.651001,860.637001,,376.812012,376.812012,,,,907.353027,,,,0.0,,,0.0,1284.165039,138.050003,,,,77.043999,,,,77.043999,215.094002,1499.259041,0.0,5.259,,,0.0,,430.971008,436.230008,,436.230008,1935.489049,
09/30/1989,2064.266113,64.575996,64.575996,0.0,464.615997,,,672.742981,,,,,0.0,,,1201.935059,128.339005,,,0.0,733.992004,,,,,,,733.992004,862.331009,,424.378998,424.378998,,,,972.924988,,,,-3.1e-05,,,-3.1e-05,1397.303955,138.964005,,,,74.996002,,,,74.996002,213.960007,1611.263962,0.0,8.489,,,0.0,,444.513,453.002001,,453.002001,2064.265963,
12/31/1989,2058.523926,42.928001,42.928001,0.0,521.953979,,,678.302979,,,,,0.0,,,1243.185059,131.315002,,,0.0,684.023987,,,,,,,684.023987,815.338989,,424.25,424.25,,,,964.838013,,,,0.0,,,0.0,1389.088013,139.048004,,,,59.009998,,,,59.009998,198.058002,1587.146015,0.0,13.513,,,0.0,,457.86499,471.37799,,471.37799,2058.524005,
03/31/1990,2045.140991,26.243999,26.243999,0.0,517.692017,,,683.921997,,,,,0.0,,,1227.858032,138.548996,211.192993,-72.643997,0.0,678.734009,,,,,,,678.734009,817.283005,,469.681,469.681,,,,895.93103,,,,3.1e-05,,,3.1e-05,1365.612061,136.186996,,,,58.328999,,,,58.328999,194.515995,1560.128056,0.0,13.629,,,0.0,,471.384003,485.013003,0.0,485.013003,2045.141059,
06/30/1990,2131.174072,32.733002,32.733002,0.0,567.606018,,,729.422974,,,,,0.0,,,1329.761963,181.979996,,,0.0,619.432007,,,,,,,619.432007,801.412003,,483.231995,483.231995,,,,944.156006,,,,-6.1e-05,,,-6.1e-05,1427.387939,140.841995,,,,61.187,,,,61.187,202.028996,1629.416935,0.0,16.021999,,,0.0,,485.734985,501.756985,,501.756985,2131.17392,
09/30/1990,2163.629883,28.652,28.652,0.0,602.119019,,,731.58197,,,,,0.0,,,1362.353027,180.828995,,,0.0,620.447998,,,,,,,620.447998,801.276993,,495.300995,495.300995,,,,961.148987,,,,-3.1e-05,,,-3.1e-05,1456.449951,138.794998,,,,58.772999,,,,58.772999,197.567997,1654.017948,0.0,11.392,,,0.0,,498.220001,509.612001,,509.612001,2163.62995,
12/31/1990,2112.256104,29.471001,29.471001,0.0,547.380981,,,740.981995,,,,,0.0,,,1317.833984,179.871994,,,0.0,614.549988,,,,,,,614.549988,794.421982,,462.122986,462.122986,,,,926.937988,,,,6.1e-05,,,6.1e-05,1389.061035,137.220001,,,,70.073997,,,,70.073997,207.293999,1596.355034,0.0,11.473,,,0.0,,504.428009,515.901009,0.0,515.901009,2112.256042,
03/31/1991,2032.08606,40.902,40.902,0.0,523.606995,,,711.724976,,,,,0.0,,,1276.234009,176.574997,264.536011,-87.960999,0.0,579.276978,,,,,,,579.276978,755.851975,,439.863007,439.863007,,,,861.426025,,,,-9.2e-05,,,-9.2e-05,1301.28894,132.992996,,,,79.425003,,,,79.425003,212.417999,1513.706939,0.0,11.826,,,0.0,,506.553009,518.379009,0.0,518.379009,2032.085948,
06/30/1991,2010.88501,53.682999,53.682999,0.0,620.60199,,,716.057983,,,,,0.0,,,1390.343018,175.498001,,,0.0,445.044006,,,,,,,445.044006,620.542007,,462.066986,462.066986,,,,714.612976,,,,9.2e-05,,,9.2e-05,1176.680054,237.494995,,,,74.113998,,,,74.113998,311.608994,1488.289047,0.0,12.363,,,0.0,,510.233002,522.596002,0.0,522.596002,2010.885049,
09/30/1991,1925.870972,52.148998,52.148998,0.0,579.247986,,,714.067017,,,,,0.0,,,1345.463989,175.597,,,0.0,404.809998,,,,,,,404.809998,580.406998,,456.287994,456.287994,,,,638.028015,,,,3.1e-05,,,3.1e-05,1094.31604,232.473999,,,,71.098,,,,71.098,303.571999,1397.888039,0.0,10.62,,,0.0,,517.362976,527.982976,0.0,527.982976,1925.871015,
12/31/1991,2010.812012,59.464001,59.464001,0.0,634.502014,,,753.359009,,,,,0.0,,,1447.324951,178.005005,,,0.0,385.481995,,,,,,,385.481995,563.487,,463.808014,463.808014,,,,709.249023,,,,-3.1e-05,,,-3.1e-05,1173.057007,232.550003,,,,67.971001,,,,67.971001,300.521004,1473.578011,0.0,12.108,,,0.0,,525.125977,537.233976,0.0,537.233976,2010.811987,
03/31/1992,2347.451904,272.375999,70.349998,202.026001,792.890015,,,760.525024,,,,,0.0,,,1825.791016,177.475006,272.929993,-95.455002,0.0,344.186005,,,,,,,344.186005,521.661011,,449.803986,449.803986,,,,1050.667969,,,,9.1e-05,,,9.1e-05,1500.472046,225.910004,,,,70.874001,,,,70.874001,296.784005,1797.256051,0.0,18.124001,,,0.0,,532.072021,550.196022,,550.196022,2347.452073,
