Date,Revenue,Rental Income,Base Rent,Recoveries from Tenants,Percentage Rent,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,Impairment of Assets,Impairment from Affiliates,Disposal of Con Assets,Disposal of Uncon Assets,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Amortization of Financing Costs,Accounting Adjustments,Tenant Improv & Leasing Com,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1994,17.938999,17.254999,,,,,,0.528,0.0,0.156,-10.993,6.423,0.116,4.454,0.0,,0.0,6.946,-6.913,6.904,,0.009,0.033,0.0,,,,0.0,,,0.033,,-0.371,,,-0.371,-0.371,,15.526829,-0.027775,-0.027775,-0.027775,15.526829,-0.027775,-0.027775,-0.027775,,,,,,,,,,,,,,,,,,,,,0.0,,,,
06/30/1994,20.518,20.024,,,,,,0.0,0.0,0.494,-12.74,6.868,0.391,5.481,0.0,,0.0,7.778,-3.067,3.976,,-0.909,4.711,0.0,,,,0.0,,,4.711,,2.647,,,2.647,2.647,,15.526829,0.166647,0.166647,0.166647,15.526829,0.166647,0.166647,0.166647,,,,,,,,,,,,,,,,,,,,,0.064807,,,,
09/30/1994,22.909,22.764999,,,,,,0.0,0.0,0.144,-13.892,6.915,0.471,6.506,0.0,,0.0,9.017,-7.39,5.43,,1.96,1.627,0.0,,,,0.0,,,1.627,,2.48,,,2.48,2.48,,15.526829,0.157389,0.157389,0.157389,15.526829,0.157389,0.157389,0.157389,,,,,,,,,,,,,,,,,,,,,0.370327,,,,
12/31/1994,24.893,24.767,,,,,,0.0,0.0,0.126,-14.413,7.818,0.567,6.028,0.0,,0.0,10.48,-2.321,5.927,,-3.606,8.159,0.0,,,,0.0,,,8.159,,2.982,,,2.982,2.982,,15.627281,0.194422,0.194422,0.194422,15.627281,0.194422,0.194422,0.194422,,,,,,,,,,,,,,,,,,,,,0.370327,,,,
03/31/1995,23.094999,22.985001,,,,,,0.0,0.0,0.11,-14.031,7.222,0.659,6.15,0.0,,0.0,9.064,-4.932,5.77,,-0.838,4.132,0.0,,,,0.0,,,4.132,,2.304,,,2.304,2.304,,15.526829,0.148131,0.148131,0.148131,15.526829,0.148131,0.148131,0.148131,,,,,,,,,,10.698,,10.698,,,,,,10.698,0.689001,0.689001,0.370327,53.748365,53.748365,53.748364,
06/30/1995,24.066999,23.934999,,,,,,0.0,0.0,0.132,-14.039,7.376,0.539,6.124,0.0,,0.0,10.028,-4.962,5.75,,-0.788,5.066,0.0,,,,1.299,,,3.767,,2.101,,,2.101,2.101,,15.526829,0.138873,0.222196,0.222196,15.526829,0.138873,0.222196,0.222196,,,,,,,,,,10.606,,10.606,,,,,,10.606,0.683076,0.683076,0.388843,56.925324,56.925324,56.930041,
09/30/1995,26.291,26.045,,,,,,0.0,0.0,0.246,-15.32,8.347,0.495,6.478,0.0,,0.0,10.971,-5.905,6.674,,-0.769,5.066,0.0,,,,0.0,,,5.066,,2.821,,,2.821,2.821,,15.527909,0.185163,0.185163,0.185163,15.527909,0.185163,0.185163,0.185163,,,,,,,,,,11.09,,11.09,,,,,,11.09,0.714198,0.714198,0.388843,54.444724,54.444724,54.445447,
12/31/1995,29.016001,28.063,,,,,,0.0,0.0,0.953,-15.95,8.635,0.318,6.997,0.0,,0.0,13.066,-6.482,7.337,,-0.855,6.584,0.0,,,,0.0,,,6.584,,4.077,,,4.077,4.077,,20.304232,0.20368,0.20368,0.20368,20.304232,0.20368,0.20368,0.20368,,,,,,,,,,12.544,,12.544,,,,,,12.544,0.617802,0.617802,0.388843,62.939733,62.939733,66.884571,
03/31/1996,35.292999,34.731998,,,,,,0.0,0.0,0.561,-19.568,11.028,0.789,7.751,0.0,,0.0,15.724999,-8.66,9.841,,-1.181,7.065,0.0,,,,0.0,,,7.065,,4.401,,,-0.524,-0.524,,21.578782,0.20368,0.20368,0.20368,21.578782,0.20368,0.20368,0.20368,,,,,,,,,,14.564,,14.564,,,,,,14.564,0.674922,0.674922,0.388843,57.613018,57.613018,57.614664,
06/30/1996,37.777,37.580002,,,,,,0.0,0.0,0.197,-21.274,12.767,0.607,7.9,0.0,,0.0,16.503,-9.578,10.518,,-0.94,6.925,0.0,,,,0.0,,,6.925,,4.312,,,-0.717,-0.717,,21.596063,0.20368,0.20368,0.20368,21.596063,0.20368,0.20368,0.20368,,,,,,,,,,14.955,,14.955,,,,,,14.955,0.692487,0.692487,0.388843,56.151652,56.151652,56.155131,
