Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
11/30/2001,1362.156006,15.427,15.427,0.0,300.417999,,,224.884003,84.377998,23.313999,117.192001,0.0,47.095001,,,,587.823975,254.462006,520.905029,-266.442993,0.0,519.869995,470.455994,336.648987,133.807007,,49.414001,774.332001,,104.112999,104.112999,,,,272.337006,,,,,,117.792,,,117.792,494.242004,371.315002,,,,,119.865997,,,,,119.865997,491.181,985.423004,0.0,394.959991,,,0.0,,-18.226999,376.732992,0.0,376.732992,1362.155996,
02/28/2002,1340.836,1.225,1.225,0.0,311.418,311.418,,214.902,78.434,22.612,113.856,0.0,44.077,,,,571.622,248.978,525.443,-276.465,0.0,520.236,471.092,335.932,135.16,,49.144,769.214,,124.377,124.377,,,,135.039,,,,,,112.146,,,112.146,371.562,473.69,,,,,115.925,,,,,115.925,589.615,961.177,0.0,395.362,,,0.0,4.361,-20.064,379.659,0.0,379.659,1340.836,
05/31/2002,1333.352,0.976,0.976,0.0,313.16,313.16,,213.985,78.388,24.106,111.491,0.0,36.585,,,,564.706,242.966,517.401,-274.435,0.0,525.68,471.009,336.955,134.054,,54.671,768.646,,136.495,136.495,,,,146.324,,,,,,115.314,,,115.314,398.133,429.251,,,,,115.327,,,,,115.327,544.578,942.711,0.0,395.777,,,0.0,12.73,-17.866,390.641,0.0,390.641,1333.352,
08/31/2002,1357.954,2.694,2.694,0.0,322.735,,,216.942,97.036,19.884,108.659,0.0,48.626,,,,590.997,240.679,516.24,-275.561,0.0,526.278,477.248,344.218,133.03,,49.03,766.957,,161.713,161.713,,,,132.491,,,,,,136.603,,,136.603,430.807,410.63,,,,,114.565,,,,,114.565,525.195,956.002,0.0,403.803,,,0.0,21.884,-23.735,401.952,0.0,401.952,1357.954,
11/30/2002,1337.777954,4.674,4.674,0.0,307.825989,307.825989,,216.459,98.348,19.867001,113.156998,0.0,50.179001,,,,579.138,235.557999,520.094971,-284.536987,0.0,523.08197,476.372986,344.153992,132.218994,,46.708984,758.639969,,149.507004,149.507004,,,,153.404999,,,,,,122.07399,,,122.07399,424.985992,390.45401,,,,,116.899002,,,,,116.899002,507.353012,932.339005,0.0,404.408997,,,0.0,26.158001,-25.128001,405.438997,0.0,405.438997,1337.778001,
02/28/2003,1317.175,9.47,9.47,0.0,311.289,311.289,,196.966,87.22,18.62,102.522,-11.396,53.33,,,,571.055,228.575,521.803,-293.228,0.0,517.545,476.575,345.152,131.423,,40.97,746.12,,157.451,157.451,,,,127.53,,,,,,120.055,,,120.055,405.036,392.086,,,,,111.653,,,,,111.653,503.739,908.775,0.0,404.898,,,0.0,27.618,-24.116,408.4,0.0,408.4,1317.175,
05/31/2003,1330.752,10.414,10.414,0.0,319.486,319.486,,196.249,82.594,21.091,105.67,-13.106,57.236,,,,583.385,226.401,531.287,-304.886,0.0,520.966,477.695,347.055,130.64,,43.271,747.367,,156.013,156.013,,,,102.328,,,,,,137.47,,,137.47,395.811,392.077,,,,,114.36,,,,,114.36,506.437,902.248,0.0,405.799,,,0.0,36.714,-14.009,428.504,0.0,428.504,1330.752,
08/31/2003,1284.113,16.053,16.053,0.0,302.276,302.276,,188.799,74.091,22.201,104.932,0.0,51.424,,,,558.552,222.558,529.583,-307.025,0.0,503.003,471.413,341.57,129.843,,31.59,725.561,,165.656,165.656,,,,54.339,,,,,,139.456,,,139.456,359.451,391.469,,,,,124.899,,,,,124.899,516.368,875.819,0.0,408.038,,,0.0,44.755,-44.499,408.294,0.0,408.294,1284.113,
11/30/2003,1305.182,13.056,13.056,0.0,308.926,308.926,,202.377,75.165,24.903,114.315,0.0,54.166,,,,578.525,220.302,535.643,-315.341,0.0,506.355,476.528,347.481,129.047,,29.827,726.657,,153.562,153.562,,,,58.398,,,,,,147.858,,,147.858,359.818,391.356,,,,,132.188,,,,,132.188,523.544,883.362,0.0,410.271,,,0.0,51.407,-39.858,421.82,0.0,421.82,1305.182,
02/29/2004,1290.246,7.499,7.499,,293.877,293.877,,201.563,77.044,26.314,109.234,-11.029,62.333,,,,565.272,219.828,539.0,-319.172,,505.146,490.915,348.014,142.901,,14.231,724.974,,159.247,159.247,,,,46.655,,,,,,126.052,,,126.052,331.954,390.83,,,,,133.369,,,,,133.369,524.199,856.153,,426.835,,,,54.556,-47.298,434.093,,434.093,1290.246,
