Date,Cash From Operating Activities,Net Income,Depreciation Expense,Amortization - Nuclear Fuel,AFC - Debts & Equity,Deferred Income Taxes,Investment Tax Credits,Other Non-Cash Adjustments,Changes In Restricted Bond Proceeds,Accts Receivable & Unbilled Revenue,Changes in Fossil Fuel,Change In Inventories,Prepayments & Others,Accounts Payable & Accruals,Accrued Taxes,Change in Other Working Capital,Cash From Investing Activities,Additions to Utility Plant Less AFC,Changes in Decommissioning Funds,Non-Utility Cap Expenditure,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/1990,106.900002,33.299999,56.5,,-0.9,-13.6,,-1.9,0,35.400002,,-30.6,0.0,-25.4,31.9,22.200001,,,,,,0.0,,,,,,,,,,0.0,,,,
06/30/1990,74.900002,47.900002,51.200001,,-1.1,23.200001,,-13.4,0,-29.9,,8.7,0.0,14.0,-5.1,-20.6,,,,,,0.0,,,,,,,,,,0.0,,,,
09/30/1990,143.800003,62.299999,57.400002,,-0.9,-2.0,,2.4,0,-35.400002,,4.0,0.0,11.4,11.0,33.599998,,,,,,0.0,,,,,,,,,,0.0,,,,
12/31/1990,70.0,38.099998,42.299999,,-1.3,-2.4,,36.099998,0,41.5,,-11.5,0.0,-27.9,-37.799999,-7.1,,,,,,0.0,,,,,,,,,,0.0,,,,
03/31/1991,134.0,37.200001,67.300003,,-1.6,-12.4,,7.9,0,-1.8,,-0.9,0.0,-12.2,35.099998,15.4,,,,,,0.0,,,,,,,,,,0.0,,,,
06/30/1991,112.099998,47.299999,66.900002,,-2.1,-0.3,,-0.8,0,-25.6,,6.6,0.0,12.9,4.7,2.5,,,,,,0.0,,,,,,,,,,0.0,,,,
09/30/1991,194.600006,75.699997,68.900002,,-2.7,-5.7,,10.2,0,-19.0,,13.6,0.0,4.0,33.5,16.1,,,,,,0.0,,,,,,,,,,0.0,,,,
12/31/1991,105.5,28.700001,63.200001,,-3.0,-4.2,,11.0,0,41.700001,,2.2,0.0,13.1,-73.300003,26.1,,,,,,0.0,,,,,,,,,,0.0,,,,
03/31/1992,132.300003,34.299999,71.300003,,-4.2,-14.9,,2.2,0,12.5,,-11.0,0.0,-14.2,34.5,21.799999,,,,,,0.0,,,,,,,,,,0.0,,,,
06/30/1992,57.700001,39.099998,63.5,,-0.1,14.0,,-0.8,0,-16.5,,-2.2,0.0,22.9,-18.9,-43.299999,,,,,,0.0,,,,,,,,,,0.0,,,,
09/30/1992,115.5,78.800003,71.400002,,-9.5,10.7,,2.4,0,-23.799999,,9.7,0.0,-26.799999,27.799999,-25.200001,,,,,,0.0,,,,,,,,,,0.0,,,,
12/31/1992,76.599998,40.200001,62.5,,-4.9,-27.200001,,15.2,0,9.2,,-33.299999,0.0,32.299999,-43.400002,26.0,,,,,,0.0,,,,,,,,,,0.0,,,76.599998,
03/31/1993,118.599998,38.299999,71.199997,,-4.7,2.6,,-2.0,0,20.0,,20.1,0.0,-13.7,-2.9,-10.3,,,,,,0.0,,,,,,,,,,0.0,,,,
06/30/1993,99.599998,46.200001,72.800003,,-3.9,-3.7,,12.5,0,-29.0,,-7.1,0.0,12.2,10.7,-11.1,,,,,,0.0,,,,,,,,,,0.0,,,,
09/30/1993,189.5,85.199997,76.900002,,-4.3,-14.0,,10.3,0,-42.299999,,16.299999,0.0,-7.0,61.599998,6.8,,,,,,0.0,,,,,,,,,,0.0,,,,
12/31/1993,101.300003,40.299999,79.0,,-2.7,-34.0,,18.499999,0,25.200001,,-17.1,0.0,26.200001,-65.699997,31.6,,,,,,0.0,,,,,,,,,,0.0,,,101.300003,
03/31/1994,133.5,38.299999,81.300003,,-2.6,-17.799999,,35.5,0,19.799999,,-8.8,0.0,-39.0,,26.799999,,,,,,0.0,,,,,,,,,,0.0,,,,
06/30/1994,96.699997,55.400002,75.0,,-2.9,7.4,,8.2,0,-37.0,,-3.4,0.0,79.800003,,-85.800003,,,,,,0.0,,,,,,,,,,0.0,,,,
09/30/1994,169.800003,77.699997,81.0,,-2.8,-30.200001,,25.799999,0,-23.299999,,10.4,0.0,-30.5,,61.700001,,,,,,0.0,,,,,,,,,,0.0,,,,
12/31/1994,137.800003,50.700001,84.400002,,-2.6,8.3,,5.6,0,23.1,,-8.3,0.0,-14.5,,-8.9,,,,,,0.0,,,,,,,,,,0.0,,,137.800003,
03/31/1995,187.399994,49.099998,86.699997,,-2.2,-13.0,,19.9,0,11.7,,-7.3,0.0,-1.2,32.299999,11.4,,-59.200001,0.0,-12.5,,-71.699997,,,,,,,,,,0.0,,,,
06/30/1995,99.199997,57.599998,86.599998,,-1.6,-37.599998,,14.0,0,-42.900002,,-11.3,0.0,8.8,32.200001,-6.6,,-66.099998,0.0,-9.0,,-75.099998,,,,,,,,,,0.0,,,,
09/30/1995,215.899994,93.5,92.599998,,-1.8,-22.6,,22.6,0,-43.099998,,18.6,0.0,8.4,36.0,11.7,,-56.099998,0.0,-8.8,,-64.900002,,,,,,,,,,0.0,,,,
12/31/1995,66.707001,48.400002,93.199997,,-1.674,-6.8,,3.881,0,30.0,,-29.799999,0.0,3.4,-100.5,26.6,,-102.0,0.0,-18.207001,,-120.207001,,,,-120.207001,,,,,,0.0,,,-53.5,
03/31/1996,182.0,50.599998,89.5,,-1.7,-9.3,,24.0,0,12.0,,2.3,0.0,-14.8,49.099998,-19.700001,,-58.599998,0.0,-12.2,,-70.800003,,,,,,,,,,0.0,,,,
06/30/1996,107.400002,35.799999,98.099998,,-1.9,-17.0,,33.099998,0,-3.5,,-33.799999,0.0,36.200001,10.3,-49.900002,,-52.700001,0.0,-5.8,,-58.5,,,,,,,,,,0.0,,,,
09/30/1996,250.199997,98.900002,87.5,,-1.9,-10.9,,0.7,0,-16.1,,13.6,0.0,-0.1,53.5,25.0,,-46.200001,0.0,-13.9,,-60.099998,,,,,,,,,,0.0,,,,
12/31/1996,25.299999,44.900002,91.599998,,-2.0,-19.4,,3.0,0,43.0,,7.0,0.0,0.3,-91.900002,-51.200001,,-59.799999,0.0,-17.700001,,-77.5,,,,-77.5,,,,,,18.5,,,-52.200001,
03/31/1997,88.800003,42.400002,83.199997,,-2.1,-12.3,,18.9,0,-15.5,,-25.0,0.0,-4.0,28.4,-25.200001,,-81.199997,0.0,-12.8,2.2,-94.0,-4.5,0.0,-14.2,-110.5,33.0,-51.400002,51.799999,54.599998,-21.5,0.0,0.0,-0.5,11.3,
06/30/1997,105.699997,-37.799999,83.099998,,-2.3,-36.5,,163.899994,0,-43.900002,,-5.0,0.0,25.799999,-7.1,-34.5,,-70.599998,0.0,-22.200001,2.0,-92.800003,0.0,16.299999,-22.4,-96.900002,-6.2,-51.299999,38.299999,7.1,-0.7,0.0,0.0,0.4,2.6,
09/30/1997,193.600006,102.300003,88.599998,,-2.5,12.6,,-46.599998,0,-32.299999,,13.5,0.0,5.5,47.799999,4.7,,-78.400002,0.0,-20.799999,4.4,-99.199997,-14.2,0.0,-472.399994,-581.400024,383.899994,-51.299999,-70.5,516.599976,-12.0,0.0,0.0,1.1,-3.9,
12/31/1997,51.700001,-75.199997,109.300003,,-2.8,5.5,,74.899991,0,-16.6,,18.700001,,31.0,-116.199997,23.1,,-157.0,0.0,-66.300003,11.1,-223.300003,-16.299999,7.7,-16.799999,-237.600006,173.800003,-51.299999,321.799988,0.0,-96.199997,0.0,0.0,-0.5,-12.1,
03/31/1998,152.300003,50.900002,100.900002,,-3.9,-7.3,,1.1,0,10.2,,3.1,0.0,-33.0,50.400002,-20.1,,-65.5,0.0,-35.799999,2.1,-101.300003,-7.7,0.0,-14.8,-121.699997,-25.5,-52.299999,52.700001,144.100006,-169.399994,0.0,0.0,-0.6,5.1,
06/30/1998,227.699997,78.199997,108.0,,-0.2,-19.799999,,2.4,0,-38.099998,,14.9,0.0,17.799999,-7.4,71.900002,,-147.5,0.0,,4.6,-147.5,,0.0,-137.800003,-280.700012,54.299999,-51.599998,62.900002,45.0,-0.7,0.0,0.0,-1.3,1.3,
09/30/1998,288.0,117.300003,109.099998,,4.1,103.900002,,2.7,0,-10.5,,14.0,0.0,-44.400002,16.299999,-24.5,,-142.899994,0.0,,155.600006,-142.899994,,0.6,-78.199997,-64.900002,-211.5,-53.099998,-147.199997,0.0,-10.8,0.0,0.0,-0.4,11.6,
12/31/1998,200.5,36.099998,106.599998,,-16.9,-32.0,,14.3,0,35.900002,,19.1,0.0,77.400002,-67.5,27.5,,-178.0,0.0,,67.099998,-178.0,,7.1,-105.099998,-208.899994,-10.2,-50.799999,53.0,70.0,-94.199997,12.7,0.0,-0.9,-18.6,
03/31/1999,74.699997,67.599998,100.5,,,-6.4,,13.3,0,6.9,,-32.799999,0.0,-94.699997,20.799999,-0.5,,-100.699997,0.0,0.0,0.0,-100.699997,0.0,0.0,-11.8,-112.5,37.0,-53.299999,74.599998,50.0,-51.900002,18.1,0.0,-0.5,-0.8,
06/30/1999,167.800003,81.199997,115.699997,,,-15.9,,-13.8,0,-20.6,,-56.400002,0.0,15.6,86.199997,-24.200001,,-179.199997,0.0,0.0,0.0,-179.199997,0.0,0.0,43.0,-136.199997,-26.200001,-58.0,-281.100006,0.0,-0.9,314.299988,0.0,-0.5,5.4,
09/30/1999,287.200012,142.600006,110.699997,,,-12.9,,9.1,0,-57.200001,,6.6,0.0,51.299999,41.700001,-4.7,,-137.300003,0.0,0.0,0.0,-137.300003,0.0,0.0,-4.5,-141.800003,-141.199997,-59.0,-29.700001,0.0,-62.299999,10.8,0.0,-1.0,4.2,
12/31/1999,157.399994,38.700001,119.300003,,,-3.2,,10.2,0,54.0,,-0.2,-22.4,46.099998,-132.699997,62.799999,,-156.800003,0.0,0.0,29.1,-156.800003,0.0,0.0,-94.099998,-221.800003,62.700001,-58.900002,136.600006,0.0,-29.299999,0.0,0.0,-0.9,-1.7,
