Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1989,697.723022,4.161,4.161,0.0,95.572998,,,56.014,,,,,62.356998,,,,218.104996,82.599998,186.766998,-104.167,0.0,397.018005,,,,,397.018005,479.618004,,21.483999,21.483999,,,,33.417999,,,,,,101.432001,,,101.432001,156.334,20.898001,,,,,147.598999,,,,,,147.598999,168.497,324.830999,0.0,18.653999,,,,,354.238007,372.892006,0.0,372.892006,697.723005,
12/31/1989,696.671021,2.049,2.049,0.0,102.795998,,,61.914001,,,,,62.054001,,,,228.813004,83.143997,189.524994,-106.380997,0.0,384.713989,,,,,384.713989,467.857986,,25.034,25.034,,,,59.616001,,,,,,87.293999,,,87.293999,171.944,0.839,,,,,146.156998,,,,,,146.156998,146.995998,318.939998,0.0,18.591,,,,,359.140015,377.731014,0.0,377.731014,696.671012,
03/31/1990,692.79303,1.76,1.76,0.0,103.900002,,,60.692001,,,,,60.063,,,,226.414993,82.783997,190.841995,-108.057999,0.0,383.593994,,,,,383.593994,466.377991,,26.354,26.354,,,,60.534,,,,,,81.841003,,,81.841003,168.729004,0.859,,,,,149.522003,,,,,,149.522003,150.381003,319.110007,0.0,18.392,,,,,355.290985,373.682985,0.0,373.682985,692.792992,
06/30/1990,616.830017,4.535,4.535,0.0,82.572998,,,65.183998,,,,,48.846001,,,,201.138,78.080002,176.154007,-98.073997,0.0,337.612,,,,,337.612,415.692002,,35.284,35.284,,,,71.737,,,,,,79.238995,,,79.238995,186.259995,0.273,,,,,120.585999,,,,,,120.585999,120.858999,307.118994,0.0,18.021,,,,,291.690002,309.711002,0.0,309.711002,616.829996,
09/30/1990,707.799011,13.031,13.031,0.0,113.112,,,74.954002,,,,,201.800995,,,,402.89801,77.216003,175.841995,-98.625999,0.0,227.684998,,,,,227.684998,304.901001,,34.044998,34.044998,,,,35.598,,,,,,168.631996,,,168.631996,238.274994,0.266,,,,,137.389999,,,,,,137.389999,137.655999,375.930993,0.0,16.811001,,,,,315.057007,331.868008,0.0,331.868008,707.799001,
12/31/1990,672.536011,0.901,0.901,0.0,100.953003,,,76.308998,,,,,201.645996,,,,379.80899,77.481003,177.304001,-99.822998,0.0,215.246002,,,,,215.246002,292.727005,,28.569,28.569,,,,52.060001,,,,,,123.833004,,,123.833004,204.462006,0.674,,,,,127.903,,,,,,127.903,128.577,333.039006,0.0,16.819,,,,,322.678009,339.497009,0.0,339.497009,672.536015,
03/31/1991,656.98999,0.44,0.44,0.0,105.416,,,70.425003,,,,,195.356995,,,,371.638,76.780998,175.811996,-99.030998,0.0,208.570999,,,,,208.570999,285.351997,,25.725,25.725,,,,45.049,,,,,,110.755999,,,110.755999,181.529999,0.667,,,,,131.990997,,,,,,131.990997,132.657997,314.187996,0.0,16.825001,,,,,325.97699,342.801991,0.0,342.801991,656.989987,
06/30/1991,594.315002,128.149997,104.516998,23.632999,84.475998,,,54.692001,,,,,41.852001,,,,309.170013,65.997002,156.550003,-90.553001,0.0,219.147995,,,,,219.147995,285.144997,,39.591,39.591,,,,17.947001,,,,,,90.314996,,,90.314996,147.852997,0.0,,,,,103.777,,,,,,103.777,103.777,251.629997,0.0,16.676001,,,,,326.009003,342.685004,0.0,342.685004,594.315001,
09/30/1991,580.38501,103.712997,57.425999,46.286999,88.636002,,,42.957001,,,,,58.631001,,,,293.937012,65.587997,158.447006,-92.859001,0.0,220.860001,,,,,220.860001,286.447998,,26.077999,26.077999,,,,0.0,,,,,,94.823002,,,94.823002,120.901001,0.0,,,,,121.748001,,,,,,121.748001,121.748001,242.649002,0.0,16.504,,,,,321.231995,337.735994,0.0,337.735994,580.384996,
12/31/1991,615.203003,96.965,37.074001,59.890999,92.334,,,36.951,,,,,46.358002,,,,272.608002,63.738998,157.792999,-94.054001,0.0,278.855988,,,,,278.855988,342.594986,,25.384001,25.384001,,,,45.0,,,,,,93.949999,,,93.949999,164.334,0.0,,,,,119.200996,,,,,,119.200996,119.200996,283.534996,0.0,16.188999,,,,,315.479004,331.668003,0.0,331.668003,615.202999,
