Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Discontinued Operations,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1999,2428.618896,46.855,46.855,0.0,197.630997,,,152.815002,130.990997,,56.749001,-23.066,16.035,,,,,413.335999,1916.517944,2706.645996,-790.127991,0.994,,97.771004,1.649,,,96.122004,2015.282948,,117.934998,117.934998,,,,7.703,,,,,,95.899997,,,,95.899997,221.537994,1677.765015,,,,,91.054001,,,,91.054001,1768.819016,1990.35701,96.5,337.744995,,,0.0,,4.017,438.261995,0.0,438.261995,2428.619005,
09/30/1999,2425.839111,31.200001,31.200001,0.0,213.151993,,,155.427994,117.046997,,62.138,-23.757,19.246,,,,,419.026001,1906.92395,2724.842041,-817.91803,0.659,,99.230003,1.588,,,97.642003,2006.812954,,100.046997,100.046997,,,,8.196,,,,,,107.846007,,,,107.846007,216.089005,1652.208984,,,,,103.320999,,,,103.320999,1755.529984,1971.618988,96.5,342.596008,,,0.0,,15.124,454.220008,0.0,454.220008,2425.838996,
12/31/1999,2153.208008,10.3,10.3,0.0,208.356003,,,163.858002,124.486,5.021,56.049,-21.698,20.413,,,,,402.927002,1662.605957,2505.137939,-842.531982,,,87.675003,1.532,,,86.143003,1750.28096,,127.364998,127.364998,,,,0.829,,,,,,99.276003,,,,99.276003,227.470001,1329.202026,,,,,77.315002,,,,77.315002,1406.517029,1633.98703,102.522003,385.494995,,,0.0,,31.204,519.220999,0.0,519.220999,2153.208029,
03/31/2000,2156.855957,24.284,24.284,0.0,218.729004,,,160.345993,122.502998,5.235,56.946999,-24.339001,19.034,,,,,422.393005,1634.421021,2505.23291,-870.812012,,,100.042,1.475,,,98.567,1734.46302,,114.463997,114.463997,,,,0.07,,,,,,88.374008,,,,88.374008,202.908005,1316.213013,,,,,88.299004,,,,88.299004,1404.512016,1607.420021,0.0,511.622986,,,0.0,,37.813,549.435986,0.0,549.435986,2156.856007,
06/30/2000,2154.759033,4.377,4.377,0.0,229.376007,,,155.244003,120.723,5.179,58.132,-28.790001,25.702,,,,,414.699005,1638.439941,2540.456055,-902.015991,,,101.620003,1.419,,,100.201003,1740.059944,,110.041,110.041,,,,42.111,,,,,,80.247002,,,,80.247002,232.399002,1233.113037,,,,,106.697998,,,,106.697998,1339.811035,1572.210037,0.0,511.459015,,,0.0,,71.089996,582.549011,0.0,582.549011,2154.759048,
09/30/2000,2164.676,36.673,36.673,0.0,227.227,227.227,,159.555,120.455,5.982,52.857,0.0,12.636,,,,,436.091,1630.266,2559.759,-929.493,,,98.319,1.362,,,96.957,1728.585,,109.576,109.576,,,,12.362,,,,,,126.367,,,,126.367,248.305,1194.042,,,,,99.174,,,,99.174,1293.216,1541.521,0.0,512.37,,,-0.314,111.099,0.0,623.155,0.0,623.155,2164.676,
12/31/2000,1942.112061,7.892,7.892,0.0,215.389008,,,159.712006,122.477997,5.908,56.157001,-24.830999,20.716,,,,,403.709015,1455.98999,2410.975098,-954.984985,,,82.413002,1.758,,,80.655002,1538.402992,,113.700996,113.700996,,,,0.239,,,,,,104.608008,,,,104.608008,218.548004,869.174988,,,,,166.964996,,,,166.964996,1036.139984,1254.687988,0.0,513.27002,,,-0.314,,174.468007,687.424026,0.0,687.424026,1942.112015,
03/31/2001,1946.822998,46.271,46.271,0.0,203.979004,,,153.259003,117.545998,6.083,54.567001,-24.937,19.673,,,,,423.182007,1443.155029,,,,,80.486,1.701,,,78.785,1523.641029,,100.195999,100.195999,,,,0.07,,,,,,94.066002,,,,94.066002,194.332001,858.184998,,,,,178.656998,,,,178.656998,1036.841995,1231.173996,0.0,514.732971,,,-0.314,,201.23,715.648972,0.0,715.648972,1946.822968,
06/30/2001,1934.781982,15.689,15.689,0.0,208.604996,,,152.188004,115.219002,7.061,52.891998,-22.983999,28.299,,,,,404.781006,1450.026001,,,,,79.974998,3.748,,,76.226999,1530.000999,,101.719002,101.719002,,,,0.07,,,,,,81.229995,,,,81.229995,183.018997,816.195984,,,,,191.587997,,,,191.587997,1007.783981,1190.802979,0.0,512.203003,,,-0.314,,232.090001,743.979004,0.0,743.979004,1934.781982,
09/30/2001,2002.909,65.297,65.297,0.0,222.652,222.652,,157.354,121.776,6.66,52.618,-23.7,28.194,,,,,473.497,1452.62,,,,,76.792,3.681,,,73.111,1529.412,,113.986,113.986,,,,0.07,,,,,,118.447,,,,118.447,232.503,816.136,,,,,207.217,,,,207.217,1023.353,1255.856,0.0,494.354,,,-6.361,262.5,-3.44,747.053,0.0,747.053,2002.909,
