Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Other Electric Revenue,Revenue from Gas,Revenue from Water,Other Revenue,Intracompany Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,355.493988,342.589996,,,,0.0,0.0,12.904,,-68.185997,68.185999,53.660999,14.525,0.0,,287.307991,-190.305,92.608002,53.27,44.426998,,97.002991,-57.750992,,,1.405,,86.576001,83.581001,-3.027,6.022,-27.420009,39.251999,-15.496,20.945999,0.0,,,23.755999,0.0,20.945999,-7.87,,13.075999,13.075999,,86.733002,0.15,0.15,0.15,86.733002,0.15,0.15,0.15,
06/30/1990,418.411987,353.802002,,,,0.0,0.0,64.610001,,-71.962997,71.963,59.514,12.449,0.0,,346.44899,-261.757996,112.342003,53.122002,48.323002,47.971001,84.691002,-67.813001,,,0.789,,90.055,86.510002,-1.698,5.243,-21.452999,16.878001,-6.936,9.942,0.0,,,9.942001,0.0,9.942,-7.814,,2.128,2.128,,86.752998,0.02,0.02,0.02,86.752998,0.02,0.02,0.02,
09/30/1990,474.591003,472.270996,,,,0.0,0.0,2.32,,-89.490997,89.491001,77.290001,12.201,0.0,,385.100006,-204.031998,105.500999,53.242001,57.757999,-12.469,181.067993,-72.037002,,,1.073,,87.440002,85.720001,-2.313,4.033,-14.33,109.030991,-45.798,63.233002,-1.476,,,64.708991,0.0,64.709,-7.761,,56.948,56.948,,86.752998,0.66,0.64,0.64,86.752998,0.66,0.64,0.64,
12/31/1990,348.141998,339.661987,,,,0.0,0.0,8.48,,-59.408001,59.407999,52.210999,7.197,0.0,,288.733997,-195.014999,97.896004,54.257,48.324001,-5.462,93.719002,-77.113004,,,0.775,,84.799004,82.709999,-1.667,3.756,-6.911,16.605998,-9.459,7.147,-25.648999,,,32.795998,0.0,32.796001,-7.615,,25.181002,25.181002,,86.831001,0.29,-0.01,-0.01,86.831001,0.29,-0.01,-0.01,
03/31/1991,332.321991,330.645996,,,,0.0,0.0,1.676,,-60.292999,60.292999,51.646999,8.646,0.0,,272.028992,-198.935002,92.400002,55.201,51.334,,73.09399,-48.58999,,,0.83,,82.404998,80.114998,-2.019,4.309,-32.985008,24.504,-9.401,13.443,0.0,,,15.103,0.0,13.443,-7.939,,5.504,5.504,,86.878998,0.06,0.06,0.06,86.878998,0.06,0.06,0.06,
06/30/1991,362.471985,358.244995,,,,0.0,0.0,4.227,,-60.556999,60.557001,51.873001,8.684,0.0,,301.914986,-216.031001,107.885002,55.888,52.257999,,85.883985,-49.725984,,,0.641,,86.299001,80.595001,-1.646,7.35,-35.932017,36.158001,-12.419,22.457001,0.0,,,23.739001,0.0,22.457001,-8.662,,13.795001,13.795001,,86.958,0.16,0.16,0.16,86.958,0.16,0.16,0.16,
09/30/1991,474.735992,471.384003,,,,0.0,0.0,3.352,,-84.217003,84.217001,63.144001,21.073,0.0,,390.518989,-193.835999,83.891998,52.985001,56.959,,196.68299,-46.809988,,,1.199,,79.415003,78.523003,-1.466,2.358,-31.406015,149.873002,-61.577999,85.897003,0.0,,,88.295003,0.0,85.897003,-8.445,,77.452003,77.452003,,86.955002,0.89,0.89,0.89,86.955002,0.89,0.89,0.89,
12/31/1991,305.019989,301.578003,,,,0.0,0.0,3.442,,-68.704002,68.704,57.319,11.385,0.0,,236.315987,-803.52301,117.558998,54.936001,54.990002,576.038025,-567.20697,-90.516999,,,1.232,,77.973999,77.049004,-1.505,2.43,13.775,-657.723969,229.014008,-428.709991,-153.455002,,,-275.254959,0.0,-275.255005,-8.358,,-283.613005,-283.613005,,86.998001,-3.26,-5.02,-5.02,86.998001,-3.26,-5.02,-5.02,
03/31/1992,347.269989,344.946991,,,,0.0,0.0,2.323,,-55.861,55.861002,45.962002,9.899,0.0,,291.408989,-204.001007,96.403999,54.583,50.237,2.777,87.407997,-58.479002,,,0.706,,74.995003,73.686996,-1.227,2.535,-15.81,28.928995,-12.842,16.087,0.0,,,16.086995,0.0,16.087,-8.324,,7.763,7.763,,87.019997,0.09,0.09,0.09,87.019997,0.09,0.09,0.09,
06/30/1992,412.906006,409.011993,,,,0.0,0.0,3.894,,-66.750999,66.750999,53.042,13.709,0.0,,346.155006,-208.076004,93.643997,54.769001,53.57,6.093,138.078995,-56.922997,,,0.846,,72.045998,69.977997,-1.209,3.277,-14.277,81.155998,-34.337002,46.819,0.0,,,46.818996,0.0,46.819,-8.093,,38.726,38.726,,87.042999,0.44,0.44,0.44,87.042999,0.44,0.44,0.44,
