Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/29/1998,26.673,,,-15.57,,11.103001,,-7.015,,,,,4.088,0.335,,0.092,,,,-0.427,4.423,-1.35,3.073,0.0,,,3.073,0.0,3.073,0.0,,3.073,3.073,,51.179998,0.06,0.06,0.06,52.034998,0.06,0.06,0.06,
06/28/1998,24.372999,,,-14.3,,10.072999,,-6.144,,,,,3.929,0.55,,0.093,,,,-0.643,4.479,-1.431,3.048,0.0,,,3.048,0.0,3.048,0.0,,3.048,3.048,,51.179998,0.06,0.06,0.06,51.969,0.06,0.06,0.06,
09/27/1998,23.101,,,-14.96,,8.141,,-7.813,,,,,0.328,-0.176,,0.332,,,,-0.156,0.152,0.135,0.287,0.0,,,0.287,0.0,0.287,0.0,,0.287,0.287,,51.254997,0.006667,0.006667,0.023333,51.941998,0.006667,0.006667,0.023333,
12/27/1998,28.372,,,-18.615999,,9.756001,,-9.999,,,,,-0.243,-0.755,,0.289,,,,0.466,-0.998,0.32,-0.678,0.0,,,-0.678,0.0,-0.678,0.0,,-0.678,-0.678,,51.263998,-0.013333,-0.013333,0.013333,51.936001,-0.013333,-0.013333,0.013333,
03/28/1999,38.919998,,,-24.285999,,14.633999,,-14.693,,,,,-0.059,-3.635,,0.724,,,,2.911,-3.694,0.183,-3.511,0.0,,,-3.511,0.0,-3.511,0.0,0.0,-3.511,-3.511,,56.715002,-0.063333,-0.063333,0.016667,56.715002,-0.063333,-0.063333,0.016667,
06/27/1999,51.694,,,-30.344,,21.35,,-17.004,,,,,4.346,-1.062,,0.99,,,,0.072,3.284,-1.422,1.862,0.0,,,1.862,0.0,1.862,0.0,0.0,1.862,1.862,,56.736002,0.035,0.035,0.035,58.176001,0.03,0.03,0.03,
09/26/1999,72.625999,,,-44.882999,,27.743,,-18.636,,,,,9.107,-1.262,,1.111,,,,0.151,7.845,-2.624,5.221,0.0,,,5.221,0.0,5.221,0.0,0.0,5.221,5.221,,57.605999,0.09,0.09,0.09,59.930998,0.09,0.09,0.09,
01/02/2000,73.917,,,-43.305,,30.612,,-20.597,,,,,10.015,0.562,,0.386,,,,-0.948,10.577,-2.595,7.982,0.0,,,7.982,0.0,7.982,0.0,0.0,7.982,7.982,,71.646,0.11,0.11,0.11,74.028002,0.106667,0.106667,0.106667,
04/02/2000,77.012001,,,-44.956001,,32.056,,-35.835999,,,,,-3.78,0.571,,0.312,,,,-0.883,-3.209,1.72,-1.489,0.0,,,-1.489,0.0,-1.489,0.0,0.0,-1.489,-1.489,,72.323999,-0.02,-0.02,0.11,72.323999,-0.02,-0.02,0.11,
07/02/2000,113.838997,,,-69.029999,,44.808998,,-25.937,,,,,18.872,-2.072,,1.308,,,,0.764,16.8,-6.204,10.596,0.0,,,10.596,0.0,10.596,0.0,0.0,10.596,10.596,,73.258003,0.14,0.14,0.14,77.054001,0.14,0.14,0.14,
