Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non-Cash Adjustments,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,7.883,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,11.696,-8.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,8.001,-29.179001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,14.616,-48.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.616,,,
03/31/1991,17.302,-35.470001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,27.318001,-40.971001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,22.191,-25.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,-11.764,11.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.764,,,
03/31/1992,37.570999,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,24.046,0.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,40.501999,2.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,41.155998,3.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.155998,,,
03/31/1993,27.306999,27.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,38.924,8.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,17.573999,9.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,26.889999,11.299002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.889999,,,
03/31/1994,57.063,16.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,32.665001,26.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,28.280001,13.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,39.549,14.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.549,,,
03/31/1995,49.793999,15.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1995,14.651,17.118999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1995,24.711,19.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1995,37.543999,18.735001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.543999,,,
03/31/1996,49.099998,20.799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1996,22.9,18.200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1996,21.700001,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1996,46.099998,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.099998,,,
03/31/1997,40.799999,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1997,34.5,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1997,8.2,23.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1997,61.700001,25.200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.700001,,,
03/31/1998,44.0,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,66.400002,
06/30/1998,10.4,28.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.299999,81.199997,
09/30/1998,53.700001,27.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,75.800003,
12/31/1998,18.700001,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,85.199997,
03/31/1999,41.0,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,74.800003,
06/30/1999,5.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.099998,85.0,
09/30/1999,26.200001,28.299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,80.699997,
12/31/1999,103.699997,26.799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,87.300003,
03/31/2000,18.1,27.0,22.299999,,-31.200001,,,,-31.200001,0.0,,,,,,-11.5,,-11.5,,,,,,,,,,,,,,,,,,11.5,,,,,,,,,,,,,,,0.0,92.0,
06/30/2000,80.900002,26.5,23.5,,30.9,,,,30.9,0.0,,,,,,-8.5,,-8.5,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,26.1,89.0,
09/30/2000,40.900002,26.200001,28.4,,-12.7,,,,-12.7,-1.0,,,,,,-7.6,,-7.6,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,12.9,91.400002,
12/31/2000,75.699997,28.700001,26.5,,23.799999,,,,23.799999,-3.3,,,,,,-9.5,,-9.5,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,12.0,107.0,
03/31/2001,14.7,13.3,39.299999,,-40.0,,,,-40.0,2.1,,,,,,-6.0,,-6.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,0.0,103.800003,
06/30/2001,28.799999,43.099998,36.099998,,-51.900002,,,,-51.900002,1.5,,,,,,-7.9,,-7.9,,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,16.299999,98.199997,
09/30/2001,37.599998,12.2,37.099998,,-9.5,,,,-9.5,-2.2,,,,,,-10.2,,-10.2,,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,,,20.4,94.0,
12/31/2001,11.6,7.2,34.900002,,-31.299999,,,,-31.299999,0.8,,,,,,-9.3,,-9.3,,,,,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,12.6,78.900002,
03/31/2002,130.399994,11.2,37.900002,,79.199997,,,,79.199997,2.1,,,,,,-3.3,,-3.3,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,0.0,79.0,
06/30/2002,73.099998,12.3,23.6,,37.200001,,,,37.200001,0.0,,,,,,-3.2,,-3.2,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,23.1,63.0,
09/30/2002,-239.199997,14.8,31.299999,,-285.299988,,,,-285.299988,0.0,,,,,,-5.7,,-5.7,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,3.2,50.0,
12/31/2002,72.400002,17.1,25.5,,29.799999,,,,29.799999,0.0,,,,,,-1.9,,-1.9,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,23.1,72.099998,
03/31/2003,294.700012,16.0,16.6,,262.100006,,,,262.100006,0.0,,,,,,-2.2,,-2.2,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,-6.9,58.5,
06/30/2003,-278.700012,15.5,9.2,,-303.399994,,,,-303.399994,0.0,,,,,,-2.3,,-2.3,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,18.6,48.700001,
09/30/2003,-121.699997,14.9,12.3,,-138.800003,,,,-138.800003,-10.1,,,,,,-2.3,,-2.3,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,5.6,46.599998,
12/31/2003,106.099998,17.4,11.9,,84.800003,,,,84.800003,-8.0,,,,,,-5.7,,-5.7,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,10.2,41.599998,
03/31/2004,287.2,119.2,7.2,,159.5,,,,159.5,1.3,,,,,1554.5,-3.2,0.0,-3.2,404.0,428.0,,,,-24.0,,,,-131.5,,,,,,,,1285.2,-1272.5,-10.4,-1352.8,,,,,11.6,11.6,0.0,79.1,0.0,,569.2,2.0,46.5,
06/30/2004,-43.2,25.0,14.0,,-86.8,,,,-86.8,4.6,,,,,-620.1,-3.5,0.0,-3.5,-502.8,433.5,,,,-936.3,,,,-113.8,,,,,,,,0.0,76.4,-11.7,-70.4,,,,,2.4,2.4,0.0,156.1,0.0,,-586.9,33.5,23.5,
09/30/2004,34.4,27.5,11.0,,-4.3,,,,-4.3,0.2,,,,,79.0,-5.4,0.0,-5.4,343.8,429.9,,,,-86.1,,,,-259.4,,,,,,,,0.0,-150.7,-11.8,-3.3,,,,,1.2,1.2,0.0,-136.8,0.0,,-37.3,41.2,26.2,
12/31/2004,1318.6,28.0,8.1,,1282.2,,,,1282.2,0.3,,,,,-1505.7,-10.0,0.0,-10.0,132.0,359.5,,,,-227.5,,,,-342.5,,,,,,,,-1285.2,160.4,-11.9,118.7,,,,,4.0,4.0,0.0,49.6,0.0,,-26.7,23.0,25.1,
03/31/2005,39.0,31.4,7.2,,2.1,,,,2.1,-1.7,,,,,-99.0,-4.9,0.0,-4.9,87.7,126.4,,,,-38.7,,,,-181.8,,,,,,,,0.0,125.5,-11.9,-51.9,,,,,5.3,5.3,0.0,184.0,0.0,,65.5,4.1,29.7,
06/30/2005,-18.3,37.0,6.7,,-41.3,,,,-41.3,-20.7,,,,,-13.9,-6.2,0.0,-6.2,344.6,519.6,,,,-175.0,,,,-202.3,,,,,,,,-150.0,66.8,-13.5,-55.0,,,,,4.7,4.7,0.0,130.6,0.0,,34.6,39.1,31.5,
09/30/2005,36.0,33.5,6.7,,-4.3,,,,-4.3,0.1,,,,,49.2,-4.6,0.0,-4.6,150.1,153.3,,,,-3.2,,,,-96.3,,,,,,,,0.0,-63.9,-13.5,36.8,,,,,3.4,3.4,0.0,-90.6,0.0,,21.3,7.9,36.8,
12/31/2005,60.9,35.2,10.8,,8.2,,,,8.2,6.7,,,,,-126.0,-57.4,0.0,-57.4,126.5,126.5,,,,0.0,,,,-195.1,,,,,,,,0.0,56.4,-13.5,24.2,,,,,-11.6,1.9,-13.5,57.3,0.0,,-8.7,36.0,39.6,
03/31/2006,41.6,34.8,3.5,-2.3,8.5,,,,8.5,-2.9,,,,,-144.4,-10.2,0.0,-10.2,103.6,103.6,,,,0.0,,,,-187.8,,,,,,,,-50.0,114.7,-13.6,-43.9,,,,,2.4,2.4,0.0,169.8,0.0,,11.9,0.1,44.5,
06/30/2006,30.3,32.9,6.0,0.2,-9.2,,,,-9.2,0.4,,,,,72.5,-7.3,0.0,-7.3,355.2,357.1,,,,-1.9,,,,-275.4,,,,,,,,0.0,-92.4,-15.4,-30.0,,,,,2.2,2.2,0.0,-49.2,0.0,,10.4,31.4,47.5,
09/30/2006,-26.8,17.0,8.1,1.8,-56.2,,,,-56.2,2.3,,,,,565.1,-6.6,0.0,-6.6,706.3,997.7,,,,-291.4,,,,-134.6,,,,,,,,0.0,-448.7,-15.5,-207.4,,,,,-1.2,0.0,-1.2,-224.6,0.0,,89.6,11.0,53.9,
12/31/2006,17.0,39.3,3.8,3.4,23.9,,33.8,,-9.9,-53.4,,,,,-21.4,-12.8,0.0,-12.8,149.6,438.0,,,,-288.4,,,,-158.6,,,,,,,,0.4,40.0,-15.5,-53.0,,,,,2.2,2.2,0.0,104.0,2.3,,35.6,0.0,54.1,
03/31/2007,43.4,33.6,6.7,0.8,-1.5,,,,-1.5,3.8,,,,,67.1,-16.3,0.0,-16.3,3.9,68.5,,,,-64.6,,,,79.6,,,,,,,,-0.1,875.1,-15.5,3.7,,,,,1.9,1.9,0.0,885.0,0.0,,985.6,0.0,55.5,
06/30/2007,0.3,13.5,8.2,1.8,-10.2,,,,-10.2,-13.0,,,,,-1160.7,-17.9,0.0,-17.9,0.7,0.7,,,,0.0,,,,-1143.4,,,,,,,,-0.1,2203.7,-38.7,-7.8,,,,,3118.8,3335.6,-216.8,-876.7,8.1,,1043.3,59.0,53.8,
09/30/2007,78.7,57.6,9.1,,12.8,,,,12.8,-0.8,,,,,95.7,-11.0,0.0,-11.0,5.5,26.4,,,,-20.9,,,,100.9,,,,,,,,0.3,-347.7,-38.7,0.0,,,,,0.1,0.1,0.0,-309.1,0.0,,-173.3,0.1,56.7,
12/31/2007,102.4,46.0,8.2,2.9,65.3,,-5.7,6.3,64.7,-20.0,,,,,1032.7,-34.6,0.0,-34.6,4.4,80.0,,,,-75.6,,,,1063.1,,,,,,,,-0.2,810.4,-53.7,3.7,,,,,-123.4,3.7,-127.1,983.8,0.0,,1945.5,23.1,109.7,
03/31/2008,53.4,15.1,15.2,8.3,10.3,,,1.5,8.8,4.5,,,,,-541.9,-9.9,,-9.9,26.0,1013.3,,,,-987.3,,,,204.6,,,,,,,,-762.6,12.3,-44.3,4.7,,,,,2.3,2.3,0.0,49.6,0.0,,-476.2,0.6,83.1,
06/30/2008,7.7,43.0,17.6,,-30.9,,,,-30.9,-22.0,,,,,211.5,-9.1,0.0,-9.1,111.5,376.0,,,,-264.5,,,,108.1,,,,,,,,1.0,-676.4,-49.9,-4.6,,,,,6.4,6.4,0.0,-628.3,0.0,,-457.2,47.8,68.4,
09/30/2008,87.1,46.0,22.1,,3.6,,,,3.6,15.4,,,,,837.3,-12.4,0.0,-12.4,440.0,524.1,,,,-84.1,,,,409.7,,,,,,,,0.0,-404.2,-50.0,7.9,,,,,17.9,17.9,0.0,-380.0,0.0,,520.2,17.8,64.9,
