Date,Revenue,Sales & Services Revenue,Other Revenue,Gross Profit,Other Operating Income,Operating Expenses,Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2007,4373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-152.0,,,-152.0,-152.0,,117.0,-1.32,-1.32,-1.31,117.0,-1.32,-1.32,-1.31,
06/30/2007,5213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,274.0,,,274.0,274.0,,117.4,2.31,2.31,2.19,153.4,1.83,1.83,1.74,
09/30/2007,5527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,334.0,,,334.0,334.0,,117.5,2.82,2.82,2.49,154.1,2.21,2.21,1.96,
12/31/2007,5030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-53.0,,,-53.0,-53.0,,117.7,-0.47,-0.47,-0.47,117.7,-0.47,-0.47,-0.47,
03/31/2008,4711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-537.0,,,-537.0,-537.0,,121.1,-4.45,-4.45,-4.45,121.1,-4.45,-4.45,-4.45,
06/30/2008,5371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-2729.0,,,-2729.0,-2729.0,,127.1,-21.47,-21.47,-1.19,127.1,-21.47,-21.47,-1.19,
09/30/2008,5565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-779.0,,,-779.0,-779.0,,127.3,-6.13,-6.13,-1.99,127.3,-6.13,-6.13,-1.99,
12/31/2008,4547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1303.0,,,-1303.0,-1303.0,,131.7,-9.893698,-9.893698,-5.9605,131.7,-9.893698,-9.893698,-5.9605,
03/31/2009,3691.0,3484.0,207.0,,0.0,-3973.0,,,233.0,3740.0,-282.0,-130.0,124.0,131.0,-7.0,6.0,-412.0,29.0,,,1.0,-382.0,0.0,0.0,0.0,-382.0,0.0,-382.0,0.0,0.0,-382.0,-393.484906,-11.484906,144.7,-2.64,-2.64,-2.719315,144.7,-2.64,-2.64,-2.71937,
06/30/2009,4018.0,3811.0,207.0,,0.0,-3911.0,,,222.0,3689.0,107.0,-93.0,128.0,133.0,-5.0,-35.0,14.0,13.0,,,1.0,28.0,0.0,0.0,0.0,28.0,0.0,28.0,0.0,0.0,28.0,105.292878,77.292878,145.1,0.19,0.19,0.725657,145.1,0.19,0.19,0.722687,
09/30/2009,4433.0,4236.0,197.0,,0.0,-4345.0,,,220.0,4125.0,88.0,-150.0,140.0,143.0,-3.0,10.0,-62.0,4.0,,,1.0,-57.0,0.0,0.0,0.0,-57.0,0.0,-57.0,0.0,0.0,-57.0,-38.15,18.85,145.6,-0.39,-0.39,-0.262019,145.6,-0.39,-0.39,-0.262019,
12/31/2009,7332.0,6672.0,660.0,,0.0,-7404.0,,,422.0,6982.0,-72.0,-198.0,226.0,232.0,-6.0,-28.0,-270.0,3.0,,,1.0,-266.0,0.0,0.0,0.0,-266.0,,-266.0,0.0,0.0,-266.0,-154.2,111.8,312.0,-0.85,-0.85,-0.494231,312.0,-0.85,-0.85,-0.494231,
03/31/2010,4241.0,3814.0,427.0,,0.0,-4165.0,,,221.0,3944.0,76.0,-158.0,182.0,183.0,-1.0,-24.0,-82.0,-1.0,,,1.0,-82.0,0.0,0.0,0.0,-82.0,0.0,-82.0,0.0,0.0,-82.0,-33.9,48.1,167.0,-0.49,-0.49,-0.202994,167.0,-0.49,-0.49,-0.202994,
06/30/2010,5161.0,4684.0,477.0,,0.0,-4720.0,,,223.0,4497.0,441.0,-170.0,173.0,175.0,-2.0,-3.0,271.0,2.0,,,,273.0,0.0,0.0,0.0,273.0,0.0,273.0,0.0,0.0,273.0,341.9,68.9,168.0,1.62,1.62,2.035119,235.0,1.29,1.29,1.583191,
09/30/2010,5417.0,4930.0,487.0,,0.0,-4876.0,,,232.0,4644.0,541.0,-154.0,170.0,175.0,-5.0,-16.0,387.0,0.0,0.0,0.0,,387.0,0.0,0.0,0.0,387.0,0.0,387.0,0.0,0.0,387.0,427.95,40.95,168.0,2.3,2.3,2.547321,456.14,2.3,2.3,2.389775,
12/31/2010,8464.0,7711.0,753.0,,0.0,-8546.0,,,403.0,8143.0,-82.0,-242.0,243.0,250.0,-7.0,-1.0,-324.0,-1.0,,,,-325.0,0.0,0.0,0.0,-325.0,0.0,-325.0,0.0,0.0,-325.0,252.415751,577.415751,322.0,-1.01,-1.01,0.7839,322.0,-1.01,-1.01,0.783217,
03/31/2011,8202.0,7400.0,802.0,,0.0,-8168.0,,,388.0,7780.0,34.0,-245.0,244.0,248.0,-4.0,1.0,-211.0,-2.0,,,,-213.0,0.0,0.0,0.0,-213.0,0.0,-213.0,0.0,0.0,-213.0,-162.95,50.05,328.0,-0.65,-0.65,-0.496799,328.0,-0.65,-0.65,-0.497409,
