Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
03/31/1990,383,409,62,5,,,5,-93,,,,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,387,417,60,84,,,84,-174,,,,-174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,441,496,60,-21,,,-21,-94,,,,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,541,426,62,59,,,59,-6,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.0,,
03/31/1991,372,493,75,-53,,,-53,-143,,,,-143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,300,489,50,-4,,,-4,-235,,,,-235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,503,564,65,74,,,74,-200,,,,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,660,510,56,49,,,49,45,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.0,,
04/01/1992,398,534,69,-16,,,-16,-189,,,,-189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,298,475,71,-71,,,-71,-177,,,,-177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,688,572,75,-9,,,-9,50,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,644,583,80,99,,,99,-118,,,,-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.0,,
03/31/1993,413,575,76,-48,,,-48,-190,,,,-190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,596,521,78,-59,,,-59,56,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,807,607,76,13,,,13,111,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,764,255,78,239,,,239,192,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.0,,
03/31/1994,696,581,80,-43,,,-43,78,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,466,542,80,-32,,,-32,-124,,,,-124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,484,621,82,-169,,,-169,-50,,,,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,655,98,86,548,,,548,-77,,,,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.0,,
03/31/1995,753,657,86,-209,,,-209,219,,,,219,,,-90.0,,,,-90.0,,,,,,,,,,90.0,,,,,,,,,,,,,,
06/30/1995,338,608,86,-90,,,-90,-266,,,,-266,,,-120.0,,,,-120.0,,,,,,,,,,120.0,,,,,,,,,,,,,,
09/30/1995,766,689,87,-184,,,-184,174,,,,174,,,-122.0,,,,-122.0,,,,,,,,,,122.0,,,,,,,,,,,,,,
12/31/1995,642,-142,189,1022,,,1022,-427,,,,-427,,,-181.0,,,,-181.0,,,,,,,,,,181.0,,,,,,,,,,,,,,
03/31/1996,615,726,131,-255,,,-255,13,,,,13,,,-115.0,,,,-115.0,,,,,,,,,,115.0,,,,,,,,,,,,,,
06/30/1996,626,655,123,-84,,,-84,-68,,,,-68,,,-135.0,,,,-135.0,,,,,,,,,,135.0,,,,,,,,,,,,,,
09/30/1996,742,753,126,234,,,234,-371,,,,-371,,,-138.0,,,,-138.0,,,,,,,,,,138.0,,,,,,,,,,,,,,
12/31/1996,658,716,139,-603,,,-603,406,,,,406,,-213.0,-213.0,,,,-213.0,,,,,,,,,,0.0,,,,,,,,,,,,445.0,,
03/31/1997,687,810,134,-2,,,-2,-255,,,,-255,,-135.0,-121.0,0.0,,,-121.0,,,0.0,0.0,0.0,,,,,-14.0,-426.0,-380.0,120.0,,,,-159.0,94.0,-253.0,-7.0,,126.0,,
06/30/1997,371,738,135,96,,,96,-598,,,,-598,,-41.0,-148.0,0.0,,,-148.0,,,0.0,0.0,0.0,,,,,107.0,-644.0,-380.0,30.0,,,,-289.0,85.0,-374.0,-5.0,,-314.0,,
09/30/1997,825,855,140,23,,,23,-193,,,,-193,,-207.0,-169.0,0.0,,,-169.0,,,0.0,0.0,0.0,,,,,-38.0,-447.0,-378.0,238.0,,,,-297.0,47.0,-344.0,-10.0,,171.0,,
12/31/1997,593,802,182,-809,,,-809,418,,,,418,,-149.0,-329.0,0.0,,,-329.0,,,0.0,0.0,0.0,,,,,180.0,-652.0,-377.0,21.0,,,,-300.0,0.0,-300.0,4.0,,-208.0,,
03/31/1998,880,927,155,-154,,,-154,-48,,,,-48,,46.0,-154.0,0.0,,,-154.0,,,0.0,0.0,0.0,,,,,200.0,-817.0,-388.0,131.0,,,,-555.0,70.0,-625.0,-5.0,,109.0,,
06/30/1998,478,835,146,109,,,109,-612,,,,-612,,-26.0,-211.0,0.0,,,-211.0,,,0.0,0.0,0.0,,,,,185.0,-1012.0,-388.0,-150.0,,,,-473.0,28.0,-501.0,-1.0,,-560.0,,
09/30/1998,1319,966,156,58,,,58,139,,,,139,,-171.0,-172.0,0.0,,,-172.0,,,0.0,0.0,0.0,,,,,1.0,-622.0,-387.0,58.0,,,,-291.0,31.0,-322.0,-2.0,,526.0,,
12/31/1998,1443,413,168,792,,,792,70,,,,70,,-195.0,-251.0,0.0,,,-251.0,,,0.0,0.0,0.0,,,,,56.0,-578.0,-388.0,-90.0,,,,-102.0,11.0,-113.0,2.0,,670.0,,
03/31/1999,721,1066,167,-102,,,-102,-410,-14.0,-113.0,-105.0,-178,,-146.0,-122.0,0.0,,,-122.0,,,0.0,0.0,0.0,,,,,-24.0,-816.0,-427.0,55.0,,,,-434.0,0.0,-434.0,-10.0,,-241.0,,
06/30/1999,865,952,164,-43,,,-43,-208,-115.0,-229.0,16.0,120,,-193.0,-177.0,0.0,,,-177.0,,,0.0,0.0,0.0,,,,,-16.0,-594.0,-427.0,-2.0,,,,-201.0,0.0,-201.0,36.0,,78.0,,
09/30/1999,1088,1097,158,110,,,110,-277,-93.0,-16.0,-16.0,-152,,-75.0,-156.0,0.0,,,-156.0,,,0.0,0.0,0.0,,,,,81.0,-639.0,-427.0,-38.0,,,,-109.0,171.0,-280.0,-65.0,,374.0,,
12/31/1999,1618,1052,189,-38,,,-38,415,,,,415,,-345.0,-254.0,0.0,,,-254.0,,,0.0,0.0,0.0,,,,,-91.0,-1008.0,-426.0,-95.0,,,,-489.0,8.0,-497.0,2.0,,265.0,,
