Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
08/27/1989,3009.300049,86.999998,16.9,70.099998,279.600006,,,,443.899994,,,,,152.5,,,,,963.0,1640.300049,2484.699951,-844.400024,160.800003,,245.199997,,,,,,245.199997,2046.300049,,462.899994,462.899994,,,,159.800003,,,,,,472.100052,,,,472.100052,1094.800049,558.700012,,,,,592.799988,,,592.799988,1151.5,2246.300049,,283.799988,,,-740.200012,,1219.400024,763.0,,763.0,3009.300049,
11/26/1989,3174.0,122.5,52.400002,70.099998,317.700012,,,,421.799988,,,,,153.600006,,,,,1015.599976,1732.099976,2606.100098,-874.0,161.800003,,264.5,,,,,,264.5,2158.399979,,508.899994,508.899994,,,,203.699997,,,,,,466.200058,,,,466.200058,1178.800049,576.599976,,,,,606.599976,,,606.599976,1183.199951,2362.0,,285.100006,,,-738.099976,,1265.0,812.000031,,812.000031,3174.000031,
02/25/1990,3279.699951,87.399998,17.299999,70.099998,350.700012,,,,420.399994,,,,,152.899994,,,,,1011.400024,1830.699951,2746.0,-915.299988,163.399994,,274.200012,,,,,,274.200012,2268.299957,,520.799988,520.799988,,,,257.5,,,,,,526.000061,,,,526.000061,1304.300049,607.700012,,,,,595.700012,,,595.700012,1203.400024,2507.700073,,296.5,,,-817.299988,,1292.799988,772.0,,772.0,3279.700073,
05/27/1990,3289.5,70.799998,0.7,70.099998,258.700012,,,,394.399994,,,,,186.199997,,,,,910.099976,1934.5,2883.200012,-948.700012,164.199997,,280.700012,,,,,,280.700012,2379.400009,,518.200012,518.200012,,,,183.600006,,,,,,471.399933,,,,471.399933,1173.199951,688.5,,,,,618.099976,,,618.099976,1306.599976,2479.799927,,297.100006,,,-812.700012,,1325.299988,809.699982,,809.699982,3289.499909,
08/26/1990,3556.800049,15.5,15.5,,308.600006,,,,498.399994,,,,,188.5,,,,,1011.0,2002.800049,3001.600098,-998.799988,165.699997,,377.299988,,,,,,377.299988,2545.800034,,546.299988,546.299988,,,,285.799988,,,,,,504.5,,,,504.5,1336.599976,693.099976,,,,,616.400024,,,616.400024,1309.5,2646.099976,,310.299988,,,-792.299988,,1392.700012,910.700012,,910.700012,3556.799988,
11/25/1990,3733.0,64.900002,64.900002,,334.299988,,,,507.299988,,,,,187.600006,,,,,1094.099976,2074.5,3104.899902,-1030.400024,165.600006,,398.799988,,,,,,398.799988,2638.899994,,588.799988,588.799988,,,,254.899994,,,,,,509.999969,,,,509.999969,1353.699951,785.400024,,,,,609.5,,,609.5,1394.900024,2748.599976,,313.600006,,,-786.5,,1457.299988,984.399994,,984.399994,3732.999969,
02/24/1991,3889.5,36.900002,36.900002,,409.600006,,,,514.299988,,,,,187.5,,,,,1148.300049,2161.300049,3223.899902,-1062.599976,166.399994,,413.5,,,,,,413.5,2741.200043,,559.599976,559.599976,,,,210.600006,,,,,,553.499969,,,,553.499969,1323.699951,886.299988,,,,,610.099976,,,610.099976,1496.399963,2820.099915,,315.5,,,-781.799988,,1535.700012,1069.400024,,1069.400024,3889.499939,
05/26/1991,3901.800049,39.799999,39.799999,,306.299988,,,,493.600006,,,,,242.600006,,,,,1082.300049,2241.300049,3337.100098,-1095.800049,167.899994,,410.299988,,,,,,410.299988,2819.500031,,578.700012,578.700012,,,,152.399994,,,,,,541.300018,,,,541.300018,1272.400024,879.0,,,,,636.900024,,,636.900024,1515.900024,2788.300048,,320.200012,,,-777.400024,,1570.700012,1113.5,,1113.5,3901.800048,
08/25/1991,4092.5,32.200001,32.200001,,361.200012,,,,555.900024,,,,,227.300003,,,,,1176.599976,2324.300049,3462.899902,-1138.599976,,,591.599976,,,,,,591.599976,2915.900024,,608.299988,608.299988,,,,192.100006,,,,,,561.199982,,,,561.199982,1361.599976,877.0,,,,,638.799988,,,638.799988,1515.799988,2877.399963,,329.5,,,-769.599976,,1655.199951,1215.099976,,1215.099976,4092.499939,
11/24/1991,4240.100098,31.200001,31.200001,,382.299988,,,,565.5,,,,,235.300003,,,,,1214.300049,2424.5,3598.199951,-1173.699951,,,601.299988,,,,,,601.299988,3025.799988,,651.099976,651.099976,,,,289.299988,,,,,,543.500061,,,,543.500061,1483.900024,821.599976,,,,,638.400024,,,638.400024,1460.0,2943.900024,,334.5,,,-765.599976,,1727.299988,1296.200012,,1296.200012,4240.100037,
02/23/1992,4365.0,38.200001,38.200001,,405.700012,,,,550.299988,,,,,245.399994,,,,,1239.599976,2514.199951,3733.699951,-1219.5,,,611.200012,,,,,,611.200012,3125.399963,,644.599976,644.599976,,,,287.799988,,,,,,581.700012,,,,581.700012,1514.099976,840.700012,,,,,632.0,,,632.0,1472.700012,2986.799988,,339.0,,,-758.599976,,1797.799927,1378.199951,,1378.199951,4364.999939,
05/31/1992,4305.0,0.5,0.5,0.0,291.899994,,,,487.200012,,,,,255.0,,,,,1034.599976,2648.600098,3909.300049,-1260.699951,170.399994,,451.399994,,,,,,451.399994,3270.400086,,632.5,632.5,,,,201.899994,,,,,,537.299957,,,,537.299957,1371.699951,920.5,,,,,641.900024,,,641.900024,1562.400024,2934.099975,0.0,343.600006,,,-802.900024,,1830.200073,1370.900055,0.0,1370.900055,4305.00003,
08/30/1992,4513.299805,0.9,0.9,,353.0,,,,511.100006,,,,,238.800003,,,,,1103.800049,2664.600098,3896.300049,-1231.699951,,,744.900024,,,,,,744.900024,3409.500122,,669.799988,669.799988,,,,258.299988,,,,,,560.400024,,,,560.400024,1488.5,1038.900024,,,,,636.700012,,,636.700012,1675.600037,3164.100037,,350.299988,,,-927.099976,,1926.0,1349.200012,,1349.200012,4513.300049,
11/29/1992,4679.0,55.5,55.5,,368.399994,,,,548.400024,,,,,247.0,,,,,1219.300049,2747.899902,4024.100098,-1276.199951,,,711.799988,,,,,,711.799988,3459.69989,,697.099976,697.099976,,,,317.200012,,,,,,478.600037,,,,478.600037,1492.900024,1166.0,,,,,629.799988,,,629.799988,1795.799988,3288.700012,,353.899994,,,-958.200012,,1994.600037,1390.300018,,1390.300018,4679.000031,
02/28/1993,4756.700195,38.900002,38.900002,0.0,405.100006,,,,486.0,,,,,237.100006,,,,,1167.099976,2836.699951,4168.600098,-1331.900024,0.0,,752.900024,,,,,,752.900024,3589.599976,,638.900024,638.900024,,,,390.899994,,,,,,629.100006,,,,629.100006,1658.900024,1181.5,,,,,606.799988,,,606.799988,1788.299988,3447.200012,0.0,357.100006,,,-1043.599976,,1996.0,1309.500031,0.0,1309.500031,4756.700043,
05/30/1993,4650.799805,100.0,100.0,0.0,287.399994,,,,439.0,,,,,250.5,,,,,1076.900024,2859.600098,4239.500122,-1379.900024,137.0,,577.299988,,,,,,577.299988,3573.900086,,617.0,617.0,,,,403.899994,,,,,,537.900055,,,,537.900055,1558.800049,1268.300049,,,,,605.200012,,,605.200012,1873.500061,3432.30011,0.0,358.700012,,,-1196.400024,,2056.200012,1218.5,0.0,1218.5,4650.80011,
08/29/1993,4939.200195,131.699997,131.699997,0.0,421.700012,,,,500.799988,,,,,248.399994,,,,,1302.599976,2916.600098,4347.600098,-1431.0,0.0,,720.0,,,,,,720.0,3636.600098,,666.0,666.0,,,,366.299988,,,,,,610.600037,,,,610.600037,1642.900024,1453.900024,,,,,613.400024,,,613.400024,2067.300049,3710.200073,0.0,365.799988,,,-1285.099976,,2148.299988,1229.0,0.0,1229.0,4939.200073,
11/28/1993,4996.0,56.799999,56.799999,0.0,391.399994,,,,553.599976,,,,,247.5,,,,,1249.300049,2971.899902,4455.600098,-1483.699951,0.0,,774.799988,,,,,,774.799988,3746.69989,,698.099976,698.099976,,,,466.0,,,,,,525.900024,,,,525.900024,1690.0,1414.800049,,,,,620.900024,,,620.900024,2035.700073,3725.700073,0.0,350.899994,,,-1294.400024,,2213.800049,1270.300018,0.0,1270.300018,4996.000092,
