Date,Total Interest Income,Total Interest Expense,Net Interest Income,Trading Account Profit,Commissions & Fees Earned,Other Operating Income,Net Revenue,Provisions for Loan Losses,Net Revenue After Provisions,Non-Interest Expense,Operating Income or Losses,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,601.095009,-403.151001,197.944008,8.503,59.558998,78.436996,344.443003,-69.0,275.443003,-226.488007,48.955002,8.473,57.428001,-16.801001,40.626999,0.0,0,40.626999,-0.529,40.097999,40.098001,,0.55,0.55,73.206001,,,,,
06/30/1990,571.011993,-376.785004,194.22699,4.45,62.962002,24.761,286.399991,-25.945999,260.453992,-226.789993,33.664001,5.096,38.760002,-8.571,30.188999,0.0,0,30.188999,-0.595,29.593999,29.594002,,0.4,0.4,73.267998,,,,,
09/30/1990,573.747986,-385.102997,188.644989,9.978,62.374001,38.504002,299.500991,-69.347,230.153991,-212.852005,17.302,0.0,17.302,-5.415,11.887,0.0,0,11.887,-0.582,11.305,11.305,,0.15,0.15,73.402,,,,,
12/31/1990,529.390992,-350.722992,178.668,3.898,65.709999,,248.275999,-270.0,-21.724001,-252.201004,-273.924988,33.131001,-240.793987,25.108,-215.686005,0.0,0,-215.686005,-0.622,-216.308005,-216.307987,-2.94,-2.94,-2.94,73.561401,-2.94,-2.94,-2.94,73.561401,
03/31/1991,474.499008,-297.735992,176.763016,3.29,80.060997,91.161003,351.275016,-234.0,117.275016,-233.690994,-116.416,0.0,-116.416,-0.255,-116.670998,0.0,0,-116.670998,-0.56,-117.230998,-117.231,,-1.59,-1.59,73.682999,,,,,
06/30/1991,460.388992,-278.118988,182.270004,4.156,80.139999,14.381,280.947003,-101.615997,179.331006,-237.830002,-58.499001,0.0,-58.499001,-0.255,-58.754002,0.0,0,-58.754002,-0.569,-59.323002,-59.323001,,-0.81,-0.81,73.683998,,,,,
09/30/1991,451.416008,-263.330994,188.085014,17.941999,74.287003,15.213,295.527017,-57.0,238.527017,-235.686005,2.841,0.0,2.841,-0.51,2.331,0.0,0,2.331,-0.586,1.745,1.745,,0.02,0.02,73.730003,,,,,
12/31/1991,427.591011,-237.419006,190.172005,39.835999,37.709,,267.717004,-73.823997,193.893007,-262.433014,-68.540001,71.5,2.959999,-0.51,2.45,0.0,0,2.45,-0.547,1.903,1.902999,0.02,0.02,0.02,73.759201,0.02,0.02,0.02,73.759201,
03/31/1992,396.067986,-203.251007,192.816978,69.849998,72.829002,27.737,363.232979,-68.454002,294.778976,-250.367996,44.410999,0.0,44.410999,-11.092,33.319,10.01,0,43.328999,-0.525,42.803999,32.793999,,0.44,0.58,73.906998,,,,,
06/30/1992,384.210999,-184.927994,199.283005,1.913,76.675003,30.48,308.351007,-48.724998,259.626009,-250.757996,8.868,0.0,8.868,-2.502,6.366,2.216,0,8.582,-0.534,8.048,5.832,,0.07,0.09,88.806999,,,,,
09/30/1992,375.319,-167.927002,207.391998,12.813,70.837997,21.888,312.930996,-43.567001,269.363995,-255.703003,13.661,0.0,13.661,-3.629,10.032,3.003,0,13.035,-0.525,12.51,9.507,,0.1,0.14,91.320999,,,,,
12/31/1992,390.168,-164.332001,225.835999,10.604,82.464996,,318.904995,-28.768999,290.135996,-279.559998,10.576,0.0,10.576,-3.462,7.114,3.149,0,10.263,-3.199,7.064,3.915,0.11,0.11,0.14,92.071205,0.11,0.11,0.14,92.071205,
03/31/1993,442.375,-193.095001,249.279999,20.674,81.926003,5.989,357.869001,-18.129,339.740001,-351.558014,-11.818,0.0,-11.818,1.876,-9.942,46.200001,0,36.257999,-3.867,32.390999,-13.809,,-0.13,0.29,111.693001,,,,,
06/30/1993,460.294006,-190.914001,269.380005,11.009,80.035004,13.612,374.036009,-16.368,357.668009,-269.25,88.417999,0.0,88.417999,-24.447001,63.971001,0.0,0,63.971001,-3.867,60.104001,60.103999,,0.54,0.54,112.141998,,,,,
09/30/1993,461.285004,-188.059006,273.225998,8.699,80.799004,10.834,373.558002,-11.267,362.291001,-261.966003,100.324997,0.0,100.324997,-17.726999,82.598,0.0,0,82.598,-3.868,78.73,78.729998,,0.69,0.69,114.702003,,,,,
12/31/1993,463.028,-183.350998,279.677002,8.386,76.537003,12.349,376.949005,-10.18,366.769005,-217.899002,148.869995,-36.319,112.550995,33.669998,146.220993,0.0,0,146.220993,-3.867,142.353993,142.353993,1.22,1.22,1.22,117.099998,1.22,1.22,1.22,117.099998,
03/31/1994,454.354004,-181.858994,272.49501,0.647,82.392998,5.684,361.219008,-3.0,358.219008,-241.830002,116.389,0.0,116.389,-39.115002,77.274002,0.0,0,77.274002,-3.859,73.415002,73.414998,,0.62,0.62,117.819,,,,,
06/30/1994,471.641022,-205.899002,265.74202,0.267,88.439003,5.201,359.649023,0.0,359.649023,-277.773987,81.875,-100.900002,-19.025002,0.356,-18.669001,0.0,0,-18.669001,-3.859,-22.528001,-22.528001,,-0.19,-0.19,118.445,,,,,
