Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,150.656006,,,-106.716003,,43.940002,,-6.45,,,,,37.490002,-6.739,,8.804,,,-2.065,30.751002,-11.0,19.750999,,,,19.751002,,19.750999,-1.951,,17.799999,17.799999,,145.340996,0.123333,0.123333,,145.340996,0.123333,0.123333,0.123333,
06/30/1990,138.966003,,,-103.305,,35.661003,,-6.776,,,,,28.885,-4.233,,9.57,,,-5.337,24.652,-9.0,15.652,,,,15.652,,15.652,-1.362,,14.29,14.29,,143.984997,0.1,0.1,,143.984997,0.1,0.1,0.1,
09/30/1990,129.033997,,,-97.078003,,31.955994,,-7.486,,,,,24.469999,-4.485,,9.036,,,-4.551,19.984999,-7.0,12.985,,,,12.984999,,12.985,0.0,,12.985,12.985,,139.659004,0.093333,0.093333,,139.659004,0.093333,0.093333,0.093333,
12/31/1990,144.5,,,-106.137001,,38.362999,,-7.325,,,,,31.038,-6.994,,8.685,,,-1.691,24.044,-8.9,15.144,,,,15.144,,15.144,-0.001,,15.143,15.143,,137.389503,0.11,0.11,,137.389503,0.11,0.11,0.11,
03/31/1991,153.479004,,,-107.689003,,45.790001,,-7.926,,,,,37.863998,-7.725,,9.684,,,-1.959,30.138998,-11.4,18.739,,,,18.738999,,18.739,0.0,,18.739,18.739,,138.170998,0.136667,0.136667,,138.170998,0.136667,0.136667,0.136667,
06/30/1991,156.076996,,,-112.421997,,43.654999,,-8.799,,,,,34.855999,-8.669,,10.609,,,-1.94,26.186999,-9.9,16.287001,,,,16.286999,,16.287001,0.0,,16.287001,16.287001,,139.053005,0.116667,0.116667,,139.053005,0.116667,0.116667,0.116667,
09/30/1991,152.513,,,-114.542999,,37.970001,,-7.949,,,,,30.021,-9.604,,10.776,,,-1.172,20.417,-2.3,18.117001,,,,18.117,,18.117001,0.0,,18.117001,18.117001,,143.126999,0.126667,0.126667,,143.126999,0.126667,0.126667,0.126667,
12/31/1991,181.179001,,,-130.085999,,51.093002,,-10.774,,,,,40.319,-8.19,,11.36,,,-3.17,32.129,-11.9,20.229,,,,20.229,,20.229,0.0,,20.229,20.229,,150.54,0.133333,0.133333,,150.54,0.133333,0.133333,0.133333,
03/31/1992,200.746002,,,-137.046005,,63.699997,,-10.577,,,,,53.123001,-12.553,,13.285,,,-0.732,40.570001,-15.4,25.17,,,,25.170002,,25.17,0.0,,25.17,25.17,,153.509995,0.163333,0.163333,,153.509995,0.163333,0.163333,0.163333,
06/30/1992,187.098999,,,-136.126999,,50.972,,-9.01,,,,,41.962002,-9.99,,13.887,,,-3.897,31.972002,-12.1,19.872,,,,19.872001,,19.872,0.0,,19.872,19.872,,153.354,0.13,0.13,,153.354,0.13,0.13,0.13,
09/30/1992,183.940002,,,-137.514008,,46.425995,,-9.3,,,,,37.125999,-9.63,,12.89,,,-3.26,27.495999,-10.4,17.096001,,,,17.095999,,17.096001,0.0,,17.096001,17.096001,,153.643997,0.11,0.11,,153.643997,0.11,0.11,0.11,
12/31/1992,200.692001,,,-139.735001,,60.957,,-9.806,,,,,51.151001,-11.853,,13.84,,,-1.987,39.298001,-14.9,24.398001,,,,24.398001,,24.398001,0.0,,24.398001,24.398001,,153.783004,0.16,0.16,,153.783004,0.16,0.16,0.16,
03/31/1993,224.371002,,,-152.899994,,71.471008,,-9.89,,,,,61.581001,-13.633,,14.581,,0.0,-0.948,47.948001,-18.700001,29.247999,2.031,,,27.217,0.0,27.216999,0.0,,27.216999,27.216999,,159.860001,0.17,0.185,,159.860001,0.17,0.185,0.185,
06/30/1993,217.048996,,,-155.128998,,61.919998,,-8.997,,,,,52.923,-12.59,,14.307,,0.0,-1.717,40.333,-16.0,24.333,0.0,,,24.333,0.0,24.333,0.0,,24.333,24.333,,167.231995,0.145,0.145,,167.231995,0.145,0.145,0.145,
09/30/1993,211.432007,,,-154.835007,,56.597,,-9.139,,,,,47.458,-9.851,,15.297,,0.0,-5.446,37.607,-17.799999,19.806999,0.0,,,19.807001,0.0,19.806999,0.0,,19.806999,19.806999,,169.309998,0.115,0.115,,169.309998,0.115,0.115,0.115,
12/31/1993,246.326004,,,-172.994003,,73.332001,,-15.68,,,,,57.652,-10.048,,15.446,,0.0,-5.398,47.604,-17.9,29.704,0.0,,,29.704,0.0,29.704,0.0,,29.704,29.704,,170.574006,0.175,0.175,,170.574006,0.175,0.175,0.175,
03/31/1994,261.257996,,,-171.716003,,89.541992,,-13.501,,,,,76.041,-13.108999,,15.624,,0.0,-2.515,62.932001,-25.487,37.445,0.0,,,37.445001,0.0,37.445,0.0,,37.445,37.445,,171.570007,0.22,0.22,,171.570007,0.22,0.22,0.22,
06/30/1994,262.862,,,-186.121002,,76.740997,,-11.37,,,,,65.371002,-14.661001,,16.832001,,0.0,-2.171,50.710001,-20.514999,30.195,0.0,,,30.195002,0.0,30.195,0.0,,30.195,30.195,,172.561996,0.175,0.175,,172.561996,0.175,0.175,0.175,
09/30/1994,277.813995,,,-200.899994,,76.914001,,-10.659,,,,,66.254997,-17.926999,,21.007999,,0.0,-3.081,48.327998,-19.725,28.603001,0.0,,,28.602998,0.0,28.603001,0.0,,28.603001,28.603001,,173.156006,0.165,0.165,,173.156006,0.165,0.165,0.165,
12/31/1994,315.240997,,,-217.242996,,97.998001,,-16.17,,,,,81.828003,-24.777,,26.659,,0.0,-1.882,57.051003,-22.249001,34.801998,0.0,,,34.802002,0.0,34.801998,0.0,,34.801998,34.801998,,178.121994,0.195,0.195,,178.121994,0.195,0.195,0.195,
