Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1991,0.15,,,,,,,-2.059313,,,,-1.909313,0.240094,,,,,,-0.240094,-1.669219,,-1.669219,,,,,,-1.669219,,,-1.669219,-1.669219,,130.224003,-0.012917,-0.012917,,130.224003,-0.012917,-0.012917,-0.012917,
06/30/1991,0.305,,,,,,,-2.06104,,,,-1.75604,0.221179,,,,,,-0.221179,-1.534861,,-1.534861,,,,,,-1.534861,,,-1.534861,-1.534861,,130.560001,-0.011667,-0.011667,,130.560001,-0.011667,-0.011667,-0.011667,
09/30/1991,0.293499,,,,,,,-3.427288,,,,-3.133789,0.157775,,,,,,-0.157775,-2.976014,,-2.976014,,,,,,-2.976014,,,-2.976014,-2.976014,,130.536003,-0.022917,-0.022917,,130.536003,-0.022917,-0.022917,-0.022917,
12/31/1991,0.283001,,,,,,,-3.097708,,,,-2.814707,0.34202,,,,,,-0.34202,-2.472687,,-2.472687,,,,,,-2.472687,,,-2.472687,-2.472687,,157.995071,-0.016667,-0.016667,,157.995071,-0.016667,-0.016667,-0.016667,
03/31/1992,0.2435,,,,,,,-1.966254,,,,-1.722754,0.477182,,,,,,-0.477182,-1.245572,,-1.245572,,,,,,-1.245572,,,-1.245572,-1.245572,,185.591995,-0.006667,-0.006667,,185.591995,-0.006667,-0.006667,-0.006667,
06/30/1992,0.301667,,,,,,,-2.228063,,,,-1.926396,0.463954,,,,,,-0.463954,-1.462442,,-1.462442,,,,,,-1.462442,,,-1.462442,-1.462442,,186.624,-0.007917,-0.007917,-0.007917,186.624,-0.007917,-0.007917,-0.007917,
09/30/1992,0.210832,,,,,,,-2.763192,,,,-2.55236,0.440646,,,,,,-0.440646,-2.111714,,-2.111714,,,,,,-2.111714,,,-2.111714,-2.111714,,187.704,-0.01125,-0.01125,-0.01125,187.704,-0.01125,-0.01125,-0.01125,
12/31/1992,0.087501,,,,,,,-2.927276,,,,-2.839775,0.512134,,,,,,-0.512134,-2.327641,,-2.327641,,,,,,-2.327641,,,-2.327641,-2.327641,,187.807272,-0.0125,-0.0125,-0.0125,187.807272,-0.0125,-0.0125,-0.0125,
03/31/1993,0.066,,,-0.114,,-0.048,,-2.527,,,,-2.575,0.314,,0.0,,0.0,,-0.314,-2.261,0.0,-2.261,0.0,,,-2.261,0.0,-2.261,0.0,,-2.261,-2.261,,188.111996,-0.012083,-0.012083,,188.111996,-0.012083,-0.012083,-0.012083,
06/30/1993,0.569,,,-0.455,,0.114,,-1.843,,,,-1.729,0.286,,0.0,,0.0,,-0.286,-1.443,0.0,-1.443,0.798,,,-2.241,0.0,-2.241,0.0,,-2.241,-2.241,,188.208,-0.012083,-0.007917,,188.208,-0.012083,-0.007917,-0.007917,
09/30/1993,0.677,,,-0.622,,0.055,,-2.029,,,,-1.974,0.228,,0.0,,0.0,,-0.228,-1.746,0.0,-1.746,0.839,,,-2.585,0.0,-2.585,0.0,,-2.585,-2.585,,188.231998,-0.01375,-0.009167,,188.231998,-0.01375,-0.009167,-0.009167,
12/31/1993,0.495,,,-0.254,,0.241,,-5.476,,,,-5.235,0.359,,0.0,,0.0,,-0.359,-4.876,0.0,-4.876,-1.637,,,-3.239,0.0,-3.239,0.0,,-3.239,-3.239,,188.231998,-0.017083,-0.025833,,188.231998,-0.017083,-0.025833,-0.025833,
03/31/1994,0.404,,,-0.217,,0.187,,-3.052,,,,-2.865,0.191,,0.0,,0.0,,-0.191,-2.674,0.0,-2.674,0.0,,,-2.674,0.0,-2.674,0.0,,-2.674,-2.674,,188.231998,-0.014167,-0.014167,,188.231998,-0.014167,-0.014167,-0.014167,
06/30/1994,0.636,,,-0.304,,0.332,,-2.367,,,,-2.035,0.115,,0.0,,0.0,,-0.115,-1.92,0.0,-1.92,1.66,,,-3.58,0.0,-3.58,0.0,,-3.58,-3.58,,188.231998,-0.019167,-0.010417,,188.231998,-0.019167,-0.010417,-0.010417,
09/30/1994,0.635,,,-0.292,,0.343,,-2.589,,,,-2.246,0.123,,0.0,,0.0,,-0.123,-2.123,0.0,-2.123,0.0,,,-2.123,0.0,-2.123,0.0,,-2.123,-2.123,,188.591995,-0.01125,-0.01125,,188.591995,-0.01125,-0.01125,-0.01125,
12/31/1994,0.581,,,-0.284,,0.297,,-1.615,,,,-1.318,0.158,,0.0,,0.0,,-0.158,-1.16,0.0,-1.16,0.676,,,-1.836,0.0,-1.836,0.0,,-1.836,-1.836,,188.591995,-0.009583,-0.005833,,188.591995,-0.009583,-0.005833,-0.005833,
03/31/1995,0.159,,,-0.16,,-0.001,,-2.254,,,,-2.255,0.108,,0.0,,0.0,,-0.108,-2.147,0.0,-2.147,0.0,,,-2.147,0.0,-2.147,0.0,,-2.147,-2.147,,188.711998,-0.01125,-0.01125,,188.711998,-0.01125,-0.01125,-0.01125,
06/30/1995,0.324,,,-0.204,,0.12,,-2.457,,,,-2.337,0.08,,0.0,,0.0,,-0.08,-2.257,0.0,-2.257,0.0,,,-2.257,0.0,-2.257,0.0,,-2.257,-2.257,,188.711998,-0.012083,-0.012083,,188.711998,-0.012083,-0.012083,-0.012083,
09/30/1995,0.292,,,-0.165,,0.127,,-2.377,,,,-2.25,-0.112,,0.232,,0.0,,-0.12,-2.362,0.0,-2.362,0.0,,,-2.362,0.0,-2.362,0.0,,-2.362,-2.362,,190.032005,-0.0125,-0.0125,,190.032005,-0.0125,-0.0125,-0.0125,
12/31/1995,0.398,,,-0.263,,0.135,,-3.953,,,,-3.818,0.067,,0.193,,0.0,,-0.26,-3.751,0.0,-3.751,0.0,,,-3.751,0.0,-3.751,0.0,,-3.751,-3.751,,204.6,-0.018333,-0.018333,-0.018333,204.6,-0.018333,-0.018333,-0.018333,
