Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Discontinued Operations,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2000,34.43,32.717,15.067,17.65,0.023,,,0.0,0.0,0.0,0.0,0.0,0.748,,,,33.487999,0.802,0.837,-0.035,0.0,,0.141,0.066,,,,0.075,0.943,,0.35,0.35,,,,0.0,,,,,,0.746,,,,,0.746,1.096,0.0,,,,,2.5,,,,,,2.5,2.5,3.596,37.397999,23.753,,,0.0,,-30.316999,30.834,0.0,30.834,34.43,
06/30/2000,33.694192,31.140078,19.595187,11.544891,0.0,,,0.0,0.0,0.0,0.0,0.0,0.932154,,,,32.072232,1.490784,,,0.0,,0.131176,0.131176,,,,0.0,1.62196,,1.170905,1.170905,,,,0.24465,0.0,0.24465,0.24465,,,0.0,,,,,0.0,1.415555,1.021245,0.0,1.021245,1.021245,,3.75,,,,,,3.75,4.771245,6.1868,,,,,0.0,,27.507392,27.507392,0.0,27.507392,33.694192,
09/30/2000,134.965004,124.168641,121.582842,2.585799,6.2,,,,,,,,2.025477,,,,132.394118,2.125131,,,0.0,,0.445755,0.445755,,,,0.0,2.570886,,1.946518,1.946518,,,,0.252628,0.0,0.252628,0.252628,,,0.0,,,,,0.0,2.199146,0.955016,0.0,0.955016,0.955016,,5.0,,,,,,5.0,5.955016,8.154162,,,,,,,126.810842,126.810842,,126.810842,134.965004,
12/31/2000,132.792999,117.102997,116.101997,1.001,0.0,,,0.0,0.0,0.0,0.0,0.0,11.964,,,,129.067001,3.289,3.724,-0.435,0.0,,0.437,0.038,,,,0.399,3.726,,0.727,0.727,,,,0.261,0.000133,0.260867,0.260867,,,1.818,,,,,1.818,2.806,0.887,0.000373,0.886627,0.886627,,5.0,,,,,,5.0,5.887,8.693,0.0,163.399002,,,0.0,,-39.299,124.100002,0.0,124.100002,132.793002,
03/31/2001,130.692993,115.230999,113.598999,1.632,0.0,,,0.0,0.0,0.0,0.0,0.0,10.473,,,,125.704002,4.561,,,0.0,,0.428,0.0,,,,0.428,4.989,,3.174,3.174,,,,0.269,-0.000374,0.269374,0.269374,,,0.0,,,,,0.0,3.443,0.816,-8e-06,0.816008,0.816008,,5.188,,,,,,5.188,6.004,9.447,0.0,,,,0.0,,121.246002,121.246002,0.0,121.246002,130.693002,
06/30/2001,130.151993,109.963001,11.423,98.540001,0.0,,,0.0,0.0,0.0,0.0,0.0,13.111,,,,123.073997,6.66,,,0.0,,0.418,0.0,,,,0.418,7.078,,3.151,3.151,,,,0.278,-0.000159,0.278159,0.278159,,,0.0,,,,,0.0,3.429,0.743,-8.6e-05,0.743086,0.743086,,8.875,,,,,,8.875,9.618,13.047,0.0,,,,0.0,,117.105003,117.105003,0.0,117.105003,130.152003,
09/30/2001,127.544998,100.493999,3.743,96.750999,0.0,,,0.0,0.0,0.0,0.0,0.0,4.515,,,,105.009003,22.114,,,0.0,,0.422,0.0,,,,0.422,22.536,,2.92,2.92,,,,0.287,0.287,0.0,0.0,,,0.0,,,,,0.0,3.207,0.668,0.668,0.0,0.0,,10.062,,,,,,10.062,10.73,13.937,0.0,,,,0.0,,113.608002,113.608002,0.0,113.608002,127.545002,
12/30/2001,122.464996,90.494002,4.165,86.329002,1.266,,,0.0,0.0,0.0,0.0,0.0,4.5,,,,96.260002,25.972,27.801001,-1.829,0.0,,0.233,0.0,,,,0.233,26.205,,1.975,1.975,,,,0.297,0.0,0.297,0.297,,,2.536,,,,,2.536,4.808,0.59,0.0,0.59,0.59,,10.276,,,,,,10.276,10.866,15.674,0.0,164.218002,,,0.0,,-57.426998,106.791004,0.0,106.791004,122.465004,
03/31/2002,140.552002,87.779999,10.417,77.362999,1.525,1.525,,1.08,0.913,0.165,0.002,0.0,0.262,,,,90.647003,49.317001,,,0.0,,0.588,0.0,,,,0.588,49.905001,,4.264,4.264,,,,0.625,0.319,0.306,0.306,,,0.0,,,,,0.0,4.889,25.618999,25.618999,0.0,0.0,,10.913,,,,,,10.913,36.532,41.421,0.0,0.0,,,0.0,,99.130997,99.130997,0.0,99.130997,140.551996,
06/30/2002,133.613998,80.082998,0.705,79.377998,2.064,2.064,,1.296,1.167,0.129,0.0,0.0,0.176,,,,83.619003,49.412998,,,0.0,,0.582,0.582,,,,0.0,49.994998,,4.344,4.344,,,,0.642,0.326,0.316,0.316,,,7.7,,,,,7.7,12.686,25.533001,25.533001,0.0,0.0,,10.706,,,,,,10.706,36.239001,48.925001,0.0,0.0,,,0.0,,84.689003,84.689003,0.0,84.689003,133.614004,
09/29/2002,128.464996,73.724001,1.185,72.539001,3.048,3.048,,1.609,1.516,0.093,0.0,0.0,0.518,,,,78.899002,48.875,,,0.0,,0.691,0.691,,,,0.0,49.566,,5.203,5.203,,,,0.66,0.333,0.327,0.327,,,7.859999,,,,,7.859999,13.723,25.451,25.451,0.0,0.0,,10.596,,,,,,10.596,36.047,49.77,0.0,0.0,,,0.0,,78.695,78.695,0.0,78.695,128.464999,
12/29/2002,121.905998,53.764001,2.037,51.727001,3.731,,,2.299,1.552,0.407,0.34,0.0,13.025,,,,72.819,48.278999,54.631001,-6.352,0.0,,0.808,0.808,0.0,0.808,,0.0,49.086999,,1.77,1.77,,,,0.677,0.34,0.337,0.337,,,11.85,,,,,11.85,14.297,25.620001,25.367001,0.253,0.253,,10.245,,,,,,10.245,35.865001,50.162001,0.0,164.807999,,,0.0,0.0,-93.064003,71.743996,0.0,71.743996,121.905996,
03/30/2003,115.219002,47.902998,4.879,43.023998,2.89,2.89,,2.34,1.389,0.561,0.39,0.0,13.037,,,,66.169998,48.076,,,0.0,,0.973,0.973,,,,0.0,49.049,,6.723,6.723,,,,0.692,0.344,0.348,0.348,,,8.241,,,,,8.241,15.656,25.273001,25.273001,0.0,0.0,,10.404,,,,,,10.404,35.677001,51.333001,0.0,0.0,,,0.0,,63.886002,63.886002,0.0,63.886002,115.219003,
06/29/2003,106.537003,40.093998,6.466,33.627998,2.949,2.949,,2.534,1.218,0.96,0.356,0.0,12.742,,,,58.319,47.27,,,0.0,,0.948,0.948,,,,0.0,48.218,,6.16,6.16,,,,0.778,0.351,0.427,0.427,,,8.280001,,,,,8.280001,15.218,25.18,25.18,0.0,0.0,,10.237,,,,,,10.237,35.417001,50.635001,0.0,0.0,,,0.0,,55.902,55.902,0.0,55.902,106.537002,
09/28/2003,106.276001,38.848,9.989,28.858999,3.825,3.825,,2.646,0.955,0.99,0.701,0.0,13.194,,,,58.513,46.743,,,0.0,,1.02,1.02,,,,0.0,47.763,,10.959,10.959,,,,0.699,0.358,0.341,0.341,,,8.469001,,,,,8.469001,20.127001,25.09,25.09,0.0,0.0,,10.0,,,,,,10.0,35.09,55.217001,0.0,0.0,,,0.0,,51.058998,51.058998,0.0,51.058998,106.275999,
12/28/2003,99.234001,32.782,12.465,20.316999,4.798,,,2.022,0.829,0.931,0.262,0.0,0.816,,,,40.417999,45.777,56.331001,-10.554,0.0,,13.039,0.848,0.0,0.848,,12.191,58.816,,2.03,2.03,,,,0.619,0.366,0.253,0.253,,,5.54,,,,,5.54,8.189,24.999001,24.999001,0.0,0.0,,18.658001,,,,,,18.658001,43.657001,51.846002,,165.643005,,,0.0,0.0,-118.254997,47.388008,,47.388008,99.23401,
03/28/2004,98.223,27.789,8.74,19.049,9.042,8.877,,2.15,0.815,1.148,0.187,0.0,0.682,,,,39.663,45.473,,,0.0,,13.087,0.941,0.0,0.941,,12.146,58.56,,9.223,9.223,,,,0.542,0.38,0.162,0.162,,,0.0,,,,,0.0,9.765,24.893,24.893,0.0,0.0,,18.847,,,,,,18.847,43.74,53.505,0.0,,,,,,44.718,44.718,0.0,44.718,98.223,
