Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2011,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,
09/30/2011,2165.0,,,,,,0.0,,,,,,,,,,,,,,,,,45.0,,,,,,38.0,,0.0,38.0,38.0,,,0.07,0.07,0.07,,0.07,0.07,0.07,
12/31/2011,2225.0,,,,,,0.0,,,,,,,,,,,,,,,,,83.0,,,,,,73.0,,0.0,73.0,73.0,,,0.13,0.13,0.13,,0.13,0.13,0.13,
03/31/2012,2130.0,,,,,,0.0,,,,,,,,,,,,,,,,,39.0,,,,,,32.0,,0.0,32.0,32.0,,,0.06,0.06,0.06,,0.06,0.06,0.06,
06/30/2012,2134.0,1731.0,403.0,,,,0.0,-4722.0,681.0,,125.0,3916.0,-2588.0,-37.0,-17.0,,,,-3.0,57.0,-2625.0,418.0,,-2207.0,0.0,0.0,0.0,-2207.0,-11.0,-2218.0,0.0,0.0,-2218.0,52.85,2270.85,,,,,,,,,
09/30/2012,2133.0,1649.0,484.0,-1334.0,1334.0,799.0,0.0,-950.0,710.0,,125.0,115.0,-151.0,40.0,-11.0,,,,-26.0,-3.0,-111.0,28.0,,-83.0,0.0,0.0,0.0,-83.0,-9.0,-92.0,0.0,0.0,-92.0,39.23704,131.23704,578.8,-0.16,-0.16,0.06779,578.8,-0.16,-0.16,0.06674,
12/31/2012,2321.0,1817.0,504.0,-1352.0,1352.0,969.0,0.0,-860.0,669.0,,129.0,62.0,109.0,1298.0,-18.0,,,,-28.0,-1252.0,1407.0,4.0,,1411.0,0.0,0.0,0.0,1411.0,-12.0,1399.0,0.0,0.0,1399.0,612.299969,-786.700031,579.0,2.42,2.42,1.057513,579.0,2.42,2.42,1.057513,
03/31/2013,2180.0,1749.0,431.0,-1354.0,1354.0,826.0,0.0,-855.0,657.0,,144.0,54.0,-29.0,366.0,-25.0,,,,-27.0,-314.0,337.0,-5.0,,332.0,0.0,0.0,0.0,332.0,-9.0,323.0,0.0,0.0,323.0,66.000024,-256.999976,578.8,0.56,0.56,0.114029,578.8,0.56,0.56,0.114029,
06/30/2013,2257.0,1800.0,457.0,-1380.0,1380.0,877.0,0.0,-2403.0,747.0,,150.0,1506.0,-1526.0,66.0,-23.0,,,,-19.0,-24.0,-1460.0,347.0,,-1113.0,0.0,0.0,0.0,-1113.0,-11.0,-1124.0,0.0,0.0,-1124.0,82.284773,1206.284773,579.0,-1.94,-1.94,0.142115,579.0,-1.94,-1.94,0.142115,
09/30/2013,2072.0,1637.0,435.0,-1295.0,1295.0,777.0,0.0,-804.0,636.0,,141.0,27.0,-27.0,-411.0,-17.0,,,,-13.0,441.0,-438.0,476.0,,38.0,0.0,0.0,0.0,38.0,-11.0,27.0,0.0,0.0,27.0,69.911352,42.911352,579.0,0.05,0.05,0.120745,580.0,0.05,0.05,0.120745,
12/31/2013,2238.0,1741.0,497.0,-1274.0,1274.0,964.0,0.0,-811.0,637.0,,138.0,36.0,153.0,-198.0,-16.0,,,,-17.0,231.0,-45.0,211.0,,166.0,0.0,0.0,0.0,166.0,-15.0,151.0,-1.0,0.0,150.0,201.34613,51.34613,578.9,0.26,0.26,0.347808,579.6,0.26,0.26,0.347808,
03/31/2014,2078.0,1617.0,461.0,-1259.0,1259.0,819.0,0.0,-796.0,644.0,,142.0,10.0,23.0,39.0,-17.0,,,,-23.0,1.0,62.0,-1.0,,61.0,0.0,0.0,0.0,61.0,-13.0,48.0,0.0,0.0,48.0,65.41935,17.41935,579.0,0.08,0.08,0.112987,579.8,0.08,0.08,0.110044,
06/30/2014,2186.0,1712.0,474.0,-1311.0,1311.0,875.0,0.0,-926.0,748.0,,157.0,21.0,-51.0,75.0,-18.0,,,,-37.0,-20.0,24.0,5.0,,29.0,0.0,0.0,0.0,29.0,-16.0,13.0,-1.0,0.0,12.0,12.65,0.65,579.0,0.02,0.02,0.021848,580.0,0.02,0.02,0.021121,
09/30/2014,2108.0,1592.0,516.0,-1282.0,1282.0,826.0,0.0,-760.0,632.0,,124.0,4.0,66.0,90.0,-17.0,,,,-25.0,-48.0,156.0,-47.0,,109.0,21.0,21.0,0.0,88.0,-23.0,65.0,0.0,0.0,65.0,83.700006,-2.299994,579.5,0.11,0.15,0.144435,579.9,0.11,0.15,0.144435,
12/31/2014,2258.0,1682.0,576.0,-1251.0,1251.0,1007.0,0.0,-799.0,655.0,,127.0,17.0,208.0,39.0,-13.0,,,,-16.0,-10.0,247.0,-65.0,,182.0,19.0,19.0,0.0,163.0,-20.0,143.0,-1.0,0.0,142.0,184.9,23.9,580.2,0.24,0.27,0.318683,582.5,0.24,0.27,0.31103,
03/31/2015,2041.0,1542.0,499.0,-1204.0,1204.0,837.0,0.0,-787.0,653.0,,124.0,10.0,50.0,31.0,-12.0,,,,-7.0,-12.0,81.0,-25.0,,56.0,22.0,22.0,0.0,34.0,-11.0,23.0,0.0,0.0,23.0,46.165375,1.165375,581.8,0.04,0.08,0.079349,583.2,0.04,0.08,0.079349,
06/30/2015,2117.0,1627.0,490.0,-1215.0,1215.0,902.0,0.0,-863.0,687.0,,123.0,53.0,39.0,29.0,-14.0,,,,-10.0,-5.0,68.0,-48.0,,20.0,383.0,383.0,0.0,-363.0,-15.0,-378.0,-1.0,0.0,-379.0,55.617831,51.617831,583.0,-0.65,0.01,0.095399,584.0,-0.65,0.01,0.095399,
09/30/2015,2014.0,1519.0,495.0,-1199.0,1199.0,815.0,0.0,-788.0,650.0,,121.0,17.0,27.0,25.0,-12.0,,,,-8.0,-5.0,52.0,91.0,,143.0,-46.0,-46.0,0.0,189.0,-14.0,175.0,,0.0,175.0,35.947064,-93.052936,581.0,0.3,0.22,0.061871,582.7,0.3,0.22,0.060307,
12/31/2015,2161.0,1437.0,724.0,-1193.0,1193.0,968.0,0.0,-833.0,688.0,,123.0,22.0,135.0,20.0,-11.0,,,,-15.0,6.0,155.0,-49.0,,106.0,24.0,24.0,0.0,82.0,-19.0,63.0,-1.0,0.0,62.0,112.45,26.45,581.0,0.11,0.15,0.193546,583.0,0.11,0.15,0.193546,
03/31/2016,1891.0,1286.0,605.0,-1084.0,1084.0,807.0,0.0,-1079.0,649.0,,126.0,304.0,-272.0,46.0,-11.0,,,,-2.0,-33.0,-226.0,98.0,,-128.0,2.0,2.0,0.0,-130.0,-19.0,-149.0,0.0,0.0,-149.0,33.290437,180.290437,580.2,-0.26,-0.26,0.057378,580.2,-0.26,-0.26,0.050738,
06/30/2016,2226.0,1497.0,729.0,-1252.0,1252.0,974.0,0.0,-774.0,735.0,,135.0,-96.0,200.0,0.0,-9.0,,,,-5.0,14.0,200.0,-86.0,,114.0,5.0,5.0,0.0,109.0,-19.0,90.0,-1.0,0.0,89.0,77.25,-16.75,580.0,0.15,0.16,0.13319,582.0,0.15,0.16,0.13122,
09/30/2016,1965.0,1463.0,502.0,-1157.0,1157.0,808.0,0.0,-818.0,678.0,,120.0,20.0,-10.0,9.0,-7.0,,,,15.0,-17.0,-1.0,1.0,,0.0,0.0,0.0,0.0,0.0,-15.0,-15.0,,0.0,-15.0,-3.275,11.725,580.8,-0.03,-0.03,-0.005639,580.8,-0.03,-0.03,-0.009812,
12/31/2016,2116.0,1343.0,773.0,-1126.0,1126.0,990.0,0.0,-1141.0,665.0,,120.0,356.0,-151.0,-100.0,-15.0,,,,238.0,-123.0,-251.0,32.0,,-219.0,0.0,0.0,0.0,-219.0,-70.0,-289.0,-1.0,0.0,-290.0,86.739745,376.739745,581.0,-0.5,-0.5,0.149294,581.0,-0.5,-0.5,0.148433,
