Date,Cash From Operating Activities,Net Income,Cash From Operations,Cash From Investing Activities,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,114.276001,25.471001,,,,,
06/30/1990,,114.056,106.181999,,,,,
09/30/1990,,106.398003,198.580002,,,,,
12/31/1990,,120.950996,158.014008,,,158.014008,,
03/31/1991,,133.276001,85.698997,,,,,
06/30/1991,,127.518997,190.018005,,,,,
09/30/1991,,140.246994,219.384003,,,,,
12/31/1991,,134.386002,134.386002,,,134.386002,,
03/31/1992,,-85.274002,67.125999,,,,,
06/30/1992,,-85.274002,67.125999,,,,,
09/30/1992,,137.897003,171.970993,,,,,
12/31/1992,,147.843994,147.843994,,,147.843994,,
03/31/1993,,144.578003,159.932007,,,,,
06/30/1993,,125.281998,201.227997,,,,,
09/30/1993,,-30.07,185.201004,,,,,
12/31/1993,,163.722,163.722,,,163.722,,
03/31/1994,,134.753006,200.294998,,,,,
06/30/1994,,120.084999,111.176003,,,,,
09/30/1994,,134.235001,223.511993,,,,,
12/31/1994,,101.690002,175.158997,,,,,
03/31/1995,,151.617004,45.675999,,,,,
06/30/1995,,115.860001,206.962997,,,,,
