Date,Total Assets,Cash & Cash Equivalents,ST And LT Investments,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Real Estate Investments,Other Investments,Net Receivables,Total Consumer Loans,Credit Card Loans,Student Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
02/28/2007,29763.802734,314.097992,2593.518555,,,0.0,,105.309998,,,,,,22293.259766,-793.849976,21499.410156,657.844971,,730.874023,533.380981,,,,0.0,25362.157195,,,,,,,17661.876953,3172.146973,,,,,1506.449951,,,,,,,,,1894.671021,24235.144898,0.0,2658.0,,,0.0,2742.052979,128.60498,5528.657959,0,5528.657959,29763.802857,
08/31/2007,36141.011,8600.761,424.746,,,0.0,,126.486,,,,,,22387.8,-792.883,21594.917,656.98,,739.851,540.891,,,,,25592.187,,71.66,22905.631,3825.058,19080.573,,22977.291,3436.737,,,,,2134.046,5.266,5.266,2128.78,,,,,,1925.655,30473.729,0.0,2830.435,,,0.0,2803.535,33.312,5667.282,0,5667.282,36141.011,
11/30/2007,37376.105,8085.467,525.439,,,0.0,,123.292,,,,,,20831.117,-759.925,20071.192,575.229,,315.19,255.421,,,,,27751.488,,,,,,,24711.313,250.0,,,,,2134.093,4.952,4.952,2129.141,,,,,,4681.277,31776.683,0.0,2850.904,,,-1.419,2717.905,32.032,5599.422,0,5599.422,37376.105,
02/29/2008,37328.059,8286.29,1241.578,,,0.0,,122.765,,,,,,20693.609,-860.378,19833.231,567.475,,313.321,255.421,,,,,26796.63,,,,,,,24941.776,250.0,,,,,1976.147,4.633,4.633,1971.514,,,,,,4505.795,31673.718,0.0,2890.403,,,-2.412,2761.159,5.191,5654.341,0,5654.341,37328.059,
05/31/2008,34233.542,8765.384,1769.787,,,0.0,,131.388,,,,,,19787.431,-846.775,18940.656,556.03,,311.451,255.421,,,,,22699.502,,,,,,,24767.649,0.0,,,,,1889.909,4.309,4.309,1885.6,,,,,,1726.293,28383.851,0.0,2913.472,,,-4.405,2966.053,-25.429,5849.691,0,5849.691,34233.542,
08/31/2008,37317.815,10475.475,1198.755,,,0.0,,133.026,,,,,,21767.483,-959.769,20807.714,563.869,,309.582,255.421,,,,,24637.108,,80.96,26878.293,4101.136,22777.157,,26959.253,0.0,,,,,1854.263,3.98,3.98,1850.283,,,,,,2503.906,31317.422,0.0,2929.725,,,-7.167,3116.818,-38.983,6000.393,0,6000.393,37317.815,
11/30/2008,39892.382,10171.143,1227.944,,,0.0,,159.021,25216.611,,,,,25216.611,-1374.585,23842.026,552.502,,458.74,255.421,,,,,27323.032,,,,,,,28530.521,905.578,,,,,1329.805,3.646,3.646,1326.159,,,,,,3210.655,33976.559,0.0,2943.462,,,-8.257,3046.956,-66.338,5915.823,0,5915.823,39892.382,
02/28/2009,40606.518,8724.208,1302.58,1202.537,100.043,,0.0,150.1,28034.208,26156.681,642.624,1234.903,0.0,28034.208,-1878.942,26155.266,544.219,544.219,456.819,255.421,201.398,,,0.0,3273.326,,82.171,28252.147,4078.07,24174.077,0.0,28334.318,2375.0,,,,2375.0,1432.631,3.306,3.306,1429.325,,,,,,2465.218,34607.167,0.0,2942.871,4.828,2938.043,-14.418,3136.977,-66.079,5999.351,0,5999.351,40606.518,
05/31/2009,41518.288,9694.825,1529.42,1429.738,99.682,,,187.662,27441.514,25312.764,816.177,1312.573,0.0,27441.514,-1986.473,25455.041,531.166,531.166,454.898,255.421,199.477,,,0.0,3665.276,,63.836,29085.894,4033.399,25052.495,0.0,29149.73,500.0,,,,500.0,1427.043,2.961,2.961,1424.082,,,,,,3025.875,34102.648,1151.979,3034.823,4.831,3029.992,-14.854,3296.234,-52.542,7415.64,0,7415.64,41518.288,
08/31/2009,42698.29,10828.242,3266.534,1523.726,1742.808,,,183.23,25489.809,22721.603,1419.513,1348.693,0.0,25489.809,-1832.36,23657.449,518.105,518.105,452.977,255.421,197.556,,,0.0,3791.753,,98.079,29469.059,4237.745,25231.314,0.0,29567.138,,,,,,1795.134,2.611,2.611,1792.523,,,,,,2949.816,34312.088,1154.739,3569.432,5.446,3563.986,-18.605,3705.608,-24.972,8386.202,0,8386.202,42698.29,
