Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,706.336975,,,-596.603027,,,109.733948,,-84.816002,,,,,,24.917999,12.565,,0.678,,,,-13.243,37.482999,-12.411,25.072001,0.0,,,25.071999,0.0,25.072001,0.0,,25.072001,25.072001,,406.366893,0.061836,0.061836,,406.366893,0.061836,0.061836,0.061836,
06/30/1990,679.788025,,,-577.679016,,,102.109009,,-86.453003,,,,,,15.656,11.092,,0.937,,,,-12.029,26.748,-7.943,18.805,0.0,,,18.805001,0.0,18.805,0.0,,18.805,18.805,,406.401805,0.046377,0.046377,,406.401805,0.046377,0.046377,0.046377,
09/30/1990,664.882019,,,-574.846008,,,90.036011,,-80.612999,,,,,,9.423,10.754,,1.909,,,,-12.663,20.177,-6.133,14.044,0.0,,,14.044001,0.0,14.044,0.0,,14.044,14.044,,406.122375,0.034353,0.034353,,406.122375,0.034353,0.034353,0.034353,
12/31/1990,727.104004,,,-618.512024,,,108.59198,,-102.466003,,,,,,6.126,3.622,,2.212,,,-0.012,-5.822,9.748,-3.989,5.759,0.0,,,5.759,0.0,5.759,0.0,0.0,5.759,5.759,,406.366898,0.0146,0.0146,0.0146,406.366898,0.0146,0.0146,0.0146,
03/31/1991,524.148987,,,-461.966003,,,62.182983,,-84.825996,,,,,,-22.643,11.684,,1.094,,,,-12.778,-10.959,5.97,-4.989,-15.427,,,10.438,0.0,10.438,0.0,,10.438,10.438,,393.675203,0.026624,-0.012882,,393.675203,0.026624,-0.012882,-0.012882,
06/30/1991,551.021973,,,-470.251007,,,80.770966,,-84.401001,,,,,,-3.63,13.556,,1.129,,,,-14.685,9.926,-1.315,8.611,0.0,,,8.611,0.0,8.611,0.0,,8.611,8.611,,393.710116,0.021471,0.021471,,393.710116,0.021471,0.021471,0.021471,
09/30/1991,616.599976,,,-524.166992,,,92.432983,,-84.809998,,,,,,7.623,14.687,,1.197,,,,-15.884,22.31,-5.352,16.958,0.0,,,16.958,0.0,16.958,0.0,,16.958,16.958,,393.73339,0.042941,0.042941,,393.73339,0.042941,0.042941,0.042941,
12/31/1991,647.10498,,,-555.729004,,,91.375976,,-82.261002,,,,,,9.115,17.951999,,0.891,,,0.026,-18.868999,27.066999,-7.917,19.15,0.0,,,19.149999,0.0,19.15,0.0,0.0,19.15,19.15,,393.558738,0.048953,0.048953,0.048953,393.558738,0.048953,0.048953,0.048953,
03/31/1992,628.846985,,,-545.682983,,,83.164001,,-82.420998,,,,,,0.743,12.254,,0.59,,,,-12.844,12.997,-2.21,10.787,0.0,,,10.787,0.0,10.787,0.0,,10.787,10.787,,393.814896,0.027483,0.027483,,393.814896,0.027483,0.027483,0.027483,
06/30/1992,612.400024,,,-524.200012,,,88.200012,,-83.0,,,,,,5.2,10.0,,0.6,,,,-10.6,15.2,-4.1,11.1,0.0,,,11.1,0.0,11.1,0.0,,11.1,11.1,,393.558741,0.028341,0.028341,,393.558741,0.028341,0.028341,0.028341,
09/30/1992,722.799988,,,-623.5,,,99.299988,,-80.800003,,,,,,18.5,8.2,,0.6,,,,-8.8,26.7,-8.5,18.200001,0.0,,,18.2,0.0,18.200001,0.0,,18.200001,18.200001,,393.558741,0.046377,0.046377,,393.558741,0.046377,0.046377,0.046377,
12/31/1992,771.153015,,,-652.817017,,,118.335998,,-88.679001,,,,,,29.657,7.046,,0.81,,,,-7.856,36.703,-11.59,25.113001,0.0,,,25.113,0.0,25.113001,0.0,0.0,25.113001,25.113001,,393.558738,0.063553,0.063553,0.063553,393.558738,0.063553,0.063553,0.063553,
03/31/1993,800.5,,,-687.700012,,,112.799988,,-79.199997,,,,,,33.599998,7.5,,0.5,,,,-8.0,41.099998,-13.7,27.4,0.0,,,27.399999,0.0,27.4,0.0,,27.4,27.4,,393.558741,0.069565,0.069565,,393.558741,0.069565,0.069565,0.069565,
06/30/1993,877.5,,,-754.299988,,,123.200012,,-79.400002,,,,,,43.799999,5.9,,0.5,,,,-6.4,49.699999,-16.9,32.799999,0.0,,,32.8,0.0,32.799999,0.0,,32.799999,32.799999,,393.558741,0.083306,0.083306,,393.558741,0.083306,0.083306,0.083306,
09/30/1993,925.400024,,,-786.299988,,,139.100037,,-85.199997,,,,,,53.900002,6.1,,0.4,,,,-6.5,60.000002,-23.5,36.5,0.0,,,36.500002,0.0,36.5,0.0,,36.5,36.5,,393.558741,0.092754,0.092754,,393.558741,0.092754,0.092754,0.092754,
12/31/1993,938.099976,,,-790.900024,,,147.199952,,-87.400002,,,,,,59.799999,9.2,,0.5,,,0.0,-9.7,68.999999,-23.5,45.5,0.0,,,45.499999,0.0,45.5,0.0,0.0,45.5,45.5,,395.363555,0.115083,0.115083,0.115083,395.363555,0.115083,0.115083,0.115083,
03/31/1994,1031.900024,,,-856.0,,,175.900024,,-88.300003,,,,,,87.599998,-19.6,,0.5,,,,19.1,67.999998,-24.4,43.599998,0.0,,,43.599998,0.0,43.599998,0.0,,43.599998,43.599998,,393.862515,0.110617,0.110617,,393.862515,0.110617,0.110617,0.110617,
06/30/1994,1121.900024,,,-948.299988,,,173.600037,,-94.599998,,,,,,79.0,5.7,,0.6,,,,-6.3,84.7,-28.299999,56.400002,0.0,,,56.400001,-5.8,50.599998,0.0,,50.599998,50.599998,,393.862515,0.128395,0.128395,,393.862515,0.128395,0.128395,0.128395,
09/30/1994,1169.400024,,,-988.200012,,,181.200012,,-99.099998,,,,,,82.099998,6.4,,0.8,,,,-7.2,88.499998,-30.1,58.400002,0.0,,,58.399998,-5.2,53.200001,0.0,,53.200001,53.200001,,393.862515,0.135309,0.135309,,393.862515,0.135309,0.135309,0.135309,
12/31/1994,1166.900024,,,-1008.599976,,,158.300048,,-100.900002,,,,,,57.400002,38.099999,,0.7,,,0.0,-38.799999,95.500001,-32.799999,62.700001,0.0,,,62.700002,-5.6,57.099998,0.0,0.0,57.099998,57.099998,,393.86252,0.145185,0.145185,0.145185,393.86252,0.145185,0.145185,0.145185,
03/31/1995,1183.599976,,,-1012.400024,,,171.199952,,-100.800003,,,,,,70.400002,11.9,,0.5,,,,-12.4,82.300002,-28.9,53.400002,0.0,,,53.400002,0.9,54.299999,0.0,,54.299999,54.299999,,393.86252,0.138272,0.138272,0.138272,393.86252,0.138272,0.138272,0.138272,
06/30/1995,1268.400024,,,-1075.800049,,,192.599975,,-97.300003,,,,,,95.300003,7.7,,0.4,,,,-8.1,103.000003,-38.400002,64.599998,0.0,,,64.600001,0.5,65.099998,0.0,,65.099998,65.099998,,393.86252,0.164938,0.164938,0.164938,393.86252,0.164938,0.164938,0.164938,
09/30/1995,1212.099976,,,-1028.699951,,,183.400025,,-95.800003,,,,,,87.599998,21.4,,0.5,,,,-21.9,108.999998,-40.700001,68.300003,0.0,,,68.299997,0.0,68.300003,0.0,,68.300003,68.300003,,393.86252,0.173827,0.173827,0.173827,393.86252,0.173827,0.173827,0.173827,
12/31/1995,1165.900024,,,-977.299988,,,188.600036,,-101.400002,,,,,,87.199997,16.5,,0.6,,,,-17.1,103.699997,-38.799999,64.900002,0.0,,,64.899998,0.2,65.099998,0.0,,65.099998,65.099998,,393.86252,0.164938,0.164938,0.164938,393.86252,0.164938,0.164938,0.164938,
03/31/1996,1094.599976,,,-932.299988,,,162.299988,,-112.599998,,,,,,49.700001,6.1,,0.6,,,,-6.7,55.800001,-20.1,35.700001,0.0,,,35.7,0.0,35.700001,0.0,,35.700001,35.700001,,392.890509,0.090864,0.090864,0.108741,393.862515,0.090864,0.090864,0.108741,
06/30/1996,1100.5,,,-934.200012,,,166.299988,,-93.599998,,,,,,72.699997,9.8,,0.5,,,,-10.3,82.499997,-30.799999,51.700001,0.0,,,51.699998,0.0,51.700001,0.0,,51.700001,51.700001,,390.64276,0.132346,0.132346,0.132346,393.86252,0.132346,0.132346,0.132346,
09/30/1996,1113.599976,,,-945.299988,,,168.299988,,-96.599998,,,,,,71.699997,9.1,,0.6,,,,-9.7,80.799997,-29.700001,51.099998,0.0,,,51.099996,0.0,51.099998,0.0,,51.099998,51.099998,,391.95902,0.13037,0.13037,0.13037,393.86252,0.13037,0.13037,0.13037,
12/31/1996,1276.0,,,-1073.099976,,,202.900024,,-125.0,,,,,,77.900002,14.200001,,2.5,,,0.0,-16.700001,92.100003,-31.299999,60.799999,0.0,,,60.800004,1.7,62.5,0.0,,62.5,62.5,,393.86252,0.158025,0.158025,0.158025,393.86252,0.158025,0.158025,0.158025,
