Date,Assets,Net Plant in Service,Gross Utility Plant in Service,Accum Depreciation for Plant Asset,Plant Construction in Progress,Net Nuclear Fuel,Total Utility Plant,Cash & Near Cash Items,Marketable Securities,Restricted Bond Proceeds,Net Accounts Receivable,Supplies And Fuel,Prepaid Expenses,Other Current Assets,Total Current Assets,Decommissioning Funds,Long-Term Investments,Investments in Associated Co.,Other Property & Equipment,Deferred Charges & Others,Total Long Term Assets,Total Assets,Liabilities & Shareholders' Equity,ST Portion of LT Debts,Short Term Debt,Accounts Payable,Other Accounts Payable and Accruals,Other Current Liabilities,Total Current Liabilities,Accum Deferred Income Taxes,Accumulated Deferred ITC,Long-Term Borrowings,Other Liabilities,Total Long-Term Liabilities,Common Stock,Additional Paid in Capital,Retained Earnings & Other Equity,Total Preferred Equity,Minority Interest,Total Equity,Total Capitalization & Liabilities,Source: Bloomberg
03/31/1990,,3157.596924,4579.155762,-1421.55896,,0.0,3157.596924,36.324001,0.0,0.0,84.736,135.298004,21.298,9.556,287.212006,0.0,,,20.295,143.052002,163.347002,3608.156006,,57.252998,15.0,164.434998,148.565994,52.341999,437.596008,583.61499,135.112,1257.282959,43.668999,2019.678955,860.744019,11.181,114.023003,164.932999,0.0,1150.880989,3608.156006,
06/30/1990,,3160.573975,4618.583008,-1458.009033,,0.0,3160.573975,34.456001,0.0,0.0,46.205002,140.466003,28.488001,1.937,251.552002,0.0,,,24.405001,141.097,165.502001,3577.62793,,57.153,52.837002,113.753998,116.824997,62.236,402.804993,586.650024,141.175995,1252.900024,45.653999,2026.380005,860.745972,11.181,111.682999,164.832993,0.0,1148.442993,3577.62793,
09/30/1990,,3150.693115,4641.515137,-1490.822021,,0.0,3150.693115,43.013,0.0,0.0,37.641998,157.751007,17.707001,0.0,256.113007,0.0,,,26.764,138.889999,165.653999,3572.459961,,79.252998,75.823997,126.940002,126.699997,55.577,464.294006,581.609985,143.498993,1181.072021,46.898998,1953.080017,860.775024,11.181,118.397003,164.733002,0.0,1155.085999,3572.459961,
12/31/1990,,3076.621094,4603.553223,-1526.932007,68.707001,0.0,3145.327881,46.119999,0.0,0.0,88.230003,157.358994,10.703,5.305,307.71701,0.0,22.808001,,12.219,137.108994,172.135994,3625.180908,,94.752998,73.503998,168.815002,118.174004,35.224998,490.471008,574.692993,149.328003,1165.682007,43.209999,1932.913025,860.776001,11.323,135.966003,193.731995,0.0,1201.796997,3625.180908,
03/31/1991,,3137.351074,4708.123047,-1570.771973,,0.0,3137.351074,39.575001,0.0,0.0,94.083,130.455002,6.47,4.103,274.686005,0.0,23.524,,13.431,135.085007,172.040007,3584.076904,,140.584,0.0,145.399002,147.123993,59.334,492.44101,582.080994,148.688995,1135.678955,40.356998,1906.805969,862.059998,11.533,118.167999,193.069,0.0,1184.830017,3584.076904,
06/30/1991,,3135.343994,4746.617188,-1611.272949,,0.0,3135.343994,28.518,0.0,0.0,50.084999,134.266006,20.146999,4.386,237.401993,0.0,6.743,,35.07,133.302002,175.115002,3547.861084,,162.856003,57.75,107.464996,107.819,67.865997,503.756012,581.978027,147.011002,1090.839966,39.858002,1859.686951,862.630981,11.534,118.434998,191.817993,0.0,1184.417969,3547.861084,
09/30/1991,,3146.668945,4801.001953,-1654.333008,,0.0,3146.668945,48.014,0.0,0.0,36.577,151.699997,20.872,8.177,265.339996,0.0,7.201,,38.145,134.345001,179.691002,3591.699951,,139.302994,111.415001,142.296005,103.238998,56.825001,553.078003,580.979004,145.334,1076.968018,42.797001,1846.078003,867.242981,8.01,125.672997,191.617996,0.0,1192.543983,3591.699951,
12/31/1991,,3027.434082,4720.661133,-1693.227051,108.027,0.0,3135.460938,22.297001,0.0,0.0,134.033997,144.507996,14.376,13.13,328.345001,0.0,10.942,,37.737999,135.070999,183.750998,3647.556885,,90.903,220.339996,167.145004,107.079002,32.530998,617.997986,577.013,143.033005,1068.708008,41.451,1830.205017,867.58197,8.26,135.824005,187.688004,0.0,1199.353989,3647.556885,
03/31/1992,,3171.967041,4926.12793,-1754.161011,,0.0,3171.967041,33.314999,0.0,0.0,131.468002,119.848,16.746,7.963,309.339996,0.0,20.627001,,40.333,146.371994,207.331995,3688.638916,,67.830002,203.649994,140.207993,162.723999,31.843,606.255005,585.812012,142.031006,1073.265015,44.352001,1845.460022,870.929993,22.208,156.313995,187.472,0.0,1236.923996,3688.638916,
06/30/1992,,3191.629883,4989.339844,-1797.709961,,0.0,3191.629883,41.598,0.0,0.0,58.98,129.563004,17.207001,3.879,251.227005,0.0,19.728001,,44.227001,143.388,207.343002,3650.199951,,102.271004,291.839996,130.070999,104.630997,35.679001,664.492004,582.091003,140.167999,992.232971,44.176998,1758.668945,870.929993,22.261999,147.626007,186.220993,0.0,1227.039017,3650.199951,
09/30/1992,,3185.491943,5033.033203,-1847.541016,,0.0,3185.491943,25.716,0.0,0.0,30.226999,174.621002,14.594,17.201,262.359009,0.0,13.776,,44.164001,161.339996,219.279998,3667.131104,,104.375999,310.161987,138.324005,116.713997,32.773998,702.349976,580.791016,138.291,976.361023,45.257999,1740.70105,870.929993,22.273001,144.972,185.904999,0.0,1224.080002,3667.131104,
12/31/1992,,3032.699951,4909.317871,-1876.618042,144.227997,0.0,3176.927979,41.057999,0.0,0.0,99.672997,152.481003,12.461,49.693001,355.365997,0.0,14.087,,55.186001,174.932007,244.205008,3776.499023,,94.527,320.200989,164.567001,127.167999,33.344002,739.807007,586.177979,136.427994,1026.161987,49.808998,1798.576965,870.929993,20.775,142.824997,203.585007,0.0,1238.115021,3776.499023,
03/31/1993,,3204.112061,5135.717773,-1931.605957,,0.0,3204.112061,27.705,0.0,0.0,130.710999,126.276001,13.184,25.1,322.976013,0.0,15.605,,56.620998,191.766006,263.992004,3791.080078,,100.019997,182.850998,159.895004,202.632004,33.766998,679.164978,540.27002,134.578003,1029.541992,105.278999,1809.669006,870.929993,27.431999,200.459,203.425003,0.0,1302.246002,3791.080078,
06/30/1993,,3194.653076,5167.812012,-1973.159058,,0.0,3194.653076,25.308001,0.0,0.0,68.361,141.917007,10.232,18.709999,264.528015,0.0,17.639999,,74.735001,212.595001,304.970001,3764.150879,,82.882004,386.200989,147.703003,126.879997,33.442001,777.107971,544.47998,133.427002,911.137024,110.525002,1699.569031,870.929993,27.485001,186.884995,202.173996,0.0,1287.473969,3764.150879,
09/30/1993,,3190.172119,5201.881836,-2011.709961,,0.0,3190.172119,24.832001,0.0,0.0,42.367001,165.352997,8.132,26.966,267.649994,0.0,18.202999,,78.147003,191.904999,288.255001,3746.076904,,68.877998,170.100998,126.872002,120.176003,33.317001,519.343994,566.234985,131.576996,1149.889038,94.274002,1941.975037,870.929993,27.471001,184.585007,201.772003,0.0,1284.758011,3746.076904,
12/31/1993,,3041.581055,5093.801758,-2052.220947,189.634003,0.0,3231.215088,16.139999,0.0,0.0,115.128998,151.522995,11.118,42.098999,336.009003,0.0,6.189,,124.183998,214.727005,345.100003,3912.323975,,72.357002,184.895004,192.542999,131.932999,35.636002,617.364014,576.070984,129.681,1192.5,100.820999,1999.072998,870.929993,27.631001,196.110992,201.214996,0.0,1295.886962,3912.323975,
03/31/1994,,3035.646973,5130.87793,-2095.230957,201.005997,0.0,3236.653076,53.849998,0.0,0.0,151.875,109.064003,11.123,9.277,335.188995,0.0,7.118,,125.081001,231.992004,364.191006,3936.032959,,3.62,145.839996,202.076996,198.824005,38.726002,589.086975,574.314026,128.718994,1214.567993,105.669998,2023.270996,870.929993,27.75,223.783005,201.212006,0.0,1323.675003,3936.032959,
06/30/1994,,3025.345947,5161.10498,-2135.759033,210.205994,0.0,3235.552002,36.751999,0.0,0.0,78.112,136.220001,12.221,7.333,270.638,0.0,7.225,,119.841003,243.983994,371.049997,3877.23999,,29.054001,327.851013,152.748001,107.218002,60.437,677.307983,584.997009,126.863998,1072.499023,113.037003,1897.397034,870.929993,27.825001,203.942993,199.837006,0.0,1302.535004,3877.23999,
09/30/1994,,3018.709961,5180.960938,-2162.250977,210.031006,0.0,3228.740967,36.747002,0.0,0.0,43.183998,176.384003,10.231,4.888,271.43399,0.0,9.456,,123.517998,266.109009,399.083007,3899.258057,,164.294998,128.199997,148.218002,89.830002,55.089001,585.632019,594.494019,125.009003,1187.16394,120.654999,2027.32196,870.929993,28.316999,190.591003,196.466003,0.0,1286.304016,3899.258057,
12/31/1994,,3009.126953,5211.208984,-2202.082031,221.830002,0.0,3230.957031,40.441002,0.0,0.0,86.299004,162.537994,11.081,27.586,327.945007,0.0,10.355,,126.632004,248.654007,385.641011,3944.542969,,29.289,311.5,158.462997,105.367996,36.368,640.987976,575.322998,123.181,1180.338013,129.419006,2008.260987,870.929993,29.657,207.261002,187.445999,0.0,1295.293976,3944.542969,
