Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,13791,2899,2344,555.0,1870,,,,4112,,,,,40,,,,8921,3710,7927.0,-4217.0,843,,,317,,,,,317,4870,,4934,4934,,,,5,,,,,,1996,,,1996,6935,286,,,,,197,,,,197,483,7418,0,1740,,,-52,,4685,6373,0,6373,13791,
06/30/1990,13894,3613,3043,570.0,1802,,,,3436,,,,,44,,,,8895,3913,8228.0,-4315.0,864,,,222,,,,,222,4999,,4950,4950,,,,3,,,,,,1828,,,1828,6781,287,,,,,147,,,,147,434,7215,0,2325,,,-48,,4402,6679,0,6679,13894,
09/30/1990,14008,3854,3062,792.0,1827,,,,2881,,,,,46,,,,8608,4153,8603.0,-4450.0,1008,,,239,,,,,239,5400,,4974,4974,,,,4,,,,,,1760,,,1760,6738,310,,,,,132,,,,132,442,7180,0,2327,,,-193,,4694,6828,0,6828,14008,
12/31/1990,14591,3326,2545,781.0,2044,,,,3332,,,,,68,,,,8770,4448,8991.0,-4543.0,1120,,,253,,,,,253,5821,,2586,2586,,,,4,,,,,,4542,,,4542,7132,311,,,,,175,,,,175,486,7618,0,2327,,,-194,,4840,6973,0,6973,14591,
03/31/1991,15073,3111,1839,1272.0,1819,,,,3956,,,,,121,,,,9007,4643,9326.0,-4683.0,1176,,,247,,,,,247,6066,,5347,5347,,,,5,,,,,,1939,,,1939,7291,309,,,,,184,,,,184,493,7784,0,2327,,,-187,,5149,7289,0,7289,15073,
06/30/1991,15199,3065,2061,1004.0,1831,,,,3887,,,,,133,,,,8916,4858,9666.0,-4808.0,1179,,,246,,,,,246,6283,,5596,5596,,,,5,,,,,,1556,,,1556,7157,308,,,,,160,,,,160,468,7625,0,2327,,,-184,,5431,7574,0,7574,15199,
09/30/1991,16118,3465,2596,869.0,1943,,,,4095,,,,,35,,,,9538,5144,10105.0,-4961.0,1195,,,241,,,,,241,6580,,5656,5656,,,,5,,,,,,1455,,,1455,7116,948,,,,,112,,,,112,1060,8176,0,2328,,,-218,,5832,7942,0,7942,16118,
12/31/1991,15784,3453,2938,515.0,2085,,,,3277,,,,,14,,,,8829,5530,10600.0,-5070.0,1183,,,242,,,,,242,6955,,2335,2335,,,,4,,,,,,3937,,,3937,6276,1313,,,,,102,,,,102,1415,7691,0,2329,,,-300,,6064,8093,0,8093,15784,
03/31/1992,16711,3994,3215,779.0,2011,,,,3355,,,,,25,,,,9385,5860,11040.0,-5180.0,1227,,,239,,,,,239,7326,,5723,5723,,,,3,,,,,,989,,,989,6715,1306,,,,,146,,,,146,1452,8167,0,2328,,,-289,,6505,8544,0,8544,16711,
06/30/1992,17022,4319,3658,661.0,1782,,,,3061,,,,,58,,,,9220,6205,11533.0,-5328.0,1361,,,236,,,,,236,7802,,5907,5907,,,,2,,,,,,898,,,898,6807,1307,,,,,188,,,,188,1495,8302,0,2325,,,-392,,6787,8720,0,8720,17022,
