Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/30/1993,897.245972,129.939002,118.801003,11.138,124.319,,108.206001,,,,,31.033001,,,,,393.497009,261.996002,447.083008,-185.087006,0.0,,,241.753006,,,,241.753006,503.749008,,61.194,61.194,,,,40.279999,,,,,,139.503006,,,139.503006,240.977005,575.161011,,,,,58.113998,,,,,,58.113998,633.275009,874.252014,71.793999,53.452,,,-75.150002,,-54.282997,-4.187,27.181,22.993999,897.246014,
03/31/1994,861.343018,49.098999,49.098999,0.0,144.011002,,109.266998,,,,,39.201,,,,,341.578003,274.21701,461.527008,-187.309998,0.0,,,245.548004,,,,245.548004,519.765015,,44.506001,44.506001,,,,39.945,,,,,,116.466999,,,116.466999,200.917999,568.885986,,,,,60.264,,,,,,60.264,629.149986,830.067986,71.793999,54.209,,,-74.567001,,-48.623001,2.812996,28.462,31.274996,861.342981,
06/30/1994,885.984009,61.377998,61.377998,,141.998993,,104.174004,,,,,35.605999,,,,,343.157013,277.069,,,0.0,,,265.757996,,,,265.757996,542.826996,,44.159,44.159,,,,41.080002,,,,,,115.201992,,,115.201992,200.440994,571.638977,,,,,56.562,,,,,,56.562,628.200977,828.641972,71.793999,82.212997,,,-44.609001,,-52.056,57.341995,0.0,57.341995,885.983967,
09/30/1994,862.44397,46.835999,46.835999,0.0,136.598007,,105.380997,,,,,32.588001,,,,,321.403015,277.540009,479.664001,-202.123993,0.0,,,263.501007,,,,263.501007,541.041016,,42.016998,42.016998,,,,34.237,,,,,,99.169998,,,99.169998,175.423996,578.460022,,,,,56.091,,,,,,56.091,634.551022,809.975018,71.793999,82.283997,,,-44.431,,-57.178001,52.468994,0.0,52.468994,862.444012,
12/31/1994,922.166992,89.517003,80.064003,9.453,141.376999,,105.662003,,,,,22.593,,,,,359.148987,306.292999,515.109009,-208.815994,0.0,,,256.725006,,,,256.725006,563.018005,,59.152,59.152,,,,52.061001,,,,,,111.792004,,,111.792004,223.005005,612.117981,,,,,47.033001,,,,,,47.033001,659.150982,882.155987,71.793999,82.294998,,,-45.473,,-68.605003,40.010994,0.0,40.010994,922.166981,
03/31/1995,904.096008,34.687,25.292,9.395,163.927994,,105.594002,,,,,19.188999,,,,,323.39801,319.329987,,,0.0,,,261.368011,,,,261.368011,580.697998,,56.945999,56.945999,,,,39.862999,,,,,,85.321999,,,85.321999,182.130997,614.374023,,,,,46.567001,,,,,,46.567001,660.941025,843.072021,0.0,166.108002,,,-45.945999,,-59.138,61.024002,0.0,61.024002,904.096024,
06/30/1995,946.893005,72.862997,64.935997,7.927,150.070007,,110.439003,,,,,25.945999,,,,,359.317993,324.046997,,,0.0,,,263.528015,,,,263.528015,587.575012,,54.676998,54.676998,,,,41.615002,,,,,,93.984001,,,93.984001,190.276001,649.903015,,,,,44.269001,,,,,,44.269001,694.172016,884.448017,0.0,165.432007,,,-46.029999,,-56.957001,62.445007,0.0,62.445007,946.893024,
09/30/1995,1062.675049,46.648002,39.046001,7.602,158.432999,,137.604996,,,,,19.959,,,,,362.644989,341.631989,,,0.0,,,358.39801,,,,358.39801,700.029999,,59.776001,59.776001,,,,43.719002,,,,,,96.573997,,,96.573997,200.069,754.434021,,,,,50.901001,,,,,,50.901001,805.335022,1005.404022,0.0,165.434998,,,-46.014999,,-62.149002,57.270996,0.0,57.270996,1062.675018,
12/31/1995,1085.965942,71.602002,64.205002,7.397,168.533997,,118.549004,,,,,54.143002,,,,,412.828003,331.588989,556.390015,-224.800995,0.0,,,341.549011,,,,341.549011,673.138,,61.908001,61.908001,,,,83.530998,,,,,,109.118999,,,109.118999,254.557999,763.346008,,,,,47.411999,,,,,,47.411999,810.758007,1065.316006,0.0,165.417999,,,-45.931,,-98.837006,20.649994,0.0,20.649994,1085.966,
03/31/1996,1037.192017,41.444,41.0,0.444,184.740005,,125.737,,,,,23.190001,,,,,375.110992,326.570007,,,0.0,,,335.510986,,,,335.510986,662.080994,,60.049999,60.049999,,,,44.255001,,,,,,107.075005,,,107.075005,211.380005,757.387024,,,,,47.626999,,,,,,47.626999,805.014023,1016.394028,0.0,164.862,,,-45.931,,-98.132996,20.798004,0.0,20.798004,1037.192032,
