Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/2001,,360.799988,360.799988,,6.197339,0.506283,0.29,0.32,0.49,0.29,0.32,0.49,0.0,1.852273,1.820399,,,,
06/30/2001,,360.799988,360.799988,,5.777993,0.510502,0.33,0.33,0.51,0.33,0.33,0.51,0.0,2.172672,2.088138,,,,
09/30/2001,360.8,360.8,360.8,,6.665743,0.498614,0.32,0.33,0.47,0.32,0.33,0.47,0.0,3.932927,3.886918,0.640521,18.899667,15.571508,
12/31/2001,360.1,367.2,367.2,,5.556373,0.023641,0.05,0.05,0.5,0.05,0.05,0.5,0.0,3.095861,3.010621,1.732297,18.940017,15.528742,
03/31/2002,359.7,360.7,360.4,,6.181465,0.971143,-0.1,0.68,0.51,-0.1,0.68,0.51,0.0,1.372087,1.332963,1.549903,18.343064,15.973867,
06/30/2002,351.4,357.3,356.8,,6.545684,0.470011,0.34,0.33,0.52,0.34,0.33,0.52,0.0,4.044843,3.993554,3.588788,18.981503,16.433409,
09/30/2002,343.2,348.2,347.2,,5.74856,0.220622,-0.46,0.12,0.58,-0.45,0.12,0.58,0.0,4.557604,4.53053,1.840035,19.329837,18.800117,
12/31/2002,334.4,337.4,336.7,,6.930799,0.506683,0.64,0.65,0.53,0.64,0.64,0.53,0.25,5.252153,5.199584,3.105861,19.907895,19.323864,
03/31/2003,328.0,331.7,331.4,,6.930597,0.733253,0.47,0.47,0.63,0.47,0.47,0.63,0.0,2.254375,2.245021,2.947866,20.843902,20.134756,
06/30/2003,325.1,327.4,326.9,,5.969716,0.618232,0.62,0.46,0.46,0.62,0.46,0.46,0.0,3.400734,3.384215,4.69148,23.189788,22.340818,
09/30/2003,322.8,324.1,323.5,,6.096136,0.693972,0.57,0.52,0.63,0.57,0.52,0.63,0.0,0.820711,0.798764,3.122677,23.135378,22.275093,
12/31/2003,320.7,323.3,323.3,,7.666254,0.655119,0.63,0.6,0.46,0.63,0.6,0.46,0.45,2.128054,2.086916,5.278765,23.073277,22.120362,
03/31/2004,320.8,322.0,320.8,,6.224127,0.738155,0.6,0.51,0.58,0.6,0.51,0.58,0.0,1.595698,1.566708,5.014339,24.897132,23.629988,
06/30/2004,314.9,319.2,317.9,,6.22743,0.610884,0.38,0.41,0.55,0.37,0.4,0.54,0.0,1.313935,1.266436,4.686885,22.671007,21.436964,
09/30/2004,307.0,313.0,311.7,,6.700995,0.822265,0.96,0.62,0.66,0.95,0.62,0.66,0.0,3.415464,3.381457,6.197068,25.063192,23.790879,
12/31/2004,300.6,304.7,302.8,,7.390026,0.958719,0.7,0.71,0.66,0.7,0.71,0.66,0.55,-1.185931,-1.227213,1.505323,25.097472,23.668995,
03/31/2005,296.8,301.2,299.5,,7.157596,0.997663,0.69,0.68,0.7,0.68,0.68,0.69,0.0,-0.261102,-0.333222,1.848046,24.740903,23.11186,
06/30/2005,279.4,291.4,288.9,,7.616476,1.055729,0.83,0.78,0.77,0.82,0.77,0.76,0.0,3.061959,3.061959,4.193271,26.163565,24.419828,
09/30/2005,279.9,283.9,279.8,,7.92852,1.084346,0.75,0.75,0.76,0.74,0.74,0.75,0.0,1.993567,1.968192,3.989282,25.931047,24.181493,
12/31/2005,280.6,282.9,280.5,,8.838503,1.060963,0.88,0.84,0.78,0.87,0.83,0.77,0.65,2.716578,2.660606,5.849252,25.891661,24.163578,
03/31/2006,277.6,281.9,279.4,,8.560129,1.410523,1.02,1.02,0.86,1.01,1.01,0.85,0.0,1.899785,1.855047,5.793228,25.420389,23.588617,
06/30/2006,269.1,276.2,273.5,,8.993784,1.165996,0.77,0.77,0.82,0.76,0.76,0.82,0.0,2.589762,2.55064,4.522111,23.421405,21.574136,
09/30/2006,269.6,272.1,269.5,,9.089425,1.250093,0.93,0.93,0.94,0.92,0.92,0.94,0.0,3.01039,2.968831,5.180267,26.506306,24.554154,
12/31/2006,268.4,272.1,272.1,,9.406836,1.345094,1.04,0.97,0.93,1.04,0.97,0.93,0.8,0.827269,0.7681,5.926975,27.268256,22.264903,
03/31/2007,267.4,270.9,268.1,,9.925028,1.352853,0.96,0.96,0.88,0.95,0.95,0.87,0.0,4.571056,4.521074,5.52169,28.29095,23.328347,
06/30/2007,266.0,270.3,267.7,,10.577512,1.650728,1.14,1.14,1.06,1.12,1.12,1.05,0.0,2.59619,2.474038,6.984962,27.987594,23.04812,
09/30/2007,262.5,267.3,264.7,,10.765395,1.366075,0.88,0.88,1.2,0.87,0.87,1.18,0.0,4.249339,4.18096,9.747429,27.909714,22.636571,
12/31/2007,259.1,263.9,263.9,,9.717317,-0.010231,0.13,0.05,0.86,0.13,0.05,0.86,0.9,-0.313755,-0.44335,5.18873,26.552296,21.219992,
03/31/2008,258.6,261.3,258.9,,9.658942,0.923523,0.67,0.67,0.93,0.67,0.67,0.92,0.0,3.853998,3.753187,4.33372,24.362336,19.027842,
06/30/2008,259.0,261.2,259.1,,10.259359,1.007333,0.65,0.65,0.98,0.64,0.64,0.97,0.0,0.290621,0.200309,5.8861,23.466795,18.135521,
09/30/2008,259.2,261.0,259.5,,9.625434,0.478998,0.35,0.35,0.97,0.35,0.35,0.96,0.0,3.060116,2.929865,8.753858,19.5625,14.321759,
12/31/2008,259.3,260.4,260.4,,8.752688,-0.232335,-0.03,-0.03,0.69,-0.03,-0.03,0.69,0.45,1.373272,1.289939,10.057848,7.446201,2.429618,
