Date,Cash From Operating Activities,Net Income,Depreciation Expense,AFC - Debts & Equity,Deferred Income Taxes,Other Non-Cash Adjustments,Accts Receivable & Unbilled Revenue,Changes in Fossil Fuel,Change In Inventories,Accounts Payable & Accruals,Accrued Taxes,Change in Other Working Capital,Cash From Investing Activities,Additions to Utility Plant Less AFC,Changes in Decommissioning Funds,Non-Utility Cap Expenditure,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/1990,360.226013,87.156998,241.612,-8.301,17.791,29.684,-5.528,15.635,-20.209,-20.518999,17.535,5.369,,,,,,0.0,,,,,,,,,,0.0,,,,
06/30/1990,516.671997,-378.415985,233.186996,-8.066,28.972,618.138,-14.018,41.685001,-2.659,140.403,-199.761993,57.208,,,,,,0.0,,,,,,,,,,0.0,,,,
09/30/1990,566.263,333.966003,237.636993,-13.329,35.886002,42.271999,-71.171997,39.127998,-10.187,-36.264999,158.304993,-149.977997,,,,,,0.0,,,,,,,,,,0.0,,,,
12/31/1990,296.852997,85.584,233.026001,-6.67,-74.217003,-283.605988,181.367996,-18.871,-11.775,132.606995,-38.710999,98.117996,,,,,,0.0,,,,,,,,,,0.0,,,296.852997,
03/31/1991,214.731995,4.798,233.677994,-5.008,5.93,64.584,-117.357002,33.313,-12.049,35.382,-16.797001,-11.742,,,,,,0.0,,,,,,,,,,0.0,,,,
06/30/1991,518.911987,157.511993,223.112,-8.305,11.58,22.778999,-100.156998,8.275,-12.701,133.373001,64.709,18.735001,,,,,,0.0,,,,,,,,,,0.0,,,,
09/30/1991,749.880981,362.191986,222.207993,-8.603,56.341999,61.980999,-42.028,12.63,-10.04,-39.181,113.560997,20.819,,,,,,0.0,,,,,,,,,,0.0,,,,
12/31/1991,440.272003,-429.61499,195.227005,-9.856,-8.263,486.518005,62.984001,41.561001,-1.706,150.557007,-60.214001,13.079,,,,,,0.0,,,,,,,,,,0.0,,,,
03/31/1992,299.053009,67.253998,217.503006,-7.862,-16.802,72.480003,25.333,-6.883,4.65,5.029,-27.610001,-34.039001,,,,,,0.0,,,,,,,,,,0.0,,,,
06/30/1992,477.628998,105.824997,217.563995,-8.644,41.062,38.284,12.265,-58.467999,-10.329,196.498993,-65.741997,9.313,,,,,,0.0,,,,,,,,,,0.0,,,,
09/30/1992,455.881012,235.865005,217.376999,-11.299,45.905998,9.781,-7.686,-46.203999,4.416,-46.756001,21.403,33.077999,,,,,,0.0,,,,,,,,,,0.0,,,,
12/31/1992,327.791992,105.037003,220.942001,-9.368,40.453999,-203.595001,40.863998,0.222,3.253,176.449997,-13.684,-32.783001,,,,,,0.0,,,,,,,,,,0.0,,,327.791992,
03/31/1993,448.566986,77.211998,224.347,-4.93,-15.686,92.942001,-53.580002,68.649002,-0.189,28.591,52.612999,-21.402,,,,,,0.0,,,,,,,,,,0.0,,,,
06/30/1993,341.157013,75.094002,226.791,-9.132,-0.993,133.360001,-43.105,26.517,-11.89,-2.635,-69.196999,16.347,,,,,,0.0,,,,,,,,,,0.0,,,,
09/30/1993,812.750977,287.122986,229.837006,-11.731,30.983999,162.016998,-82.894997,72.084,7.508,39.561001,79.431999,-1.169,,,,,,0.0,,,,,,,,,,0.0,,,812.750977,
12/31/1993,629.807983,-326.989014,230.160995,-11.755,70.774002,479.971008,22.174999,48.132,6.405,213.429001,-102.082001,-0.413,,,,,,0.0,,,,,,,,,,0.0,,,629.807983,
