Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1993,14.725999,,-6.945,,7.780999,,-3.775,,,,,,4.005999,-0.098,,0.149,,,0.0,,-0.051,3.907999,-1.563,2.344999,0.0,,,2.344999,0.0,2.344999,0.0,,2.344999,2.344999,,30.405197,0.075,0.075,,30.405197,0.075,0.075,0.075,
06/30/1993,16.341,,-7.906,,8.434999,,-3.516,,,,,,4.919,0.114,,0.048,,,0.0,,-0.162,5.033,-2.013,3.02,0.0,,,3.02,0.0,3.02,0.0,,3.02,3.02,,33.298119,0.09,0.09,,33.298119,0.09,0.09,0.09,
09/30/1993,18.034,,-8.887,,9.147,,-3.704,,,,,,5.443,0.13,,0.042,,,0.0,,-0.172,5.573,-2.319,3.254,0.0,,,3.254,0.0,3.254,0.0,,3.254,3.254,,33.86668,0.095,0.095,,33.86668,0.095,0.095,0.095,
12/31/1993,18.446001,,-8.939,,9.507001,,-4.194,,,,,,5.312001,0.268,,0.124,,,0.0,,-0.392,5.580001,-1.978,3.602001,0.0,,,3.602001,0.0,3.602001,0.0,,3.602001,3.602001,,34.731998,0.105,0.105,,34.731998,0.105,0.105,0.105,
03/31/1994,19.319,,-9.219,,10.1,,-3.785,,,,,,6.315,0.181,,0.037,,,0.0,,-0.218,6.496,-2.404,4.092,0.0,,,4.092,0.0,4.092,0.0,,4.092,4.092,,35.546001,0.115,0.115,,35.546001,0.115,0.115,0.115,
06/30/1994,21.027,,-9.958,,11.069,,-4.207,,,,,,6.862,0.239,,0.04,,,0.0,,-0.279,7.101,-2.628,4.473,0.0,,,4.473,0.0,4.473,0.0,,4.473,4.473,,35.433998,0.125,0.125,,35.433998,0.125,0.125,0.125,
09/30/1994,23.816,,-12.469,,11.347,,-8.442,,,,,,2.905,8.603,,,,,0.0,,-8.603,11.508,-2.63,8.878,0.0,,,8.878,0.0,8.878,0.0,,8.878,8.878,,73.129997,0.12,0.12,,73.129997,0.12,0.12,0.12,
12/31/1994,30.695999,,-17.326,,13.369999,,-15.888,,,,,,-2.518,24.786,,,,,0.0,,-24.786,22.268,-3.166,19.101999,0.0,,,19.102,0.0,19.101999,0.0,,19.101999,19.101999,,73.080002,0.14,0.14,0.14,73.080002,0.14,0.14,0.14,
03/31/1995,34.124001,,-14.727,,19.397,,-8.968,,,,,,10.429,6.299,,0.0,,,0.0,,-6.299,16.728,-4.338,12.39,0.0,,,12.39,0.0,12.39,0.0,,12.39,12.39,,73.470001,0.17,0.17,,73.470001,0.17,0.17,0.17,
06/30/1995,36.993,,-15.447,,21.546,,-9.233,,,,,,12.313,6.466,,0.0,,,0.0,,-6.466,18.779,-5.465,13.314,0.0,,,13.314,0.0,13.314,0.0,,13.314,13.314,,73.858002,0.18,0.18,,73.858002,0.18,0.18,0.18,
09/30/1995,38.521,,-16.830999,,21.690001,,-8.249,,,,,,13.441,-0.653,,0.0,,,0.0,,0.653,12.788,-7.481,5.307,0.0,,,5.307,0.0,5.307,0.0,,5.307,5.307,,74.601997,0.07,0.07,,74.601997,0.07,0.07,0.07,
12/31/1995,61.272999,,-23.049,,38.223999,,-18.127001,,,,,,20.097,20.102,,0.0,,,0.0,,-20.102,40.199,-9.874,30.325001,0.0,,,30.325,0.0,30.325001,0.0,,30.325001,30.325001,,75.220002,0.235,0.235,0.235,75.220002,0.235,0.235,0.235,
03/31/1996,59.556999,,-24.24,,35.316999,,-14.942,,,,,,20.375,6.831,,0.0,,,0.0,,-6.831,27.206,-7.63,19.576,0.0,,,19.576,0.0,19.576,0.0,,19.576,19.576,,82.669998,0.23,0.23,0.23,88.982002,0.22,0.22,0.22,
06/30/1996,61.618999,,-25.056999,,36.562,,-15.992,,,,,,20.57,6.762,,0.0,,,0.0,,-6.762,27.332,-8.513,18.819,0.0,,,18.819,0.0,18.819,0.0,,18.819,18.819,,85.540001,0.22,0.22,0.22,88.194,0.21,0.21,0.21,
09/30/1996,62.333,,-25.455999,,36.877001,,-15.458,,,,,,21.419001,7.385,,0.0,,,0.0,,-7.385,28.804001,-9.609,19.195,0.0,,,19.195001,0.0,19.195,0.0,,19.195,19.195,,83.456001,0.23,0.23,0.23,87.790001,0.22,0.22,0.22,
12/31/1996,67.292,,-27.167999,,40.124001,,-15.78,,,,,,24.344,6.792,,0.0,,,0.0,,-6.792,31.136,-10.164,20.972,0.0,,,20.972,0.0,20.972,0.0,,20.972,20.972,,83.888,0.25,0.25,0.25,87.384002,0.24,0.24,0.24,
03/31/1997,65.739998,,-24.784,,40.955997,,-15.947,,,,,,25.009001,-1.247,,0.108,,,0.0,,1.139,23.762001,-9.711,14.051,0.0,,,14.051,0.0,14.051,0.0,,14.051,14.051,,86.279999,0.16,0.16,0.25,88.377998,0.16,0.16,0.24,
06/30/1997,70.943001,,-26.812,,44.131001,,-14.016,,,,,,30.115,1.554982,,0.089,,,0.0,,-1.643982,31.669982,-12.558,19.112,0.0,,,19.111982,0.0,19.112,0.0,,19.112,19.112,,86.706001,0.22,0.22,0.28,88.704002,0.22,0.22,0.28,
09/30/1997,91.817001,,-34.525002,,57.292,,-19.087,,,,,,38.205002,4.23,,0.0,,,0.0,,-4.23,42.435002,-14.837,27.598,0.0,,,27.598002,0.0,27.598,0.0,,27.598,27.598,,87.542,0.32,0.32,0.32,90.014,0.31,0.31,0.31,
12/31/1997,147.970001,,-44.916,,103.054001,,-54.137001,,,,,,48.917,3.665,,1.087,,,0.0,,-4.752,52.582,-17.693001,34.889,0.0,,,34.888999,0.0,34.889,0.0,,34.889,34.889,,87.835999,0.39,0.39,0.39,90.169998,0.39,0.39,0.39,
03/31/1998,132.335999,,-45.639999,,86.695999,,-40.066002,,,,,,46.630001,-10.181,,0.264,,,0.0,,9.917,36.449001,-17.75,18.698999,0.0,,,18.699001,0.0,18.698999,0.0,,18.698999,18.698999,,93.921997,0.2,0.2,0.34,96.363998,0.19,0.19,0.33,
06/30/1998,152.684006,,-54.134998,,98.549007,,-47.433998,,,,,,51.115002,2.49,1.51,1.51,,,0.0,,-4.0,53.605002,-19.407,34.198002,0.0,,,34.198002,0.0,34.198002,0.0,,34.198002,34.198002,,94.824997,0.36,0.36,0.36,97.459999,0.35,0.35,0.35,
09/30/1998,158.764999,,-57.194,,101.570999,,-47.179001,,,,,,54.391998,1.891914,,2.82,,,0.0,,-4.711914,56.283912,-20.037001,36.247002,0.0,,,36.246912,0.0,36.247002,0.0,,36.247002,36.247002,,94.995003,0.38,0.38,0.38,97.675003,0.37,0.37,0.37,
12/31/1998,152.408005,,-53.436001,,98.972004,,-47.842999,,,,,,51.129002,-0.538,,3.542,,,0.0,,-3.004,50.591002,-21.052999,29.538,0.0,,,29.538002,0.0,29.538,0.0,,29.538,29.538,,89.332001,0.41,0.41,0.41,92.212997,0.4,0.4,0.4,
03/31/1999,165.884995,,-50.429001,,115.455994,,-46.215,,,,,,69.240997,-22.294999,,2.818,,,0.0,,19.476999,46.945998,-19.676001,27.27,0.0,,,27.269997,0.0,27.27,0.0,,27.27,27.27,,97.39286,0.28,0.28,0.42,101.0,0.27,0.27,0.41,
06/30/1999,172.819,,-56.219002,,116.599998,,-51.146,,,,,,65.454002,-1.516,,2.797,,,0.0,,-1.281,63.938002,-17.671,46.266998,0.0,,,46.267003,0.0,46.266998,0.0,,46.266998,46.266998,,98.440422,0.47,0.47,0.44,100.580399,0.46,0.46,0.43,
09/30/1999,173.024994,,-61.837002,,111.187992,,-53.949001,,,,,,57.238998,-2.886,,2.749,,,0.0,,0.137,54.352998,-18.738001,35.615002,0.0,,,35.614997,0.0,35.615002,0.0,,35.615002,35.615002,,98.930557,0.36,0.36,0.38,101.757141,0.35,0.35,0.38,
12/31/1999,193.161,,-65.855,,127.306,,-57.698,,,,,,69.608,41.567,-2.017,2.828,-4.845,,0.0,,-39.55,111.175,-37.666,73.509,0.0,,,73.509,0.0,73.509,0.0,,73.509,73.509,-15.475,100.235,0.74,0.74,0.42,100.235,0.74,0.74,0.44,
03/31/2000,177.233994,,-61.965,,115.268993,,-52.433998,,,,,,62.834999,165.041998,,2.768,,,0.0,,-167.809998,227.876997,-85.724998,142.151993,12.013,,,130.138999,0.0,130.139008,0.0,0.0,130.139008,130.139008,,99.065002,1.31,1.45,0.37,100.68,1.29,1.45,0.37,
06/30/2000,200.204,,-72.101,,128.103,0.0,-55.891,34.427,,,,21.464,72.212,83.021,-3.214,2.539,-5.753,,,1.658,-81.465,155.233,-58.428,96.805,,,,96.805,,96.805,0.0,0.0,96.805,96.805,-52.95225,99.42,0.97,0.97,0.437388,101.3,0.96,0.96,0.437273,
09/30/2000,179.330994,,-96.917,,82.413994,,-87.352997,,,,,,-4.939,-27.011001,,10.589,,,0.0,,16.422001,-31.950001,-34.372002,-66.321999,1.216,,,-67.538002,0.0,-67.538002,0.0,,-67.538002,-67.538002,,102.330299,-0.66,-0.67,0.03,102.330002,-0.66,-0.67,0.03,
12/31/2000,254.755,,-140.798,,113.957,,-94.174,,,,,,19.783,-10.604,6.212,7.642,-1.43,,0.0,,4.392,9.179,-11.09,-1.911,0.0,,,-1.911,0.0,-1.911,0.0,,-1.911,-1.911,3.867,105.545,-0.02,-0.02,0.31,105.545,-0.02,-0.02,0.31,
03/31/2001,296.846008,,-132.757996,,164.088013,,-84.473999,,,,,,79.613998,23.539,,7.718,,,0.0,,-31.257,103.152998,-40.696999,62.456001,0.0,,,62.456,0.0,62.456001,0.0,0.0,62.456001,62.456001,,105.702003,0.59,0.59,0.4,108.092003,0.58,0.58,0.4,
06/30/2001,298.978,,-109.98,,188.998,0.0,-89.002,54.516,,,,34.486,99.996,9.279,6.349,6.96,-0.611,,,0.77,-16.398,109.275,-43.03,66.245,,,,66.245,,66.245,0.0,0.0,66.245,66.245,-10.6587,105.965,0.63,0.63,0.529413,108.367,0.61,0.61,0.511643,
