Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,46.811001,22.023001,22.023001,0.0,10.506,,,5.344,,,,,1.92,,,,39.792999,2.208,5.84,-3.632,1.798,3.012,,,,,3.012,7.018,,5.804,5.804,,,,0,,,,,8.217,,,8.217,14.021,0,,,,,0.206,,,,,,0.206,0.206,14.227,0.0,20.423,,,0.0,,12.161,32.584,0.0,32.584,46.811,
06/30/1990,47.873001,21.525999,21.525999,0.0,11.863,,,5.253,,,,,2.219,,,,40.861,2.093,,,1.798,3.121,,,,,3.121,7.012,,5.714,5.714,,,,0,,,,,7.486,,,7.486,13.2,0,,,,,0.124,,,,,,0.124,0.124,13.324,0.0,20.848,,,0.0,,13.701,34.549,0.0,34.549,47.873,
09/30/1990,56.164001,19.761,19.761,0.0,17.620001,,,8.951,,,,,2.619,,,,48.951,2.029,,,1.798,3.386,,,,,3.386,7.213,,10.622,10.622,,,,0,,,,,8.837999,,,8.837999,19.459999,0,,,,,0.12,,,,,,0.12,0.12,19.579999,0.0,20.888,,,0.0,,15.696,36.584001,0.0,36.584001,56.164,
12/31/1990,62.094002,18.361,18.361,0.0,24.802,,,8.09,,,,,3.107,,,,54.360001,2.63,,,1.798,3.306,,,,,3.306,7.734,,9.432,9.432,,,,0,,,,,11.946,,,11.946,21.378,0,,,,,0.116,,,,,,0.116,0.116,21.494,0.0,20.973,,,0.0,,19.627001,40.6,0.0,40.6,62.094001,
03/31/1991,63.414001,26.926001,26.926001,0.0,17.348,,,5.545,,,,,3.663,,,,53.481998,3.075,8.353,-5.278,1.798,5.059,,,,,5.059,9.932,,8.274,8.274,,,,0,,,,,12.749001,,,12.749001,21.023001,0,,,,,0.0,,,,,,0.0,0.0,21.023001,0.0,21.438999,,,0.0,,20.952,42.390999,0.0,42.390999,63.414,
07/01/1991,63.223999,24.950001,24.950001,0.0,18.782,,,3.596,,,,,6.38,,,,53.708,2.608,,,1.798,5.11,,,,,5.11,9.516,,5.29,5.29,,,,0,,,,,11.495999,,,11.495999,16.785999,0,,,,,0.112,,,,,,0.112,0.112,16.897999,0.0,23.41,,,0.0,,22.916,46.326,0.0,46.326,63.224,
10/01/1991,73.339996,25.49,25.49,0.0,27.16,,,5.157,,,,,4.696,,,,62.502998,3.833,,,1.798,5.206,,,,,5.206,10.837,,11.783,11.783,,,,0,,,,,13.238999,,,13.238999,25.021999,0,,,,,0.089,,,,,,0.089,0.089,25.110999,0.0,23.073,,,0.0,,25.156,48.229,0.0,48.229,73.339999,
01/01/1992,87.374001,28.775,28.775,0.0,35.301998,,,7.969,,,,,4.702,,,,76.748001,4.687,,,1.798,4.141,,,,,4.141,10.626,,13.359,13.359,,,,0,,,,,17.439,,,17.439,30.798,0,,,,,0.089,,,,,,0.089,0.089,30.887,0.0,24.011999,,,0.0,,32.474998,56.486998,0.0,56.486998,87.373998,
03/31/1992,105.773003,59.053001,59.053001,0.0,19.801001,,,9.343,,,,,6.942,,,,95.139,5.227,11.901,-6.674,0.0,5.407,,,,,5.407,10.634,,14.59,14.59,,,,0,,,,,23.174,,,23.174,37.764,0,,,,,0.0,,,,,,0.0,0.0,37.764,0.0,29.031,,,0.0,,38.978001,68.009001,0.0,68.009001,105.773001,
06/30/1992,106.054001,69.060997,69.060997,0.0,11.651,,,6.059,,,,,8.534,,,,95.305,5.432,,,1.756,3.561,,,,,3.561,10.749,,12.508,12.508,,,,0,,,,,22.693,,,22.693,35.201,0,,,,,0.0,,,,,,0.0,0.0,35.201,0.0,29.290001,,,0.0,,41.563,70.853001,0.0,70.853001,106.054001,
09/30/1992,134.570999,69.119003,69.119003,0.0,27.349001,,,8.127,,,,,11.631,,,,116.225998,10.121,,,1.756,6.468,,,,,6.468,18.345,,21.676001,21.676001,,,,0,,,,,32.666998,,,32.666998,54.342999,0,,,,,0.0,,,,,,0.0,0.0,54.342999,0.0,38.000999,,,0.0,,42.227001,80.228001,0.0,80.228001,134.570999,
12/31/1992,159.802994,64.553001,64.553001,0.0,44.817001,,,12.259,,,,,12.869,,,,134.498001,14.116,,,1.756,9.433,,,,,9.433,25.305,,28.459999,28.459999,,,,0,,,,,34.493,,,34.493,62.952999,0,,,,,0.0,,,,,,0.0,0.0,62.952999,0.0,42.046001,,,0.0,,51.959,94.005001,2.845,96.850001,159.803,
03/31/1993,181.257004,98.028999,98.028999,0.0,26.382,,,12.578,,,,,15.792,,,,152.781006,18.899,27.93,-9.031,0.0,9.577,,,,,9.577,28.476,,33.771,33.771,,,,0,,,,,33.915996,,,33.915996,67.686996,0,,,,,0.0,,,,,,0.0,0.0,67.686996,0.0,50.231998,,,0.0,,60.339001,110.570999,2.999,113.569999,181.256995,
06/30/1993,180.505997,99.584999,99.584999,0.0,18.993,,,15.223,,,,,15.427,,,,149.227997,21.605,,,0.0,9.673,,,,,9.673,31.278,,24.056999,24.056999,,,,0,,,,,31.184002,,,31.184002,55.241001,0,,,,,0.0,,,,,,0.0,0.0,55.241001,0.0,53.909,,,0.0,,68.060997,121.969997,3.295,125.264997,180.505999,
09/30/1993,201.160004,92.422997,92.422997,0.0,47.974998,,,11.958,,,,,15.913,,,,168.268997,23.120001,,,0.0,9.771,,,,,9.771,32.891001,,27.799999,27.799999,,,,0,,,,,36.640003,,,36.640003,64.440002,0,,,,,0.0,,,,,,0.0,0.0,64.440002,0.0,57.351002,,,0.0,,76.285004,133.636005,3.084,136.720006,201.160008,
12/31/1993,244.574005,94.265999,94.265999,0.0,82.467003,,,11.61,,,,,22.115999,,,,210.459,24.459,,,0.0,9.656,,,,,9.656,34.115,,34.009998,34.009998,,,,0,,,,,51.175999,,,51.175999,85.185997,0,,,,,0.0,,,,,,0.0,0.0,85.185997,0.0,62.583,,,0.0,,94.306,156.889,2.499,159.388,244.573997,
03/31/1994,273.651001,142.248993,142.248993,0.0,65.114998,,,9.691,,,,,16.674,,,,233.729004,25.146999,40.662998,-15.516,0.0,14.775,,,,,14.775,39.921999,,35.852001,35.852001,,,,0,,,,,62.135998,,,62.135998,97.987999,0,,,,,0.0,,,,,,0.0,0.0,97.987999,0.0,66.153999,,,0.0,,106.024002,172.178001,3.485,175.663001,273.651,
06/30/1994,261.11499,125.189003,125.189003,0.0,60.911999,,,10.307,,,,,19.806999,,,,216.214996,25.407,,,0.0,19.493,,,,,19.493,44.9,,21.316999,21.316999,,,,0,,,,,52.680002,,,52.680002,73.997002,0,,,,,0.0,,,,,,0.0,0.0,73.997002,0.0,67.031998,,,0.0,,116.584,183.615997,3.502,187.117997,261.114999,
09/30/1994,292.920013,125.988001,116.276001,9.712,76.554001,,,20.676001,,,,,23.485001,,,,246.703003,26.375,,,0.0,19.841999,,,,,19.841999,46.216999,,40.137001,40.137001,,,,0,,,,,57.086998,,,57.086998,97.223999,0,,,,,0.0,,,,,,0.0,0.0,97.223999,0.0,69.314003,,,0.0,,124.135002,193.449005,2.247,195.696005,292.920004,
12/31/1994,349.696014,113.791998,104.211998,9.58,145.063004,,,17.174,,,,,19.726999,,,,295.756012,27.365999,,,0.0,26.573999,,,,,26.573999,53.939999,,43.789001,43.789001,,,,0,,,,,86.617996,,,86.617996,130.406998,0,,,,,0.0,,,,,,0.0,0.0,130.406998,0.0,70.955002,,,0.0,,146.880005,217.835007,1.454,219.289007,349.696004,
03/31/1995,341.239014,184.846002,174.121002,10.725,56.389,,,12.358,,,,,18.566999,,,,272.160004,30.528,54.661999,-24.134001,20.674999,17.875999,,,,,17.875999,69.078998,,34.247002,34.247002,,,,0,,,,,68.770996,,,68.770996,103.017998,0,,,,,0.0,,,,,,0.0,0.0,103.017998,0.0,77.653,,,0.0,,159.419998,237.072998,1.148,238.220998,341.238996,
06/30/1995,324.557007,120.146002,110.247002,9.899,60.306999,,,11.984,,,,,24.225,,,,216.662003,57.683998,,,34.825001,15.386,,,,,15.386,107.894999,,35.926998,35.926998,,,,0,,,,,45.23,,,45.23,81.156998,0,,,,,0.0,,,,,,0.0,0.0,81.156998,0.0,82.436996,,,0.0,,159.800003,242.237,1.163,243.399999,324.556997,
09/30/1995,341.464996,91.621002,80.579002,11.042,73.448997,,,18.924,,,,,36.140999,,,,220.134995,62.689999,,,14.2,44.439999,,,,,44.439999,121.329997,,36.578999,36.578999,,,,0,,,,,44.556004,,,44.556004,81.135002,0,,,,,0.0,,,,,,0.0,0.0,81.135002,0.0,95.931999,,,0.0,,163.712997,259.644997,0.685,260.329997,341.464999,
12/31/1995,425.062012,97.088,87.944,9.144,162.5,,,15.541,,,,,30.424,,,,305.553009,65.513,,,14.2,39.796001,,,,,39.796001,119.509002,,48.478001,48.478001,,,,0,,,,,87.438,,,87.438,135.916,0,,,,,0.0,,,,,,0.0,0.0,135.916,0.0,97.196999,,,0.0,,190.673996,287.870995,1.275,289.145995,425.061995,
03/31/1996,424.218994,185.851997,105.627998,80.223999,73.074997,,,14.704,,,,,26.707001,,,,300.338013,70.061996,108.811996,-38.75,24.200001,29.618999,,,,,29.618999,123.880996,,37.019001,37.019001,,,,0,,,,,63.605999,,,63.605999,100.625,0,,,,,0.0,,,,,,0.0,0.0,100.625,0.0,108.605003,,,0.0,,213.712006,322.317009,1.277,323.594009,424.219009,
06/30/1996,409.968994,191.713005,149.798004,41.915001,52.280998,,,13.628,,,,,27.551001,,,,285.173004,72.424004,,,24.200001,28.172001,,,,,28.172001,124.796005,,26.02,26.02,,,,0,,,,,51.275997,,,51.275997,77.295998,0,,,,,0.0,,,,,,0.0,0.0,77.295998,0.0,115.032997,,,0.0,,216.546005,331.579002,1.094,332.673002,409.969,
09/30/1996,441.742004,151.563007,135.251007,16.312,102.240997,,,24.424999,,,,,29.177,,,,307.406006,78.029999,,,24.200001,32.105999,,,,,32.105999,134.335999,,39.037998,39.037998,,,,0,,,,,66.092999,,,66.092999,105.130997,0,,,,,0.0,,,,,,0.0,0.0,105.130997,0.0,123.191002,,,0.0,,213.419998,336.611,0.0,336.611,441.741997,
12/31/1996,564.844971,190.252007,135.307007,54.945,196.119003,,,18.677,,,,,23.048,,,,428.096008,83.422997,,,24.200001,29.125999,,,,,29.125999,136.748997,,56.448002,56.448002,,,,0,,,,,128.787991,,,128.787991,185.235992,0,,,,,0.0,,,,,,0.0,0.0,185.235992,0.0,130.136002,,,0.0,,249.473007,379.609009,0.0,379.609009,564.845001,
03/31/1997,584.041016,273.688995,141.996002,131.692993,103.244003,,,17.872999,,,,,26.294001,,,,421.100006,89.762001,151.028,-61.265999,34.478001,38.701,,,,,38.701,162.941002,,43.450001,43.450001,,,,0,,,,,92.786999,,,92.786999,136.237,0,,,,,0.0,,,,,,0.0,0.0,136.237,0.0,189.130005,,,0.0,,258.645996,447.776001,0.028,447.804001,584.041001,
