Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/27/1998,6016,478,478,0.0,851,,0.0,0.0,0.0,0.0,0.0,342,,,,,,1671,1561,1883.0,-322.0,399,,2385,,,,,,2385,4345,,871,871,,,,0.0,,,,,,729,,,729,1600,755,,,,,970,,,,,,970,1725,3325,0.0,2691,,,0,,0,2691,0.0,2691,6016,
06/19/1998,5989,318,318,0.0,793,,0.0,0.0,0.0,0.0,0.0,389,,,,,,1500,1812,,,382,,2295,1737.0,,,,,558,4489,,858,858,,,,0.0,,,,,,817,,,817,1675,668,,,,,993,,,,,,993,1661,3336,0.0,2704,,,-126,,75,2653,0.0,2653,5989,
09/11/1998,6155,335,335,0.0,807,,0.0,0.0,0.0,0.0,0.0,371,,,,,,1513,2021,,,383,,2238,1722.0,,,,,516,4642,,865,865,,,,0.0,,,,,,877,,,877,1742,858,,,,,999,,,,,,999,1857,3599,0.0,2696,,,-272,,132,2556,0.0,2556,6155,
01/01/1999,6233,390,390,0.0,605,,75.0,75.0,0.0,0.0,0.0,263,,,,,,1333,2275,2639.0,-364.0,434,,2191,1712.0,,,,,479,4900,,497,497,,,,0.0,,,,,,915,,,915,1412,1267,,,,,984,,,,,,984,2251,3663,0.0,2716,,,-348,,202,2570,0.0,2570,6233,
03/26/1999,6452,335,335,0.0,632,,,,,,,339,,,,,,1306,2337,,,449,,2360,1818.0,,,,278.0,264,5146,,469,469,,,,0.0,,,,,,875,,,875,1344,1266,,,,,1058,,,,,,1058,2324,3668,0.0,2729,,,-161,242.0,-26,2784,0.0,2784,6452,
06/18/1999,6559,240,240,0.0,649,,0.0,,,,,350,,,,,,1239,2471,,,452,,2397,1843.0,,,,270.0,284,5320,,483,483,,,,0.0,,,,,,938,,,938,1421,1178,,,,,1087,,,,,,1087,2265,3686,0.0,2738,,,-161,323.0,-27,2873,0.0,2873,6559,
09/10/1999,6990,324,324,0.0,681,,0.0,0.0,0.0,0.0,0.0,382,,,,,,1387,2697,,,504,,2402,1846.0,,,,262.0,294,5603,,539,539,,,,0.0,,,,,,1043,,,1043,1582,1458,,,,,1119,,,,,,1119,2577,4159,0.0,2743,,,-279,400.0,-33,2831,0.0,2831,6990,
12/31/1999,7324,489,489,0.0,740,,93.0,93.0,0.0,0.0,0.0,278,,,,,,1600,2845,3272.0,-427.0,473,,2406,1820.0,1246.0,574.0,,,586,5724,,628,628,,,,0.0,,,,,,1115,,,1115,1743,1676,,,,,997,,,,,,997,2673,4416,0.0,2741,,,-305,,472,2908,0.0,2908,7324,
03/24/2000,7550,372,372,0.0,805,,117.0,117.0,0.0,0.0,0.0,270,,,,,,1564,3098,,,508,,2380,1799.0,,,,284.0,297,5986,,650,650,,,,0.0,,,,,,1019,,,1019,1669,2068,,,,,1023,,,,,,1023,3091,4760,0.0,2758,,,-472,544.0,-40,2790,0.0,2790,7550,
06/16/2000,7558,410,410,0.0,750,,110.0,110.0,0.0,0.0,0.0,283,,,,,,1553,3001,,,548,,2456,1815.0,,,,336.0,305,6005,,561,561,,,,0.0,,,,,,1144,,,1144,1705,1958,,,,,1025,,,,,,1025,2983,4688,0.0,3752,,,-492,641.0,-1031,2870,0.0,2870,7558,
09/08/2000,7646,378,378,0.0,668,,104.0,104.0,0.0,0.0,0.0,317,,,,,,1467,3088,,,601,,2490,1816.0,,,,372.0,302,6179,,564,564,,,,0.0,,,,,,1223,,,1223,1787,1756,,,,,1074,,,,,,1074,2830,4617,0.0,3666,,,-481,715.0,-871,3029,0.0,3029,7646,
12/29/2000,8237,334,334,0.0,728,,97.0,97.0,0.0,0.0,0.0,486,,,,,,1645,3011,3515.0,-504.0,661,,2920,1833.0,1245.0,588.0,,,1087,6592,,660,660,,,,,,,,,,1257,,,1257,1917,2016,,,,,1037,,,,,,1037,3053,4970,0.0,3593,,,-454,,128,3267,0.0,3267,8237,
03/23/2001,8278,370,370,0.0,719,,110.0,110.0,0.0,0.0,0.0,272,,,,,,1471,3131,,,699,,2977,1834.0,,,,793.0,350,6807,,675,675,,,,0.0,0.0,0.0,0.0,,,1054,,,1054,1729,2012,,,,,1078,,,,,,1078,3090,4819,0.0,3457,,,-381,895.0,-512,3459,0.0,3459,8278,
06/15/2001,8790,674,674,0.0,760,,104.0,104.0,0.0,0.0,0.0,297,,,,,,1835,3163,,,759,,3033,1812.0,,,,796.0,425,6955,,708,708,,,,0.0,,,,,,1060,,,1060,1768,2314,,,,,1107,,,,,,1107,3421,5189,0.0,3448,,,-360,985.0,-472,3601,0.0,3601,8790,
09/07/2001,9020,874,874,0.0,660,,101.0,101.0,0.0,0.0,0.0,313,,,,,,1948,3110,,,900,,3062,1801.0,,,,828.0,433,7072,,732,732,,,,0.0,,,,,,1113,,,1113,1845,2318,,,,,1222,,,,,,1222,3540,5385,0.0,3429,,,-425,1062.0,-431,3635,0.0,3635,9020,
12/28/2001,9107,812,812,0.0,479,,,,,,,1456,,,,,,2747,2460,2869.0,-409.0,1042,,2858,1634.0,977.0,657.0,,,1224,6360,,607,607,,,,32.0,32.0,0.0,0.0,,,1331,,,1331,1970,2708,,,,,951,,,,,,951,3659,5629,0.0,3381,,,-503,941.0,-341,3478,0.0,3478,9107,
03/22/2002,8553,190,190,0.0,645,,99.0,99.0,0.0,0.0,0.0,576,,,,,,1510,2962,,,1030,,3051,1569.0,1092.0,477.0,,1062.0,420,7043,,658,658,,,,0.0,0.0,0.0,0.0,,,1029,,,1029,1687,2182,,,,,1036,,,,,,1036,3218,4905,0.0,3216,,,-443,993.0,-118,3648,0.0,3648,8553,
06/14/2002,8532,200,200,0.0,653,,94.0,94.0,0.0,0.0,0.0,638,,,,,,1585,2923,,,924,,3100,1568.0,1092.0,476.0,,1109.0,423,6947,,698,698,,,,0.0,0.0,0.0,0.0,,,1163,,,1163,1861,1911,,,,,990,,,,,,990,2901,4762,0.0,3189,,,-457,1103.0,-65,3770,0.0,3770,8532,
