Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Net Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/1999,,223.0,223.0,,1.046188,1.041704,0.466368,0.43139,0.27,0.27,0.27,0.27,0.27,0.27,0.0,0.4,0.365471,,,,
06/30/1999,,223.0,223.0,,1.265471,1.262332,0.553363,0.514798,0.32,0.32,0.32,0.31,0.31,0.31,0.0,0.224215,0.179821,,,,
09/30/1999,,223.0,223.0,,1.395516,1.392377,0.640359,0.592377,0.37,0.37,0.37,0.36,0.36,0.36,0.0,0.472646,0.423318,,,,
12/31/1999,,223.0,223.0,,1.729148,1.713453,0.82287,0.759193,0.44,0.44,0.44,0.43,0.43,0.43,0.0,0.53722,0.439013,,,,
03/31/2000,,223.0,223.0,,2.444395,2.432735,1.168161,1.086547,0.85,0.85,0.64,0.84,0.84,0.63,0.0,0.849327,0.708072,,,,
06/30/2000,222.999786,223.0,223.0,,2.524664,2.518834,1.306278,1.141256,0.68,0.68,0.68,0.67,0.67,0.67,0.0,1.470852,1.130942,1.988791,4.671753,3.781618,
09/30/2000,222.511002,229.296997,223.406998,,2.728205,2.7197,1.405059,1.300317,0.76,0.76,0.76,0.73,0.73,0.73,0.01,1.507115,1.414906,2.376512,4.958406,3.75532,
12/31/2000,218.908997,226.688995,220.667999,,2.404064,2.395454,1.211775,1.093498,0.69,0.69,0.67,0.66,0.66,0.64,0.01,0.301811,0.253322,1.664162,4.832145,3.72849,
03/31/2001,219.154999,224.666,219.042007,,2.047552,2.024726,0.94822,0.811716,0.51,0.51,0.51,0.48,0.48,0.48,0.0,0.6848,0.625451,1.530424,5.120121,2.304762,
06/30/2001,219.559998,224.615005,219.386993,,1.875681,1.831011,0.912543,0.721556,0.41,0.41,0.48,0.39,0.39,0.46,0.02,0.647258,0.614439,1.998087,5.654946,,
09/30/2001,220.895996,224.389999,220.462006,,1.640192,1.60844,0.754779,0.56427,0.12,0.12,0.4,0.11,0.11,0.39,0.0,0.808303,0.778819,1.948428,5.73392,-0.915816,
12/31/2001,222.100998,223.811996,221.511002,,1.508277,1.449589,0.764748,0.531802,0.33,0.33,0.38,0.32,0.32,0.37,0.02,0.139948,0.105638,1.065731,6.138198,-4.27103,
03/31/2002,222.350998,224.589996,222.242996,,1.477212,1.416917,0.729832,0.560648,0.44,0.44,0.44,0.42,0.42,0.42,0.0,0.586295,0.569647,1.326281,6.668286,-3.9694,
06/30/2002,222.410004,224.410995,222.380005,,1.395809,1.335552,0.641245,0.443385,0.33,0.33,0.35,0.33,0.33,0.35,0.04,0.077345,0.049015,0.312486,6.973157,-4.005216,
09/30/2002,222.423004,223.800003,222.399994,,1.136241,1.072392,0.439299,0.142086,-0.59,-0.54,0.12,-0.59,-0.54,0.12,0.0,0.314299,0.304406,0.405983,6.395921,-4.621374,
12/31/2002,222.544006,223.800003,222.5,,1.092584,1.017978,0.54427,0.27191,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.292135,0.273708,0.721655,6.776188,-4.114243,
