Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
01/31/1990,7.313,28.219999,23.264,11.381,,,11.381,-55.551998,,-55.551998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/1990,54.965,37.965,24.771999,-10.653,,,-10.653,2.881,,2.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/31/1990,185.199997,40.006001,26.59,-15.401,,,-15.401,134.005005,,134.005005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1990,105.664001,40.695,35.148998,16.49,,,16.49,13.33,,13.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.664001,,,
01/31/1991,110.167999,25.790001,29.907,6.685,,,6.685,47.785999,,47.785999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/1991,58.416,41.623001,29.813,-20.014,,,-20.014,6.994,,6.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/31/1991,36.060001,47.472,30.408001,-11.4,,,-11.4,-30.42,,-30.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1991,25.063999,45.903,31.354,-2.869,,,-2.869,-49.324001,,-49.324001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.063999,,,
01/31/1992,38.611,-4.04,32.102001,36.386002,,,36.386002,-25.837,,-25.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/1992,40.507,32.381001,32.889999,5.752,,,5.752,-30.516001,,-30.516001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/1992,102.101997,36.823002,28.563,24.232,,,24.232,12.484,,12.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1992,137.067001,-59.346001,41.703999,73.819,,,73.819,80.889999,,80.889999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.067001,,,
01/31/1993,-16.222,35.681,28.500999,-17.405001,,,-17.405001,-62.999001,,-62.999001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/1993,30.549999,41.952999,28.98,-6.203,,,-6.203,-34.18,,-34.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/31/1993,48.103001,40.834999,25.421,-6.494,,,-6.494,-11.659,,-11.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1993,129.535004,48.331001,28.891001,4.972,,,4.972,47.341,,47.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.535004,,,
01/31/1994,121.488998,43.998001,27.134001,0.004,,,0.004,50.353001,,50.353001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/30/1994,140.660995,47.738998,28.521999,15.242,,,15.242,49.158001,,49.158001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/31/1994,60.417,48.307999,29.021999,-16.525,,,-16.525,-0.388,,-0.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1994,136.809006,52.354,29.58,12.275,,,12.275,42.599998,,42.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.809006,,,
01/31/1995,60.491001,50.323002,32.929001,-10.825,,,-10.825,-11.936,,-11.936,,,-81.643997,,,,-81.643997,,,,,,,,,,81.643997,,,,,,,,,,,,,,,
04/30/1995,72.564003,55.321999,35.52,18.281,,,18.281,-36.558998,,-36.558998,,,-78.609001,,,,-78.609001,,,,,,,,,,78.609001,,,,,,,,,,,,,,,
07/30/1995,97.942001,60.152,37.728001,-26.431,,,-26.431,26.493,,26.493,,,-65.334999,,,,-65.334999,,,,,,,,,,65.334999,,,,,,,,,,,,,,,
10/31/1995,138.113007,65.971001,40.779999,-0.048,,,-0.048,31.41,,31.41,,-93.353996,-93.353996,,,,-93.353996,,,,,,,,,,0.0,,,,,,,,,,,,44.759011,,,
01/31/1996,48.308998,57.448002,42.411999,-5.621,,,-5.621,-45.93,,-45.93,,,-107.910004,,,,-107.910004,,,,,,,,,,107.910004,,,,,,,,,,,,,,,
04/30/1996,193.134995,63.700001,46.231998,0.141,,,0.141,83.061996,,83.061996,,,-98.581001,,,,-98.581001,,,,,,,,,,98.581001,,,,,,,,,,,,,,,
07/31/1996,62.980999,68.077003,51.285,2.039,,,2.039,-58.419998,,-58.419998,,,-82.913002,,,,-82.913002,,,,,,,,,,82.913002,,,,,,,,,,,,,,,
