Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,9250.599609,105.599998,105.599998,0.0,211.100006,41.299999,,,,,72.699997,,,,430.700012,7909.100098,10105.0,-2195.899902,,910.799988,,,,,910.799988,8819.900085,,317.700012,317.700012,,,,359.899994,,,,,,288.899994,,,288.899994,966.5,3996.5,,,,,737.200012,,,,,,737.200012,4733.700012,5700.200012,200.0,210.899994,,,-1295.400024,,4434.900024,3550.399994,0.0,3550.399994,9250.600006,
06/30/1990,9655.099609,119.5,119.5,0.0,221.899994,39.900002,,,,,88.900002,,,,470.200012,8225.400391,10514.900391,-2289.5,,959.5,,,,,959.5,9184.900391,,310.700012,310.700012,,,,326.600006,,,,,,267.899994,,,267.899994,905.200012,4221.799805,,,,,769.200012,,,,,,769.200012,4990.999817,5896.199829,199.899994,212.800003,,,-1303.599976,,4649.799927,3758.899948,0.0,3758.899948,9655.099777,
09/30/1990,10189.900391,163.899994,163.899994,0.0,226.800003,38.400002,,,,,86.099998,,,,515.200012,8652.299805,11053.400391,-2401.100098,,1022.400024,,,,,1022.400024,9674.699829,,301.299988,301.299988,,,,392.600006,,,,,,334.500031,,,334.500031,1028.400024,4358.700195,,,,,784.299988,,,,,,784.299988,5143.000183,6171.400208,199.800003,216.100006,,,-1303.400024,,4906.000122,4018.500107,0.0,4018.500107,10189.900314,
12/31/1990,10667.5,142.800003,142.800003,0.0,255.0,42.900002,,,,,108.300003,,,,549.0,9047.099609,11535.5,-2488.400391,102.199997,969.200012,,,,,969.200012,10118.499618,,355.700012,355.700012,,,,496.899994,,,,,,346.099945,,,346.099945,1198.699951,4428.700195,,,,,857.799988,,,,,,857.799988,5286.500183,6485.200134,199.699997,219.899994,,,-1302.0,,5064.699951,4182.299942,0.0,4182.299942,10667.500076,
03/31/1991,10463.700195,147.300003,147.300003,0.0,237.5,39.299999,,,,,103.5,,,,527.599976,8851.099609,11371.5,-2520.399902,,1085.0,,,,,1085.0,9936.099609,,276.299988,276.299988,,,,665.099976,,,,,,309.500061,,,309.500061,1250.900024,4114.799805,,,,,858.700012,,,,,,858.700012,4973.499817,6224.399841,199.300003,223.699997,,,-1302.300049,,5118.600098,4239.300049,0.0,4239.300049,10463.69989,
06/30/1991,10492.5,130.100006,130.100006,0.0,250.899994,38.400002,,,,,99.300003,,,,518.700012,8840.5,11413.200195,-2572.699951,,1133.300049,,,,,1133.300049,9973.800049,,273.899994,273.899994,,,,412.0,,,,,,294.600006,,,294.600006,980.5,4326.299805,,,,,889.700012,,,,,,889.700012,5215.999817,6196.499817,298.899994,230.699997,,,-1399.300049,,5165.699951,4295.999893,0.0,4295.999893,10492.49971,
09/30/1991,10808.599609,137.100006,137.100006,0.0,242.100006,36.799999,,,,,90.900002,,,,506.899994,9169.099609,11870.799805,-2701.699951,0.0,1132.599976,,,,,1132.599976,10301.699585,,256.5,256.5,,,,427.600006,,,,,,386.499969,,,386.499969,1070.599976,4279.700195,,,,,869.700012,,,,,,869.700012,5149.400208,6220.000183,298.5,234.300003,,,-1393.5,,5449.300049,4588.600052,0.0,4588.600052,10808.600235,
12/31/1991,11349.099609,220.199997,220.199997,0.0,274.399994,42.599998,,,,,108.800003,,,,646.0,9558.5,12368.0,-2809.5,123.099998,1021.5,,,,,1021.5,10703.099998,,313.899994,313.899994,,,,464.0,,,,,,510.00003,,,510.00003,1287.900024,4267.399902,,,,,958.700012,,,,,,958.700012,5226.099914,6513.999938,298.200012,248.100006,,,-1382.0,,5670.799805,4835.099823,0.0,4835.099823,11349.099761,
03/31/1992,10925.200195,85.199997,85.199997,0.0,242.300003,37.900002,,,,,81.300003,,,,446.700012,9401.599609,12260.700195,-2859.100098,0.0,1076.900024,,,,,1076.900024,10478.499634,,263.5,263.5,,,,463.399994,,,,,,300.799957,,,300.799957,1027.699951,4001.899902,,,,,966.400024,,,,,,966.400024,4968.299927,5995.999878,297.0,263.0,,,-1370.800049,,5740.000244,4929.200195,0.0,4929.200195,10925.200073,
06/30/1992,11357.700195,126.0,126.0,0.0,250.300003,39.0,,,,,102.400002,,,,517.700012,9737.700195,12728.5,-2990.800049,0.0,1102.300049,,,,,1102.300049,10840.000244,,277.700012,277.700012,,,,875.799988,,,,,,350.400024,,,350.400024,1503.900024,3688.300049,,,,,932.799988,,,,,,932.799988,4621.100037,6125.000061,296.399994,269.5,,,-1364.099976,,6030.89978,5232.699799,0.0,5232.699799,11357.69986,
