Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Acq of Fixed & Intang,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1999,-4.459,-8.357,3.131,6.131,,6.131,-5.365,,,-5.365,-36.869999,-36.869999,0.0,-36.869999,0,0,0,0.0,16.863,0,22.999001,0.0,0.0,0.0,-6.136,-24.466,0.182,0.814,
06/30/1999,12.597,-8.734,3.538,4.496,,4.496,13.297,,,13.297,-54.681,-46.766998,0.0,-46.766998,0,0,0,-7.914001,44.845003,0,-5.0,49.919003,82.744003,-32.825001,-0.074,2.761,0.004,1.694,
09/30/1999,3.326,-7.986,4.314,7.263,,7.263,-0.265,,,-0.265,-56.422001,-56.422001,0.0,-56.422001,0,0,0,0.0,50.764,0,39.987,11.137,11.137,0.0,-0.36,-2.333,0.316,0.659,
12/31/1999,11.67,-9.514,5.574,1.865,,1.865,13.746,,,13.746,-60.896999,-60.896,0.0,-60.896,0,0,0,-0.000999,49.652,0,56.988,0.52,0.52,0.0,-7.856,0.426,0.164,2.773,
03/31/2000,-2.774,-9.723,6.83,6.7,,6.7,-6.581,,,-6.581,-60.591,-60.591,0.0,-60.591,0,0,0,0.0,171.931006,0,-59.513,231.488007,231.488007,0.0,-0.044,108.566002,0.463,3.71,
06/30/2000,17.247999,-7.908,7.932,6.965,,6.965,10.259,,,10.259,-102.561996,-102.561996,0.0,-102.561996,0,0,0,0.0,0.816,0,-0.012,0.842,0.842,0.0,-0.014,-84.498001,0.225,2.409,
09/30/2000,7.25,-5.905,9.517,7.079,,7.079,-3.441,,,-3.441,-119.959999,-119.959999,0.0,-119.959999,0,0,0,0.0,210.350005,0,-25.013,235.434006,235.434006,0.0,-0.071,97.639999,0.436,-0.611,
12/31/2000,25.792,-5.379,10.552,-7.24,,-7.24,27.860001,,,27.860001,-162.167007,-162.167007,0.0,-162.167007,0,0,0,0.0,26.516,0,24.743,1.644,1.644,0.0,0.129,-109.859001,0.872,2.903,
03/31/2001,-16.66,-22.996,21.975,6.256,,6.256,-21.895,,,-21.895,-158.306,-158.306,0.0,-158.306,0,0,0,0.0,410.350999,0,408.917999,1.433,1.433,0.0,0.0,235.384995,1.229,9.805,
06/30/2001,23.92,-23.320999,11.4,17.030001,,17.030001,18.811001,,,18.811001,-169.011993,-169.011993,0.0,-169.011993,0,0,0,0.0,45.601999,0,44.560999,1.041,1.041,0.0,0.0,-99.489998,0.555,-8.502,
09/30/2001,7.581,-49.118,20.145,31.5,,31.5,5.054,,,5.054,-87.851997,-87.851997,0.0,-87.851997,0,0,0,0.0,-0.156983,0,-484.796998,484.640015,484.640015,0.0,0.0,-80.428001,0.208,26.594,
12/31/2001,-1.841,-29.709999,26.945,9.099,,9.099,-8.175,,,-8.175,-115.102997,-115.102997,0.0,-115.102997,0,0,0,0.0,60.401031,0,-497.65799,558.059021,558.059021,0.0,0.0,-56.542999,0.223,1.521,
