Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,EV/Sales,Price/Earnings per Share,EV/Market Cap,Total Debt/EV,EV/Cash Flow,EV/Free Cash Flow,EV/Net Income,EV/Book Value,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/1993,,,,,,,,,,,,,,,,,,,
06/30/1993,,,,,,,,,,,,,,,,,,,
09/30/1993,,,,,,,,,,,,,,,,,,,
12/31/1993,,,,,,,,,,,,,,,,,,,
03/31/1994,,,,,,,,,,,,,,,,,,,
06/30/1994,,,,,,,,,,,,,,,,,,,
09/30/1994,,,,,,,,,,,,,,,,,,,
12/31/1994,,,,,,,,,,,,,,,,,,,
03/31/1995,,,,,,,,,,,,,,,,,,,
06/30/1995,,,,,,,,,,,,,,,,,,,
09/30/1995,,,,,,,,,,,,,,,,,,,
12/31/1995,,,,,,,,11.856617,,,,,,,5664.712403,,,,
03/31/1996,5742.113853,-155.0,0.0,484.0,1425.0,7496.113853,0.603406,13.207547,1.305462,0.190099,5.350545,5.648918,14.555561,1.704825,5777.100075,7531.100075,31.983829,,
06/30/1996,6245.106714,-156.0,0.0,485.0,1521.0,8095.106714,0.6458,12.80048,1.296232,0.187891,7.665821,8.176875,14.638529,1.84567,6278.175081,8128.175081,34.512175,,
09/30/1996,6921.703079,-160.0,0.0,485.0,1523.0,8769.703079,0.712231,14.861461,1.266986,0.173666,9.7333,10.197329,,2.155778,6914.79982,8762.79982,37.376096,,
12/31/1996,7935.029984,-112.0,0.0,1000.0,1532.0,10355.029984,0.830196,14.737991,1.304977,0.147947,10.417535,11.194627,,2.290936,7992.000103,10412.000103,44.042967,,
03/31/1997,8503.393439,-146.0,0.0,1000.0,2162.0,11519.393439,0.935547,13.456157,1.354682,0.187683,11.730543,12.630914,1279.932604,2.629398,8590.08739,11606.08739,48.853217,,
06/30/1997,9783.366737,-135.0,0.0,1324.0,1770.0,12742.366737,1.025213,13.837793,1.302452,0.138907,8.603894,9.024339,28.959924,2.378639,9880.350126,12839.350126,53.888956,,
09/30/1997,10164.669897,-178.0,0.0,1373.0,1759.0,13118.669897,1.01703,13.510597,1.290614,0.134084,7.569919,7.994314,10.232972,2.258724,10305.984375,13259.984375,55.536753,,
12/31/1997,11038.129306,-140.0,0.0,1397.0,1773.0,14068.129306,1.057357,14.528338,1.274503,0.12603,6.879281,7.266596,10.561659,2.311936,11171.362643,14201.362643,59.622845,,
03/31/1998,12782.276295,-76.0,0.0,1411.0,1763.0,15880.276295,1.145763,17.613636,1.242367,0.111018,9.424496,10.238734,11.408244,2.50438,12971.175331,16069.175331,67.398401,,
06/30/1998,13382.676058,-143.0,0.0,1690.0,1713.0,16642.676058,1.171112,18.999169,1.243599,0.102928,11.050914,12.219292,15.790015,2.585471,13673.531599,16933.531599,71.11829,,
09/30/1998,10878.46267,-135.0,0.0,1718.0,1713.0,14174.46267,0.974525,15.011867,1.302984,0.120851,9.362261,10.278798,14.627928,2.219268,11176.27529,14472.27529,61.810303,,
