Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2016,437.05,437.05,-278.243,278.243,,158.807,0.0,-139.25,103.077,36.173,19.557,-42.678,43.041,,-0.363,-23.121,13.226,-9.895,0.0,0.0,0.0,-9.895,0.275,-9.62,0.0,0.0,-9.62,-1.63165,7.98835,242.899129,-0.03674,-0.03674,-0.006717,242.899129,-0.03674,-0.03674,-0.006717,
03/31/2017,481.667,481.667,-307.117,307.117,,174.55,0.0,-137.899,102.413,35.486,36.651,-45.237,45.863,,-0.626,-8.586,1.619,-6.967,0.0,0.0,0.0,-6.967,-0.048,-7.015,0.0,0.0,-7.015,0.7151,7.7301,242.521882,-0.030617,-0.030617,0.002948,242.521882,-0.030617,-0.030617,0.001257,
06/30/2017,579.1,579.1,-363.2,363.2,,215.9,0.0,-317.5,125.6,191.9,-101.6,-88.6,39.5,,49.1,-190.2,43.9,-146.3,0.0,0.0,0.0,-146.3,0.0,-146.3,0.0,0.0,-146.3,-98.655,47.645,176.9,-0.83,-0.83,-0.557688,176.9,-0.83,-0.83,-0.560667,
09/30/2017,649.6,649.6,-395.7,383.8,11.9,253.9,0.0,-157.9,111.0,46.9,96.0,-63.6,30.1,,33.5,32.4,-4.4,28.0,0.0,0.0,0.0,28.0,0.0,28.0,0.0,0.0,28.0,59.147056,31.147056,201.3,0.14,0.14,0.293825,208.1,0.13,0.13,0.279673,
12/31/2017,665.0,665.0,-411.5,398.1,13.4,253.5,0.0,-175.6,107.3,68.3,77.9,-24.2,25.2,,-1.0,53.7,90.1,143.8,0.0,0.0,0.0,143.8,0.0,143.8,0.0,0.0,143.8,61.295,-82.505,201.4,0.71,0.71,0.304345,209.3,0.69,0.69,0.295805,
03/31/2018,619.6,619.6,-387.7,387.7,,231.9,0.0,-142.1,106.9,35.2,89.8,-24.0,26.0,,-2.0,65.8,-23.4,42.4,0.0,0.0,0.0,42.4,0.0,42.4,0.0,0.0,42.4,49.010151,6.610151,201.6,0.21,0.21,0.243106,209.9,0.2,0.2,0.231492,
06/30/2018,668.2,668.2,-418.9,418.9,,249.3,0.0,-147.9,115.8,32.1,101.4,-23.9,26.1,,-2.2,77.5,-17.2,60.3,0.0,0.0,0.0,60.3,0.0,60.3,0.0,0.0,60.3,72.964763,12.664763,201.8,0.3,0.3,0.36157,209.6,0.29,0.29,0.350423,
09/30/2018,689.3,689.3,-426.9,415.8,11.1,262.4,0.0,-144.7,107.7,37.0,117.7,-22.9,24.4,,-1.5,94.8,-22.6,72.2,0.0,0.0,0.0,72.2,0.0,72.2,0.0,0.0,72.2,81.45764,9.25764,201.9,0.36,0.36,0.403455,209.1,0.35,0.35,0.394274,
12/31/2018,712.7,712.7,-443.8,432.9,10.9,268.9,0.0,-134.8,104.2,30.6,134.1,-22.7,23.1,,-0.4,111.4,-16.9,94.5,0.0,0.0,0.0,94.5,0.0,94.5,0.0,0.0,94.5,99.703,5.203,201.1,0.47,0.47,0.495788,207.7,0.45,0.45,0.475051,
03/31/2019,620.3,620.3,-389.8,389.8,,230.5,0.0,-150.3,107.7,42.6,80.2,-21.1,22.4,,-1.3,59.1,-12.0,47.1,0.0,0.0,0.0,47.1,0.0,47.1,0.0,0.0,47.1,47.332771,0.232771,201.6,0.23,0.23,0.234786,207.7,0.23,0.23,0.231121,
