Date,Revenue,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Purchased Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1997,1301.0,374.0,838.0,0.0,89.0,-528.0,127.0,39.0,88.0,401.0,,,,773.0,-560.0,150.0,48.0,362.0,213.0,-51.0,,,0.0,,51.0,51.0,0.0,,0.0,162,-59.0,,103.0,0.0,,,103.0,0.0,103.0,-5.0,,98.0,98.0,,236.186005,0.415,0.415,0.415,236.791,0.414,0.414,0.414,
06/30/1997,1130.0,417.0,634.0,0.0,79.0,-297.0,128.0,39.0,89.0,169.0,,,,833.0,-578.0,150.0,41.0,387.0,255.0,-52.0,,,0.0,,52.0,52.0,0.0,,0.0,203,-88.0,,115.0,0.0,,,115.0,0.0,115.0,-3.0,,112.0,112.0,,235.712997,0.475,0.475,0.475,236.332001,0.474,0.474,0.474,
09/30/1997,1251.0,484.0,680.0,0.0,87.0,-421.0,181.0,46.0,135.0,240.0,,,,830.0,-592.0,152.0,44.0,396.0,238.0,-52.0,,,0.0,,52.0,52.0,0.0,,0.0,186,-79.0,,107.0,0.0,,,107.0,0.0,107.0,-5.0,,102.0,102.0,,235.636993,0.433,0.433,0.45,236.246002,0.43,0.43,0.449,
12/31/1997,1415.0,494.0,812.0,0.0,109.0,-527.0,169.0,169.0,,358.0,,,,888.0,-667.0,152.0,45.0,470.0,221.0,-21.0,,,0.0,,51.0,51.0,0.0,0.0,-30.0,200,-75.0,,125.0,0.0,,,125.0,0.0,125.0,-5.0,,120.0,120.0,,235.688,0.51,0.51,0.51,236.57,0.51,0.51,0.51,
03/31/1998,1350.0,497.0,761.0,0.0,92.0,-457.0,127.0,31.0,96.0,330.0,,,,893.0,-703.0,275.0,51.0,377.0,190.0,-55.0,,,0.0,,55.0,55.0,0.0,,0.0,135,-44.0,,91.0,0.0,,,91.0,0.0,91.0,-4.0,,87.0,87.0,,236.475006,0.37,0.37,0.37,236.475006,0.37,0.37,0.37,
06/30/1998,1217.0,476.0,654.0,0.0,87.0,-287.0,98.0,36.0,62.0,189.0,,,,930.0,-846.0,276.0,47.0,523.0,84.0,-44.0,,,0.0,,48.0,48.0,0.0,,-4.0,40,-7.0,,33.0,0.0,,,33.0,0.0,33.0,-2.0,,31.0,31.0,,236.29,0.13,0.13,0.13,236.94,0.13,0.13,0.13,
09/30/1998,1398.0,481.0,583.0,0.0,334.0,-307.0,142.0,70.0,72.0,165.0,,,,1091.0,-882.0,207.0,41.0,634.0,209.0,-58.0,,,0.0,,58.0,58.0,0.0,,0.0,151,-57.0,,94.0,0.0,,,94.0,0.0,94.0,-3.0,,91.0,91.0,,236.751999,0.384,0.384,0.401,237.412994,0.38,0.38,0.4,
12/31/1998,1442.0,411.0,774.0,0.0,257.0,-838.0,568.0,40.0,528.0,270.0,,,,604.0,-440.0,171.0,43.0,226.0,164.0,-46.0,,,0.0,,46.0,46.0,0.0,,0.0,118,-30.0,,88.0,0.0,,,88.0,0.0,88.0,-3.0,,85.0,85.0,,236.177002,0.36,0.36,0.36,237.600006,0.36,0.36,0.36,
03/31/1999,1191.0,360.0,698.0,0.0,133.0,-392.0,101.0,35.0,66.0,291.0,,,,799.0,-576.0,142.0,45.0,389.0,223.0,-58.0,,,0.0,,58.0,58.0,0.0,,0.0,165,-63.0,,102.0,0.0,,,102.0,0.0,102.0,-3.0,,99.0,99.0,,237.065,0.42,0.42,0.42,237.408,0.42,0.42,0.42,
06/30/1999,1511.0,646.0,706.0,0.0,159.0,-384.0,109.0,21.0,88.0,275.0,,,,1127.0,-993.0,467.0,41.0,485.0,134.0,-48.0,,,0.0,,54.0,54.0,0.0,,-6.0,86,-1.0,,85.0,0.0,,,85.0,0.0,85.0,-3.0,,82.0,82.0,,237.157,0.35,0.35,0.4,237.455,0.35,0.35,0.4,
