Date,Total Interest Income,Total Interest Expense,Net Interest Income,Trading Account Profit,Commissions & Fees Earned,Other Operating Income,Net Revenue,Provisions for Loan Losses,Net Revenue After Provisions,Non-Interest Expense,Operating Income or Losses,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,1560,-1663,-103,658,134,1,690,0.0,690,-489,201,0,201,-82,119,0,0,119,-16.0,103,103,,0.88,0.88,117.900002,,,,,
06/30/1990,1317,-1339,-22,577,196,3,754,0.0,754,-556,198,0,198,-78,120,0,0,120,-15.0,105,105,,0.89,0.89,117.0,,,,,
09/30/1990,1458,-1464,-6,939,171,5,1109,0.0,1109,-775,334,-200,134,-55,79,0,0,79,-16.0,63,63,,0.55,0.55,114.5,,,,,
12/31/1990,1585,-1493,92,215,122,5,434,0.0,434,-506,-72,45,-27,12,-15,0,0,-15,-16.0,-31,-31,,-0.28,-0.28,110.400002,,,,,
03/31/1991,1556,-1507,49,968,159,7,1183,0.0,1183,-696,487,0,487,-214,273,0,0,273,-16.0,257,257,,2.3,2.3,111.699997,,,,,
06/30/1991,1604,-1556,48,706,192,6,952,0.0,952,-655,297,0,297,-119,178,0,0,178,-16.0,162,162,,1.43,1.43,113.199997,,,,,
09/30/1991,1612,-1543,69,609,195,7,880,0.0,880,-494,386,-200,186,-101,85,0,0,85,-17.0,68,68,,0.6,0.6,113.400002,,,,,
12/31/1991,1095,-1032,63,281,163,15,522,0.0,522,-573,-51,0,-51,22,-29,0,0,-29,-18.0,-47,-47,,-0.41,-0.41,114.634003,,,,,
03/31/1992,1121,-1026,95,650,158,12,915,0.0,915,-584,331,0,331,-141,190,0,0,190,-17.0,173,173,,1.51,1.51,114.800003,,,,,
06/30/1992,1263,-1054,209,928,169,6,1312,0.0,1312,-661,651,-185,466,-255,211,0,0,211,-17.0,194,194,,1.68,1.68,115.599998,,,,,
09/30/1992,1354,-1111,243,215,170,8,636,0.0,636,-625,11,0,11,-5,6,0,0,6,-17.0,-11,-11,,-0.09,-0.09,115.199997,,,,,
12/31/1992,1308,-1133,175,686,155,-7,1009,0.0,1009,-761,248,0,248,-105,143,0,0,143,-17.0,126,126,,1.1,1.1,114.544998,,,,,
03/31/1993,1420,-1168,252,-50,215,6,423,0.0,423,-536,-113,0,-113,48,-65,-37,0,-102,-18.0,-120,-83,,-0.76,-1.1,110.099998,,,,,
06/30/1993,1392,-1080,312,949,257,-13,1505,0.0,1505,-752,753,0,753,-320,433,0,0,433,-18.0,415,415,,3.75,3.75,110.900002,,,,,
09/30/1993,1753,-1272,481,-183,275,14,587,0.0,587,-569,18,0,18,2,20,0,0,20,-19.0,1,1,,0.01,0.01,111.199997,,,,,
12/31/1993,1424,-1080,344,1000,329,11,1684,0.0,1684,-877,807,0,807,-331,476,0,0,476,,476,476,,4.33,4.33,111.099998,,,,,
03/31/1994,1302,-1058,244,197,260,10,711,0.0,711,-599,112,0,112,-46,66,0,0,66,-13.0,53,53,,0.48,0.48,110.599998,,,,,
06/30/1994,1345,-1112,233,-238,170,6,171,0.0,171,-517,-346,0,-346,142,-204,0,0,-204,-15.0,-219,-219,,-2.08,-2.08,105.800003,,,,,
09/30/1994,1517,-1290,227,-39,204,16,408,0.0,408,-584,-176,0,-176,72,-104,0,0,-104,-16.0,-120,-120,,-1.13,-1.13,105.699997,,,0.0,0.0,
12/31/1994,1738,-1432,306,-480,188,82,96,0.0,96,-517,-421,0,-421,264,-157,0,0,-157,-18.0,-175,-175,,-1.65,-1.65,105.800003,,,,,
03/31/1995,1609,-1319,290,370,111,12,783,0.0,783,-598,185,0,185,-73,112,-31,0,81,-18.0,63,94,,0.882,0.59,106.300003,,,,,
06/30/1995,1944,-1546,398,-252,235,9,390,0.0,390,-490,-100,0,-100,40,-60,0,0,-60,-18.0,-78,-78,,-0.73,-0.73,106.5,,,,,
09/30/1995,1610,-1348,262,691,210,16,1179,0.0,1179,-731,448,0,448,-174,274,-6,0,268,-18.0,250,256,,2.41,2.36,106.599998,,,,,
12/31/1995,1858,-1541,317,268,248,14,847,0.0,847,-581,266,0,266,-79,187,-19,0,168,-15.0,153,172,,1.61,1.42,106.599998,,,,,
03/31/1996,1572,-1267,305,651,271,11,1238,0.0,1238,-722,516,0,516,-206,310,-34,0,276,-16.0,260,294,2.75,2.75,2.44,106.599998,2.49,2.49,2.21,121.800003,
06/30/1996,1436,-1134,302,584,326,11,1223,0.0,1223,-726,497,0,497,-199,298,-7,0,291,-19.0,272,279,2.65,2.65,2.58,105.400002,2.4,2.4,2.34,120.599998,
09/30/1996,1366,-1132,234,307,256,56,853,0.0,853,-621,232,0,232,-92,140,-28,0,112,-19.0,93,121,1.15,1.15,0.88,105.5,1.08,1.08,0.85,120.599998,
12/31/1996,1374,-1146,228,448,326,51,1053,0.0,1053,-688,365,0,365,-131,234,-296,0,-62,-14.0,-76,220,2.03,2.03,-0.71,108.099998,1.88,1.88,-0.56,120.599998,
03/31/1997,1367,-1162,205,484,319,14,1022,0.0,1022,-743,279,0,279,-106,173,0,0,173,-15.0,158,158,1.44,1.44,1.44,109.5,1.37,1.37,1.37,120.900002,
06/30/1997,1678,-1365,313,443,321,13,1090,0.0,1090,-740,350,0,350,-130,220,0,0,220,-15.0,205,205,1.89,1.89,1.89,108.199997,1.77,1.77,1.77,119.699997,
09/30/1997,1651,-1417,234,522,323,29,1108,0.0,1108,-786,322,0,322,-116,206,0,0,206,-15.0,191,191,1.77,1.77,1.77,107.699997,1.66,1.66,1.66,119.300003,
03/31/2017,1184,-822,362,924,1257,108,2651,0.0,2651,-2136,515,0,515,-215,300,0,0,300,,300,300,,,,,,,,,
06/30/2017,1781,-1199,582,688,1387,80,2737,-1.0,2736,-2157,579,0,579,-261,318,0,0,318,,318,318,,,,,,,,,
09/30/2017,1752,-1223,529,439,1297,628,2893,1.0,2894,-2078,816,0,816,-324,492,0,0,492,,492,492,,,,,,,,,
12/31/2017,1735,-1393,342,168,1380,197,2087,0.0,2087,-2027,60,0,60,-73,-13,0,1,-12,0.0,-12,-12,,,,,,,,,
03/31/2018,2038,-1785,253,1113,1252,203,2821,0.0,2821,-2391,430,0,430,-65,365,0,0,365,,365,365,,,,,,,,,
06/30/2018,2797,-2210,587,582,1438,169,2776,24.0,2800,-2553,247,0,247,-619,-372,0,0,-372,,-372,-372,,,,,,,,,
09/30/2018,2715,-2304,411,571,1266,382,2630,-3.0,2627,-2270,357,0,357,-169,188,0,0,188,,188,188,,,,,,,,,
12/31/2018,2841,-2670,171,661,1427,99,2358,1.0,2359,-1806,553,0,553,-270,283,0,0,283,0.0,283,283,,,,,,,,,
03/31/2019,3075,-2899,176,1002,1428,141,2747,0.0,2747,-2419,328,0,328,-140,188,0,0,188,,188,188,,,,,,,,,
06/30/2019,3702,-3063,639,467,1403,512,3021,0.0,3021,-2288,733,0,733,-8,725,0,0,725,,725,725,,,,,,,,,
