Date,Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
09/30/1990,1.379242,,,,,,,,,,,,,,-0.398863,,,-0.398863,,,,,-0.38,-0.38,1.025267,-0.38,-0.38,-0.38,1.025267,
03/31/1991,1.65012,-1.1643,0.48582,,-0.35108,0.13474,-0.10973,0.0,0.0,0.02501,0.0,0.02501,0.0,0.0,0.02501,0.0,,0.02501,,,0.02501,,0.02,0.02,1.456939,0.02,0.02,0.02,1.456939,
06/30/1991,4.3201,-3.23218,1.08792,,-0.83736,0.25056,-0.1257,0.0,0.0,0.12486,-0.00318,0.12168,0.0,-0.02855,0.09313,-0.07574,,0.01739,,,0.01739,,0.02,0.02,1.651605,0.02,0.02,0.02,1.651605,
09/30/1991,4.72219,-3.54522,1.17697,,-0.80381,0.37316,-0.15565,0.0,0.0,0.21751,-0.04169,0.17582,0.0,-0.01627,0.15955,-0.07649,,0.08306,,,0.08306,,0.04,0.04,1.706892,0.04,0.04,0.04,1.706892,
12/31/1991,6.53808,-4.90187,1.63621,,-1.5079,0.12831,-0.21667,0.0,0.0,-0.08836,-0.00535,-0.09371,0.0,-0.00376,-0.09747,-0.08603,,-0.1835,,,-0.1835,,-0.04,-0.04,4.475,-0.04,-0.04,-0.04,4.475,
03/31/1992,7.06624,-4.92753,2.13871,,-1.53202,0.60669,-0.42544,0.0,0.2855,0.46675,-0.04415,0.4226,0.0,-0.03778,0.38482,-0.07747,,0.30735,,,0.30735,,0.08,0.08,3.630066,0.08,0.08,0.08,3.630066,
06/30/1992,8.58551,-5.97312,2.61239,,-1.97479,0.6376,-0.5806,0.0,0.0,0.057,-0.04361,0.01339,0.0,-0.00698,0.00641,-0.07747,,-0.07106,,,-0.07106,,-0.01,-0.01,8.000866,-0.01,-0.01,-0.01,8.000866,
09/30/1992,9.89039,-6.19402,3.696371,,-2.3083,1.38807,-0.78413,0.0,0.0,0.60394,-0.31526,0.28868,0.0,-0.00496,0.28372,-0.07747,,0.20625,,,0.20625,,0.02,0.02,9.934042,0.02,0.02,0.02,9.934042,
12/31/1992,9.49602,-6.07056,3.42546,,-1.99818,1.42728,-0.8278,0.0,0.0,0.59948,-0.25745,0.34203,0.0,0.01335,0.35538,-0.077474,,0.277906,,,0.277906,,0.03,0.03,10.424999,0.03,0.03,0.03,10.424999,
03/31/1993,10.00546,-5.98059,4.02487,,-2.06821,1.95666,-1.12411,0.0,0.0,0.83255,-0.423,0.40955,0.0,-0.00179,0.40776,-0.07747,,0.33029,,,0.33029,,0.04,0.04,10.772109,0.04,0.04,0.04,10.772109,
