Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
10/31/2014,65071,2319,2319,0,11397,8423,2974,,1884,0,0,1287,597,6431,196,,744,1165.0,3495,22031,8520,16960,-8440,3633,3633,30887,28017,25960,2057,,1930,43040,,13694,4889,2050,6755,894,767,,,,127,5172,3109.0,32,0,19760,485,485,,,,7654,0.0,2606.0,2606.0,0.0,568,1339,8139,27899,,,,,0,0,36776,36776,396,37172,65071,
04/30/2015,65300,2719,2719,0,10777,7935,2842,,2046,0,0,1363,683,6769,342,,1404,,4588,22311,8377,16944,-8567,3478,3478,31134,27732,26039,1693,,1656,42989,,12358,4494,811,7053,935,785,,,,150,5186,3109.0,50,0,18479,513,513,,,,8071,,2606.0,2606.0,0.0,568,1738,8584,27063,0.0,,,,0,0,37836,37836,401,38237,65300,
07/31/2015,68308,2774,2774,0,10761,7957,2804,,2299,0,0,1551,748,6959,380,,1265,,4757,22793,8459,17531,-9072,3562,3562,33494,30088,27857,2231,,1761,45515,,12784,4884,756,7144,752,611,,,,141,5370,3494.0,44,0,18906,493,493,,,,8183,,2347.0,2347.0,0.0,568,1730,8676,27582,0.0,,,,0,0,40318,40318,408,40726,68308,
10/31/2015,79916,9842,9842,0,10060,7142,2918,1396.0,2198,0,0,1518,680,6468,360,,3925,1538.0,4471,29964,9886,21424,-11538,3642,3642,36424,29191,27261,1930,0.0,2948,49952,,16063,5828,1840,8395,691,530,,,,161,5239,3565.0,107,0,21993,15103,15103,,,,8902,0.0,3432.0,3432.0,0.0,41,1757,24005,45998,0.0,,,,0,0,33535,33535,383,33918,79916,
01/31/2016,77352,8505,8505,0,10846,7898,2948,,2345,0,0,1517,828,6060,447,,2607,,5501,27756,9700,21497,-11797,3584,3584,36312,29166,27458,1708,,4092,49596,,14165,4908,397,8860,910,721,,,,189,5276,,17,0,20351,15229,15229,,,,10138,,,,,9,10112,25367,45718,0.0,36255.0,17.0,36238.0,0,86,-5092,31249,385,31634,77352,
04/30/2016,78064,9010,9010,0,10724,7707,3017,,2099,0,0,1338,761,9314,282,4077.0,3084,,4910,31147,9674,21728,-12054,3769,3769,33474,25680,24244,1436,,4428,46917,,13766,5289,462,8015,965,787,,,,178,5866,,73,727,20597,15247,15247,,,,10196,,,,,91,10032,25443,46040,0.0,36500.0,17.0,36483.0,0,301,-5167,31634,390,32024,78064,
07/31/2016,78821,10743,10743,0,9981,6951,3030,,1848,0,0,1182,666,5898,419,906.0,3958,,4580,28470,9579,21673,-12094,3786,3786,36986,25382,24171,1211,2675.0,4552,50351,,13380,5030,366,7984,911,780,,,,131,5193,,56,197,19484,15354,15354,,,,11157,,3133.0,3133.0,0.0,121,7847,26511,45995,0.0,35117.0,17.0,35100.0,0,2486,-5177,32426,400,32826,78821,
10/31/2016,79629,12987,12987,0,6361,3050,3311,150.0,1720,0,0,1170,550,7699,320,0.0,4584,741.0,6561,28917,6375,12897,-6522,4584,4584,39753,16765,16090,675,2648.0,15436,50712,,10173,4945,962,4266,3525,753,,,,2772,8831,2330.0,60,5676,22529,12168,12168,,,,13414,0.0,2101.0,2101.0,0.0,96,8827,25582,48111,0.0,35265.0,17.0,35248.0,0,2782,-6569,31478,40,31518,79629,
01/31/2017,76662,9858,9858,0,8264,5342,2922,1140.0,1988,0,0,1245,743,4275,175,,4477,,3899,25525,9497,21805,-12308,3811,3811,37829,25416,24252,1164,2620.0,5141,51137,,13282,5535,1694,6053,3520,788,,,,2732,4884,3450.0,225,0,21686,12270,12270,,,,11132,,2352.0,2352.0,0.0,140,4965,23402,45088,0.0,34865.0,17.0,34848.0,0,2760,-6124,31501,73,31574,76662,
04/30/2017,67470,8101,8101,0,6772,3543,3229,267.0,2041,0,0,1218,823,3092,114,,3491,673.0,2098,20273,6692,12738,-6046,3953,3953,36552,27038,25498,1540,2620.0,3289,47197,,11540,5194,1585,4761,2010,793,,,,1217,4028,2624.0,188,0,17578,11904,11904,,,,8941,,1779.0,1779.0,0.0,83,4267,20845,38423,0.0,34422.0,16.0,34406.0,0,-1867,-3544,29011,36,29047,67470,
