Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,821.257996,,-576.909973,,244.348022,,-168.626999,,,,,,75.721001,0.0,,,,0.0,,,75.721001,-28.735001,46.986,0.0,,,46.986,,46.986,0.0,,46.986,46.986,,174.303005,0.271111,0.271111,,174.303005,0.271111,0.271111,0.271111,
06/30/1990,842.664001,,-595.458984,,247.205017,,-164.416,,,,,,82.789001,0.0,,,,0.0,,,82.789001,-31.181999,51.606998,0.0,,,51.607002,,51.606998,0.0,,51.606998,51.606998,,174.316498,0.297778,0.297778,,174.316498,0.297778,0.297778,0.297778,
09/30/1990,862.288025,,-601.570984,,260.717041,,-176.278,,,,,,84.439003,0.0,,,,0.0,,,84.439003,-32.298,52.140999,0.0,,,52.141003,,52.140999,0.0,,52.140999,52.140999,,173.564999,0.302222,0.302222,,173.564999,0.302222,0.302222,0.302222,
12/31/1990,793.184021,,-520.845947,,272.338074,,-188.376999,,,,,,83.960999,6.309,,5.136,,0.0,,-11.445,90.269998,-34.408001,55.861996,0.0,,,55.861997,,55.861996,0.0,,55.861996,55.861996,,171.923624,0.32,0.32,,171.923624,0.32,0.32,0.32,
03/31/1991,809.177002,,-565.325012,,243.85199,,-174.569,,,,,,69.282997,0.0,,,,0.0,,,69.282997,-26.17,43.112999,0.0,,,43.112997,,43.112999,0.0,,43.112999,43.112999,,171.596249,0.253333,0.253333,,171.596249,0.253333,0.253333,0.253333,
06/30/1991,884.926025,,-624.408997,,260.517029,,-176.787994,,,,,,83.728996,0.0,,,,0.0,,,83.728996,-31.816999,51.911999,0.0,,,51.911997,,51.911999,0.0,,51.911999,51.911999,,171.555754,0.302222,0.302222,,171.555754,0.302222,0.302222,0.302222,
09/30/1991,897.773987,,-624.606995,,273.166992,,-187.391998,,,,,,85.775002,0.0,,,,0.0,,,85.775002,-32.765999,53.008999,0.0,,,53.009003,,53.008999,0.0,,53.008999,53.008999,,171.591751,0.311111,0.311111,,171.591751,0.311111,0.311111,0.311111,
12/31/1991,842.765076,,-559.201965,,283.563111,,-190.836029,,,,,,92.727013,3.513,,5.383,,0.0,,-8.896,96.240013,-36.597,59.643005,0.0,,,59.643013,,59.643005,0.0,,59.643005,59.643005,,171.614257,0.346667,0.346667,0.346667,171.614257,0.346667,0.346667,0.346667,
03/31/1992,959.070984,,-672.405029,,286.665955,,-203.735001,,,,,,82.931,0.0,,,,0.0,,,82.931,-31.479,51.452,0.0,,,51.452,,51.452,0.0,,51.452,51.452,,186.050995,0.275556,0.275556,,186.050995,0.275556,0.275556,0.275556,
06/30/1992,1013.596008,,-714.969971,,298.626038,,-201.619995,,,,,,97.005997,0.0,,,,0.0,,,97.005997,-36.908001,60.098,0.0,,,60.097996,,60.098,0.0,,60.098,60.098,,186.102001,0.32,0.32,,186.102001,0.32,0.32,0.32,
09/30/1992,1049.421997,,-735.112976,,314.309021,,-217.951996,,,,,,96.357002,0.0,,,,0.0,,,96.357002,-36.651001,59.706001,0.0,,,59.706001,,59.706001,0.0,,59.706001,59.706001,,186.130497,0.32,0.32,,186.130497,0.32,0.32,0.32,
12/31/1992,994.661987,,-659.242981,,335.419006,,-234.969986,,,,,,100.449013,5.667,,1.871,,0.0,,-7.538,106.116013,-40.402,65.714005,0.0,,,65.714013,,65.714005,0.0,,65.714005,65.714005,,171.827991,0.366667,0.366667,0.366667,171.827991,0.366667,0.366667,0.366667,
03/31/1993,1037.91394,,-727.492981,,310.420959,,-219.613998,,,,,,90.806999,0.0,,,,0.0,,,90.806999,-34.416,56.390999,1.055,,,55.335999,,55.335999,0.0,,55.335999,55.335999,,186.268501,0.3,0.306667,,186.268501,0.3,0.306667,0.306667,
06/30/1993,1106.176025,,-779.893982,,326.282043,,-219.983994,,,,,,106.297997,0.0,,,,0.0,,,106.297997,-40.393002,65.904999,0.0,,,65.904995,,65.904999,0.0,,65.904999,65.904999,,186.310501,0.353333,0.353333,,186.310501,0.353333,0.353333,0.353333,
09/30/1993,1144.838989,,-797.440002,,347.398987,,-239.300995,,,,,,108.098,0.0,,,,0.0,,,108.098,-45.078999,63.019001,0.0,,,63.019001,,63.019001,0.0,,63.019001,63.019001,,186.340496,0.34,0.34,,186.340496,0.34,0.34,0.34,
12/31/1993,1095.36499,,-718.211121,,377.153869,,-261.217041,,,,,,115.937019,4.689,,1.584,,0.0,,-6.273,120.626019,-47.072998,73.553009,0.0,,,73.553021,,73.552994,0.0,,73.552994,73.552994,,186.380997,0.393333,0.393333,0.393333,186.380997,0.393333,0.393333,0.393333,
03/31/1994,1162.074951,,-815.617981,,346.45697,,-243.356003,,,,,,103.100998,0.0,,,,0.0,,0.0,103.100998,-40.209999,62.890999,0.0,,,62.890999,0.0,62.890999,0.0,,62.890999,62.890999,,186.703503,0.34,0.34,,186.703503,0.34,0.34,0.34,
06/30/1994,1219.801025,,-856.984009,,362.817017,,-246.406006,,,,,,116.411003,0.0,,,,0.0,,,116.411003,-45.400002,71.011002,0.0,,,71.011002,0.0,71.011002,0.0,,71.011002,71.011002,,186.751499,0.38,0.38,,186.751499,0.38,0.38,0.38,
09/30/1994,1268.416992,,-886.137024,,382.279968,,-262.731995,,,,,,119.547997,0.0,,,,0.0,,,119.547997,-46.624001,72.924004,0.0,,,72.923996,0.0,72.924004,0.0,,72.924004,72.924004,,186.385506,0.393333,0.393333,,186.385506,0.393333,0.393333,0.393333,
12/31/1994,1208.12207,,-784.959961,,423.162109,,-292.797974,,,,,,130.364014,5.444,,1.321,,0.0,,-6.765,135.808014,-54.086006,81.722,0.0,,,81.722008,0.0,81.722,0.0,,81.722,81.722,,184.428005,0.44,0.44,0.44,184.428005,0.44,0.44,0.44,
03/31/1995,1281.22998,,-898.676025,,382.553955,,-269.007996,,,,,,113.545998,0.0,,,,0.0,,0.0,113.545998,-44.509998,69.036003,0.0,,,69.035999,0.0,69.036003,0.0,,69.036003,69.036003,,184.006496,0.373333,0.373333,0.373333,184.006496,0.373333,0.373333,0.373333,
06/30/1995,1308.712036,,-917.755981,,390.956055,,-267.307007,,,,,,123.649002,0.0,,,,0.0,,,123.649002,-48.717999,74.931,0.0,,,74.931004,0.0,74.931,0.0,,74.931,74.931,,184.137005,0.406667,0.406667,0.406667,184.137005,0.406667,0.406667,0.406667,
09/30/1995,1362.480957,,-953.986023,,408.494934,,-281.302002,,,,,,127.193001,0.0,,,,0.0,,,127.193001,-50.241001,76.952003,0.0,,,76.952,0.0,76.952003,0.0,,76.952003,76.952003,,184.168499,0.42,0.42,0.42,184.168499,0.42,0.42,0.42,
12/31/1995,1309.480835,,-884.284851,,425.195984,,-280.95697,,,,,,144.239014,0.0,,,,0.0,,0.0,144.239014,-58.157009,90.960999,0.0,,,86.082005,-2.712,88.248993,0.0,,88.248993,88.248993,,183.385506,0.48,0.48,0.48,183.385506,0.48,0.48,0.48,
03/31/1996,1399.921997,,-990.302002,,409.619995,,-287.514008,,,,,,122.106003,0.0,,0.0,,0.0,,0.0,122.106003,-48.231998,73.874001,0.0,,,73.874004,0.0,73.874001,0.0,,73.874001,73.874001,,182.713497,0.4,0.4,0.4,182.713497,0.4,0.4,0.4,
06/30/1996,1444.873047,,-1020.932007,,423.94104,,-290.365997,,,,,,133.574997,0.0,,0.0,,0.0,,0.0,133.574997,-52.762001,80.813004,0.0,,,80.812996,0.0,80.813004,0.0,,80.813004,80.813004,,182.103001,0.446667,0.446667,0.446667,182.103001,0.446667,0.446667,0.446667,
09/30/1996,1474.83606,,-1039.563965,,435.272095,,-300.476013,,,,,,134.796005,0.0,,0.0,,0.0,,0.0,134.796005,-53.243999,81.552002,0.0,,,81.552006,0.0,81.552002,0.0,,81.552002,81.552002,,181.172997,0.453333,0.453333,0.453333,181.172997,0.453333,0.453333,0.453333,
12/31/1996,1400.843018,,-952.172974,,448.670044,,-292.227966,,,,,,156.442001,0.9,,8.498,,0.0,,-9.398,157.342001,-60.918999,96.422981,0.0,,,96.423002,-2.586,93.836983,0.0,,93.836983,93.836983,,180.296997,0.52,0.52,0.52,180.296997,0.52,0.52,0.52,
03/31/1997,1457.645996,,-1028.379028,,429.266968,,-302.704987,,,,,,126.561996,0.0,,0.0,,0.0,,0.0,126.561996,-49.966999,76.595001,0.0,,,76.594997,0.0,76.595001,0.0,,76.595001,76.595001,,179.941498,0.43,0.43,0.43,180.657005,0.42,0.42,0.42,
06/30/1997,1510.456055,,-1065.33606,,445.119995,,-306.704987,,,,,,138.414993,0.0,,0.0,,0.0,,0.0,138.414993,-54.674,83.740997,0.0,,,83.740993,0.0,83.740997,0.0,,83.740997,83.740997,,180.018005,0.47,0.47,0.47,180.751999,0.46,0.46,0.46,
09/30/1997,1555.776001,,-1091.80896,,463.967041,,-325.601013,,,,,,138.365997,0.0,,0.0,,0.0,,0.0,138.365997,-54.653999,83.711998,0.0,,,83.711998,0.0,83.711998,0.0,,83.711998,83.711998,,179.447006,0.47,0.47,0.47,180.024002,0.47,0.47,0.47,
12/31/1997,1481.366943,,-993.117981,,488.248962,,-317.811005,,,,,,170.438004,-6.635,,13.365,,0.0,,-6.73,163.803004,-63.908001,99.894997,0.0,,,99.895003,-1.546,98.348999,0.0,,98.348999,98.348999,,178.972,0.55,0.55,0.55,179.520996,0.55,0.55,0.55,
06/30/1998,1619.383057,,-1141.97998,,477.403076,,-335.446014,,,,,,141.957001,0.0,,0.0,,0.0,,0.0,141.957001,-56.073002,85.884003,0.0,,,85.883999,0.0,85.884003,0.0,,85.884003,85.884003,,178.858994,0.48,0.48,0.48,179.447006,0.48,0.48,0.48,
09/30/1998,1760.102051,,-1245.677002,,514.425049,,-371.928986,,,,,,142.496002,0.0,,0.0,,0.0,,0.0,142.496002,-56.356998,86.139,0.0,,,86.139004,0.0,86.139,0.0,,86.139,86.139,,180.391998,0.48,0.48,0.48,181.186005,0.48,0.48,0.48,
12/31/1998,1701.409058,,-1137.465942,,563.943115,,-391.506989,,,,,,172.436005,0.0,,0.0,,0.0,,0.0,172.436005,-68.663002,103.773003,0.0,,,103.773003,0.0,103.773003,0.0,,103.773003,103.773003,,179.574005,0.58,0.58,0.58,180.307007,0.58,0.58,0.58,
03/31/1999,1901.357056,,-1350.467041,,550.890015,,-408.395996,,,,,,142.494003,0.0,12.443,12.443,,0.0,,-12.443,142.494003,-56.428001,86.066002,0.0,,,86.066002,0.0,86.066002,0.0,,86.066002,86.066002,,179.783997,0.48,0.48,0.48,180.292007,0.48,0.48,0.48,
06/30/1999,2022.894043,,-1432.837036,,590.057007,,-436.798004,,,,,,153.259003,-13.375,13.375,13.375,,0.0,,0.0,139.884003,-60.689999,92.568001,0.0,,,79.194004,0.0,92.569,0.0,,92.569,92.569,,179.031998,0.52,0.52,0.52,179.589005,0.52,0.52,0.52,
09/30/1999,2082.229004,,-1479.064941,,603.164062,,-453.102997,,,,,,150.061005,-13.11,13.11,13.11,,0.0,,0.0,136.951005,-59.424,90.637001,0.0,,,77.527005,0.0,90.637001,0.0,,90.637001,90.637001,,178.546005,0.51,0.51,0.51,179.026001,0.51,0.51,0.51,
12/31/1999,1975.207031,,-1325.187988,,650.019043,,-467.765991,,,,,,182.253006,-2.558999,2.558999,2.558999,,0.0,,0.0,179.694007,-73.903,108.349998,0.0,,,105.791007,0.0,108.349998,0.0,,108.349998,108.349998,,177.714005,0.61,0.61,0.61,178.059006,0.61,0.61,0.61,
03/31/2000,2070.991943,,-1450.939941,,620.052002,,-467.322998,,,,,,152.729004,0.0,15.16,15.16,,,,-15.16,152.729004,-61.0,91.728996,,,,91.729004,,91.728996,,,91.728996,91.728996,,176.774002,0.52,0.52,0.52,177.074005,0.52,0.52,0.52,
