Date,Revenue,Revenue From Electric,Revenue from Gas,Regulated Gas Revenue,Unregulated Gas Revenue,Revenue from Water,Other Revenue,Intracompany Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Purchased Water Cost,Other Cost of Revenue,Intracompany Cost,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",AFUDC - Equity,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,106.524002,0.0,106.524002,,,0.0,0.0,,-73.166,0.0,0.0,0.0,73.166,,,,,33.358002,-23.4,1.205,3.427,3.195,15.573,9.958,-2.514,,0.0,2.845,2.845,0.0,0.0,-0.331,7.444,-2.502,4.942,0.0,,,4.942,0.0,4.942,0.0,,4.942,4.942,,9.1395,0.54,0.54,0.54,9.1395,0.54,0.54,0.54,
03/31/1990,114.457001,0.0,114.457001,,,0.0,0.0,,-79.333,0.0,0.0,0.0,79.333,,,,,35.124001,-23.664,1.249,3.427,4.372,14.616,11.46,-2.668,,0.0,2.809,2.809,0.0,0.0,-0.141,8.792,-2.841,5.951,0.0,,,5.951,0.0,5.951,0.0,,5.951,5.951,,9.147,0.653333,0.653333,0.653333,9.147,0.653333,0.653333,0.653333,
06/30/1990,75.199997,0.0,75.199997,,,0.0,0.0,,-50.567001,0.0,0.0,0.0,50.567001,,,,,24.632996,-22.417,1.157,3.427,3.493,14.34,2.216,-2.067,,0.0,2.676,2.676,0.0,0.0,-0.609,0.149,-0.04,0.109,0.0,,,0.109,0.0,0.109,0.0,,0.109,0.109,,9.1515,0.013333,0.013333,0.013333,9.1515,0.013333,0.013333,0.013333,
09/30/1990,55.77,0.0,55.77,,,0.0,0.0,,-36.423,0.0,0.0,0.0,36.423,,,,,19.347,-19.417999,0.725,3.191,2.51,12.992,-0.071,-3.108,,0.0,2.663,2.663,0.0,0.0,0.445,-3.179,1.136,-2.043,0.0,,,-2.043,0.0,-2.043,0.0,,-2.043,-2.043,,9.1515,-0.22,-0.22,-0.22,9.1515,-0.22,-0.22,-0.22,
12/31/1990,96.167999,0.0,96.167999,,,0.0,0.0,,-66.995003,0.0,0.0,0.0,66.995003,,,,,29.172997,-20.966,0.819,3.182,3.069,13.896,8.207,-2.802,,0.0,2.746,2.746,0.0,0.0,0.056,5.405,-1.77,3.635,0.0,,,3.635,0.0,3.635,0.0,,3.635,3.635,,10.149,0.4,0.4,0.4,10.149,0.4,0.4,0.4,
03/31/1991,124.365997,0.0,124.365997,,,0.0,0.0,,-85.149002,0.0,0.0,0.0,85.149002,,,,,39.216995,-24.191999,0.947,3.182,4.426,15.637,15.025,-2.476,,0.0,2.523,2.523,0.0,0.0,-0.047,12.549,-4.509,8.04,0.0,,,8.04,0.0,8.04,0.0,,8.04,8.04,,10.113,0.793333,0.793333,0.793333,10.113,0.793333,0.793333,0.793333,
06/30/1991,61.480999,0.0,61.480999,,,0.0,0.0,,-38.438,0.0,0.0,0.0,38.438,,,,,23.042999,-23.011,1.018,3.175,3.489,15.329,0.032,-2.322,,0.0,2.388,2.388,0.0,0.0,-0.066,-2.29,1.001,-1.289,0.0,,,-1.289,0.0,-1.289,0.0,,-1.289,-1.289,,10.149,-0.126667,-0.126667,-0.126667,10.149,-0.126667,-0.126667,-0.126667,
09/30/1991,54.032001,0.0,54.032001,,,0.0,0.0,,-34.830002,0.0,0.0,0.0,34.830002,,,,,19.202,-21.385,1.094,3.063,2.442,14.786,-2.183,-2.56,,0.0,2.477,2.477,0.0,0.0,0.083,-4.743,2.275,-2.468,0.0,,,-2.468,0.0,-2.468,0.0,,-2.468,-2.468,,10.1625,-0.24,-0.24,-0.24,10.1625,-0.24,-0.24,-0.24,
12/31/1991,106.734001,0.0,106.734001,,,0.0,0.0,,-71.532997,0.0,0.0,0.0,71.532997,,,,,35.201004,-24.914,0.883,3.478,4.089,16.464001,10.287,-2.917,,0.0,2.785,2.785,0.0,0.0,0.132,7.37,-2.634,4.736,0.0,,,4.736,0.0,4.736,0.0,,4.736,4.736,,10.1955,0.466667,0.466667,0.466667,10.1955,0.466667,0.466667,0.466667,
03/31/1992,116.088997,0.0,116.088997,,,0.0,0.0,,-76.266998,0.0,0.0,0.0,76.266998,,,,,39.821999,-25.337,0.858,3.498,4.825,16.156,14.485,-2.231,,0.0,2.661,2.661,0.0,0.0,-0.43,12.254,-3.888,8.366,0.0,,,8.366,0.0,8.366,0.0,,8.366,8.366,,10.2555,0.813333,0.813333,0.813333,10.2555,0.813333,0.813333,0.813333,
06/30/1992,58.349998,0.0,58.349998,,,0.0,0.0,,-35.652,0.0,0.0,0.0,35.652,,,,,22.697998,-22.032,0.768,3.496,3.059,14.709,0.666,-2.262,,0.0,2.611,2.611,0.0,0.0,-0.349,-1.596,0.531,-1.065,0.0,,,-1.065,0.0,-1.065,0.0,,-1.065,-1.065,,10.3185,-0.1,-0.1,-0.1,10.3185,-0.1,-0.1,-0.1,
09/30/1992,58.944,0.0,58.944,,,0.0,0.0,,-38.094002,0.0,0.0,0.0,38.094002,,,,,20.849998,-21.118,0.745,3.094,2.49,14.789,-0.268,-2.858,,0.0,2.542,2.542,0.0,0.0,0.316,-3.126,1.12,-2.006,0.0,,,-2.006,0.0,-2.006,0.0,,-2.006,-2.006,,10.41,-0.193333,-0.193333,-0.193333,10.41,-0.193333,-0.193333,-0.193333,
12/31/1992,130.699997,0.0,130.699997,,,0.0,0.0,,-88.061996,0.0,0.0,0.0,88.061996,,,,,42.638,-29.618999,1.417,4.484,4.332,19.386,13.019,-2.965,,0.0,3.544,3.544,0.0,0.0,-0.579,10.054,-3.289,6.765,0.0,,,6.765,0.0,6.765,0.0,,6.765,6.765,,14.050499,0.48,0.48,0.48,14.050499,0.48,0.48,0.48,
03/31/1993,166.238007,0.0,166.238007,,,0.0,0.0,,-107.632004,0.0,0.0,0.0,107.632004,,,,,58.606003,-34.266998,1.552,4.415,5.66,22.639999,24.339001,-3.117,,0.0,3.054,3.054,0.0,0.0,0.063,21.222001,-7.462,13.76,0.0,,,13.760001,0.0,13.76,0.0,,13.76,13.76,,14.209499,0.97,0.966667,0.966667,14.209499,0.97,0.966667,0.966667,
06/30/1993,91.219002,0.0,91.219002,,,0.0,0.0,,-56.756001,0.0,0.0,0.0,56.756001,,,,,34.463001,-30.263,1.626,4.454,3.64,20.542999,4.2,-3.016,,0.0,3.089,3.089,0.0,0.0,-0.073,1.184,-0.353,0.831,0.0,,,0.831,0.0,0.831,0.0,,0.831,0.831,,14.6805,0.06,0.06,0.06,14.6805,0.06,0.06,0.06,
09/30/1993,71.484001,0.0,71.484001,,,0.0,0.0,,-44.082001,0.0,0.0,0.0,44.082001,,,,,27.402,-28.610001,1.74,4.08,3.174,19.615999,-1.208,-3.635,,0.0,3.612,3.612,0.0,0.0,0.023,-4.843,1.031,-3.812,0.0,,,-3.812,0.0,-3.812,0.0,,-3.812,-3.812,,14.6535,-0.26,-0.26,-0.26,14.6535,-0.26,-0.26,-0.26,
12/31/1993,145.501007,0.0,145.501007,,,0.0,0.0,,-97.080002,0.0,0.0,0.0,97.080002,,,,,48.421005,-34.132999,1.53,4.667,4.537,23.399,14.288,-3.214,,0.0,3.302,3.302,0.0,0.0,-0.088,11.074,-3.986,7.088,0.0,,,7.088,0.0,7.088,0.0,,7.088,7.088,,15.047999,0.473333,0.473333,0.473333,15.047999,0.473333,0.473333,0.473333,
03/31/1994,186.944,0.0,186.944,,,0.0,0.0,,-127.578003,0.0,0.0,0.0,127.578003,,,,,59.365997,-35.568001,1.466,4.672,5.81,23.620001,23.798,-3.103,,0.0,3.1,3.1,0.0,0.0,0.003,20.695,-7.453,13.242,0.0,,,13.242,0.0,13.242,0.0,,13.242,13.242,,15.2235,0.87,0.873333,0.873333,15.2235,0.873333,0.873333,0.873333,
06/30/1994,90.013,0.0,90.013,,,0.0,0.0,,-58.223,0.0,0.0,0.0,58.223,,,,,31.790001,-31.044001,1.634,4.941,3.673,20.796,0.746,-2.657,,0.0,2.86,2.86,0.0,0.0,-0.203,-1.911,0.687,-1.224,0.0,,,-1.224,0.0,-1.224,0.0,,-1.224,-1.224,,15.233,-0.08,-0.08,-0.08,15.233,-0.08,-0.08,-0.08,
