Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
08/31/2007,92.407,,-29.426,,62.981,,-30.128,,,,,,,32.853,0.066,0.134,1.259,-1.125,0.0,-0.2,32.919,-11.54,21.379,0.0,,,21.379,0.0,21.379,0.0,0.0,21.379,21.379,,83.9,0.255,0.255,0.255,83.9,0.255,0.255,0.255,
11/30/2007,101.658,,-29.719,,71.939,,-31.063,,,,,,,40.876,-6.775,,7.73,-1.432,0.0,0.477,34.101,-15.862,18.239,0.0,,,18.239,0.0,18.239,0.0,0.0,18.239,18.239,,86.733,0.21,0.21,0.21,86.856,0.2,0.2,0.2,
02/29/2008,104.951,,-30.86,,74.091,,-38.929,31.32,,,,,7.609,35.162,-6.427,6.091,8.463,-2.372,,0.336,28.735,-10.801,17.934,0.0,,,17.934,0.0,17.934,0.0,0.0,17.934,17.934,,100.011,0.18,0.18,0.18,100.728,0.18,0.18,0.18,
05/31/2008,108.195,,-29.636,,78.559,,-45.652,38.005,,,,,7.647,32.907,-2.522,3.16,6.668,-3.508,,-0.638,30.385,-11.754,18.631,0.0,,,18.631,0.0,18.631,0.0,0.0,18.631,18.631,,100.026,0.19,0.19,0.19,101.282,0.18,0.18,0.18,
08/31/2008,110.399,,-27.8,,82.599,,-45.08,36.687,,,,,8.393,37.519,-7.372,4.148,5.991,-1.843,,3.224,30.147,-11.269,18.878,0.0,,,18.878,0.0,18.878,0.0,0.0,18.878,18.878,,100.052,0.19,0.19,0.19,101.698,0.19,0.19,0.19,
11/30/2008,107.416,,-35.094,,72.322,,-42.12,32.299,,,,,9.821,30.202,-9.826,5.391,5.81,-0.419,,4.435,20.376,-7.551,12.825,0.0,,0.0,12.825,0.0,12.825,0.0,0.0,12.825,12.825,,100.06,0.13,0.13,0.13,101.067,0.13,0.13,0.13,
02/28/2009,105.915,105.915,-28.935,28.935,76.98,0.0,-44.196,34.716,,,,9.48,0.0,32.784,-6.399,5.517,5.638,-0.121,,0.882,26.385,-9.661,16.724,0.0,0.0,0.0,16.724,0.0,16.724,0.0,0.0,16.724,16.724,0.0,100.286,0.17,0.17,0.17,101.471,0.16,0.16,0.16,
05/31/2009,109.375,109.375,-29.269,29.269,80.106,0.0,-43.452,34.052,,,,9.4,0.0,36.654,-4.682,4.684,4.904,-0.22,,-0.002,31.972,-12.354,19.618,0.0,0.0,0.0,19.618,0.0,19.618,0.0,0.0,19.618,20.268,0.65,100.36,0.2,0.2,0.201953,101.915,0.19,0.19,0.196378,
08/31/2009,108.868,108.868,-28.247,28.247,80.621,0.0,-42.823,33.525,,,,9.298,0.0,37.798,-4.087,4.255,4.628,-0.373,,-0.168,33.711,-12.787,20.924,0.0,0.0,0.0,20.924,0.0,20.924,0.0,0.0,20.924,20.924,0.0,100.402,0.21,0.21,0.21,102.717,0.2,0.2,0.2,
11/30/2009,118.79,118.79,-32.214,32.214,86.576,0.0,-42.82,33.487,,,,9.333,0.0,43.756,-4.103,4.174,4.513,-0.339,,-0.071,39.653,-15.118,24.535,0.0,0.0,0.0,24.535,0.0,24.535,0.0,0.0,24.535,26.485,1.95,101.383,0.24,0.24,0.261237,103.792,0.24,0.24,0.258788,
02/28/2010,121.68,121.68,-29.291,29.291,92.389,0.0,-45.132,37.461,,,,7.671,0.0,47.257,-3.42,4.028,4.436,-0.408,,-0.608,43.837,-16.319,27.518,0.0,0.0,0.0,27.518,0.0,27.518,0.0,0.0,27.518,28.948,1.43,105.235,0.26,0.26,0.27508,105.844,0.26,0.26,0.27351,
05/31/2010,125.17,125.17,-30.463,30.463,94.707,0.0,-48.01,40.177,,,,7.833,0.0,46.697,-8.746,8.648,8.991,-0.343,,0.098,37.951,-13.884,24.067,0.0,0.0,0.0,24.067,0.0,24.067,0.0,0.0,24.067,31.5836,7.5166,105.345,0.23,0.23,0.299811,106.003,0.22,0.22,0.290909,
08/31/2010,202.733,202.733,-69.741,69.741,132.992,0.0,-91.543,63.306,,,,21.284,6.953,41.449,-20.825,20.301,20.415,-0.114,,0.524,20.624,-10.305,10.319,0.0,0.0,0.0,10.319,0.0,10.319,0.0,0.0,10.319,25.57645,15.25745,118.339,0.09,0.09,0.216129,120.341,0.08,0.08,0.206785,
11/30/2010,213.318,213.318,-69.131,69.131,144.187,0.0,-73.467,49.3,,,,22.224,1.943,70.72,-19.641,17.367,17.495,-0.128,,2.274,51.079,-20.813,30.266,0.0,0.0,0.0,30.266,0.0,30.266,0.0,0.0,30.266,31.52895,1.26295,119.309,0.25,0.25,0.264263,121.172,0.25,0.25,0.260423,
03/31/2011,223.298,223.298,-70.218,70.218,153.08,0.0,-77.651,51.418,,,,21.802,4.431,75.429,-22.085,16.444,16.587,-0.143,,5.641,53.344,-19.823,33.521,0.0,0.0,0.0,33.521,0.0,33.521,0.0,0.0,33.521,40.56375,7.04275,120.282,0.28,0.28,0.337239,122.013,0.27,0.27,0.327721,
06/30/2011,226.483,226.483,-68.84,68.84,157.643,0.0,-74.952,53.321,,,,21.591,0.04,82.691,-13.049,12.666,12.852,-0.186,,0.383,69.642,-23.982,45.66,0.0,0.0,0.0,45.66,0.0,45.66,0.0,0.0,45.66,45.686,0.026,120.592,0.38,0.38,0.378848,122.235,0.37,0.37,0.370213,
09/30/2011,225.026,225.026,-68.968,68.968,156.058,0.0,-73.813,53.724,,,,21.091,-1.002,82.245,-11.946,12.929,13.113,-0.184,,-0.983,70.299,-20.512,49.787,0.0,0.0,0.0,49.787,0.0,49.787,0.0,0.0,49.787,49.1357,-0.6513,120.831,0.41,0.41,0.406648,122.303,0.4,0.4,0.394675,
12/31/2011,226.134,226.134,-69.121,69.121,157.013,0.0,-75.38,54.509,,,,20.746,0.125,81.633,-11.505,12.932,13.267,-0.335,,-1.427,70.128,-25.642,44.486,0.0,0.0,0.0,44.486,0.0,44.486,0.0,0.0,44.486,44.5679,0.0819,121.146,0.37,0.37,0.367886,122.536,0.36,0.36,0.360668,
03/31/2012,229.052,229.052,-72.291,72.291,156.761,0.0,-75.782,55.436,,,,20.375,-0.029,80.979,-12.74,12.132,12.355,-0.223,,0.608,68.239,-24.273,43.966,0.0,0.0,0.0,43.966,0.0,43.966,0.0,0.0,43.966,43.94715,-0.01885,121.754,0.36,0.36,0.36095,123.113,0.35,0.35,0.349847,
06/30/2012,238.565,238.565,-73.243,73.243,165.322,0.0,-78.201,57.602,,,,20.621,-0.022,87.121,-29.86,29.344,29.581,-0.237,,0.516,57.261,-19.715,37.546,0.0,0.0,0.0,37.546,0.0,37.546,0.0,0.0,37.546,50.94705,13.40105,122.03,0.31,0.31,0.417496,123.295,0.3,0.3,0.408691,
09/30/2012,235.444,235.444,-68.35,68.35,167.094,0.0,-83.565,62.973,,,,20.592,0.0,83.529,-7.935,7.062,7.314,-0.252,,0.873,75.594,-27.32,48.274,0.0,0.0,0.0,48.274,0.0,48.274,0.0,0.0,48.274,50.43655,2.16255,122.261,0.39,0.39,0.412532,123.45,0.39,0.39,0.407518,
12/31/2012,247.08,247.08,-74.191,74.191,172.889,0.0,-77.582,57.172,,,,20.41,0.0,95.307,-6.992,6.936,7.178,-0.242,,0.056,88.315,-33.863,54.452,0.0,0.0,0.0,54.452,0.0,54.452,0.0,0.0,54.452,54.75685,0.30485,122.082,0.44,0.44,0.448525,122.995,0.44,0.44,0.442479,
03/31/2013,219.469,219.469,-65.3,65.3,154.169,0.0,-71.278,55.515,,,,15.763,0.0,82.891,-8.701,6.779,7.016,-0.237,,1.922,74.19,-21.232,52.958,-5.979,-5.979,0.0,58.937,0.0,58.937,0.0,0.0,58.937,52.958,0.0,120.746,0.49,0.44,0.44,121.702,0.48,0.43,0.43,
06/30/2013,228.423,228.423,-69.696,69.696,158.727,0.0,-68.838,52.842,,,,15.996,0.0,89.889,-5.985,6.313,6.499,-0.186,,-0.328,83.904,-27.763,56.141,-4.912,-4.912,0.0,61.053,0.0,61.053,0.0,0.0,61.053,55.90375,-0.23725,121.149,0.5,0.46,0.461446,122.069,0.5,0.46,0.458056,
09/30/2013,228.608,228.608,-68.151,68.151,160.457,0.0,-76.553,59.917,,,,16.636,0.0,83.904,-6.164,5.601,5.828,-0.227,,0.563,77.74,-27.804,49.936,-5.374,-5.374,0.0,55.31,0.0,55.31,0.0,0.0,55.31,49.936,0.0,119.607,0.46,0.42,0.42,120.578,0.46,0.42,0.42,
12/31/2013,236.864,236.864,-72.256,72.256,164.608,0.0,-80.961,64.174,,,,16.787,0.0,83.647,-6.653,6.674,6.913,-0.239,,-0.021,76.994,-36.119,40.875,-6.382,-6.382,0.0,47.257,0.0,47.257,0.0,0.0,47.257,41.78825,0.91325,118.828,0.4,0.34,0.35167,119.877,0.39,0.34,0.347618,
