Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/2009,1770,168,476,605,293,312,521,-1006,-124,,1651,0,-2042,-2270,18,18,0,-2288,-2288,0,0,0,0,0,0,0,0,228,282,0,7,,16.0,-9.0,0,0,0,275,0,10,10.0,,
12/31/2009,685,-52,194,-44,-68,24,587,-331,102,,816,0,-602,-568,35,35,0,-603,-603,0,0,0,0,0,0,0,0,-34,-73,0,-5,,,,0,0,0,-68,0,10,1.0,,
03/31/2010,-149,-289,220,-94,-113,19,14,-75,-176,,265,0,25,-334,3,3,0,-337,-337,0,0,0,0,0,0,0,0,359,142,0,656,0.0,656.0,0.0,0,0,0,-514,0,18,,,
06/30/2010,444,405,269,231,234,-3,-461,-168,-62,,-231,0,-197,-293,4,4,0,-297,-297,0,0,0,0,0,0,0,0,96,-239,0,-253,0.0,4877.0,-5130.0,0,0,0,14,0,8,,,
09/30/2010,-5,277,234,65,161,-96,-581,-169,-369,,-43,0,-290,-277,10,10,0,-287,-287,0,0,0,0,0,0,0,0,-13,258,0,745,0.0,6341.0,-5596.0,0,0,0,-487,0,-37,1.0,,
12/31/2010,1927,230,218,120,26,94,1359,-338,531,,1166,0,-1683,450,746,746,0,-296,-296,0,0,0,0,0,0,0,0,-2133,-243,0,100,0.0,6930.0,-6830.0,0,0,0,-343,0,1,3.0,,
03/31/2011,915,529,216,-6,-12,6,176,-517,336,,357,0,-484,-118,125,125,0,-243,-243,0,0,0,0,0,0,0,0,-366,-330,0,-617,0.0,0.0,-617.0,0,0,0,287,0,101,0.0,0.0,
06/30/2011,37,802,218,-17,46,-63,-966,-240,-949,,223,0,2428,-266,8,8,0,-274,-274,0,0,0,0,-74,0,-74,0,2768,-1062,0,-10755,0.0,,-10755.0,0,0,0,9693,0,1403,,,
09/30/2011,1719,1133,227,104,95,9,255,175,64,,16,0,-309,-319,8,8,0,-327,-327,0,0,0,0,0,0,0,0,10,-75,-71,-3,0.0,2989.0,-2992.0,1,1,0,-2,0,1335,50.0,35.0,
12/31/2011,638,-75,230,-122,-6,-116,605,-497,294,,808,0,-340,-338,3,3,0,-341,-341,0,0,0,0,0,0,0,0,-2,-176,-89,-3,,,,0,0,0,-84,0,122,563.0,,
03/31/2012,347,596,230,291,192,99,-770,-406,-32,0.0,-332,0,-311,-307,2,2,0,-309,-309,0,0,0,0,0,0,0,0,-4,-910,-87,-3,0.0,0.0,-3.0,-823,27,-850,3,0,-874,19.0,48.0,
06/30/2012,269,814,236,415,136,279,-1196,1159,-665,,-1690,0,-487,-322,4,4,0,-326,-326,0,0,0,0,-163,0,-163,0,-2,-92,-85,-3,0.0,0.0,-3.0,5,5,0,-9,0,-310,365.0,,
09/30/2012,1833,1224,246,-248,97,-345,611,-393,142,,862,0,-235,-285,46,46,0,-331,-331,0,0,0,0,-27,0,-27,0,77,-106,-119,-6,0.0,0.0,-6.0,22,22,0,-3,0,1492,392.0,53.0,
12/31/2012,2043,755,283,137,67,70,868,491,440,,-63,0,-419,-402,1,1,0,-403,-403,0,0,0,0,0,0,0,0,-17,-151,-116,-5,0.0,0.0,-5.0,-446,54,-500,416,0,1473,435.0,,
03/31/2013,2079,725,287,-23,6,-29,1090,-884,-517,0.0,2491,0,-1682,-192,3,3,0,-195,-195,0,0,0,0,-1493,0,-1493,0,3,-520,-116,-5,0.0,0.0,-5.0,-403,28,-431,4,0,-123,-5.0,83.0,
06/30/2013,-436,593,302,-36,28,-64,-1295,-655,62,0.0,-702,0,-236,-223,6,6,0,-229,-229,0,0,0,0,-22,0,-22,0,9,-996,-113,-5,0.0,0.0,-5.0,-876,6,-882,-2,0,-1668,724.0,3.0,
09/30/2013,407,168,299,11,-12,23,-71,565,-875,0.0,239,0,-333,-306,3,3,0,-309,-309,0,0,0,0,0,0,0,0,-27,-1125,-129,-6,0.0,0.0,-6.0,-1025,3,-1028,35,0,-1051,308.0,80.0,
12/31/2013,1355,626,332,-98,1,-99,495,34,1025,,-564,0,-505,-469,4,4,0,-473,-473,0,0,0,0,0,0,0,0,-36,-576,-126,-5,0.0,0.0,-5.0,-441,11,-452,-4,0,274,72.0,,
03/31/2014,766,199,320,97,-14,111,150,139,-1000,,1011,0,-360,-265,2,2,0,-267,-267,0,0,0,0,0,0,0,0,-95,-532,-123,264,0.0,270.0,-6.0,-676,13,-689,3,0,-126,5.0,80.0,
06/30/2014,878,855,325,-62,-77,15,-240,-300,77,,-17,0,-321,-287,15,15,0,-302,-302,0,0,0,0,-42,0,-42,0,8,-598,-122,-20,0.0,0.0,-20.0,-455,4,-459,-1,0,-41,294.0,2.0,
09/30/2014,1078,672,322,-17,-35,18,101,585,192,0.0,-676,0,-3343,-381,2,2,0,-383,-383,0,0,0,0,-2789,0,-2789,0,-173,1994,-141,2455,0.0,2633.0,-178.0,-297,4,-301,-23,0,-271,670.0,80.0,
12/31/2014,388,798,359,-67,-116,49,-702,1218,-55,0.0,-1865,0,-519,-520,8,8,0,-528,-528,0,0,0,0,10,0,10,0,-9,-229,-138,595,0.0,1111.0,-516.0,-677,5,-682,-9,0,-360,393.0,4.0,
03/31/2015,1190,891,363,-21,-2,-19,-43,691,205,0.0,-939,0,-388,-378,11,11,0,-389,-389,0,0,0,0,0,0,0,0,-10,-218,-136,107,0.0,528.0,-421.0,-188,21,-209,-1,0,584,160.0,128.0,
06/30/2015,994,826,362,73,-10,83,-267,-512,-103,0.0,348,0,-468,-374,1,1,0,-375,-375,0,0,0,0,0,0,0,0,-94,-723,-136,-6,0.0,0.0,-6.0,-403,5,-408,-178,0,-197,879.0,2.0,
09/30/2015,1069,948,364,137,6,131,-380,752,-16,0.0,-1116,0,-572,-511,2,2,0,-513,-513,0,0,0,0,0,0,0,0,-61,-334,-171,-6,0.0,0.0,-6.0,-153,3,-156,-4,0,163,247.0,132.0,
12/31/2015,820,187,413,558,140,418,-338,361,-6,,-693,0,-2013,-714,7,7,0,-721,-721,0,0,0,0,-1218,0,-1218,0,-81,276,-170,672,0.0,2465.0,-1793.0,-188,4,-192,-38,0,-917,319.0,10.0,
03/31/2016,330,1,490,98,-2,100,-259,325,226,,-810,0,-727,-668,77,77,0,-745,-745,0,0,0,0,0,0,0,0,-59,-422,-169,-371,0.0,850.0,-1221.0,241,316,-75,-123,0,-819,-128.0,160.0,
06/30/2016,2267,801,500,-35,177,-212,1001,-601,160,,1442,0,-769,-684,2,2,0,-686,-686,0,0,0,0,0,0,0,0,-85,-52,-170,-521,0.0,627.0,-1148.0,934,985,-51,-295,0,1446,59.0,82.0,
09/30/2016,405,145,507,396,160,236,-643,67,-315,,-395,0,-721,-707,9,9,0,-716,-716,0,0,0,0,0,0,0,0,-14,-729,-190,-506,0.0,300.0,-806.0,139,190,-51,-172,0,-1045,97.0,158.0,
