Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,1133.266968,229.435997,76.18,153.255997,178.395004,,,97.519997,,,,,94.918999,,,,,,600.27002,504.621002,1266.977051,-762.356018,0.0,,28.375999,,,,,28.375999,532.997002,,66.529999,66.529999,,,,54.888,,,,,,150.046997,,,150.046997,271.464996,128.785004,,,,,29.275,,,,,,29.275,158.060003,429.525,0.035,485.725006,,,0.0,,217.981995,703.742001,0.0,703.742001,1133.267,
06/30/1990,1123.837036,176.544006,19.75,156.794006,169.460999,,,95.359001,,,,,49.730999,,,,,,491.095001,569.953979,1352.323975,-782.369995,0.0,,62.787998,,,,,62.787998,632.741978,,66.132004,66.132004,,,,60.576,,,,,,140.134983,,,140.134983,266.842987,129.242004,,,,,28.483,,,,,,28.483,157.725004,424.567991,0.035,489.760986,,,0.0,,209.473007,699.268994,0.0,699.268994,1123.836985,
09/30/1990,1114.661987,128.596004,43.073002,85.523003,164.932999,,,92.699997,,,,,48.027,,,,,,434.256012,615.508972,1416.916992,-801.40802,0.0,,64.897003,,,,,64.897003,680.405975,,65.388,65.388,,,,61.896,,,,,,149.907986,,,149.907986,277.191986,128.158997,,,,,28.483,,,,,,28.483,156.641996,433.833982,0.035,491.683014,,,0.0,,189.110001,680.828015,0.0,680.828015,1114.661997,
12/30/1990,1111.692017,115.073002,49.073002,66.0,153.457993,,,90.042,,,,,37.942001,,,,,,396.515015,647.017029,1449.32605,-802.309021,0.0,,68.160004,,,,,68.160004,715.177033,,84.606003,84.606003,,,,61.042,,,,,,171.890998,,,171.890998,317.539001,131.307007,,,,,26.542,,,,,,26.542,157.849007,475.388008,0.035,492.721008,,,0.0,,143.548004,636.304012,0.0,636.304012,1111.69202,
03/31/1991,1128.735962,116.695999,70.238998,46.457001,164.376007,,,88.920998,,,,,37.998001,,,,,,407.990997,652.768982,1481.295044,-828.526001,0.0,,67.975998,,,,,67.975998,720.74498,,76.644997,76.644997,,,,57.889999,,,,,,173.027992,,,173.027992,307.562988,154.714996,,,,,26.542,,,,,,26.542,181.256996,488.819984,0.035,494.696991,,,0.0,,145.184006,639.915997,0.0,639.915997,1128.735981,
06/30/1991,1149.942017,122.069002,106.552002,15.517,180.477005,,,91.019997,,,,,43.967999,,,,,,437.533997,645.026001,1499.761963,-854.736023,0.0,,67.382004,,,,,67.382004,712.408005,,68.165001,68.165001,,,,61.622002,,,,,,183.996994,,,183.996994,313.783997,153.317001,,,,,25.355,,,,,,25.355,178.672001,492.455997,0.035,497.584015,,,0.0,,159.867004,657.486019,0.0,657.486019,1149.942017,
09/29/1991,1167.904053,127.761002,117.677002,10.084,185.503006,,,96.904999,,,,,51.007,,,,,,461.175995,638.648987,1517.265991,-878.617004,0.0,,68.079002,,,,,68.079002,706.727989,,60.418999,60.418999,,,,62.919998,,,,,,199.41201,,,199.41201,322.751007,149.919006,,,,,19.851999,,,,,,19.851999,169.771006,492.522013,0.035,501.014008,,,0.0,,174.332993,675.382,0.0,675.382,1167.904013,
12/29/1991,1291.758057,301.383995,184.533997,116.849998,189.529007,,,91.490997,,,,,43.776001,,,,,,626.179993,626.340027,1530.637939,-904.297974,0.0,,39.237999,,,,,39.237999,665.578026,,74.403,74.403,,,,168.576004,,,,,,212.338989,,,212.338989,455.317993,42.039001,,,,,11.045,,,,,,11.045,53.084001,508.401994,0.035,504.835999,,,0.0,,278.484985,783.355984,0.0,783.355984,1291.757978,
03/29/1992,1374.422974,382.128006,198.751007,183.376999,206.891998,,,94.114998,,,,,43.298,,,,,,726.432983,625.575989,1537.526978,-911.950989,0.0,,22.414,,,,,22.414,647.989988,,68.776001,68.776001,,,,157.955002,,,,,,225.896011,,,225.896011,452.627014,34.481998,,,,,11.045,,,,,,11.045,45.526999,498.154013,0.035,515.439026,,,0.0,,360.795013,876.269039,0.0,876.269039,1374.423052,
06/28/1992,1414.140015,381.552002,129.449005,252.102997,212.072998,,,95.318001,,,,,53.998001,,,,,,742.940979,647.565002,1582.666016,-935.101013,0.0,,23.634001,,,,,23.634001,671.199003,,73.178001,73.178001,,,,158.695999,,,,,,221.290001,,,221.290001,453.164001,32.535,,,,,11.045,,,,,,11.045,43.58,496.744001,0.035,517.703979,,,0.0,,399.657013,917.395992,0.0,917.395992,1414.139994,
09/27/1992,1466.489014,397.02301,163.292007,233.731003,202.651993,,,94.027,,,,,81.959,,,,,,775.661011,667.221008,1632.494019,-965.27301,0.0,,23.607,,,,,23.607,690.828009,,75.164001,75.164001,,,,158.453003,,,,,,225.429993,,,225.429993,459.046997,30.332001,,,,,11.045,,,,,,11.045,41.377001,500.423998,0.035,519.861023,,,0.0,,446.169006,966.065029,0.0,966.065029,1466.489027,
12/27/1992,1448.094971,331.088005,52.027,279.061005,202.072006,,,86.047997,,,,,118.449997,,,,,,737.65802,693.28302,1684.36499,-991.08197,0.0,,17.153999,,,,,17.153999,710.437019,,61.68,61.68,,,,46.743,,,,,,244.121006,,,244.121006,352.544006,19.676001,,,,,29.135,,,,,,29.135,48.811001,401.355007,0.035,533.559021,,,0.0,,513.145996,1046.740017,0.0,1046.740017,1448.095024,
03/28/1993,1572.482056,396.817993,396.817993,0.0,224.164001,,,81.663002,,,,,102.132004,,,,,,804.776978,746.611023,1770.025024,-1023.414001,0.0,,21.094,,,,,21.094,767.705023,,73.795998,73.795998,,,,40.82,,,,,,279.062012,,,279.062012,393.678009,20.343,,,,,36.986,,,,,,36.986,57.329,451.00701,0.035,549.429993,,,0.0,,572.01001,1121.475002,0.0,1121.475002,1572.482012,
