Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
05/05/2007,194.113,,-134.6,,59.513,0.0,-49.638,47.982,,1.656,9.875,-0.996,,0.996,,,0.0,,0.0,8.879,-3.56,5.319,0.0,,,5.319,0.0,5.319,-3.744,0.0,1.575,1.575,,7.185,0.219207,0.219207,,7.185,0.219207,0.219207,,
08/04/2007,200.449,,-141.417,,59.032,,-54.102,,,,4.93,-1.162,,1.162,,,0.0,,0.0,3.768,-1.562,2.206,0.0,,,2.206,0.0,2.206,-3.877,0.0,-1.671,-1.671,,7.28931,-0.22924,-0.22924,,7.28931,-0.22924,-0.22924,,
11/03/2007,208.235,,-140.156,,68.079,,-60.103,55.609,,4.494,7.976,-1.307,,1.307,,,0.0,,0.0,6.669,-2.463,4.206,0.0,,,4.206,0.0,4.206,-3.598,0.0,0.608,0.608,,10.179,0.06,0.06,0.06,12.476,0.05,0.05,0.05,
02/02/2008,309.344,,-212.322,,97.022,,-73.082,70.388,,2.694,23.94,-1.077,,1.077,,,0.0,,0.0,22.863,-9.259,13.604,0.0,,,13.604,0.0,13.604,0.0,0.0,13.604,13.604,,56.773,0.24,0.24,0.24,59.252,0.23,0.23,0.23,
05/03/2008,239.298,239.298,-165.377,165.377,73.921,0.0,-65.837,62.065,,3.772,8.084,-0.915,,0.915,,,,,0.0,7.169,-2.894,4.275,0.0,0.0,0.0,4.275,,4.275,0.0,0.0,4.275,4.35755,0.08255,56.956,0.08,0.08,0.076507,58.98,0.07,0.07,0.0714,
08/02/2008,249.111,249.111,-175.965,175.965,73.146,0.0,-65.939,61.889,,4.05,7.207,-1.016,,1.016,,,,,0.0,6.191,-2.503,3.688,0.0,0.0,0.0,3.688,0.0,3.688,0.0,0.0,3.688,3.76925,0.08125,57.435,0.06,0.06,0.065626,59.012,0.06,0.06,0.061377,
11/01/2008,254.843,254.843,-175.368,175.368,79.475,0.0,-69.869,65.176,,4.693,9.606,-1.124,,1.124,,,,,0.0,8.482,-3.465,5.017,0.0,0.0,0.0,5.017,0.0,5.017,0.0,0.0,5.017,3.9172,-1.0998,57.591,0.09,0.09,0.068018,59.013,0.09,0.09,0.068018,
01/31/2009,341.394,341.394,-240.002,240.002,101.392,0.0,-79.988,78.192,,1.796,21.404,-0.888,,0.888,,0.0,,,0.0,20.516,-8.228,12.288,0.0,0.0,0.0,12.288,0.0,12.288,0.0,0.0,12.288,11.4443,-0.8437,57.715,0.21,0.21,0.19829,58.853,0.21,0.21,0.195664,
05/02/2009,268.825,268.825,-189.283,189.283,79.542,0.0,-70.588,69.393,,1.195,8.954,-0.671,,0.671,,,,,0.0,8.283,-3.363,4.92,0.0,0.0,0.0,4.92,0.0,4.92,0.0,0.0,4.92,4.94535,0.02535,57.743,0.09,0.09,0.085644,58.75,0.08,0.08,0.080431,
08/01/2009,273.539,273.539,-194.825,194.825,78.714,0.0,-68.478,66.468,,2.01,10.236,-0.645,,0.645,,,,,0.0,9.591,-3.841,5.75,0.0,0.0,0.0,5.75,0.0,5.75,0.0,0.0,5.75,5.84425,0.09425,57.819,0.1,0.1,0.101078,59.045,0.1,0.1,0.101078,
10/31/2009,284.043,284.043,-192.372,192.372,91.671,0.0,-76.98,74.797,,2.183,14.691,-0.441,,0.441,,,,,0.0,14.25,-5.79,8.46,0.0,0.0,0.0,8.46,0.0,8.46,0.0,0.0,8.46,8.46975,0.00975,57.979,0.15,0.15,0.146083,59.376,0.14,0.14,0.140164,
01/30/2010,396.364,396.364,-269.722,269.722,126.642,0.0,-92.37,91.755,,0.615,34.272,-0.445,,0.445,,0.0,,,0.0,33.827,-13.601,20.226,0.0,0.0,0.0,20.226,0.0,20.226,0.0,0.0,20.226,20.3222,0.0962,58.116,0.35,0.35,0.349683,59.774,0.34,0.34,0.341609,
05/01/2010,320.196,320.196,-215.661,215.661,104.535,0.0,-81.203,80.729,,0.474,23.332,-0.118,,0.118,,,,,0.0,23.214,-9.553,13.661,0.0,0.0,0.0,13.661,,13.661,0.0,0.0,13.661,13.78905,0.12805,58.306,0.23,0.23,0.236495,60.276,0.23,0.23,0.232124,
