Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,3.891,,-1.746,,,2.145,,-1.47,,,,,,0.675,0.012,,0.018,,0.0,-0.03,0.687,-0.206,0.481,0.0,,,0.481,0.0,0.481,0.0,,0.481,0.481,,22.528,0.02125,0.02125,,22.528,0.02125,0.02125,0.02125,
03/31/1990,4.942,,-2.673,,,2.269,,-1.548,,,,,,0.721,0.06,,0.012,,0.0,-0.072,0.781,-0.234,0.547,0.0,,,0.547,0.0,0.547,0.0,,0.547,0.547,,26.176001,0.02125,0.02125,,26.176001,0.02125,0.02125,0.02125,
06/30/1990,5.821,,-2.723,,,3.098,,-2.114,,,,,,0.984,0.221,,0.0,,0.0,-0.221,1.205,-0.427,0.778,0.0,,,0.778,0.0,0.778,0.0,,0.778,0.778,,32.424,0.02375,0.02375,,32.424,0.02375,0.02375,0.02375,
09/30/1990,5.185,,-2.292,,,2.893,,-2.092,,,,,,0.801,0.277,,0.001,,0.0,-0.278,1.078,-0.257,0.822,0.0,,,0.821,0.0,0.822,0.0,,0.822,0.822,,32.818464,0.025,0.025,,32.818464,0.025,0.025,0.025,
12/31/1990,3.622,,-1.997,,,1.625,,-1.977,,,,,,-0.352,0.241,,0.0,,0.0,-0.241,-0.111,0.033,-0.078,0.0,,,-0.078,0.0,-0.078,0.0,,-0.078,-0.078,,30.664,-0.0025,-0.0025,,30.664,-0.0025,-0.0025,-0.0025,
03/31/1991,4.043,,-1.931,,,2.112,,-2.196,,,,,,-0.084,0.205,,0.0,,0.0,-0.205,0.121,-0.036,0.085,0.0,,,0.085,0.0,0.085,0.0,,0.085,0.085,,32.344002,0.0025,0.0025,,32.344002,0.0025,0.0025,0.0025,
06/30/1991,4.347,,-2.142,,,2.205,,-1.906,,,,,,0.299,0.178,,0.0,,0.0,-0.178,0.477,-0.158,0.319,0.0,,,0.319,0.0,0.319,0.0,,0.319,0.319,,32.335999,0.01,0.01,,32.335999,0.01,0.01,0.01,
09/30/1991,5.046,,-2.394,,,2.652,,-2.292,,,,,,0.36,0.168,,0.0,,0.0,-0.168,0.528,-0.153,0.375,0.0,,,0.375,0.0,0.375,0.0,,0.375,0.375,,32.341545,0.01125,0.01125,,32.341545,0.01125,0.01125,0.01125,
12/31/1991,5.316,,-2.65,,,2.666,,-2.374,,,,,,0.292,0.152,,0.0,,0.0,-0.152,0.444,-0.133,0.311,0.0,,,0.311,0.0,0.311,0.0,,0.311,0.311,,32.391998,0.01,0.01,,32.391998,0.01,0.01,0.01,
03/31/1992,6.403,,-3.251,,,3.152,,-2.582,,,,,,0.57,0.132,,0.0,,0.0,-0.132,0.702,-0.21,0.492,0.0,,,0.492,0.0,0.492,0.0,,0.492,0.492,,32.695999,0.015,0.015,,32.695999,0.015,0.015,0.015,
