Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
02/28/1990,82.003998,-33.026001,48.977997,-21.507999,27.469999,-0.037,,2.664,30.096999,-11.286,18.811001,,,18.811001,,18.811001,,18.810999,,0.41,0.41,46.345001,,,,,
05/31/1990,100.07,-37.751999,62.318001,-26.506001,35.812,-0.264,,2.585,38.133,-14.205,23.927999,,,23.927999,,23.927999,,23.928,,0.52,0.52,46.349998,,,,,
08/31/1990,91.636002,-38.212002,53.424,-25.547001,27.877001,-0.26,,3.222,30.839001,-11.102,19.737,,,19.737,,19.737,,19.737,,0.43,0.43,46.360001,,,,,
11/30/1990,97.511002,-40.505001,57.006001,-25.917999,31.087999,-0.223,,2.099,32.963999,-12.229,20.735001,,,20.735001,,20.735001,,20.734999,0.44,0.44,0.44,46.730499,0.44,0.44,0.44,46.730499,
02/28/1991,102.088997,-41.424999,60.663998,-28.011999,32.652,-0.086,,0.997,33.563,-12.418,21.145,,,21.145,,21.145,,21.145,,0.46,0.46,46.421001,,,,,
05/31/1991,116.887001,-43.756001,73.131001,-31.753,41.377998,-0.237,,0.837,41.977998,-15.266,26.712,,,26.712,,26.712,,26.711999,,0.58,0.58,46.449001,,,,,
08/31/1991,89.311996,-39.499001,49.812996,-49.827999,-0.015,-0.341,,1.035,0.679,-0.244,0.435,,,0.435,,0.435,,0.435,,0.01,0.01,46.462002,,,,,
11/30/1991,84.584999,-38.078999,46.506,-52.035999,-5.53,-0.403,,0.869,-5.064,2.061,-3.003,,,-3.003,,-3.003,,-3.003,-0.06,-0.06,-0.06,46.327499,-0.06,-0.06,-0.06,46.327499,
02/29/1992,83.555,-38.991001,44.563999,-34.089001,10.475,-0.354,0.0,0.896,11.017,-4.076,6.941,0.0,0.0,6.941,0.0,6.941,,6.941,,0.15,0.15,45.926998,,,,,
05/31/1992,93.850998,-42.979,50.871998,-30.774,20.098,-0.394,,0.845,20.549,-7.603,12.946,,,12.946,,12.946,,12.945999,,0.29,0.29,45.082001,,,,,
08/31/1992,80.599998,-43.639999,36.959999,-34.181999,2.778,-0.505,0.0,1.062,3.335,-1.237,2.098,0.0,0.0,2.098,0.0,2.098,,2.098,,0.05,0.05,44.337002,,,,,
11/30/1992,86.267998,-46.669998,39.598,-38.021999,1.576,-0.354,0.0,0.63,1.852,-0.7,1.152,0.0,0.0,1.152,0.0,1.152,,1.152,0.03,0.03,0.03,43.591,0.03,0.03,0.03,43.591,
02/28/1993,83.663002,-45.505001,38.158001,-43.451,-5.293,-0.617,0.0,-53.924,-59.834,21.899,-37.935001,0.0,0.0,-37.935001,0.0,-37.935001,,-37.935,,-0.88,-0.88,42.972,,,,,
05/31/1993,85.797997,-43.383999,42.413998,-36.428001,5.986,-0.52,,0.351,5.817,-2.327,3.49,0.0,0.0,3.49,0.0,3.49,,3.49,,0.08,0.08,42.938,,,,,
08/31/1993,80.009003,-37.827999,42.181004,-34.543999,7.637,-0.703,0.0,0.0,6.934,-2.866,4.068,0.0,0.0,4.068,0.0,4.068,,4.068,,0.09,0.09,42.941002,,,,,
11/30/1993,86.108002,-129.944,-43.835998,52.021,8.185,-0.58,0.0,0.924,8.529,-3.044,5.485,0.0,0.0,5.485,0.0,5.485,,5.485,0.13,0.13,0.13,42.951,0.13,0.13,0.13,42.951,
02/28/1994,92.166,-53.523998,38.642002,-38.105999,0.536,-0.728,0.0,1.234,1.042,-0.417,0.625,0.0,0.0,0.625,0.0,0.625,,0.625,,0.01,0.01,43.125,,,,,
05/31/1994,108.424004,-59.883999,48.540005,-43.867001,4.673,-1.072,0.0,0.382,3.983,-1.594,2.389,0.0,0.0,2.389,0.0,2.389,,2.389,,0.06,0.06,43.367001,,,,,
08/31/1994,105.660004,-58.473999,47.186005,-43.794998,3.391,-0.564,0.0,0.0,2.827,-1.16,1.667,0.0,0.0,1.667,0.0,1.667,,1.667,,0.04,0.04,43.389999,,,,,
11/30/1994,117.705002,-156.626007,-38.921005,46.377998,7.457,-1.181,0.0,3.044,9.32,-3.781,5.539,0.0,0.0,5.539,0.0,5.539,,5.539,0.13,0.13,0.13,43.585999,0.13,0.13,0.13,43.585999,
