Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
03/31/1990,158.070007,,157.899994,,4.712476,1.524383,1.038632,-0.39,-0.39,,,,,0.0,0.136162,1.709369,5.999873,
06/30/1990,158.227005,,158.100006,,4.179001,0.958254,0.457306,-0.01,-0.01,,,,,0.0,0.457938,1.525024,6.004032,
09/30/1990,172.822006,,160.399994,,4.448878,1.318579,0.796135,0.04,0.12,,,,,0.0,0.370324,2.15829,6.853294,
12/31/1990,172.970001,,172.895996,,1.033569,,-0.421641,-0.33,-0.34,,,,,0.1,0.446511,0.577557,5.270856,
03/31/1991,174.626999,,174.899994,,3.228702,0.719268,0.420812,0.1,0.1,,,,,0.0,0.109205,0.726692,5.330218,
06/30/1991,174.712006,,177.100006,,3.215133,0.746471,0.461321,0.1,0.1,,,,,0.0,0.422925,0.575805,5.431797,
09/30/1991,178.979996,,177.600006,,3.385698,0.817568,0.527027,0.16,0.16,,,,,0.0,0.366554,0.644206,5.468768,
12/31/1991,179.811996,179.395996,179.395996,,3.481683,0.820531,0.518964,0.18,0.18,0.18,0.18,0.18,0.18,0.1,0.45263,0.909839,5.766579,
03/31/1992,180.608994,,184.699997,,3.338928,0.814835,0.521386,-0.73,0.15,,,,,0.0,0.28641,0.971159,5.942672,
06/30/1992,180.757996,,184.699997,,3.277748,0.765024,0.475365,0.14,0.14,,,,,0.0,0.371413,0.656679,6.102635,
09/30/1992,180.951996,,184.5,,3.480217,-0.868835,-1.165854,-0.89,-0.89,,,,,0.0,0.429268,0.348711,5.203038,
12/31/1992,181.826996,184.800003,184.800003,,3.420996,0.877706,0.587662,0.91,0.94,0.94,0.91,0.94,0.94,0.1,0.603355,0.550523,5.106502,
03/31/1993,182.280716,,185.899994,,3.137171,0.679935,0.383002,0.68,0.57,,,,,0.0,0.220011,0.487161,5.808075,
06/30/1993,183.077179,,186.600006,,3.264201,0.756699,0.439979,0.79,0.15,,,,,0.0,0.355841,0.515083,6.605957,
09/30/1993,184.778473,,187.5,,3.124267,0.403733,0.264533,-0.01,-0.05,,,,,0.1,0.737067,0.235417,6.469368,
12/31/1993,185.600006,188.600006,188.600006,,3.346235,0.863203,0.608696,0.36,0.28,0.28,0.36,0.28,0.28,0.0,0.627253,0.378772,6.833512,
03/31/1994,186.283005,,189.899994,,3.325435,0.836756,0.47762,0.36,0.29,,,,,0.0,0.254344,0.530376,7.20624,
06/30/1994,186.522995,,189.699997,,3.469689,0.676858,0.513442,0.3,0.25,,,,,0.0,0.688455,0.080419,6.197091,
09/30/1994,186.996002,,189.300003,,3.593238,0.888537,0.622293,0.27,0.27,,,,,0.0,0.913893,0.281824,6.458962,
12/31/1994,188.300003,,194.300003,,3.65929,0.895008,0.633042,0.24,0.24,,,,,0.1,0.918682,0.936803,6.674987,
03/31/1995,152.115005,,180.5,,3.765651,0.869252,0.578393,-0.01,0.12,,,,,0.0,-0.199446,0.274792,3.381652,
06/30/1995,151.852997,,159.100006,,4.22313,1.113765,0.782527,0.3,0.3,,,,,0.0,0.720302,0.198218,3.58768,
