Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
11/30/1989,348.550995,2.427,2.427,0.0,0.0,,,234.360001,,,,,6.86,,,,,243.647003,103.550003,,,0.0,,1.354,,,,1.354,104.904003,,123.456001,123.456001,,,,26.5,,,,,2.676994,,,2.676994,152.632996,0.0,,,,13.294,,,,,,13.294,13.294,165.926995,0.0,9.875,,,-11.349,,184.097993,182.623993,0.0,182.623993,348.550988,
02/28/1990,323.140015,1.094,1.094,0.0,0.0,,,211.169998,,,,,6.728,,,,,218.992004,102.943001,,,0.0,,1.205,,,,1.205,104.148001,,98.321999,98.321999,,,,19.299999,,,,,2.533001,,,2.533001,120.154999,0.0,,,,13.858,,,,,,13.858,13.858,134.012999,0.0,9.875,,,-11.349,,190.600999,189.126999,0.0,189.126999,323.139997,
05/31/1990,327.220001,0.053,0.053,0.0,0.0,,,218.826996,,,,,5.477,,,,,224.356995,101.571999,,,0.0,,1.291,,,,1.291,102.862999,,112.099998,112.099998,,,,4.1,,,,,2.857001,,,2.857001,119.056999,0.0,,,,14.016,,,,,,14.016,14.016,133.072999,0.0,9.888,,,-11.349,,195.608003,194.147002,0.0,194.147002,327.220001,
08/31/1990,355.096985,4.623,4.623,0.0,0.0,,,239.475998,,,,,7.617,,,,,251.716003,102.174004,161.143997,-58.970001,0.0,,1.207,,,,1.207,103.381004,,111.232002,111.232002,,,,12.2,,,,,20.405004,,,20.405004,143.837006,0.0,,,,14.183,,,,,,14.183,14.183,158.020006,0.0,9.903,,,-11.349,,198.522996,197.076996,0.0,197.076996,355.097002,
11/30/1990,366.238007,1.906,1.906,0.0,0.0,,,252.556,,,,,8.825,,,,,263.286987,101.564003,,,0.0,,1.387,,,,1.387,102.951003,,129.936005,129.936005,,,,14.7,,,,,5.173001,,,5.173001,149.809006,0.0,,,,14.224,,,,,,14.224,14.224,164.033006,0.0,10.027,,,-11.349,,203.526994,202.204994,0.0,202.204994,366.238,
02/28/1991,346.914001,4.56,4.56,0.0,0.0,,,231.035995,,,,,8.906,,,,,244.501999,101.208,,,0.0,,1.204,,,,1.204,102.412,,117.136002,117.136002,,,,0.0,,,,,4.455002,,,4.455002,121.591003,0.0,,,,14.142,,,,,,14.142,14.142,135.733004,0.0,10.069,,,-11.349,,212.460999,211.181,0.0,211.181,346.914003,
05/31/1991,366.701996,16.507,16.507,0.0,0.0,,,234.738998,,,,,11.709,,,,,262.954987,101.796997,,,0.0,,1.95,,,,1.95,103.746997,,125.943001,125.943001,,,,0.0,,,,,5.491997,,,5.491997,131.434998,0.0,,,,14.183,,,,,,14.183,14.183,145.617997,0.0,10.816,,,-11.349,,221.617005,221.084005,0.0,221.084005,366.702003,
08/31/1991,399.270996,25.030001,25.030001,0.0,0.0,,,258.937988,,,,,9.761,,,,,293.729004,103.234001,173.102997,-69.869003,0.0,,2.308,,,,2.308,105.542001,,118.900002,118.900002,,,,0.0,,,,,38.620994,,,38.620994,157.520996,0.0,,,,14.43,,,,,,14.43,14.43,171.950996,0.0,11.865,,,-11.349,,226.804002,227.320002,0.0,227.320002,399.270998,
11/30/1991,435.260986,10.841,10.841,0.0,0.0,,,301.653015,,,,,13.759,,,,,326.252991,107.033997,,,0.0,,1.974,,,,1.974,109.007997,,176.147003,176.147003,,,,0.0,,,,,8.565002,,,8.565002,184.712006,0.0,,,,14.263,,,,,,14.263,14.263,198.975005,0.0,12.295,,,-11.349,,235.339997,236.285997,0.0,236.285997,435.261003,
02/29/1992,403.658997,19.365,19.365,0.0,0.0,,,260.713989,,,,,13.151,,,,,293.230011,108.317001,,,0.0,,2.112,,,,2.112,110.429001,,131.960007,131.960007,,,,0.0,,,,,5.896988,,,5.896988,137.856995,0.0,,,,14.502,,,,,,14.502,14.502,152.358994,0.0,12.93,,,-11.349,,249.718995,251.299995,0.0,251.299995,403.65899,
05/31/1992,438.052002,24.229,24.229,0.0,0.0,,,285.181,,,,,14.468,,,,,323.877991,111.943001,,,0.0,,2.231,,,,2.231,114.174001,,154.444,154.444,,,,0.0,,,,,4.886993,,,4.886993,159.330994,0.0,,,,14.437,,,,,,14.437,14.437,173.767994,0.0,14.44,,,-11.349,,261.192994,264.283994,0.0,264.283994,438.051988,
08/31/1992,478.027008,1.732,1.732,0.0,0.0,,,339.042999,,,,,17.968,,,,,358.743011,116.820999,199.192993,-82.372002,0.0,,2.463,,,,2.463,119.283999,,141.309998,141.309998,,,,0.0,,,,,47.143997,,,47.143997,188.453995,0.0,,,,17.799999,,,,,,17.799999,17.799999,206.253994,0.0,14.634,,,-11.349,,268.488008,271.773008,0.0,271.773008,478.027002,
11/30/1992,499.785004,4.456,4.456,0.0,0.0,,,351.260986,,,,,19.125999,,,,,374.842987,122.102997,,,0.0,,2.839,,,,2.839,124.941997,,172.822998,172.822998,,,,16.6,,,,,9.385,,,9.385,198.807999,0.0,,,,17.413,,,,,,17.413,17.413,216.220999,0.0,16.291,,,-11.349,,278.62201,283.564011,0.0,283.564011,499.785009,
02/28/1993,481.427887,21.197001,21.197001,0.0,0.0,,,315.993439,,,,,18.03824,,,,,355.228668,122.261406,,,0.0,,3.937792,,,,3.937792,126.199198,,157.265884,157.265884,,,,0.0,,,,,5.586929,,,5.586929,162.852814,0.0,,,,17.488894,,,,,,17.488894,17.488894,180.341707,0.0,17.245729,,,-11.349268,,295.189692,301.086153,0.0,301.086153,481.42786,
