Date,Level 1 Assets,Level 2 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Level 3 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/28/2009,,,,0.0,10.155,0.0,10.155,,,,,,,
06/27/2009,,,,0.0,7.665,0.0,7.665,,,,,,,
09/30/2009,190.167,,190.167,,1327.787,,1327.787,23.214822,,23.214822,7.747877,,7.747877,
01/02/2010,161.956,,161.956,,1762.3,,1762.3,36.723717,,36.723717,6.465583,,6.465583,
04/03/2010,187.349,,187.349,,1793.467,,1793.467,38.532052,,38.532052,7.360667,,7.360667,
07/03/2010,258.389,,258.389,,1761.739,,1761.739,48.220757,,48.220757,9.877421,,9.877421,
09/30/2010,234.112,,234.112,1010.0,765.865,,1775.865,39.480656,,39.480656,8.74264,,8.74264,
01/01/2011,234.308,,234.308,,3258.6,,3258.6,39.296148,,39.296148,5.561664,,5.561664,
04/02/2011,505.337,,505.337,,3272.0,,3272.0,75.759716,,75.759716,11.520362,,11.520362,
07/02/2011,549.251,2.7,551.951,,3228.0,,3228.0,74.695202,0.367186,75.062388,12.525624,0.061573,12.587197,
09/30/2011,376.183,,376.183,1616.0,1501.6,,3117.6,46.387997,,46.387997,8.334367,,8.334367,
12/31/2011,359.9,,359.9,1696.0,1531.6,,3227.6,40.571861,,40.571861,7.918007,,7.918007,
09/30/2012,440.524,,440.524,1696.0,2046.8,,3742.8,36.143068,,36.143068,8.068771,,8.068771,
12/29/2012,554.431,,554.431,2342.0,2197.8,,4539.8,92.58308,,92.58308,9.990439,,9.990439,
03/30/2013,680.024,,680.024,2324.0,2226.0,,4550.0,99.220128,,99.220128,11.942624,,11.942624,
06/29/2013,269.172,,269.172,2192.0,2169.7,,4361.7,33.574064,,33.574064,4.630789,,4.630789,
09/30/2013,564.74,,564.74,2784.0,3079.5,,5863.5,-167.887009,,-167.887009,9.184438,,9.184438,
12/28/2013,410.924,,410.924,2794.0,3093.8,,5887.8,-175.472069,,-175.472069,6.530391,,6.530391,
03/29/2014,475.691,,475.691,2816.0,3091.8,,5907.8,-378.647446,,-378.647446,7.433441,,7.433441,
06/28/2014,729.134,,729.134,3733.0,3901.94,,7634.94,-45.814062,,-45.814062,10.864774,,10.864774,
09/30/2014,819.548,0.0,819.548,3563.0,3845.72,,7408.72,-52.666829,0.0,-52.666829,12.129147,0.0,12.129147,
12/27/2014,1011.629,,1011.629,3638.0,3834.2,,7472.2,-69.065761,,-69.065761,14.632508,,14.632508,
03/28/2015,392.519,,392.519,3630.0,3996.92,,7626.92,-29.597092,,-29.597092,5.431878,,5.431878,
06/27/2015,915.35,,915.35,4080.0,4415.26,,8495.26,-78.300293,,-78.300293,10.961774,,10.961774,
09/30/2015,714.033,8.18,722.213,3860.792,4418.5,,8279.292,-68.769033,-0.787822,-69.556855,8.598731,0.098508,8.697238,
01/02/2016,805.291,7.98,813.271,3969.817,4283.35,,8253.167,-83.51302,-0.827569,-84.340589,9.667384,0.095799,9.763183,
04/02/2016,612.015,3.46,615.475,4062.395,4384.141,,8446.536,-63.631061,-0.359735,-63.990797,7.321214,0.04139,7.362604,
07/02/2016,1666.695,4.63,1671.325,5069.098,5312.59,,10381.688,-206.210841,-0.572844,-206.783685,15.767465,0.043801,15.811266,
09/30/2016,1586.994,4.232,1591.226,5231.709,5367.052,,10598.761,-243.594529,-0.649588,-244.244117,14.795385,0.039455,14.83484,
12/31/2016,972.36,26.989,999.349,4654.34,6486.48,,11140.82,-51.869574,-1.439701,-53.309275,9.687638,0.268892,9.956529,
04/01/2017,985.389,21.768,1007.157,4829.159,6375.603,,11204.762,-48.332666,-1.067706,-49.400372,9.672694,0.213677,9.886372,
07/01/2017,970.556,11.403,981.959,4899.372,6403.123,,11302.495,-51.204651,-0.6016,-51.806251,9.407861,0.110532,9.518394,
09/30/2017,650.561,15.809,666.37,5020.769,6996.099,,12016.868,-22.043918,-0.53568,-22.579598,6.521483,0.158476,6.679958,
12/30/2017,857.862,26.023,883.885,4977.451,6967.054,,11944.505,-32.998335,-1.000995,-33.99933,8.483497,0.257344,8.740842,
03/31/2018,1011.007,71.569,1082.576,4875.281,6861.076,,11736.357,-43.779102,-3.099115,-46.878217,9.726199,0.688516,10.414715,
06/30/2018,1853.373,78.325,1931.698,5425.956,7542.382,,12968.338,-88.319784,-3.732463,-92.052247,15.700594,0.663519,16.364113,
09/30/2018,2073.017,108.92,2181.937,5426.769,7607.993,,13034.762,-114.628158,-6.022767,-120.650926,16.995471,0.892972,17.888444,
12/29/2018,2337.316,38.468,2375.784,5219.412,7152.226,,12371.638,-140.219918,-2.307767,-142.527685,18.865635,0.310494,19.17613,
03/30/2019,2828.902,21.304,2850.206,9674.284,7670.153,,17344.437,-190.852267,-1.437277,-192.289544,15.895248,0.119705,16.014952,
06/29/2019,2716.812,4.484,2721.296,9308.469,7750.043,,17058.512,-207.29307,-0.34213,-207.6352,15.346968,0.02533,15.372297,
09/30/2019,1467.486,1.326,1468.812,9956.707,7788.96,,17745.667,-50.864603,-0.045961,-50.910563,9.028055,0.008158,9.036212,
12/28/2019,4194.0,2.0,4196.0,11522.0,7596.0,,19118.0,-97.557572,-0.046522,-97.604094,23.099802,0.011016,23.110817,
03/28/2020,2668.0,0.0,2668.0,10391.0,6820.0,,17211.0,-63.448276,0.0,-63.448276,16.038473,0.0,16.038473,
06/27/2020,4549.0,0.0,4549.0,12019.0,7440.0,,19459.0,-108.853793,0.0,-108.853793,25.023379,0.0,25.023379,
