Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Provision for Doubtful Accounts,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Property Additions,Property Improvements,Change in Investments,Change in Notes,Change in Mortgages,Change in Real Estate Interest,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Preferred Dividends Other Distributions,Proceeds from Repayments of Borrowings,Change in Unsecured Debt,Change in Secured Debt,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/1994,1.277,0.395,0.574,0.0,0.0,0.308,,,,,,,,,,,,,,,,,,,,,
06/30/1994,1.671,0.279,0.528,0.0,0.0,0.864,,,,,,,,,,,,,,,,,,,,,
09/30/1994,7.281,2.962,1.84,0.0,-0.22,2.699,,,,,,,,,,,,,,,,,,,,,
12/31/1994,9.544,4.181,3.037,0.0,0.779,1.547,,,,,,,,,,,,,,,,,,,,,
03/31/1995,6.963,4.005,3.768,0.0,0.42,-1.23,,,,,,,,,,,,,,,,,,,,6.963,
06/30/1995,5.514,3.947,3.792,0.0,0.409,-2.634,,,,,,,,,,,,,,,,,,,,,
09/30/1995,4.412,3.51,3.635,0.0,-1.624,-1.109,,,,,,,,,,,,,,,,,,,,,
12/31/1995,9.281,1.913,3.995,0.0,0.435,2.938,,,,,,,,,,,,,,,,,,,,9.281,
03/31/1996,6.871,2.81,4.632,0.0,0.494,-1.065,,0.0,-6.711,-0.827,0.0,0.0,0.0,,-1.865,-9.403,1.595,-5.037,,7.63,,,0.0,0.0,-0.998,-0.937,
06/30/1996,18.337999,3.145,5.107,0.0,0.92,9.166,,0.0,-2.684,-1.558,0.0,0.0,0.0,,-4.429,-8.671,-8.781,-5.162,,-0.451,,,0.0,0.0,-3.168,0.886,
09/30/1996,5.656,3.396,5.062,0.0,0.658,-3.46,,17.167,-1.603,-1.623,0.0,0.0,-2.893,,-4.162,6.886,-13.755,-5.257,,-2.831,,,0.045,-3.543,-2.169,-1.213,
12/31/1996,7.941,3.633,6.408,0.0,0.975,-3.075,,-0.02,-28.233999,-8.173,0.0,0.0,2.893,,-43.422001,-76.956001,81.07,-5.28,,59.914999,,,28.091,-0.712,-0.944,12.055,
03/31/1997,25.976,4.584,8.405,0.0,1.21,11.777,,0.0,-3.044,-1.959,0.0,0.0,0.0,0.0,0.0,-5.003,-22.612,-7.183,-1.171,-65.573002,,,51.463001,0.0,-0.148,-1.639,
06/30/1997,-0.941,5.264,8.662,0.0,1.705,-16.572001,,0.0,-53.679001,-3.672,0.0,0.0,0.0,-45.425999,-0.354,-103.130997,114.061996,-10.241,-1.321,48.771,,,62.872002,0.0,13.981,9.99,
09/30/1997,28.4,6.967,9.528,0.0,0.919,10.986,,0.231,-36.737999,-5.185,0.0,0.0,-39.917999,-125.285004,0.215,-206.679993,202.533997,-10.711,-1.38,-12.836,,,229.625,0.0,-2.164,24.254,
12/31/1997,19.597,11.818,16.924999,0.0,-6.067,-3.079,,21.561001,-293.362,-5.642,0.0,0.0,-20.657,-105.191002,0.442,-402.848999,374.565002,-16.525,-2.484,85.537997,,,300.13501,0.0,7.901,-8.687,
03/31/1998,9.661,21.642,15.872,0.0,-2.965,-24.888,,11.207,-8.798,-7.822,0.0,0.0,0.0,-41.882,0.27,-47.025002,36.223999,-23.247999,-4.313,-43.904999,,,109.93,-5.982,3.742,-1.14,
06/30/1998,-3.823,13.62,22.794001,0.0,3.289,-43.526001,,0.409996,-23.493,-18.944,0.0,0.0,-46.827,30.988001,4.222,-53.644001,70.838997,-23.424,-7.854,105.441998,,,1.346,0.0,-4.671,13.372,
09/30/1998,44.987,16.582001,28.677999,0.0,-0.965,0.692,,8.01,-81.412003,26.766001,0.0,0.0,-4.056,-34.091999,0.0,-84.783997,34.158001,-26.65,-9.0,-72.439001,,,143.951004,-4.99,3.286,-5.639,
12/31/1998,97.588997,12.63,34.265999,0.0,-5.099,55.792,,16.841,-121.428001,0.0,0.0,0.0,-1.414,-14.584,-22.283001,-142.867996,72.903,-21.513,-20.768,-17.582001,,,98.672997,-0.094,34.187,27.624001,
03/31/1999,64.421997,13.956,33.381001,0.0,-2.095,19.18,,3.845,-19.708,0.0,0.0,-2.522,11.438,-0.341,-54.907001,-62.195,-34.971001,-35.140999,-24.875,-86.394997,,,114.906998,0.0,-3.467,-32.743999,
06/30/1999,39.305,23.117,33.714,,-1.113,-16.413,,34.749,-60.746,,0.0,6.329,,11.596,28.726,20.654,-46.862,-38.22,-62.985,-64.337,,,121.453,,-2.773,13.097,
09/30/1999,59.002312,19.487,33.971001,0.0,-1.937,7.481,,5.491,-83.783997,0.0,0.0,-17.195,11.413,-61.694,-1.751,-147.520996,93.064003,-40.009998,-22.462999,103.384997,,,54.827999,0.0,-2.676,4.545,
12/31/1999,90.528,24.399,50.099998,0.0,17.868,-1.839,,4.94,-14.612,-38.529999,0.0,129.104004,-24.747999,-213.470993,65.274002,-92.043999,46.917,-41.283001,-19.412001,114.526001,,,7.578,-8.038,-6.454,45.401001,
03/31/2000,69.557,25.882,62.866,0.0,-4.331,-19.714,,16.953,-39.389,0.0,0.0,-115.244,0.0,18.976,9.5,-109.204,74.933,-45.642,-23.661,111.108,68.0,43.108,39.246,-2.515,-3.603,35.286,
