Date,Revenue,Rental Income,Base Rent,Recoveries from Tenants,Percentage Rent,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,Disposal of Con Assets,Disposal of Uncon Assets,Abnormal Losses/(Gains),Net Income to Partners,Deficit/Distributions to Partners,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/2004,10.926,9.996,,,,,0.0,0.813,0.0,0.117,-10.555,4.908,2.97,2.677,0.0,,0.0,0.371,-6.277,6.367,-0.261,0.171,-5.906,0.0,,0.0,,,-5.906,,-6.032,0.0,0.0,-6.032,-6.032,,,,,,,,,,,,,,,,,,,,-3.758,,-3.758,-3.758,,,0.0,,,0.0,
06/30/2004,13.929,13.014,,,,,0.0,0.562,0.0,0.353,-12.428,6.066,3.273,3.089,0.0,,0.0,1.501,-7.973,8.406,-0.433,0.0,-6.472,0.0,,0.0,,,-6.472,,-7.036,0.0,0.0,-7.036,-7.036,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
09/30/2004,18.168,17.536,,,,,,0.603,,0.029,-9.751,6.846,2.905,5.057,,,,3.36,-8.368,9.741,-0.404,-0.969,-5.008,,,,,,,,-5.077,,-2.943,-8.02,-8.02,,15.241832,-0.53,-0.53,-0.53,15.241832,-0.53,-0.53,-0.53,,,,,,,,,,,,,,,,,0.1113,,,,
12/31/2004,22.948,22.110001,,,,,0.0,0.873,0.0,-0.035,-17.031,8.246,3.317,4.729,0.0,,0.739,5.917,-6.26,3.977,-0.289,2.572,-0.343,0.0,,0.0,,,-0.343,,-0.317,0.0,0.0,-0.317,-0.317,,31.17,-0.01,-0.01,-0.01,31.17,-0.01,-0.01,-0.01,,,,,,,,,,,4.421,,4.421,4.421,0.141835,0.141835,0.2278,160.609048,160.609048,200.497625,
03/31/2005,22.908,22.222,,,,,0.0,0.635,0.0,0.051,-11.855,8.878,2.977,5.73,0.0,,0.107,5.216,-5.912,6.239,-0.317,-0.01,-0.696,0.0,,0.0,,,-0.696,,-0.64,0.0,0.0,-0.64,-0.64,,31.16995,-0.02,-0.02,-0.02,31.16995,-0.02,-0.02,-0.02,,,,,,,,,,,,,,,,,0.23,,,,
06/30/2005,24.551,23.819,,,,,0.0,0.662,0.0,0.07,-12.361,9.041,3.32,6.213,0.0,,0.168,5.809,-7.139,7.493,-0.288,-0.066,-1.33,0.0,,0.0,,,-1.33,,-1.22,0.0,0.0,-1.22,-1.22,,31.858839,-0.04,-0.04,-0.04,31.858839,-0.04,-0.04,-0.04,,,,,,,,,,,4.781,,4.781,4.781,0.150068,0.150068,0.23,153.263605,153.263605,153.263605,
09/30/2005,42.346,36.245,,,,,,4.93,,1.171,-23.47,13.879,9.591,9.535,,,,9.341,-12.453,14.588,-1.355,-0.78,-3.112,,,,,,,,-2.859,0.0,0.0,-2.859,-2.859,,37.4657,-0.08,-0.08,-0.08,37.4657,-0.08,-0.08,-0.08,,,,,,,,,,,7.26,,7.26,7.26,0.193777,0.193777,0.23,118.692989,118.692989,118.692989,
12/31/2005,45.683,38.354,,,,,0.0,5.415,0.0,1.914,-32.926,14.165,8.213,9.527,0.0,,1.021,12.757,-13.019,14.229,-1.21,0.0,-0.262,0.0,,0.0,,,-0.262,,-0.247,0.0,0.0,-0.247,-0.247,,41.4315,0.0,0.0,0.0,41.4315,0.0,0.0,0.0,,,,,,,,,,,10.096,,10.096,10.096,0.243679,0.243679,0.2275,93.360403,93.360403,116.110378,
03/31/2006,45.37,40.096,,,,,0.0,5.209,0.0,0.065,-24.62,15.375,9.245,9.276,0.0,,0.318,11.156,-10.364,11.985,-1.139,-0.482,0.792,0.0,0.738,0.0,,,0.792,,0.738,0.0,0.0,0.738,0.738,,51.593729,0.01,0.01,0.01,55.70943,0.01,0.01,0.01,,6.473,1.2,2.553,0.054,,,,,,11.018,,11.018,11.018,0.197776,0.197776,0.23,116.293056,116.293056,107.701558,
06/30/2006,48.531,42.02,,,,,0.0,5.356,0.0,1.155,-24.584,15.837,8.747,9.057,0.0,,0.024,14.866,-11.549,12.784,-1.087,-0.148,3.317,0.0,3.092,0.0,,,3.317,,3.092,0.0,0.0,3.092,3.092,,51.625135,0.06,0.06,0.06,55.991088,0.06,0.06,0.06,,6.648,1.247,1.951,0.225,,,,,,13.163,,13.163,13.163,0.235091,0.235091,0.23,97.834462,97.834462,90.205736,
09/30/2006,51.188,44.682,,,,,,5.404,,1.102,-25.495,16.897,8.598,9.253,,,,16.44,-11.827,13.429,-1.34,-0.262,4.613,,4.307,,,,,,4.307,0.0,0.0,4.307,4.307,,52.501864,0.08,0.08,0.08,57.072838,0.07,0.07,0.07,,6.945,1.153,1.944,0.306,,,,,,14.655,,14.655,14.655,0.256777,0.256777,0.23,89.571837,89.571837,82.398012,
12/31/2006,52.175,45.116,,,,,0.0,6.896,0.0,0.163,-24.65,15.64,9.01,9.586,0.0,,0.836,17.103,-9.964,12.755,-1.127,-1.664,7.139,0.0,6.739,0.0,,,7.139,,6.739,0.0,0.0,6.739,6.739,,64.026198,0.11,0.11,0.11,68.264744,0.1,0.1,0.1,,7.265,1.173,1.923,0.4,,,,,,17.5,,17.5,17.5,0.256151,0.256151,0.23,89.790954,89.790954,84.148717,
03/31/2007,53.776,48.374,,,,,0.0,5.263,0.0,0.139,-36.155,17.869,9.24,8.796,0.0,,0.25,17.621,-10.751,13.396,-1.197,-1.448,6.87,0.0,6.47,0.0,,,6.87,,6.47,0.0,0.0,6.47,6.47,,64.058756,0.1,0.1,0.1,68.786185,0.1,0.1,0.1,,7.585,1.062,0.807,0.384,,,,,,16.308,,16.308,16.308,0.237082,0.237082,0.23,97.012647,97.012647,90.345314,
06/30/2007,60.217999,51.080002,,,,,0.0,5.325,0.0,3.813,-36.819001,18.569,8.968,9.123,0.0,,0.159,23.399,-14.245,15.437,-1.192,0.0,9.154,0.0,8.695,0.0,,,9.154,,8.695,0.0,0.0,8.695,8.695,,64.43914,0.13,0.13,0.13,69.248848,0.13,0.13,0.13,,8.695,1.025,0.807,0.515,0.005,,,,,18.878,,18.878,18.878,0.271241,0.271241,0.23,84.795416,84.795416,78.509386,
09/30/2007,66.927,58.236,,,,,0.0,5.266,0.0,3.425,-41.112,21.004,9.326,10.598,0.0,,0.184,25.815,-13.721,16.079,-1.304,-1.054,12.094,0.0,9.828,0.0,,,12.094,0.869,11.338,-1.51,0.0,9.828,9.828,,64.901249,0.15,0.15,0.15,70.567078,0.15,0.15,0.15,,10.137,1.004,,,0.015,,-1.054,,,20.799,,20.799,20.799,0.294741,0.294741,0.23,78.034655,78.034655,71.769255,
12/31/2007,64.714,59.674,,,,,0.0,5.101,0.0,-0.061,-29.526,20.338,9.188,11.284,0.0,,0.172,23.732,-13.529,16.103,-1.607,-0.967,10.203,0.0,34.584,0.0,,,10.203,,9.591,0.0,0.0,9.591,9.591,,65.386067,0.15,0.15,0.17,70.99562,0.15,0.15,0.17,,33.779,4.039,4.159,2.508,0.043,,,-1.438,-1.054,76.621,,76.621,76.621,1.086766,1.086766,0.25,23.004029,23.004029,21.334251,
03/31/2008,65.707,60.502,,,,,0.0,5.077,0.0,0.128,-31.982,21.803,10.179,11.581,,,0.164,21.98,-15.938,17.383,-1.222,-0.223,6.042,0.0,5.671,0.0,,,6.042,,5.671,0.0,0.0,5.671,5.671,0.0,66.165159,0.09,0.09,0.09,71.699461,0.09,0.09,0.09,,9.76,1.052,1.278,0.51,,,,-1.438,,16.833,,16.833,16.833,0.234772,0.234772,0.25,106.486457,106.486457,98.267034,
06/30/2008,67.336,61.865,,,,,0.0,5.343,0.0,0.128,-32.416,22.233,10.183,11.697,0.0,,1.428,21.795,-13.566,17.021,-1.373,-2.082,8.229,0.113,6.497,0.0,,,8.342,,6.497,0.0,0.0,6.497,6.497,0.0,73.900524,0.09,0.09,0.09,79.572767,0.09,0.09,0.09,,9.975,1.058,1.159,1.963,,,,-1.437,,19.215,,19.215,19.215,0.241477,0.241477,0.25,103.529491,103.529491,96.149524,
09/30/2008,69.848,64.262,,,,,0.0,5.417,0.0,0.169,-33.109,22.793,10.316,12.355,0.0,,0.039,24.345,-12.455,16.963,-2.015,-2.493,11.89,-0.003,9.916,0.0,,,11.887,,9.916,0.0,0.0,9.916,9.916,0.0,82.184631,0.13,0.13,0.13,87.710663,0.13,0.13,0.13,,10.791,1.534,1.066,2.118,,,,-1.438,,23.987,,23.987,23.987,0.273479,0.273479,0.25,91.41479,91.41479,85.655387,
12/31/2008,70.36,65.157,,,,,0.0,5.108,0.0,0.095,-46.018,22.759,9.23,13.933,0.0,,0.096,24.342,-6.635,17.304,-2.322,-8.347,17.707,-0.629,15.033,0.0,,,17.078,,17.078,0.0,0.0,17.078,17.078,0.0,85.58137,0.17,0.17,0.17,90.837769,0.17,0.17,0.17,,12.308,1.428,0.991,2.518,,,,-1.437,,30.841,,30.841,30.841,0.339517,0.339517,0.25,73.633936,73.633936,69.498395,
03/31/2009,69.247,64.028,0.0,4.619,0.0,59.409,0.0,5.219,0.0,0.0,-47.324,24.128,10.591,12.523,,0.0,0.082,21.923,9.487,16.636,-1.895,-24.228,31.41,-0.648,27.619,0.0,0.0,0.0,30.762,3.392,27.619,0.0,0.0,27.619,5.136,-22.483,85.940389,0.32,0.32,0.059762,91.222295,0.32,0.32,0.059762,,11.43,1.395,0.523,,,,,-1.438,,42.921,-21.56,21.361,21.361,0.234164,0.234164,0.25,106.762669,106.762669,50.057308,
06/30/2009,69.065,63.79,0.0,5.085,0.0,58.705,0.0,5.275,0.0,0.0,-66.691,23.038,10.612,12.84,,0.0,20.201,2.374,-8.112,16.379,-1.641,-6.626,-5.738,-0.943,-7.541,0.0,0.0,0.0,-6.681,1.082,-7.541,0.0,0.0,-7.541,-11.234,-3.693,86.397618,-0.09,-0.09,-0.130027,91.607503,-0.09,-0.09,-0.130313,,11.554,1.414,0.725,,0.188,,,-1.437,,5.985,15.671,21.656,21.656,0.2364,0.2364,0.0,0.0,0.0,0.0,
09/30/2009,71.113,65.922,0.0,5.542,0.0,60.38,0.0,5.191,0.0,0.0,-47.896,24.286,9.791,13.797,,0.0,0.022,23.217,-14.917,18.127,-1.752,-1.458,8.3,-0.726,5.967,0.0,0.0,0.0,7.574,1.777,5.967,0.0,0.0,5.967,5.967,0.0,86.437877,0.07,0.07,0.07,91.548984,0.07,0.07,0.07,,12.959,1.475,0.198,,-0.02,,,-1.438,,20.918,0.452,21.37,21.37,0.233427,0.233427,0.0,0.0,0.0,0.0,
12/31/2009,70.721,65.445,0.0,5.683,0.0,59.762,0.0,5.276,0.0,0.0,-46.348,22.944,9.23,13.243,,0.0,0.931,24.373,-14.952,18.676,-1.676,-2.048,9.421,-1.983,5.932,0.0,0.0,0.0,7.438,1.763,5.932,0.0,0.0,5.932,6.405,0.473,86.588048,0.07,0.07,0.073971,91.364431,0.07,0.07,0.073971,,12.474,1.521,0.201,,0.007,,,-1.438,,20.46,0.984,21.444,21.444,0.234708,0.234708,0.13,55.387876,55.387876,55.016844,
03/31/2010,67.587,62.035,0.0,5.892,0.0,56.143,0.0,5.552,0.0,0.0,-46.724,23.179,11.056,12.419,,0.0,0.07,20.863,-14.639,17.678,-1.501,-1.538,6.224,-1.045,3.568,0.0,0.0,0.0,5.179,1.628,3.568,0.0,0.0,3.568,3.568,0.0,86.873472,0.04,0.04,0.04,91.666076,0.04,0.04,0.04,,11.659,1.754,0.183,,,,,-1.438,,17.354,0.474,17.828,17.828,0.194489,0.194489,0.1,51.416915,51.416915,50.059624,
06/30/2010,68.777,63.124,0.0,6.338,0.0,56.786,0.0,5.653,0.0,0.0,-45.971,22.398,11.229,12.202,,0.0,0.142,22.806,-13.667,16.233,-1.559,-1.007,9.139,-1.214,6.18,0.0,0.0,0.0,7.925,1.762,6.18,0.0,0.0,6.18,6.18,0.0,87.367967,0.07,0.07,0.07,92.304831,0.07,0.07,0.07,,11.494,2.255,0.094,,,,,-1.437,,20.348,0.558,20.906,20.906,0.226489,0.226489,0.1,44.152316,44.152316,42.936882,
09/30/2010,71.979,66.128,0.0,6.796,0.0,59.332,0.0,5.851,0.0,0.0,-48.418,23.07,10.618,12.519,,0.0,2.211,23.561,-12.991,15.702,-1.736,-0.975,10.57,-1.088,7.667,0.0,0.0,0.0,9.482,1.827,7.667,0.0,0.0,7.667,9.667,2.0,87.484731,0.09,0.09,0.110499,92.189852,0.09,0.09,0.110499,,11.715,2.172,0.122,,0.065,,,-1.438,,22.13,2.627,24.757,24.757,0.268544,0.268544,0.1,37.237893,37.237893,39.532188,
12/31/2010,73.154,67.088,0.0,6.902,0.0,60.186,0.0,6.066,0.0,0.0,-49.569,24.023,11.525,13.209,,0.0,0.812,23.585,-11.982,15.335,-1.957,-1.396,11.603,-0.815,8.916,0.0,0.0,0.0,10.788,1.879,8.916,0.0,0.0,8.916,8.916,0.0,87.565487,0.1,0.1,0.1,92.348254,0.1,0.1,0.1,,12.195,2.088,0.251,,0.0,,,-1.437,,23.892,1.24,25.132,25.132,0.272309,0.272309,0.1,36.722985,36.722985,36.650547,
03/31/2011,74.481,68.514,0.0,7.024,0.0,61.49,0.0,5.967,0.0,0.0,-50.451,24.959,11.658,13.585,,0.0,0.249,24.03,-13.636,16.414,-1.811,-0.967,10.394,-0.254,8.301,0.0,0.0,0.0,10.14,1.844,8.301,0.0,0.0,8.301,8.301,0.0,88.045951,0.09,0.09,0.09,92.812067,0.09,0.09,0.09,,12.365,2.075,0.308,,0.036,,,-1.438,,23.491,0.677,24.168,24.168,0.260397,0.260397,0.14,53.764024,53.764024,52.705291,
06/30/2011,78.04,71.896,0.0,7.596,0.0,64.3,0.0,6.144,0.0,0.0,-52.188,24.094,12.432,14.092,,0.0,1.57,25.852,-12.924,16.261,-2.376,-0.961,12.928,-0.411,10.609,0.0,0.0,0.0,12.517,1.91,10.609,0.0,0.0,10.609,10.609,0.0,91.439042,0.12,0.12,0.12,96.010848,0.12,0.12,0.12,,12.677,2.057,0.412,,-0.366,,,-1.437,,25.862,2.01,27.872,27.872,0.290301,0.290301,0.14,48.225885,48.225885,49.499133,
09/30/2011,84.097,77.744,0.0,8.269,0.0,69.475,0.0,6.353,0.0,0.0,-52.882,25.866,12.306,14.364,,0.0,0.346,31.215,-13.925,16.756,-1.873,-0.958,17.29,0.062,15.261,0.0,0.0,0.0,17.352,2.092,15.261,0.0,0.0,15.261,15.261,0.0,94.314429,0.16,0.16,0.16,98.867803,0.16,0.16,0.16,,12.958,1.979,0.651,,0.512,,,-1.438,,32.015,0.786,32.801,32.801,0.331569,0.331569,0.14,42.223476,42.223476,41.24323,
12/31/2011,93.212,81.752,0.0,8.292,0.0,73.46,0.0,11.46,0.0,0.0,-58.833,26.705,13.287,15.973,,0.0,2.868,34.379,-15.413,18.323,-1.227,-1.683,18.966,-0.552,16.278,0.0,0.0,0.0,18.414,2.132,16.278,0.0,0.0,16.278,18.415,2.137,94.530814,0.17,0.17,0.194804,99.085766,0.17,0.17,0.191567,,14.647,1.82,1.004,,0.003,,,-1.437,,34.447,0.002,34.449,34.449,0.347495,0.347495,0.14,40.288318,40.288318,38.419351,
03/31/2012,90.987,84.401,0.0,8.557,0.0,75.844,0.0,6.586,0.0,0.0,-58.217,28.444,12.64,16.524,,0.0,0.609,32.77,-9.302,18.071,-2.296,-6.473,23.468,-0.95,20.214,0.0,0.0,0.0,22.518,2.3,20.214,0.0,0.0,20.214,20.214,0.0,94.888078,0.21,0.21,0.21,99.927352,0.21,0.21,0.21,,14.633,1.774,1.052,,-5.429,,,-1.438,,33.106,1.053,34.159,34.159,0.341838,0.341838,0.2,58.507188,58.507188,57.323795,
06/30/2012,94.951,88.292,0.0,9.008,0.0,79.284,0.0,6.659,0.0,0.0,-57.076,27.436,12.545,16.626,,0.0,0.469,37.875,-11.496,15.854,-2.698,-1.66,26.379,-1.634,22.413,0.0,0.0,0.0,24.745,2.325,22.413,0.0,0.0,22.413,22.413,0.0,102.107535,0.22,0.22,0.22,106.653965,0.22,0.22,0.22,,14.861,1.828,0.988,,0.0,,,-1.437,,40.978,0.469,41.447,41.447,0.388612,0.388612,0.2,51.465228,51.465228,49.835295,
09/30/2012,109.791,103.56,0.0,9.495,0.0,94.065,0.0,6.231,0.0,0.0,-66.307,31.494,12.559,19.768,,0.0,2.486,43.484,-0.275,18.423,-2.854,-15.294,43.209,-1.656,38.606,0.0,0.0,0.0,41.553,2.938,38.606,0.0,0.0,38.606,38.606,0.0,104.252227,0.37,0.37,0.37,108.755316,0.37,0.37,0.37,,16.886,1.741,2.09,,-13.62,,,-1.438,,47.203,2.486,49.689,49.689,0.456888,0.456888,0.2,43.774403,43.774403,44.171865,
12/31/2012,113.667,107.437,0.0,9.756,0.0,97.681,0.0,6.23,0.0,0.0,-70.555,34.523,12.71,21.535,,0.0,1.787,43.112,-3.066,19.502,-3.011,-13.425,40.046,-1.173,36.076,0.0,0.0,0.0,38.873,2.786,36.076,0.0,0.0,36.076,36.076,0.0,107.830985,0.34,0.34,0.34,112.007741,0.33,0.33,0.33,,17.921,1.671,2.633,,-11.581,,,-1.437,,48.069,1.787,49.856,49.856,0.445112,0.445112,0.25,56.165628,56.165628,56.081354,
03/31/2013,119.322,113.144,0.0,10.221,0.0,102.923,0.0,6.178,0.0,0.0,-72.593,36.347,12.769,23.025,,0.0,0.452,46.729,-10.79,17.366,-2.623,-3.953,35.939,-2.008,31.425,0.0,0.0,0.0,33.931,2.494,31.425,0.0,0.0,31.425,31.425,0.0,110.314668,0.28,0.28,0.28,114.967087,0.28,0.28,0.28,,18.921,1.494,2.869,,-2.556,,,-1.438,,53.209,0.452,53.661,53.661,0.466751,0.466751,0.25,53.561752,53.561752,51.830831,
06/30/2013,126.246,119.45,0.0,12.11,0.0,107.34,0.0,6.796,0.0,0.0,-72.871,35.664,13.739,22.785,,0.0,0.683,53.375,-13.416,18.362,-2.914,-2.032,39.959,-2.858,34.466,0.0,0.0,0.0,37.101,2.624,34.466,0.0,0.0,34.466,34.466,0.0,110.731153,0.31,0.31,0.31,113.962981,0.31,0.31,0.31,,19.156,1.491,2.553,-0.8,0.0,,,-1.438,,58.052,0.796,58.848,58.848,0.510128,0.510128,0.4,78.411667,78.411667,76.297907,
09/30/2013,133.111,126.175,0.0,12.294,0.0,113.881,0.0,6.936,0.0,0.0,-77.047,37.249,13.943,23.428,,0.0,2.427,56.064,-21.431,16.264,-3.405,8.572,34.633,-2.281,29.245,0.0,0.0,0.0,32.352,3.092,29.245,0.0,0.0,29.245,38.398,9.153,110.827793,0.26,0.26,0.346465,115.477145,0.26,0.26,0.339262,,19.539,1.455,2.776,0.0,0.0,,,-1.438,,54.669,12.414,67.083,67.083,0.572704,0.572704,0.4,69.84412,69.84412,81.090046,
12/31/2013,141.934,135.23,0.0,12.692,0.0,122.538,0.0,6.704,0.0,0.0,-84.619,39.774,13.795,25.994,,0.0,5.056,57.315,27.694,20.095,-2.711,-45.078,85.009,-2.837,76.94,0.0,0.0,0.0,82.172,5.221,76.94,0.0,0.0,76.94,76.94,0.0,113.495805,0.66,0.66,0.66,114.560673,0.66,0.66,0.66,,21.327,1.236,3.265,-0.16,-43.476,,,-1.437,,62.916,5.513,68.429,68.429,0.566974,0.566974,0.4,70.549919,70.549919,72.157038,
03/31/2014,152.587,145.464,0.0,13.463,0.0,132.001,0.0,7.123,0.0,0.0,-92.189,46.049,15.709,28.375,,0.0,2.056,60.398,-16.359,19.598,-2.419,-0.82,44.039,-2.83,37.34,0.0,0.0,0.0,41.209,3.869,37.34,0.0,-0.117,37.223,37.223,0.0,115.438325,0.32,0.32,0.32,121.062845,0.32,0.32,0.32,,23.24,1.106,3.726,,,,,-1.438,,67.843,1.823,69.666,69.666,0.568621,0.568621,0.4,70.345658,70.345658,68.06204,
