Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
01/31/1999,113.332001,50.257,50.257,0.0,20.632999,,,28.622999,,15.385,13.238,,1.599,,,,,,101.112,11.65,18.591,-6.941,0.0,0.57,0.0,,,,,0.57,12.22,,35.73,35.73,,,,6.386,5.0,1.386,1.386,,5.011999,,,5.011999,47.127998,1.995,,,,,0.0,,,0.0,1.995,49.122998,0,74.401001,,,0.0,,-10.192,64.209001,0,64.209001,113.331999,
05/02/1999,126.655998,51.823002,51.823002,0.0,34.199001,,,15.193,,8.626,6.567,,2.16,,,,,,103.375,22.691,30.868999,-8.178,0.0,0.59,0.0,,,,,0.59,23.281,,27.509001,27.509001,,,,1.858,0.0,1.858,1.858,,9.288997,,,9.288997,38.655998,11.298,10.0,1.298,1.298,,0.0,,,0.0,11.298,49.953998,0,80.374001,,,0.0,,-3.672,76.702001,0,76.702001,126.655999,
08/01/1999,134.403,46.757,46.757,0.0,50.179001,,,8.441,,3.455,4.986,,2.746,,,,,,108.123001,22.742001,33.015999,-10.274,0.0,3.538,0.0,,,,,3.538,26.280001,,34.778999,34.778999,,,,1.766,0.0,1.766,1.766,,8.452003,,,8.452003,44.997002,6.942,6.0,0.942,0.942,,0.0,,,0.0,6.942,51.939002,0,79.257004,,,0.0,,3.207,82.464004,0,82.464004,134.403006,
10/31/1999,157.552994,55.200001,55.200001,0.0,56.418999,,,11.734,,8.726,3.008,,4.209,,,,,,127.561996,26.624001,39.240002,-12.616,0.0,3.367,0.0,,,,,3.367,29.991001,,43.027,43.027,,,,2.016,0.0,2.016,2.016,,7.191001,,,7.191001,52.234001,6.919,5.75,1.169,1.169,,0.0,,,0.0,6.919,59.153001,0,84.502998,,,0.0,,13.897,98.399999,0,98.399999,157.553,
01/30/2000,202.25,61.560001,61.560001,0.0,67.223999,,,37.631001,0.0,6.446,31.184999,0.0,6.76,,,,,,173.175003,25.886,41.330002,-15.444,0.0,3.189,0.0,,,,,3.189,29.075,,64.910004,64.910004,,,,1.786,0.0,1.786,1.786,,9.528995,,,9.528995,76.224998,1.462,0.5,0.962,0.962,,0.0,,,0.0,1.462,77.686998,0,95.995003,,,0.0,,28.568001,124.563004,0,124.563004,202.250002,
04/30/2000,447.790985,269.799988,269.799988,0.0,71.998001,71.998,,55.241001,,6.711,48.529999,,16.187,,,,,,413.226013,30.443001,48.449001,-18.006001,0.0,4.122,0.0,,,,,4.122,34.565001,,68.527,68.527,,,,1.55,0.0,1.55,1.55,,14.321003,,,14.321003,84.398003,0.947,0.25,0.697,0.697,,200.0,,,200.0,200.947,285.345003,0,115.538002,,,0.0,46.973,-0.064999,162.446003,0,162.446003,447.791006,
07/30/2000,507.183014,289.204987,289.204987,0.0,85.092003,85.092,,68.135002,,21.496,46.639,,24.504,,,,,,466.936005,34.908001,56.162998,-21.254999,0.0,5.339,0.0,,,,,5.339,40.247001,,75.887001,75.887001,,,,1.104,0.0,1.104,1.104,,23.429997,,,23.429997,100.420998,0.672,0.0,0.672,0.672,,200.0,,,200.0,200.672,301.092998,0,136.628006,,,0.0,69.495,-0.033002,206.090004,0,206.090004,507.183002,
10/29/2000,983.346008,694.882996,694.882996,0.0,104.351997,104.352,,93.192001,,14.81,78.382004,,33.313,,,,,,925.73999,37.424999,62.011002,-24.586,0.0,20.181,0.0,,,,,20.181,57.605999,,86.716003,86.716003,,,,0.685,0.0,0.685,0.685,,33.827993,,,33.827993,121.228996,300.644012,300.000012,0.644,0.644,,200.0,,,200.0,500.644012,621.873008,0,263.924988,,,0.0,97.563,-0.015003,361.472985,0,361.472985,983.345993,
01/28/2001,1016.901978,674.275024,674.275024,0.0,104.987999,96.585,,90.379997,22.906,12.05,55.424,0.0,61.241001,,,,,,930.883972,47.279999,76.245003,-28.965,0.0,38.737999,23.795,23.795,0.0,,,14.942999,86.017998,,72.301003,72.301003,,,,0.588,0.0,0.588,0.588,,236.527989,,,236.527989,309.416992,300.377991,299.999991,0.378,0.378,,0.0,,,0.0,300.377991,609.794983,0,277.096985,,,0.0,130.016,-0.006005,407.10698,0,407.10698,1016.901963,
04/29/2001,1081.784058,627.301025,627.301025,0.0,86.628998,,,86.769997,13.508,18.129,55.132999,0.0,79.953003,,,,,,880.653015,74.333,,,0.0,126.797997,86.232002,86.232002,0.0,,,40.565994,201.130997,,72.047997,72.047997,,,,0.429,0.0,0.429,0.429,,45.704003,,,45.704003,118.181,300.307007,300.000007,0.307,0.307,,200.0,,,200.0,500.307007,618.488007,0,308.808014,,,0.0,,154.488007,463.296021,0,463.296021,1081.784027,
07/29/2001,1190.139038,681.078003,681.078003,0.0,112.846001,,,91.186996,6.927,21.414,61.269001,0.0,81.5,,,,,,966.611023,94.862999,,,0.0,128.664993,80.969002,80.969002,0.0,,,47.695992,223.527992,,88.682999,88.682999,,,,2.019,0.0,2.019,2.019,,266.666013,,,266.666013,357.368011,303.671997,299.999997,3.672,3.672,,0.0,,,0.0,303.671997,661.040009,0,339.505005,,,0.0,,189.593994,529.098999,0,529.098999,1190.139008,
10/28/2001,1247.349976,717.165008,398.490997,318.674011,117.664001,,,120.487999,6.471,44.050999,69.966003,0.0,51.619999,,,,,,1006.937012,108.695,,,0.0,131.718002,85.209999,85.209999,0.0,,,46.508003,240.413002,,108.953003,108.953003,,,,4.014,0.0,4.014,4.014,,216.806007,,,216.806007,329.77301,306.94101,300.00001,6.941,6.941,,0.0,,,0.0,306.94101,636.71402,0,377.091003,,,0.0,,233.544998,610.636001,0,610.636001,1247.350021,
01/27/2002,1503.17395,791.377014,333.0,458.377014,147.348007,,,213.876999,13.367,77.129997,123.379997,0.0,81.507004,,,,,,1234.109009,120.127998,170.569,-50.441002,0.0,148.936996,81.119003,50.326,30.793003,,,67.817993,269.064995,,214.018997,214.018997,,,,3.896,0.0,3.896,3.896,,215.578991,,,215.578991,433.493988,305.860992,299.999992,5.861,5.861,,0.0,,,0.0,305.860992,739.35498,0,456.770996,,,0.0,,307.048004,763.819,0,763.819,1503.173981,
04/28/2002,1599.717041,828.396973,307.151001,521.245972,151.429001,,,253.927002,29.781,33.771999,190.373993,0.0,85.310997,,,,,,1319.063965,131.266998,,,0.0,149.386002,82.857002,82.857002,0.0,,,66.528999,280.653,,190.360001,190.360001,,,,3.944,0.0,3.944,3.944,,231.824997,,,231.824997,426.128998,304.937012,300.000012,4.937,4.937,,0.0,,,0.0,304.937012,731.06601,0,478.631989,,,0.0,,390.019012,868.651001,0,868.651001,1599.71701,
