Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,7248,116,116,0.0,1049,,,584,,,,,171,,,,,1920,2336,,,,,2992,,,,,2992,5328,,483,483,,,806,,,,,,630,,,630,1919,1726,,,,,814,,,814,2540,4459,0.0,,,,,,2455,2455,334,2789,7248,
06/30/1990,7384,127,127,0.0,1024,,,596,,,,,174,,,,,1921,2332,,,,,3131,,,,,3131,5463,,467,467,,,914,,,,,,581,,,581,1962,1935,,,,,852,,,852,2787,4749,0.0,,,,,,2564,2564,71,2635,7384,
09/30/1990,7507,174,174,0.0,1055,,,530,,,,,148,,,,,1907,2302,,,,,3298,,,,,3298,5600,,354,354,,,1111,,,,,,646,,,646,2111,1779,,,,,846,,,846,2625,4736,0.0,,,,,,2691,2691,80,2771,7507,
12/31/1990,7389,54,54,0.0,789,,,582,,,,,791,,,,,2216,2386,5218.0,-2832.0,139.0,,2648,,,,,2648,5173,,530,530,,,825,,,,,,733,,,733,2088,2058,,,,,788,,,788,2846,4934,,128.0,,,-46.0,,2291,2373,82,2455,7389,
03/31/1991,8610,116,116,,1455,,,758,,,,,495,,,,,2824,4319,9025.0,-4706.0,,,1467,,,,,1467,5786,,543,543,,,857,,,,,,952,,,952,2352,2471,,,,,1139,,,1139,3610,5962,3.0,135.0,,,-46.0,,2290,2382,266,2648,8610,
06/30/1991,8442,108,108,,1389,,,722,,,,,412,,,,,2631,4355,9167.0,-4812.0,,,1456,,,,,1456,5811,,636,636,,,743,,,,,,894,,,894,2273,2404,,,,,1126,,,1126,3530,5803,10.0,133.0,,,-46.0,,2272,2369,270,2639,8442,
09/30/1991,8159,132,132,,1304,,,679,,,,,256,,,,,2371,4471,9409.0,-4938.0,,,1317,,,,,1317,5788,,584,584,,,901,,,,,,850,,,850,2335,2028,,,,,1221,,,1221,3249,5584,18.0,138.0,,,-46.0,,2189,2299,276,2575,8159,
12/31/1991,6826,64,64,,648,,,529,,,,,1400,,,,,2641,2499,5542.0,-3043.0,232.0,,1454,,,,,1454,4185,,496,496,,,1282,,,,,,654,,,654,2432,1160,,,,,958,,,958,2118,4550,24.0,163.0,,,-46.0,,2122,2263,13,2276,6826,
03/31/1992,6862,82,82,,924,,,523,,,,,1201,,,,,2730,2488,5599.0,-3111.0,,,1644,,,,,1644,4132,,426,426,,,1388,,,,,,699,,,699,2513,1152,,,,,901,,,901,2053,4566,29.0,173.0,,,-46.0,,2131,2287,9,2296,6862,
06/30/1992,5253,156,156,,898,,,486,,,,,237,,,,,1777,2482,5633.0,-3151.0,,,994,,,,,994,3476,,401,401,,,328,,,,,,649,,,649,1378,1296,,,,,915,,,915,2211,3589,24.0,208.0,,,-46.0,,1468,1654,10,1664,5253,
09/30/1992,5068,59,59,,878,,,474,,,,,181,,,,,1592,2464,5668.0,-3204.0,,,1012,,,,,1012,3476,,352,352,,,247,,,,,,679,,,679,1278,1243,,,,,870,,,870,2113,3391,25.0,220.0,,,-46.0,,1468,1667,10,1677,5068,
12/31/1992,4941,171,171,0.0,748,,,456,,,,,204,,,,,1579,2539,5730.0,-3191.0,0.0,,823,,,,,823,3362,,375,375,,,358,,,,,,744,,,744,1477,1113,,,,,1083,,,1083,2196,3673,29.0,236.0,,,-46.0,,1048,1267,1,1268,4941,
03/31/1993,4854,52,52,0.0,799,,,479,,,,,217,,,,,1547,2509,5766.0,-3257.0,0.0,,798,,,,,798,3307,,333,333,,,402,,,,,,666,,,666,1401,763,,,,,1115,,,1115,1878,3279,31.0,522.0,,,-46.0,,1067,1574,1,1575,4854,
06/30/1993,4874,64,64,0.0,856,,,442,,,,,194,,,,,1556,2501,5798.0,-3297.0,538.0,,279,,,,,279,3318,,313,313,,,213,,,,,,666,,,666,1192,974,,,,,1131,,,1131,2105,3297,32.0,526.0,,,-55.0,,1073,1576,1,1577,4874,
09/30/1993,4790,155,155,0.0,815,,,406,,,,,236,,,,,1612,2321,5557.0,-3236.0,137.0,,720,,,,,720,3178,,326,326,,,46,,,,,,816,,,816,1188,958,,,,,1158,,,1158,2116,3304,33.0,524.0,,,-53.0,,981,1485,1,1486,4790,
