Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,2306.300049,,-1417.099976,,889.200073,,-803.099976,,,,86.099998,-90.900002,,116.400002,,0.0,-25.5,-4.800003,1.6,,-3.2,0.0,,,-3.200003,0.0,-3.2,-26.799999,,-29.999999,-29.999999,,15.8151,-1.9,-1.9,,15.8151,-1.9,-1.9,-1.9,
06/30/1990,2470.800049,,-1545.900024,,924.900024,,-822.900024,,,,102.0,-84.200005,,117.800003,,0.0,-33.599998,17.799995,-6.0,,11.8,0.0,,,11.799995,0.0,11.8,-26.9,,-15.099999,-15.099999,,15.9054,-0.9,-0.9,,15.9054,-0.9,-0.9,-0.9,
09/30/1990,2400.300049,,-1678.300049,,722.0,,-954.400024,,,,-232.399994,-62.800003,,98.800003,,0.0,-36.0,-295.199997,-61.599998,,-356.799988,0.0,,,-356.799995,0.0,-356.799988,-30.1,,-386.899988,-386.899988,,16.0021,-24.200001,-24.200001,,16.0021,-24.200001,-24.200001,-24.200001,
12/31/1990,2933.899902,,-1959.099976,,974.799926,,-705.5,,,,269.299988,-143.399998,,113.699997,,0.0,29.700001,125.89999,-33.400002,,92.5,181.0,,,-88.500012,0.0,-88.5,-30.5,,-119.0,-119.0,,16.1323,-7.5,3.7,,16.1323,-7.5,3.7,3.7,
03/31/1991,2058.899902,,-1331.099976,,727.799927,,-727.400024,,,,0.4,-81.600002,,109.900002,,0.0,-28.299999,-81.200002,-17.0,,-98.199997,0.0,,,-98.200002,0.0,-98.199997,-30.1,,-128.299997,-128.299997,,16.1463,-7.9,-7.9,,16.1463,-7.9,-7.9,-7.9,
06/30/1991,2202.800049,,-1911.400024,,291.400024,,-1096.800049,,,,-805.400024,-474.399986,,105.599998,,0.0,368.799988,-1279.800011,-20.0,,-1299.800049,0.0,,,-1299.800011,0.0,-1299.800049,-30.299999,,-1330.100048,-1330.100048,,16.148,-82.399998,-82.399998,,16.148,-82.399998,-82.399998,-82.399998,
09/30/1991,1972.300049,,-1311.5,,660.800049,,-634.700012,,,,26.1,-63.899998,,99.599998,,0.0,-35.700001,-37.799997,-38.0,,-75.800003,0.0,,,-75.799997,0.0,-75.800003,-30.299999,,-106.100002,-106.100002,,16.147301,-6.6,-6.6,,16.147301,-6.6,-6.6,-6.6,
12/31/1991,2462.100098,,-1562.699951,,899.400147,,-699.400024,,,,200.0,-89.5,,92.5,,0.0,-3.0,110.5,-30.0,,80.5,0.0,,,80.5,0.0,80.5,-30.5,,50.0,50.0,,16.1478,3.1,3.1,,16.1478,3.1,3.1,3.1,
03/31/1992,2009.5,,-1279.199951,,730.300049,,-606.200012,,,,124.099998,-56.999998,,83.599998,,0.0,-26.6,67.1,-18.799999,,48.299999,0.0,,,48.300001,0.0,48.299999,-30.4,,17.9,17.9,,16.3532,1.1,1.1,,16.3532,1.1,1.1,1.1,
06/30/1992,2088.5,,-1264.099976,,824.400024,,-621.400024,,,,203.0,-69.200002,,80.400002,,0.0,-11.2,133.799998,-45.400002,,88.400002,-17.0,,,105.399997,0.0,105.400002,-30.6,,74.800001,74.800001,,16.376801,4.6,3.6,,16.376801,4.6,3.6,3.6,
09/30/1992,2067.5,,-1272.400024,,795.099976,,-629.799988,,,,165.300003,-79.399999,,89.599998,,0.0,-10.2,85.900004,-27.6,,58.299999,-10.0,,,68.300004,0.0,68.300003,-30.6,,37.700003,37.700003,,16.381599,2.3,1.7,,16.381599,2.3,1.7,1.7,
12/31/1992,2256.399902,,-1353.699951,,902.699951,,-674.400024,,,,228.300003,-79.5,,87.0,,0.0,-7.5,148.800003,-47.599998,,101.199997,-38.0,,,139.200005,0.0,139.199997,-30.5,,108.699997,108.699997,,16.184801,6.6,4.3,,16.184801,6.6,4.3,4.3,
03/31/1993,1907.5,,-1218.400024,,689.099976,,-536.700012,,,,152.399994,-68.899998,,72.099998,,0.0,-3.2,83.499995,-26.700001,,56.799999,-203.800003,,,260.599998,0.0,260.600006,-30.4,,230.200006,230.200006,,16.5024,13.9,1.6,,16.5024,13.9,1.6,1.6,
06/30/1993,1927.199951,,-1175.099976,,752.099976,,-534.400024,,,,217.699997,-66.200001,,59.700001,,0.0,6.5,151.499996,-48.5,,103.0,0.0,,,102.999996,0.0,103.0,-30.6,,72.4,72.4,,16.4881,4.4,4.4,,16.4881,4.4,4.4,4.4,
