Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2002,0.589,,,,,,,-5.305,,,,,,,,-4.716,-0.176,,0.169,-0.163,0.0,,0.17,-4.892,0.0,-4.892,0.0,,,-4.892,0.0,-4.892,0.0,0.0,-4.892,-4.892,,39.403999,-0.12,-0.12,-0.12,39.403999,-0.12,-0.12,-0.12,
06/30/2002,0.142,,,,,,,-8.482,,,,,,,,-8.34,0.175,,0.284,-0.634,0.0,,0.175,-8.165,0.0,-8.165,0.0,,,-8.165,0.281,-7.884,0.0,0.0,-7.884,-7.884,,39.816002,-0.2,-0.2,-0.2,39.816002,-0.2,-0.2,-0.2,
09/30/2002,0.207,,,-0.038,,0.169,,-8.882,,,,,,,,-8.713,0.386,-0.684,,-0.684,,,0.298,-8.327,,-8.327,0.0,,,,0.133,-8.194,0.0,0.0,-8.194,-8.194,,40.0,-0.2,-0.2,-0.2,40.0,-0.2,-0.2,-0.2,
12/31/2002,0.22,,,,,,,-12.343,,,,,,,,-12.123,0.929,,1.116,-2.237,0.0,,0.192,-11.194,0.0,-11.194,0.0,,,-11.194,0.451,-10.743,0.0,0.0,-10.743,-10.743,,67.139999,-0.16,-0.16,-0.16,67.139999,-0.16,-0.16,-0.16,
03/31/2003,0.193,,,-0.06,,0.133,,-11.454,,,,,,,,-11.321,1.234,-2.879,,-2.879,,,1.645,-10.087,,-10.087,0.0,,,,1.081,-9.006,0.0,0.0,-9.006,-9.006,,77.834,-0.12,-0.12,-0.12,77.834,-0.12,-0.12,-0.12,
06/30/2003,0.285,,,-0.048,,0.237,,-13.561,,,,,,,,-13.324,0.035,-0.137,2.394,-2.531,0.0,,0.102,-13.289,0.0,-13.289,0.0,,,-13.289,0.612,-12.677,0.0,0.0,-12.677,-12.677,,78.164,-0.16,-0.16,-0.16,78.164,-0.16,-0.16,-0.16,
09/30/2003,0.172,,,-0.055,,0.117,,-13.39,,,,,,,,-13.273,-2.185,2.184,4.878,-2.694,0.0,,0.001,-15.458,,-15.458,0.0,,,,0.615,-14.843,0.0,0.0,-14.843,-14.843,,80.834,-0.18,-0.18,-0.18,80.834,-0.18,-0.18,-0.18,
12/31/2003,0.279,,,,,,,-15.914,,,,,,,,-15.635,2.448,,0.218,-2.24,0.0,,-0.426,-13.187,0.0,-13.187,0.0,,,-13.187,0.821,-12.366,0.0,0.0,-12.366,-12.366,,80.884003,-0.15,-0.15,-0.16,80.884003,-0.15,-0.15,-0.16,
03/31/2004,0.198,,,-0.042,,0.156,,-15.578,,,,,,,,-15.422,1.524,-1.516,0.103,-1.619,0.0,,-0.008,-13.898,0.0,-13.898,0.0,,,-13.898,0.65,-13.248,0.0,0.0,-13.248,-13.248,,80.84,-0.16,-0.16,-0.16,80.84,-0.16,-0.16,-0.16,
06/30/2004,0.059,,,-0.143,,-0.084,,-17.508,,,,,,,,-17.592,-24.731,-1.417,0.094,-1.511,,,26.148,-42.323,0.0,-42.323,0.0,,,-42.323,0.404,-41.919,0.0,0.0,-41.919,-41.919,42.614,84.687,-0.49,-0.49,0.01,84.687,-0.49,-0.49,0.01,
09/30/2004,0.001,,,,,,,-24.152,,,,,,,,-24.151,1.445,-1.508,0.336,-1.844,0.0,,0.063,-22.706,,-22.706,0.0,,,,0.0,-22.706,0.0,0.0,-22.706,-22.706,,88.063,-0.26,-0.26,-0.26,88.063,-0.26,-0.26,-0.26,
12/31/2004,0.0,,,0.0,,0.0,,-32.067,,,,,,,,-32.067,-91.292,,2.154,-3.658,0.0,,92.796,-123.359,0.0,-123.359,0.0,,,-123.359,0.0,-123.359,0.0,0.0,-123.359,-123.359,,93.433,-1.32,-1.32,0.03,93.433,-1.32,-1.32,0.03,
