Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,2202.0,218.900002,181.300003,37.599998,340.700012,,352.899994,,,,,28.9,,,,,941.400024,1019.0,1715.900024,-696.900024,0.0,241.600006,,,,,241.600006,1260.600006,,209.300003,209.300003,,,,71.300003,,,,,199.100006,,,,199.100006,479.700012,237.5,,,,199.699997,,,199.699997,437.199997,916.900009,120.0,513.0,,,-7.2,,659.299975,1285.099976,0.0,1285.099976,2201.999985,
06/30/1990,2276.100098,215.499994,197.399994,18.1,378.899994,,364.100006,,,,,13.6,,,,,972.099976,1054.400024,1777.699951,-723.299988,0.0,249.600006,,,,,249.600006,1304.000031,,210.800003,210.800003,,,,76.300003,,,,,212.299988,,,,212.299988,499.399994,224.399994,,,,222.5,,,222.5,446.899994,946.299988,119.900002,513.099976,,,-6.5,,703.299988,1329.799965,0.0,1329.799965,2276.099953,
09/30/1990,2288.100098,240.099998,207.0,33.099998,373.299988,,353.200012,,,,,13.4,,,,,980.0,1063.0,1778.0,-715.0,0.0,245.100006,,,,,245.100006,1308.100006,,207.5,207.5,,,,76.099998,,,,,212.600014,,,,212.600014,496.200012,219.600006,,,,199.600006,,,199.600006,419.200012,915.400024,119.900002,513.200012,,,-6.1,,745.699975,1372.699989,0.0,1372.699989,2288.100014,
12/31/1990,2414.199951,157.099999,97.699997,59.400002,363.200012,,414.399994,,,,,12.9,,,,,947.599976,1155.299927,1886.699951,-731.400024,0.0,311.299988,,,,,311.299988,1466.599915,,230.899994,230.899994,,,,181.399994,,,,,254.900024,,,,254.900024,667.200012,209.800003,,,,169.600006,,,169.600006,379.400009,1046.600021,118.699997,513.200012,,,-7.3,,743.000012,1367.600021,0.0,1367.600021,2414.200042,
03/31/1991,2380.899902,129.499998,102.099998,27.4,341.5,,402.200012,,,,,38.700001,,,,,911.900024,1166.699951,1925.800049,-759.099976,0.0,302.299988,,,,,302.299988,1468.999939,,193.399994,193.399994,,,,230.199997,,,,,225.300034,,,,225.300034,648.900024,209.899994,,,,179.199997,,,179.199997,389.099991,1038.000015,117.5,513.400024,,,-6.7,,718.7,1342.900024,0.0,1342.900024,2380.90004,
06/30/1991,2390.800049,93.800003,93.800003,0.0,369.799988,,367.799988,,,,,40.900002,,,,,872.299988,1191.099976,1978.099976,-787.0,0.0,327.399994,,,,,327.399994,1518.499969,,206.5,206.5,,,,68.300003,,,,,218.900009,,,,218.900009,493.700012,379.0,,,,187.800003,,,187.800003,566.800003,1060.500015,117.5,513.5,,,-5.8,,705.099988,1330.299988,0.0,1330.299988,2390.800003,
09/30/1991,2425.0,92.900002,92.900002,0.0,402.899994,,380.5,,,,,38.700001,,,,,915.0,1198.400024,2013.5,-815.099976,0.0,311.600006,,,,,311.600006,1510.000031,,206.600006,206.600006,,,,77.300003,,,,,237.699966,,,,237.699966,521.599976,376.5,,,,185.0,,,185.0,561.5,1083.099976,117.5,513.799988,,,-5.5,,716.099976,1341.899963,0.0,1341.899963,2424.999939,
12/31/1991,2270.600098,61.099998,61.099998,0.0,321.0,,379.899994,,,,,13.9,,,,,775.900024,1171.0,2061.699951,-890.700012,0.0,323.700012,,,,,323.700012,1494.700012,,245.5,245.5,,,,40.099998,,,,,244.400002,,,,244.400002,530.0,344.200012,,,,174.899994,,,174.899994,519.100006,1049.100006,117.5,513.700012,,,-5.4,,595.699988,1221.5,0.0,1221.5,2270.600006,
03/31/1992,2261.399902,39.400002,39.400002,0.0,344.600006,,365.600006,,,,,15.6,,,,,765.200012,1173.199951,2089.800049,-916.599976,0.0,323.0,,,,,323.0,1496.199951,,210.100006,210.100006,,,,41.400002,,,,,218.999992,,,,218.999992,470.5,410.700012,,,,189.300003,,,189.300003,600.000015,1070.500015,117.400002,516.900024,,,-4.2,,560.799975,1190.900002,0.0,1190.900002,2261.400017,
06/30/1992,2314.399902,52.900002,52.900002,0.0,367.899994,,369.299988,,,,,15.8,,,,,805.900024,1183.199951,2129.600098,-946.400024,0.0,325.299988,,,,,325.299988,1508.499939,,221.5,221.5,,,,32.599998,,,,,227.900002,,,,227.900002,482.0,433.5,,,,199.699997,,,199.699997,633.199997,1115.199997,117.400002,518.400024,,,-1.2,,564.600024,1199.20005,0.0,1199.20005,2314.400047,
