Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2001,8604,138,96,42,5678,,,,0.0,0.0,0.0,0.0,0.0,1097,,,,,,,6913,180,264.0,-84.0,0.0,1511,1220,1220.0,0.0,,,,291,1691,,6510,6510.0,,,,0.0,,,,,,382,,,,382,6892,935,,,,,212,,,,212,1147,8039,0.0,411,,,0,,-138,273,292.0,565,8604,
06/30/2001,8712,183,141,42,5631,,,,0.0,0.0,0.0,0.0,0.0,1225,,,,,,,7039,178,268.0,-90.0,0.0,1495,1208,1208.0,0.0,,,,287,1673,,6602,6602.0,,,,0.0,,,,,,407,,,,407,7009,909,,,,,206,,,,206,1115,8124,0.0,693,,,-2,,-122,569,19.0,588,8712,
09/30/2001,8378,163,120,43,5256,,,,0.0,0.0,0.0,0.0,0.0,1258,,,,,,,6677,180,273.0,-93.0,0.0,1521,1200,1200.0,0.0,,,,321,1701,,6242,6242.0,,,,0.0,,,,,,427,,,,427,6669,836,,,,,210,,,,210,1046,7715,0.0,838,,,-2,,-187,649,14.0,663,8378,
12/31/2001,8949,170,128,42,5703,,,,0.0,0.0,0.0,0.0,0.0,1376,,,,,,,7249,185,280.0,-95.0,0.0,1515,1201,1201.0,0.0,,,,314,1700,,6799,6799.0,,,,0.0,,,,,,443,,,,443,7242,787,,,,,208,,,,208,995,8237,0.0,856,,,-11,,-149,696,16.0,712,8949,
03/31/2002,10776,232,183,49,7389,,,,0.0,0.0,0.0,0.0,0.0,1432,,,,,,,9053,183,285.0,-102.0,0.0,1540,1250,1250.0,0.0,,,,290,1723,,8562,8562.0,,,,0.0,,,,,,439,,,,439,9001,767,,,,,205,,,,205,972,9973,0.0,885,,,-13,,-92,780,23.0,803,10776,
06/30/2002,11127,214,162,52,7438,,,,0.0,0.0,0.0,0.0,0.0,1708,,,,,,,9360,194,311.0,-117.0,0.0,1573,1252,1252.0,0.0,,,,321,1767,,8858,8858.0,,,,0.0,,,,,,491,,,,491,9349,677,,,,,208,,,,208,885,10234,0.0,968,,,-18,,-81,869,24.0,893,11127,
09/30/2002,10569,248,194,54,6930,,,,0.0,0.0,0.0,0.0,0.0,1599,,,,,,,8777,202,325.0,-123.0,0.0,1590,1260,1260.0,0.0,,,,330,1792,,8231,8231.0,,,,0.0,,,,,,519,,,,519,8750,658,,,,,207,,,,207,865,9615,0.0,986,,,-17,,-34,935,19.0,954,10569,
12/31/2002,10145,265,211,54,6589,,,,0.0,0.0,0.0,0.0,0.0,1369,,,,,,,8223,213,342.0,-129.0,0.0,1709,1262,1262.0,0.0,,,,447,1922,,7725,7725.0,,,,0.0,,,,,,531,,,,531,8256,567,,,,,443,,,,443,1010,9266,0.0,960,,,-17,,-89,854,25.0,879,10145,
03/31/2003,12037,246,189,57,8268,,,,0.0,0.0,0.0,0.0,0.0,1554,,,,,,,10068,212,347.0,-135.0,0.0,1757,1314,,,,,,443,1969,,9609,9609.0,,,,0.0,,,,,,507,,,,507,10116,499,,,,,432,,,,432,931,11047,0.0,985,,,-18,,3,970,20.0,990,12037,
06/30/2003,12429,342,286,56,8556,,,,0.0,0.0,0.0,0.0,0.0,1535,,,,,,,10433,226,373.0,-147.0,0.0,1770,1330,,,,,,440,1996,,9829,9829.0,,,,0.0,,,,,,447,,,,447,10276,490,,,,,593,,,,593,1083,11359,0.0,998,,,-18,201.0,-129,1052,18.0,1070,12429,
