Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Source: Bloomberg
05/31/1989,5.917,17.483999,9.959,9.888,,,9.888,-31.414,,,,-31.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1989,-15.851,5.018,10.778,4.468,,,4.468,-36.115002,,,,-36.115002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1989,-49.516998,30.799,9.908,-4.606,,,-4.606,-85.617996,,,,-85.617996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1990,157.714996,18.875999,9.606,-10.517,,,-10.517,139.75,,,,139.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1990,-16.565001,19.311001,11.051,-3.008,,,-3.008,-43.918999,,,,-43.918999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1990,-18.774,6.225,10.954,11.268,,,11.268,-47.221001,,,,-47.221001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1990,-72.554001,34.870998,10.603,-16.485001,,,-16.485001,-101.542999,,,,-101.542999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1991,162.246002,22.09,9.571,10.153,,,10.153,120.431999,,,,120.431999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.246002,,
05/31/1991,-46.084,21.577999,11.007,2.014,,,2.014,-80.682999,,,,-80.682999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1991,-47.069,8.305,11.397,10.934,,,10.934,-77.705002,,,,-77.705002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1991,-65.059998,40.750999,11.402,-7.356,,,-7.356,-109.857002,,,,-109.857002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1992,230.658997,26.827999,11.711,-0.113,,,-0.113,192.233002,,,,192.233002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.658997,,
05/31/1992,-37.757999,25.516001,11.807,1.327,,,1.327,-76.407997,,,,-76.407997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1992,-0.455,8.894,12.928,11.426,,,11.426,-33.702999,,,,-33.702999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1992,-43.841,43.903999,11.909,-3.568,,,-3.568,-96.085999,,,,-96.085999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1993,251.334,33.973999,11.806,-30.562,,,-30.562,236.115997,,,,236.115997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.334,,
05/31/1993,-52.834,11.845,13.427,27.34,,,27.34,-105.445999,,,,-105.445999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1993,-14.964,10.919,14.77,11.875,,,11.875,-52.528,,,,-52.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1993,-110.657997,51.466,15.025,-12.84,,,-12.84,-164.309006,,,,-164.309006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1994,254.069,52.990002,16.353001,-78.172999,,,-78.172999,262.898987,,,,262.898987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.069,,
05/31/1994,-38.834,33.161999,17.676001,11.812,,,11.812,-101.484001,,,,-101.484001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1994,-23.705,13.416,16.58,14.988,,,14.988,-68.689003,,,,-68.689003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1994,-37.935001,58.889999,17.688999,-12.283,,,-12.283,-102.231003,,,,-102.231003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1995,207.472,43.324001,16.493,-16.347,,,-16.347,164.001999,,,,164.001999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.472,,
05/31/1995,-49.866001,37.299999,19.525999,2.324,,,2.324,-109.015999,,,,-109.015999,,,-18.636999,,,,-18.636999,,,,,,,,,,18.636999,,,,,,,,,,,,,,
08/31/1995,-43.792,15.029,20.868,6.208,,,6.208,-85.897003,,,,-85.897003,,,-10.684,,,,-10.684,,,,,,,,,,10.684,,,,,,,,,,,,,,
11/30/1995,-102.083,17.483999,18.482,28.299,,,28.299,-166.348007,,,,-166.348007,,,-20.969999,,,,-20.969999,,,,,,,,,,20.969999,,,,,,,,,,,,,,
02/28/1996,228.563004,45.321999,16.443001,-22.412001,,,-22.412001,189.210007,,,,189.210007,,-41.299,-41.299,,,,-41.299,,,,,,,,,,0.0,,,,,,,,,,,,187.264004,,
05/31/1996,-68.464996,27.771999,15.857,16.243999,,,16.243999,-128.337997,,,,-128.337997,,,-23.323999,,,,-23.323999,,,,,,,,,,23.323999,,,,,,,,,,,,,,
08/31/1996,-32.699001,11.429,16.004999,5.371,,,5.371,-65.503998,,,,-65.503998,,,-15.948,,,,-15.948,,,,,,,,,,15.948,,,,,,,,,,,,,,
11/30/1996,-39.306999,74.597,16.073999,-17.462,,,-17.462,-112.515999,,,,-112.515999,,,-11.019,,,,-11.019,,,,,,,,,,11.019,,,,,,,,,,,,,,
02/28/1997,294.373993,53.297001,16.629999,-92.720001,,,-92.720001,317.166992,,,,317.166992,,-42.604,-42.604,,,,-42.604,,,,,,,,,,0.0,,,,,,,,,,,,251.769993,,
05/31/1997,2.716,30.259001,16.684,15.331,,,15.331,-59.557999,,,,-59.557999,,-11.017,-13.376,0.0,,,-13.376,,,0.0,0.0,0.0,,,,,2.359,26.514001,-12.787,35.146001,,,,4.155,4.46,-0.305,0.0,,18.212999,,
08/31/1997,-5.588,26.097,17.004,-35.402,,,-35.402,-13.287,,,,-13.287,,73.473,-10.202,0.0,,,-10.202,,,0.0,0.0,0.0,,,,,83.674999,-82.542,-13.418,-10.664,,,,-58.46,2.561,-61.021,0.0,,-14.657,,
11/30/1997,-84.912003,79.038002,15.913,3.916,,,3.916,-183.779007,,,,-183.779007,,-14.663,-14.03,0.0,,,-14.03,,,0.0,0.0,0.0,,,,,-0.633,92.188999,-12.935,136.848,,,,-31.724,3.595,-35.319,0.0,,-7.386,,
02/28/1998,282.976013,54.689999,16.325001,-15.995,,,-15.995,227.955994,,,,227.955994,,-35.844002,-28.142001,2.148,,,-30.290001,,,0.0,0.0,0.0,,,,,-7.702001,-230.729006,-12.819,-123.221003,,,,-67.071003,6.299,-73.370003,-27.618,,16.403,,
05/31/1998,6.731,33.831001,16.752001,20.299999,,,20.299999,-64.152,,,,-64.152,,-48.396999,-10.009,0.0,,,-10.009,,,0.0,0.0,0.0,,,,,-38.388,37.54,-12.907,73.576,,,,-23.129,5.1,-28.229,0.0,,-4.126,,
08/31/1998,1.269,13.925,16.989,-17.273001,,,-17.273001,-12.372,,,,-12.372,,-7.913,-11.372,0.0,,,-11.372,,,0.0,0.0,0.0,,,,,3.459,39.629992,-13.415,70.855991,,,,-17.810999,4.576,-22.386999,0.0,,32.986,,
11/30/1998,-51.158001,74.560997,16.506001,13.325,,,13.325,-155.550003,,,,-155.550003,,5.834,-12.271,0.0,,,-12.271,,,0.0,0.0,0.0,,,,,18.105,7.158998,-13.278,52.029999,,,,-37.438001,6.005,-43.443001,5.845,,-38.165001,,
02/28/1999,254.425995,57.904999,16.802,-71.713997,,,-71.713997,251.432999,,,,251.432999,,-34.456001,-24.776,2.522,,,-27.298,,,0.0,0.0,0.0,,,,,-9.680001,-113.733002,-12.81,-40.93,,,,-34.386001,3.3,-37.686001,-25.607,,106.237,,
05/31/1999,36.330002,10.847,16.044001,3.99,,,3.99,5.449,,,,5.449,,-5.402,-6.953,0.108,,,-7.061,,,0.0,0.0,0.0,,,,,1.551,-45.376,-12.73,7.977999,,,,-40.624,0.404,-41.028,0.0,,-14.448,,
08/31/1999,-63.765999,-26.298,16.084999,58.307999,,,58.307999,-111.861,,,,-111.861,,-31.702999,-15.536,0.0,,,-15.536,,,0.0,0.0,0.0,,,,,-16.166999,-6.113004,-12.903,97.657997,,,,-88.441001,0.585,-89.026001,-2.427,,-101.582001,,
11/30/1999,-54.703999,53.882,16.169001,3.821,,,3.821,-128.576004,,,,-128.576004,,-74.658997,-6.857,0.0,,,-6.857,,,0.0,0.0,0.0,,,,,-67.801997,131.941004,-12.904,144.104004,,,,0.082,0.119,-0.037,0.659,,2.578,,
02/29/2000,250.658997,51.568001,16.044001,-29.211,,,-29.211,212.257996,,,,212.257996,,-25.882999,-19.917,1.382,,,-21.299,,,0.0,0.0,0.0,,,,,-5.966,-194.868994,-12.676,-167.354995,,,,0.003,0.063,-0.06,-14.841,,29.907,,
05/31/2000,6.858,17.365,16.361,28.294001,,,28.294001,-55.161999,,,,-55.161999,,-140.684998,10.547,22.024,,,-11.477,,,0.0,0.0,0.0,,,,,-151.231997,144.109999,-12.904,158.779999,,,,-1.766,0.031,-1.797,0.0,,10.283,,
08/31/2000,-67.934998,-35.505001,29.708,-18.367001,,,-18.367001,-43.771,,,,-43.771,,-47.412998,-21.463,0.864,,,-22.327,,,0.0,0.0,0.0,,,,,-25.949999,110.264006,-13.184,165.216007,,,,-41.768002,,-41.768002,0.0,,-5.084,,
11/30/2000,-153.147003,32.014999,25.879,1.728,,,1.728,-212.768997,,,,-212.768997,,2.585,-21.330001,1.596,,,-22.926001,,,0.0,0.0,0.0,,,,,23.915001,163.261008,-13.308,163.639008,,,,-1.852,0.0,-1.852,14.782,,12.699,,
02/28/2001,324.023987,-127.689003,26.108999,111.323997,,,111.323997,314.279999,,,,314.279999,,-12.443,-17.652,0.0,,,-17.652,,,0.0,0.0,0.0,,,,,5.209001,-338.735999,-13.347,-279.878998,,,,-0.082,0.0,-0.082,-45.428001,,-27.155001,,
05/31/2001,-43.361,-80.096001,21.431,60.077999,,,60.077999,-44.773998,,,,-44.773998,,-0.05,-6.618,0.061,,,-6.679,,,0.0,0.0,0.0,,,,,6.568,106.732003,-6.336,113.068003,,,,0.0,0.0,0.0,0.0,,63.320999,,
08/31/2001,-125.061996,-35.716,20.969999,24.700001,,,24.700001,-135.016006,,,,-135.016006,,-22.756001,-14.206,0.103,,,-14.309,,,0.0,0.0,0.0,,,,,-8.550001,107.688982,-6.739,114.504982,,,,-0.077,0.137,-0.214,0.0,,-40.129002,,
11/30/2001,-23.059999,6.625,19.882999,-35.991001,,,-35.991001,-13.577,,,,-13.577,,-38.645,2.686,3.295,,,-0.609,,,0.0,0.0,0.0,,,,,-41.331001,32.174996,-7.127,39.231996,,,,,,,0.07,,-29.530001,,
02/28/2002,227.834,-13.123,22.024,-103.675003,,,-103.675003,322.608002,,,,322.608002,,-11.693,-6.811,0.561,,,-7.372,,,0.0,0.0,0.0,,,,,-4.882,-160.515003,-6.364,-22.879,,,,,,,-131.272003,,55.625999,,
05/31/2002,40.466,44.500999,16.825001,-21.556,,,-21.556,0.696,,,,0.696,,20.299999,-2.509,0.116,,,-2.625,,,0.0,0.0,0.0,,,,,22.808999,16.339,0.0,-5.231,,,,20.157,20.204,-0.047,1.413,,77.105003,,
08/31/2002,-12.065,-15.784999,16.341999,-5.0,,,-5.0,-7.622,,,,-7.622,,6.861001,-4.116,1.344,,,-5.46,,,,,,,,,,10.977001,1.293999,0.0,-1.089,,,,0.589,0.609,-0.02,1.793999,,-3.910003,,
11/30/2002,-163.323,46.992,15.945,-26.65,,,-26.65,-199.61,,,,-199.61,,-8.693,-9.449,0.234,,,-9.683,,,,,,,,,,0.756,19.643,0.0,20.215,,,,0.226,0.242,-0.016,-0.798,,-152.373,,
02/28/2003,211.960007,45.397999,15.698,-52.765999,,,-52.765999,203.630005,,,,203.630005,,-7.606,-13.612,,,,-13.612,,,0.0,0.0,0.0,,,,,6.006001,-17.691995,0.0,-21.980995,,,,0.432,0.432,0.0,3.857,,186.662003,,
05/31/2003,24.929001,19.705,15.98,-0.249,,,-0.249,-10.507,,,,-10.507,,7.698,-5.298,0.036,,,-5.334,,,0.0,0.0,0.0,,,,,12.996,-127.815998,0.0,-130.547998,,,,0.674,0.766,-0.092,2.058,,-95.189003,,
08/31/2003,-64.557999,-9.695,16.098,17.722,,,17.722,-88.682999,,,,-88.682999,,-21.638,-12.074,2.07,,,-14.144,,,0.0,0.0,0.0,,,,,-9.564,13.416,0.0,9.002,,,,5.166,5.34,-0.174,-0.752,,-72.779999,,
11/30/2003,-3.969,46.362,15.908,-20.406,,,-20.406,-45.833,,,,-45.833,,2.326,-6.999,0.034,,,-7.033,,,0.0,0.0,0.0,,,,,9.325,12.842999,0.0,5.737999,,,,4.199,4.372,-0.173,2.906,,11.2,,
02/29/2004,332.708008,48.298,11.614,126.064003,,,126.064003,146.731995,,,,146.731995,,-16.67,-6.033,,,,-6.033,,,0.0,0.0,0.0,,,,,-10.637,-82.281999,0.0,-93.838999,,,,7.599,7.988,-0.389,3.958,,233.755997,,
05/31/2004,22.209,4.238,14.091,54.469002,,-7.192,61.661002,-50.589001,-13.216,-17.174,,-20.199001,,23.677999,-4.299,0.104,,,-4.403,,,0.0,0.0,0.0,,,,,27.976999,-215.487007,0.0,-216.417007,,,,2.736,12.035,-9.299,-1.806,,-169.600006,,
08/31/2004,43.980999,6.91,13.16,39.716999,,1.405,38.311999,-15.806,-62.775002,-53.528999,,100.498001,,-12.893,-9.674,0.011,,,-9.685,,,0.0,0.0,0.0,,,,,-3.218999,5.825,0.0,0.0,,,,6.64,6.704,-0.064,-0.815,,36.912998,,
11/30/2004,-14.152,62.761002,14.104,95.300003,,-13.166,108.466003,-186.317001,-97.064003,52.376999,,-141.629997,,73.133003,-7.296,3.43,,,-10.726,,,0.0,0.0,0.0,,,,,80.429003,10.0,-4.125,0.0,,,,8.236,17.136,-8.9,5.889,,68.981003,,
02/28/2005,314.18,21.37,14.937,-179.306,,9.499,-188.805,457.179,228.78,41.527,,186.872,,-280.305,-20.218,2.211,,,-22.429,,,,,,,,,,-260.087,-7.113,-4.139,0.0,,,,-1.578,4.239,-5.817,-1.396,,26.762,,
05/31/2005,17.707,26.414,14.467,11.476,,7.74,3.736,-34.65,-12.433,-13.759,-47.924,39.466,,-9.162,-8.502,0.036,,,-8.538,,,,,,,,,,-0.66,-45.388,-5.5,,,,,-37.022,8.511,-45.533,-2.866,,-36.843,,
08/31/2005,5.258,3.241,13.624,19.768,,18.033,1.735,-31.375,20.01,-60.869,,9.484,,-1.538,-2.751,7.329,,,-10.08,,,0.0,0.0,0.0,,,,,1.213,-54.937,-5.406,-10.782,,,,-39.702,12.791,-52.493,0.953,,-51.217,,
11/30/2005,-17.719,12.927,13.057,10.893,,-32.381,43.274,-54.596,-144.68,35.508,,54.576,,-13.634,-13.473,0.177,,,-13.65,,,,,,,,,,-0.161,-52.581,-5.235,,,,,-47.573,5.106,-52.679,0.227,,-83.934,,
02/28/2006,231.639,41.794,13.054,54.153,,29.833,24.32,122.638,170.953,40.661,,-88.976,,-25.055,-9.914,3.874,,,-13.788,,,,,,,,,,-15.141,-98.558,-5.043,,,,,-93.277,0.66,-93.937,-0.238,,108.026,,
05/26/2006,23.26,15.392,11.764,14.417,,-1.934,16.351,-18.313,17.424,-17.313,,-18.424,,117.875,-9.409,0.182,,,-9.591,,,,,,,,,,127.284,-149.28,-4.605,-81.363,,,,-58.477,1.052,-59.529,-4.835,,-8.145,,
08/25/2006,2.581,-10.498,13.059,14.034,,17.466,-3.432,-14.014,37.929,-39.788,,-12.155,,72.679,-8.838,0.279,,,-9.117,,,,,,,,,,81.517,-191.615,-4.559,-139.142,,,,-47.393,1.752,-49.145,-0.521,,-116.355,,
11/24/2006,-37.521,49.707,12.406,-19.87,,-9.705,-10.165,-79.764,-148.174,29.899,,38.511,,-7.658,-10.658,0.234,,,-10.892,,,,,,,,,,3.0,42.282,-4.745,121.917,,,,-74.831,2.826,-77.657,-0.059,,-2.897,,
02/28/2007,277.693,-12.223,12.183,136.738,,-22.104,158.842,140.995,135.027,49.429,,-43.461,,-3.794,-7.964,4.152,,,-12.116,,,,,,,,,,4.17,-215.402,-4.509,-142.0,,,,-70.282,1.204,-71.486,1.389,,58.497,,
05/25/2007,21.138,30.05,11.995,10.649,,4.466,6.183,-31.556,-14.745,-7.389,,-9.422,,-37.022,-4.985,0.89,,,-5.875,,,,,,,,,,-32.037,3.753,-5.536,,,,,5.79,9.358,-3.568,3.499,,-12.131,,
08/24/2007,36.212,8.375,11.935,10.503,,9.869,0.634,5.399,48.134,-54.591,,11.856,,21.913,-7.487,0.215,,,-7.702,,,,,,,,,,29.4,1.743,-5.579,,,,,6.577,14.892,-8.315,0.745,,59.868,,
11/23/2007,-14.845,29.016,12.086,-18.882,,-22.329,3.447,-37.065,-132.656,12.069,,83.522,,-66.602,-22.266,1.551,,,-23.817,,,,,,,,,,-44.336,-39.886,-5.542,23.8,,,,-60.741,1.948,-62.689,2.597,,-121.333,,
02/29/2008,200.973,15.562,12.533,49.216,,0.432,48.784,123.662,141.026,21.455,,-38.819,,-43.863,-18.781,0.448,,,-19.229,,,,,,,,,,-25.082,-104.727,-5.146,-3.7,,,,-96.798,0.958,-97.756,0.917,,52.383,,
05/30/2008,-11.887,13.333,12.785,4.574,,5.459,-0.885,-42.579,5.31,6.463,,-54.352,0.0,-25.448,-9.823,0.265,0.265,0.0,-10.088,-10.088,0.0,0.0,0.0,0.0,-15.625,0.0,-15.625,0.0,0.0,22.518,-5.852,28.045,28.045,,,0.325,0.363,-0.038,0.0,-0.491,-15.308,,
08/29/2008,-41.787,2.297,12.539,4.758,,9.935,-5.177,-61.381,-6.035,-53.889,,-1.457,0.0,-62.6,-18.447,0.01,0.01,0.0,-18.457,-18.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.153,87.148,-5.815,138.991,-9.6,148.591,,-46.028,0.071,-46.099,0.0,-6.913,-24.152,,
11/28/2008,-30.49,-193.311,12.408,208.916,,-48.12,257.036,-58.503,-114.684,2.212,,53.969,0.0,-15.772,-15.772,0.003,0.003,0.0,-15.775,-15.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.858,-5.449,38.3,38.3,,0.0,-4.993,0.06,-5.053,0.0,-10.032,-28.436,,
02/28/2009,157.204,-50.078,12.284,58.523,,3.288,55.235,136.475,108.905,48.091,,-20.521,0.0,-33.515,-11.258,0.155,0.155,0.0,-11.413,-11.413,0.0,0.0,0.0,0.0,-22.257,0.0,-22.257,0.0,0.0,-114.557,-5.45,-86.345,-56.745,-29.6,0.0,-22.762,0.031,-22.793,0.0,-4.52,4.612,19.555,
05/29/2009,8.729,9.961,12.393,52.183,,17.158,35.025,-65.808,-43.77,12.36,,-34.398,0.0,-25.082,-8.796,0.113,0.113,0.0,-8.909,-8.909,0.0,0.0,0.0,0.0,-16.286,0.0,-16.286,0.0,0.0,35.413,-4.865,46.125,26.325,19.8,,-5.847,0.03,-5.877,0.0,8.335,27.395,,
