Date,P/E,Average,High,Low,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
10/01/1980,,,,,,,,,,,13.1875,,
01/01/1981,,,,,,,,,,,13.9375,,
04/01/1981,,,,,,,,,,,19.375,,
07/01/1981,,,,,,,,,,,20.0625,,
10/01/1981,,,,,,,,,,,17.375,,
01/01/1982,,,,,,,,,,,17.5,,
04/01/1982,,,,,,,,,,,14.5625,,
07/01/1982,,,,,,,,,,,12.125,,
10/01/1982,,,,,,,,,,,13.4375,,
01/01/1983,,,,,,,,,,,16.625,,
04/01/1983,,,,,,,,,,,17.0625,,
07/01/1983,,,,,,,,,,,18.25,,
10/01/1983,,,,,,,,,,,21.1875,,
01/01/1984,,,,,,,,,,,21.6875,,
04/01/1984,,,,,,,,,,,24.875,,
07/01/1984,,,,,,,,,,,23.25,,
10/01/1984,,,,,,,,,,,22.8125,,
01/01/1985,,,,,,,,,,,22.25,,
04/01/1985,,,,,,,,,,,25.5625,,
07/01/1985,,,,,,,,,,,25.0,,
10/01/1985,,,,,,,,,,,23.9375,,
01/01/1986,,,,,,,,,,,26.0,,
04/01/1986,,,,,,,,,,,36.0,,
07/01/1986,,,,,,,,,,,34.6875,,
10/01/1986,,,,,,,,,,,35.5,,
01/01/1987,,,,,,,,,,,38.625,,
04/01/1987,,,,,,,,,,,42.375,,
07/01/1987,,,,,,,,,,,41.25,,
10/01/1987,,,,,,,,,,,53.625,,
01/01/1988,,,,,,,,,,,42.5,,
04/01/1988,,,,,,,,,,,43.0,,
07/01/1988,,,,,,,,,,,45.125,,
10/01/1988,,,,,,,,,,,43.0,,
01/01/1989,,,,,,,,,,,42.25,,
04/01/1989,,,,,,,,,,,39.0,,
07/01/1989,,,,,,,,,,,42.875,,
10/01/1989,,,,,,,,,,,16.5,,
01/01/1990,,,,,,,,,,,13.5,,
04/01/1990,,613.630242,613.630242,613.630242,,,,,,,7.75,617.140993,
07/01/1990,,641.753619,682.854613,563.703996,,,,,,,8.25,562.499497,
09/30/1990,,549.608132,563.703996,536.414497,,,,,,,6.25,538.908257,
12/30/1990,,522.388954,537.610259,510.217508,0.046912,1.498505,,0.673437,5.333545,7.340732,3.5,529.509003,
03/31/1991,,534.281881,542.700751,516.298259,0.05811,1.698123,,0.673579,5.591112,7.808625,4.25,516.54051,
06/30/1991,,514.730617,521.310512,491.935749,0.047592,1.962381,,0.663806,5.7942,8.292833,3.375,491.939125,
09/29/1991,,493.648214,499.807375,484.257761,0.047727,1.811392,,0.669656,5.797203,8.290665,3.25,484.257761,
