Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1998,89.5,74.474,74.474,0.0,3.994,3.994,,0.0,0.0,0.0,0.0,0.0,3.663,,,,,,,82.131,5.668,,,0.0,,,1.701,1.701,,,,,0.0,7.369,,3.376,3.376,,,,0.316,,,,,,3.572,,,3.572,7.264,0.094,,,,,0.157,,,,,,0.157,0.251,7.515,0.0,86.622,,,0.0,1.808,-6.445,81.985,0.0,81.985,89.5,
12/31/1998,149.536,77.686,37.285,40.401,12.425,12.425,,0.0,0.0,0.0,0.0,0.0,7.479,,,,,,,97.59,44.062,57.77,-13.708,0.0,,,7.884,7.456,,,,,0.428,51.946,,9.997,9.997,,,,4.047,,,,,,10.612,,,10.612,24.656,18.361,,,,,5.981,,,,,,5.981,24.342,48.998,0.0,87.902,,,0.0,17.905,-5.269,100.538,0.0,100.538,149.536,
03/31/1999,109.712,56.971,24.85,32.121,12.104,12.104,,0.0,0.0,0.0,0.0,0.0,23.588,,,,,,,92.663,16.235,,,0.0,,,0.814,0.814,,,,,0.0,17.049,,3.748,3.748,,,,0.0,,,,,,14.364,,,14.364,18.112,0.0,,,,,0.0,,,,,,0.0,0.0,18.112,0.0,86.21,,,0.0,9.224,-3.834,91.6,0.0,91.6,109.712,
06/30/1999,922.209,424.324,347.553,76.771,23.908,23.908,,0.0,0.0,0.0,0.0,0.0,24.623,,,,,,,472.855,72.319,,,358.724,,,18.311,7.08,,,,,11.231,449.354,,31.578,31.578,,,,13.305,,,,,,27.485,,,27.485,72.368,5.521,,,,,6.108,,,,,,6.108,11.629,83.997,0.0,804.837,,,0.0,18.541,14.834,838.212,0.0,838.212,922.209,
09/30/1999,909.642,385.944,246.538,139.406,27.589,27.589,,0.0,0.0,0.0,0.0,0.0,25.692,,,,,,,439.225,82.102,,,367.711,,,20.604,9.327,,,,,11.277,470.417,,22.821,22.821,,,,12.447,,,,,,37.099,,,37.099,72.367,5.856,,,,,6.114,,,,,,6.114,11.97,84.337,0.0,807.312,,,0.0,19.804,-1.811,825.305,0.0,825.305,909.642,
12/31/1999,969.825,402.887,221.801,181.086,36.538,36.538,,0.0,0.0,0.0,0.0,0.0,25.882,,,,,,,465.307,112.202,144.425,-32.223,373.988,,,18.328,12.689,,,,,5.639,504.518,,32.133,32.133,,,,15.781,,,,,,45.127,,,45.127,93.041,15.023,0.0,15.023,15.023,,5.9,,,,,,5.9,20.923,113.964,0.0,831.383,,,0.0,26.367,-3.621,854.129,1.732,855.861,969.825,
03/31/2000,1035.958,344.851,278.33,66.521,34.85,34.85,,0.0,0.0,0.0,0.0,0.0,37.009,,,,,,,416.71,125.314,,,350.179,,,143.755,11.187,,,,,132.568,619.248,,26.349,26.349,,,,13.304,,,,,,53.823,,,53.823,93.476,14.828,,,,,5.9,,,,,,5.9,20.728,114.204,0.0,870.051,,,0.0,33.911,2.427,906.389,15.365,921.754,1035.958,
06/30/2000,1071.616,282.147,135.621,146.526,46.307,46.307,,0.0,0.0,0.0,0.0,0.0,40.697,,,,,,,369.151,123.463,,,430.467,,,148.535,12.56,,,,,135.975,702.465,,25.941,25.941,,,,15.584,,,,,,69.48,,,69.48,111.005,14.745,,,,,5.885,,,,,,5.885,20.63,131.635,0.0,882.504,,,0.0,45.506,-2.802,925.208,14.773,939.981,1071.616,
09/30/2000,1114.146,433.1,130.558,302.542,49.226,49.226,,0.0,0.0,0.0,0.0,0.0,40.419,,,,,,,522.745,122.054,,,317.489,,,151.858,14.581,,,,,137.277,591.401,,18.796,18.796,,,,8.965,,,,,,73.998,,,73.998,101.759,22.887,,,,,5.881,,,,,,5.881,28.768,130.527,0.0,920.922,,,0.0,50.727,-2.77,968.879,14.74,983.619,1114.146,
12/31/2000,1182.403,556.039,201.873,354.166,67.163,67.163,,0.0,0.0,0.0,0.0,0.0,52.262,,,,,,,675.464,125.161,194.178,-69.017,218.197,,,163.581,23.299,,,,,140.282,506.939,,31.725,31.725,,,,20.032,,,,,,85.685,,,85.685,137.442,12.15,0.0,12.15,12.15,,5.803,,,,,,5.803,17.953,155.395,0.0,941.554,,,0.0,74.504,-2.298,1013.76,13.248,1027.008,1182.403,
03/31/2001,1257.029,588.101,314.263,273.838,75.494,75.494,,0.0,0.0,0.0,0.0,0.0,75.742,,,,,,,739.337,133.279,,,135.54,,,248.873,111.546,,,,,137.327,517.692,,21.395,21.395,,,,30.254,,,,,,92.733,,,92.733,144.382,11.339,,,,,13.717,,,,,,13.717,25.056,169.438,0.0,961.059,,,0.0,95.423,-12.21,1044.272,43.319,1087.591,1257.029,
06/30/2001,1475.657,686.238,439.765,246.473,103.717,103.717,,0.0,0.0,0.0,0.0,0.0,62.654,,,,,,,852.609,141.747,,,107.571,,,373.73,213.415,,,,,160.315,623.048,,40.111,40.111,,,,15.141,,,,,,122.332,,,122.332,177.584,11.337,,,,,14.119,,,,,,14.119,25.456,203.04,0.0,1120.283,,,0.0,119.109,-10.908,1228.484,44.133,1272.617,1475.657,
09/30/2001,1548.607,651.053,423.729,227.324,97.931,97.931,,0.0,0.0,0.0,0.0,0.0,61.494,,,,,,,810.478,142.845,,,225.997,,,369.287,212.929,,,,,156.358,738.129,,30.739,30.739,,,,15.958,,,,,,121.406,,,121.406,168.103,12.046,,,,,17.966,,,,,,17.966,30.012,198.115,0.0,1179.217,,,0.0,138.645,-7.085,1310.777,39.715,1350.492,1548.607,
12/31/2001,1678.529053,723.418991,523.968994,199.449997,101.703003,,,0.0,0.0,0.0,0.0,0.0,58.682999,,,,,,,883.804993,142.348999,264.029999,-121.681,286.997986,,,365.377014,198.639008,187.828995,10.810013,,,166.738007,794.723999,,33.235001,33.235001,,,,16.111,,,,,,130.793007,,,130.793007,180.139008,12.008,,,,,19.493,,,,,,19.493,31.501,211.640008,0.0,1275.516968,,,0.0,,153.621002,1429.13797,37.750999,1466.888969,1678.528977,
03/31/2002,1789.014,729.787,576.851,152.936,120.912,120.912,,0.0,0.0,0.0,0.0,0.0,59.973,,,,,,,910.672,142.387,,,343.813,,,392.142,232.198,220.969,11.229,,,159.944,878.342,,33.619,33.619,,,,15.049,,,,,,153.633,,,153.633,202.301,9.774,,,,,19.002,,,,,,19.002,28.776,231.077,0.0,1332.109,,,0.0,212.167,-16.671,1527.605,30.332,1557.937,1789.014,
06/30/2002,1970.023,738.518,616.867,121.651,128.769,128.769,,0.0,0.0,0.0,0.0,0.0,70.299,,,,,,,937.586,187.055,334.295,-147.24,412.969,,,432.413,263.98,252.891,11.089,,,168.433,1032.437,,36.531,36.531,,,,14.974,,,,,,161.716,,,161.716,213.221,9.808,,,,,20.421,,,,,,20.421,30.229,243.45,0.0,1406.365,,,0.0,266.475,23.263,1696.103,30.47,1726.573,1970.023,
09/30/2002,2080.565,846.053,748.623,97.43,138.378,138.378,,0.0,0.0,0.0,0.0,0.0,59.73,,,,,,,1044.161,164.99,313.289,-148.299,439.962,,,431.452,259.438,249.856,9.582,,,172.014,1036.404,,32.697,32.697,,,,0.108,,,,,,162.737,,,162.737,195.542,9.363,,,,,21.077,,,,,,21.077,30.44,225.982,0.0,1476.084,,,0.0,327.479,19.787,1823.35,31.233,1854.583,2080.565,
12/31/2002,4124.444,1199.003,1109.313,89.69,131.453,131.453,,0.0,0.0,0.0,0.0,0.0,138.002,,,,,,,1468.458,218.028,379.789,-161.761,470.227,,,1967.731,1735.489,1456.024,279.465,,,232.242,2655.986,,47.424,47.424,,,,2.97,,,,,,335.83,,,335.83,386.224,13.798,,,,,134.717,,,,,,134.717,148.515,534.739,0.0,3108.754,,,0.0,414.474,33.245,3556.473,33.232,3589.705,4124.444,
03/31/2003,4572.975,1676.701,1554.418,122.283,157.263,157.263,,0.0,0.0,0.0,0.0,0.0,179.71,,,,,,,2013.674,241.8,423.9,-182.1,361.989,,,1955.512,1740.262,1470.867,269.395,,,215.25,2559.301,,54.039,54.039,,,,3.34,,,,,,407.476,,,407.476,464.855,13.122,,,,,127.37,,,,,,127.37,140.492,605.347,0.0,3362.834,,,0.0,518.666,43.691,3925.191,42.437,3967.628,4572.975,
06/30/2003,5042.979,1662.894,1391.557,271.337,164.621,164.621,,0.0,0.0,0.0,0.0,0.0,176.004,,,,,,,2003.519,403.295,606.683,-203.388,670.309,,,1965.856,1746.403,1487.018,259.385,,,219.453,3039.46,,64.666,64.666,,,,3.586,,,,,,464.241,,,464.241,532.493,12.384,,,,,121.281,,,,,,121.281,133.665,666.158,0.0,3640.458,,,0.0,610.533,81.807,4332.798,44.023,4376.821,5042.979,
09/30/2003,5500.694,1747.64,1583.875,163.765,169.05,169.05,,0.0,0.0,0.0,0.0,0.0,194.316,,,,,,,2111.006,534.624,774.109,-239.485,730.155,,,2124.909,1914.698,1643.12,271.578,,,210.211,3389.688,,54.584,54.584,,,,3.586,0.0,3.586,3.586,,,549.656,,,549.656,607.826,133.954,0.0,133.954,133.954,,117.031,,,,,,117.031,250.985,858.811,0.0,3780.48,,,0.0,713.783,98.094,4592.357,49.526,4641.883,5500.694,
12/31/2003,5820.133789,1722.088928,1381.512939,340.575989,225.871002,225.871002,,0.0,0.0,0.0,0.0,0.0,197.921997,,,,,,,2145.88208,601.784973,871.432983,-269.64801,934.171021,,,2138.295898,1993.368042,1719.311035,274.057007,,,144.927856,3674.251892,,64.633003,64.633003,,,,2.84,0.0,2.84,2.84,,,579.802998,,,579.802998,647.276001,124.475998,-3.900009,128.376007,128.376007,,112.732002,,,,,,112.732002,237.208,884.484001,0.0,3937.809082,,,0.0,856.244995,102.187988,4896.242065,39.408001,4935.650066,5820.134067,
03/31/2004,6458.246,1920.385,1501.708,418.677,225.05,225.05,,0.0,0.0,0.0,0.0,0.0,512.925,,,,,,,2658.36,628.086,918.824,-290.738,1166.674,,,2005.126,1981.847,1721.794,260.053,,,23.279,3799.886,,107.48,107.48,,,,124.838,0.0,124.838,124.838,,,724.847,,,724.847,957.165,1.33,0.0,1.33,1.33,,103.641,,,,,,103.641,104.971,1062.136,0.0,4188.692,,,0.0,1056.345,109.604,5354.641,41.469,5396.11,6458.246,
06/30/2004,6832.497,2137.637,1588.713,548.924,242.287,242.287,,0.0,0.0,0.0,0.0,0.0,508.144,,,,,,,2888.068,639.14,970.305,-331.165,1175.098,,,2130.191,2109.304,1834.662,274.642,,,20.887,3944.429,,68.194,68.194,,,,124.274,0.0,124.274,124.274,,,704.574,,,704.574,897.042,0.887,0.0,0.887,0.887,,94.753,,,,,,94.753,95.64,992.682,0.0,4454.105,,,0.0,1246.74,95.24,5796.085,43.73,5839.815,6832.497,
09/30/2004,7241.601,2077.62,1435.91,641.71,306.671,306.671,,0.0,0.0,0.0,0.0,0.0,544.732,,,,,,,2929.023,682.022,1059.54,-377.518,981.095,,,2649.461,2627.962,2296.423,331.539,,,21.499,4312.578,,80.014,80.014,,,,124.273,0.0,124.273,124.273,,,772.135,,,772.135,976.422,0.443,0.0,0.443,0.443,,170.032,,,,,,170.032,170.475,1146.897,0.0,4557.576,,,0.0,1429.089,103.639,6090.304,4.4,6094.704,7241.601,
